* Measurement data measured by REW V5.40 beta 135
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Sep 11, 2026, 1:54:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = Target LR.RMS.AVG B = LR-SP-MP Maximum gain 0.0 dB Lower frequency limit 25 Hz Upper frequency limit 80 Hz 
* Measurement: F.common
* Smoothing: None
* Frequency Step: 0.18310548 Hz
* Start Frequency: 15.197754 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.197754 -0.000 0.0000
15.380859 0.000 -0.0000
15.563965 -0.000 0.0000
15.747070 0.000 -0.0000
15.930176 -0.000 0.0000
16.113281 0.000 -0.0000
16.296387 -0.000 0.0000
16.479492 0.000 -0.0000
16.662598 -0.000 0.0000
16.845703 0.000 -0.0000
17.028809 -0.000 0.0000
17.211914 0.000 -0.0000
17.395020 -0.000 0.0000
17.578125 0.000 -0.0000
17.761231 -0.000 -0.7104
17.944336 0.000 -2.2200
18.127442 -0.000 -3.6651
18.310547 0.000 -5.0464
18.493653 -0.000 -6.3646
18.676758 0.000 -7.6211
18.859864 -0.000 -8.8169
19.042969 0.000 -9.9533
19.226075 -0.000 -11.0322
19.409180 0.000 -12.0561
19.592286 -0.000 -13.0285
19.775391 0.000 -13.9529
19.958496 -0.000 -14.8326
20.141602 0.000 -15.6701
20.324707 -0.000 -16.4687
20.507813 0.000 -17.2304
20.690918 -0.000 -17.9573
20.874024 0.000 -18.6499
21.057129 -0.000 -19.3084
21.240235 0.000 -19.9313
21.423340 -0.000 -20.5185
21.606446 0.000 -21.0688
21.789551 -0.000 -21.5809
21.972657 0.000 -22.0522
22.155762 -0.000 -22.4810
22.338868 0.000 -22.8639
22.521973 -0.000 -23.2006
22.705079 0.000 -23.4898
22.888184 -0.000 -23.7308
23.071290 0.000 -23.9222
23.254395 -0.000 -24.0650
23.437501 -0.021 -24.1595
23.620606 -0.043 -24.2069
23.803712 -0.063 -24.2073
23.986817 -0.082 -24.1623
24.169923 -0.097 -24.0725
24.353028 -0.111 -23.9393
24.536134 -0.121 -23.7634
24.719239 -0.127 -23.5467
24.902345 -0.130 -23.2904
25.085450 -0.128 -22.9969
25.268556 -0.121 -22.6681
25.451661 -0.109 -22.3070
25.634766 -0.092 -21.9157
25.817872 -0.069 -21.4973
26.000977 -0.040 -21.0541
26.184083 -0.005 -20.5883
26.367188 0.000 -20.1017
26.550294 -0.000 -19.5979
26.733399 0.000 -19.0803
26.916505 -0.000 -18.5528
27.099610 0.000 -18.0191
27.282716 -0.000 -17.4847
27.465821 0.000 -16.9551
27.648927 -0.000 -16.4367
27.832032 0.000 -15.9364
28.015138 -0.000 -15.4606
28.198243 0.000 -15.0173
28.381349 -0.000 -14.6143
28.564454 0.000 -14.2604
28.747560 -0.000 -13.9661
28.930665 0.000 -13.7401
29.113771 -0.000 -13.5922
29.296876 0.000 -13.5301
29.479982 -0.000 -13.5585
29.663087 0.000 -13.6837
29.846193 -0.000 -13.9048
30.029298 0.000 -14.2188
30.212404 -0.000 -14.6219
30.395509 0.000 -15.1032
30.578615 -0.000 -15.6499
30.761720 0.000 -16.2476
30.944826 -0.000 -16.8779
31.127931 0.000 -17.5234
31.311036 -0.000 -18.1634
31.494142 0.000 -18.7786
31.677247 -0.000 -19.3529
31.860353 0.000 -19.8689
32.043458 -0.000 -20.3133
32.226564 0.000 -20.6774
32.409669 -0.000 -20.9498
32.592775 0.000 -21.1232
32.775880 -0.000 -21.1981
32.958986 0.000 -21.1749
33.142091 -0.000 -21.0522
33.325197 0.000 -20.8324
33.508302 -0.000 -20.5202
33.691408 0.000 -20.1192
33.874513 -0.000 -19.6325
34.057619 0.000 -19.0650
34.240724 -0.000 -18.4227
34.423830 0.000 -17.7117
34.606935 -0.000 -16.9377
34.790041 0.000 -16.1084
34.973146 -0.000 -15.2320
35.156252 0.000 -14.3170
35.339357 -0.000 -13.3727
35.522463 0.000 -12.3256
35.705568 -0.000 -11.2738
35.888674 0.000 -10.2333
36.071779 -0.000 -9.2108
36.254885 0.000 -8.2140
36.437990 -0.000 -7.2490
36.621095 0.000 -6.3237
36.804201 -0.000 -5.4450
36.987306 0.000 -4.6217
37.170412 -0.000 -3.8610
37.353517 0.000 -3.1712
37.536623 -0.000 -2.5576
37.719728 0.000 -2.0263
37.902834 -0.000 -1.5815
38.085939 0.000 -1.2285
38.269045 -0.000 -0.9714
38.452150 0.000 -0.8151
38.635256 -0.000 -0.7607
38.818361 0.000 -0.8113
39.001467 -0.000 -0.9672
39.184572 0.000 -1.2300
39.367678 -0.000 -1.5971
39.550783 0.000 -2.0650
39.733889 -0.000 -2.6262
39.916994 0.000 -3.2731
40.100100 -0.000 -3.9951
40.283205 0.000 -4.7824
40.466311 -0.000 -5.6219
40.649416 0.000 -6.5014
40.832522 -0.000 -7.4063
41.015627 0.000 -8.3234
41.198733 -0.000 -9.2375
41.381838 0.000 -10.1355
41.564944 -0.000 -11.0041
41.748049 0.000 -11.8323
41.931155 -0.000 -12.6095
42.114260 0.000 -13.3282
42.297365 -0.000 -13.9809
42.480471 0.000 -14.5632
42.663576 -0.000 -15.0730
42.846682 0.000 -15.5111
43.029787 -0.000 -15.8790
43.212893 0.000 -16.1801
43.395998 -0.000 -16.4172
43.579104 0.000 -16.5949
43.762209 -0.000 -16.7172
43.945315 0.000 -16.7899
44.128420 -0.000 -16.8175
44.311526 0.000 -16.8064
44.494631 -0.000 -16.7619
44.677737 0.000 -16.6908
44.860842 -0.000 -16.5997
45.043948 0.000 -16.4953
45.227053 -0.000 -16.3827
45.410159 0.000 -16.2676
45.593264 -0.000 -16.1531
45.776370 0.000 -16.0437
45.959475 -0.000 -15.9424
46.142581 0.000 -15.8523
46.325686 -0.000 -15.7754
46.508792 0.000 -15.7138
46.691897 -0.000 -15.6682
46.875003 0.000 -15.6394
47.058108 -0.000 -15.6268
47.241214 0.000 -15.6295
47.424319 -0.000 -15.6449
47.607425 0.000 -15.6703
47.790530 -0.000 -15.7015
47.973635 0.000 -15.7354
48.156741 -0.000 -15.7667
48.339846 0.000 -15.7916
48.522952 -0.000 -15.8051
48.706057 0.000 -15.8034
48.889163 -0.000 -15.7822
49.072268 0.000 -15.7383
49.255374 -0.000 -15.6675
49.438479 0.000 -15.5673
49.621585 -0.000 -15.4340
49.804690 0.000 -15.2656
49.987796 -0.000 -15.0602
50.170901 0.000 -14.8169
50.354007 -0.000 -14.5351
50.537112 0.000 -14.2156
50.720218 -0.000 -13.8589
50.903323 0.000 -13.4671
51.086429 -0.000 -13.0412
51.269534 0.000 -12.5839
51.452640 -0.000 -12.0962
51.635745 -0.000 -11.5805
51.818851 0.000 -11.0387
52.001956 -0.000 -10.4736
52.185062 0.000 -9.8878
52.368167 -0.000 -9.2847
52.551273 0.000 -8.6675
52.734378 -0.000 -8.0398
52.917484 0.000 -7.4046
53.100589 -0.000 -6.7660
53.283695 0.000 -6.1271
53.466800 -0.000 -5.4914
53.649905 0.000 -4.8622
53.833011 -0.000 -4.2431
54.016116 0.000 -3.6379
54.199222 -0.000 -3.0507
54.382327 0.000 -2.4860
54.565433 -0.000 -1.9490
54.748538 0.000 -1.4453
54.931644 -0.000 -0.9812
55.114749 0.000 -0.5635
55.297855 -0.000 -0.1995
55.480960 0.000 0.1028
55.664066 -0.000 0.3337
55.847171 0.000 0.4842
56.030277 -0.000 0.5397
56.213382 0.000 0.4880
56.396488 -0.000 0.3097
56.579593 0.000 -0.0147
56.762699 -0.000 -0.5041
56.945804 0.000 -1.1898
57.128910 -0.000 -2.0872
57.312015 0.000 -3.2457
57.495121 -0.000 -4.6884
57.678226 0.000 -6.4564
57.861332 -0.000 -8.6183
58.044437 0.000 -11.1661
58.227543 -0.000 -14.2041
58.410648 0.000 -17.7144
58.593754 -0.000 -21.6687
58.776859 0.000 -26.1287
58.959964 -0.000 -30.8564
59.143070 0.000 -35.7971
59.326175 -0.000 -40.8137
59.509281 0.000 -45.5680
59.692386 -0.000 -50.0615
59.875492 0.000 -54.1055
60.058597 -0.000 -57.5784
60.241703 0.000 -60.5781
60.424808 -0.000 -63.0148
60.607914 0.000 -64.9659
60.791019 -0.000 -66.5017
60.974125 0.000 -67.6208
61.157230 -0.000 -68.4254
61.340336 0.000 -68.9356
61.523441 -0.000 -69.1952
61.706547 0.000 -69.2541
61.889652 -0.000 -69.1271
62.072758 0.000 -68.8513
62.255863 -0.000 -68.4466
62.438969 0.000 -67.9285
62.622074 -0.000 -67.3198
62.805180 0.000 -66.6295
62.988285 -0.000 -65.8730
63.171391 0.000 -65.0610
63.354496 -0.000 -64.2012
63.537602 0.000 -63.3043
63.720707 -0.000 -62.3766
63.903813 0.000 -61.4229
64.086918 -0.000 -60.4520
64.270024 0.000 -59.4651
64.453129 -0.000 -58.4699
64.636234 0.000 -57.4683
64.819340 -0.000 -56.4651
65.002445 0.000 -55.4644
65.185551 -0.000 -54.4678
65.368656 0.000 -53.4795
65.551762 -0.000 -52.5023
65.734867 0.000 -51.5366
65.917973 -0.000 -50.5876
66.101078 0.000 -49.6541
66.284184 -0.000 -48.7400
66.467289 0.000 -47.8465
66.650395 -0.000 -46.9742
66.833500 0.000 -46.1265
67.016606 -0.000 -45.3035
67.199711 0.000 -44.5062
67.382817 -0.000 -43.7382
67.565922 0.000 -42.9970
67.749028 -0.000 -42.2868
67.932133 0.000 -41.6076
68.115239 -0.000 -40.9582
68.298344 0.000 -40.3424
68.481450 -0.000 -39.7584
68.664555 0.000 -39.2065
68.847661 -0.000 -38.6900
69.030766 0.000 -38.2048
69.213872 -0.000 -37.7543
69.396977 0.000 -37.3388
69.580083 -0.000 -36.9544
69.763188 0.000 -36.6050
69.946294 -0.000 -36.2884
70.129399 0.000 -36.0010
70.312504 -0.000 -35.7472
70.495610 0.000 -35.5213
70.678715 -0.000 -35.3227
70.861821 0.000 -35.1534
71.044926 -0.000 -35.0069
71.228032 0.000 -34.8832
71.411137 -0.000 -34.7825
71.594243 0.000 -34.6978
71.777348 -0.000 -34.6299
71.960454 0.000 -34.5763
72.143559 -0.000 -34.5316
72.326665 0.000 -34.4952
72.509770 -0.000 -34.4643
72.692876 0.000 -34.4345
72.875981 -0.000 -34.4043
73.059087 0.000 -34.3711
73.242192 -0.000 -34.3320
73.425298 0.000 -34.2837
73.608403 -0.000 -34.2261
73.791509 0.000 -34.1559
73.974614 -0.000 -34.0699
74.157720 0.000 -33.9692
74.340825 -0.000 -33.8514
74.523931 0.000 -33.7130
74.707036 -0.000 -33.5570
74.890142 0.000 -33.3813
75.073247 -0.000 -33.1835
75.256353 0.000 -32.9670
75.439458 -0.000 -32.7305
75.622564 0.000 -32.4718
75.805669 -0.000 -32.1952
75.988774 0.000 -31.8996
76.171880 -0.000 -31.5837
76.354985 0.000 -31.2515
76.538091 -0.000 -30.9025
76.721196 0.000 -30.5358
76.904302 -0.000 -30.1553
77.087407 0.000 -29.7609
77.270513 -0.000 -29.3523
77.453618 -0.049 -28.9326
77.636724 -0.110 -28.5022
77.819829 -0.167 -28.0609
78.002935 -0.223 -27.6111
78.186040 -0.276 -27.1538
78.369146 -0.327 -26.6888
78.552251 -0.376 -26.2181
78.735357 -0.422 -25.7426
78.918462 -0.465 -25.2626
79.101568 -0.506 -24.7794
79.284673 -0.545 -24.2942
79.467779 -0.581 -23.8072
79.650884 -0.615 -23.3196
79.833990 -0.647 -22.8319
80.017095 -0.676 -22.3449
80.200201 -0.703 -21.8590
80.383306 -0.728 -21.3752
80.566412 -0.751 -20.8939
80.749517 -0.771 -20.4156
80.932623 -0.789 -19.9408
81.115728 -0.806 -19.4703
81.298834 -0.820 -19.0041
81.481939 -0.832 -18.5430
81.665044 -0.843 -18.0870
81.848150 -0.852 -17.6370
82.031255 -0.859 -17.1928
82.214361 -0.865 -16.7549
82.397466 -0.869 -16.3236
82.580572 -0.871 -15.8992
82.763677 -0.872 -15.4815
82.946783 -0.871 -15.0716
83.129888 -0.869 -14.6689
83.312994 -0.866 -14.2739
83.496099 -0.861 -13.8866
83.679205 -0.855 -13.5077
