* Measurement data measured by REW V5.40 beta 135
* Source: 
* Format: 
* Dated: Sep 11, 2026, 2:02:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FRX-trimmed
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 15.74707 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.747070 -1.786 34.1726
16.113281 -2.062 9.9532
16.479492 -1.303 3.6613
16.845703 -0.724 2.1692
17.211914 -0.352 2.1216
17.578125 -0.084 2.5195
17.944336 0.127 3.2813
18.310547 0.270 4.3411
18.676758 0.343 5.4883
19.042969 0.362 6.5778
19.409180 0.338 7.5618
19.775391 0.280 8.3887
20.141602 0.196 8.9995
20.507813 0.102 9.3785
20.874024 0.008 9.5384
21.240235 -0.078 9.4951
21.606446 -0.145 9.2849
21.972657 -0.188 8.9672
22.338868 -0.206 8.5995
22.705079 -0.199 8.2276
23.071290 -0.173 7.8742
23.437501 -0.150 7.5857
23.803712 -0.136 7.5504
24.169923 -0.116 7.7759
24.536134 -0.090 8.2022
24.902344 -0.058 8.7714
25.268555 -0.022 9.4150
25.634766 0.020 10.0436
26.000977 0.064 10.5208
26.367188 0.084 10.7577
26.733399 0.067 10.9434
27.099610 0.038 11.1246
27.465821 0.005 11.2595
27.832032 -0.027 11.3335
28.198243 -0.054 11.3510
28.564454 -0.074 11.3249
28.930665 -0.085 11.2737
29.296876 -0.087 11.2186
29.663087 -0.079 11.1802
30.029298 -0.065 11.1749
30.395509 -0.046 11.2142
30.761720 -0.024 11.3039
31.127931 -0.003 11.4432
31.494142 0.015 11.6257
31.860353 0.029 11.8416
32.226564 0.037 12.0779
32.592775 0.040 12.3207
32.958986 0.036 12.5567
33.325197 0.028 12.7747
33.691408 0.016 12.9661
34.057619 0.002 13.1261
34.423830 -0.012 13.2539
34.790041 -0.024 13.3524
35.156252 -0.034 13.4271
35.522463 -0.040 13.4863
35.888674 -0.043 13.5393
36.254884 -0.041 13.5949
36.621095 -0.036 13.6610
36.987306 -0.029 13.7436
37.353517 -0.020 13.8458
37.719728 -0.011 13.9685
38.085939 -0.003 14.1098
38.452150 0.003 14.2660
38.818361 0.007 14.4321
39.184572 0.009 14.6023
39.550783 0.009 14.7711
39.916994 0.006 14.9334
40.283205 0.002 15.0856
40.649416 -0.003 15.2256
41.015627 -0.008 15.3527
41.381838 -0.013 15.4678
41.748049 -0.017 15.5732
42.114260 -0.020 15.6719
42.480471 -0.021 15.7672
42.846682 -0.021 15.8624
43.212893 -0.020 15.9607
43.579104 -0.018 16.0639
43.945315 -0.015 16.1733
44.311526 -0.012 16.2890
44.677737 -0.009 16.4104
45.043948 -0.007 16.5361
45.410159 -0.006 16.6645
45.776370 -0.005 16.7935
46.142581 -0.005 16.9214
46.508792 -0.006 17.0467
46.875003 -0.007 17.1686
47.241214 -0.008 17.2865
47.607424 -0.009 17.4006
47.973635 -0.010 17.5113
48.339846 -0.011 17.6194
48.706057 -0.012 17.7258
49.072268 -0.012 17.8313
49.438479 -0.012 17.9367
49.804690 -0.011 18.0424
50.170901 -0.011 18.1485
50.537112 -0.011 18.2549
50.903323 -0.011 18.3612
51.269534 -0.010 18.4668
51.635745 -0.011 18.5714
52.001956 -0.011 18.6744
52.368167 -0.011 18.7755
52.734378 -0.011 18.8746
53.100589 -0.011 18.9718
53.466800 -0.011 19.0673
53.833011 -0.011 19.1615
54.199222 -0.011 19.2549
54.565433 -0.010 19.3478
54.931644 -0.010 19.4405
55.297855 -0.009 19.5331
55.664066 -0.009 19.6254
56.030277 -0.008 19.7171
56.396488 -0.008 19.8078
56.762699 -0.009 19.8967
57.128910 -0.009 19.9832
57.495121 -0.009 20.0669
57.861332 -0.010 20.1470
58.227543 -0.011 20.2234
58.593753 -0.012 20.2958
58.959964 -0.012 20.3646
59.326175 -0.012 20.4299
59.692386 -0.012 20.4922
60.058597 -0.012 20.5518
60.424808 -0.012 20.6092
60.791019 -0.011 20.6647
61.157230 -0.011 20.7184
61.523441 -0.010 20.7702
61.889652 -0.009 20.8197
62.255863 -0.009 20.8663
62.622074 -0.008 20.9093
62.988285 -0.008 20.9477
63.354496 -0.009 20.9805
63.720707 -0.009 21.0067
64.086918 -0.009 21.0251
64.453129 -0.010 21.0346
64.819340 -0.011 21.0339
65.185551 -0.011 21.0213
65.551762 -0.012 20.9944
65.917973 -0.013 20.9505
66.284184 -0.016 20.8899
66.650395 -0.022 20.8150
67.016606 -0.031 20.7372
67.382817 -0.042 20.6662
67.749028 -0.055 20.6024
68.115239 -0.067 20.5429
68.481450 -0.079 20.4785
68.847661 -0.091 20.4021
69.213872 -0.103 20.3092
69.580083 -0.117 20.1958
69.946293 -0.134 20.0599
70.312504 -0.154 19.9025
70.678715 -0.178 19.7254
71.044926 -0.207 19.5309
71.411137 -0.242 19.3247
71.777348 -0.283 19.1130
72.143559 -0.332 18.9019
72.509770 -0.387 18.6990
72.875981 -0.449 18.5119
73.242192 -0.518 18.3472
73.608403 -0.593 18.2123
73.974614 -0.674 18.1124
74.340825 -0.760 18.0506
74.707036 -0.850 18.0307
75.073247 -0.943 18.0516
75.439458 -1.038 18.1094
75.805669 -1.135 18.1990
76.171880 -1.233 18.3051
76.538091 -1.337 18.4272
76.904302 -1.449 18.5587
77.270513 -1.574 18.7402
77.636724 -1.715 19.0143
78.002935 -1.864 19.4476
78.369146 -2.016 20.0607
78.735357 -2.158 20.8456
79.101568 -2.288 21.7903
79.467779 -2.400 22.8533
79.833990 -2.493 24.0130
80.200201 -2.565 25.2449
80.566412 -2.616 26.5257
80.932622 -2.645 27.8383
81.298833 -2.653 29.1645
81.665044 -2.639 30.4875
82.031255 -2.604 31.7922
82.397466 -2.548 33.0624
82.763677 -2.471 34.2832
83.129888 -2.374 35.4371
83.496099 -2.257 36.5079
83.862310 -2.121 37.4764
84.228521 -1.967 38.3194
84.594732 -1.798 39.0190
84.960943 -1.617 39.5364
85.327154 -1.426 39.8568
85.693365 -1.238 39.9480
86.059576 -1.055 39.8075
86.425787 -0.897 39.4733
86.791998 -0.763 39.0003
87.158209 -0.662 38.4711
87.524420 -0.583 37.9619
87.890631 -0.524 37.4927
88.256842 -0.473 37.0808
88.623053 -0.428 36.7086
88.989264 -0.386 36.3613
89.355475 -0.346 36.0260
89.721686 -0.306 35.6910
90.087897 -0.268 35.3490
90.454108 -0.231 34.9947
90.820319 -0.196 34.6241
91.186530 -0.164 34.2339
91.552741 -0.133 33.8226
91.918952 -0.105 33.3867
92.285162 -0.081 32.9269
92.651373 -0.060 32.4401
93.017584 -0.043 31.9291
93.383795 -0.031 31.3931
93.750006 -0.022 30.8337
94.116217 -0.017 30.2493
94.482428 -0.016 29.6297
94.848639 -0.017 28.9699
95.214850 -0.023 28.2419
95.581061 -0.038 27.4510
95.947272 -0.064 26.5642
96.313483 -0.110 25.6208
96.679694 -0.178 24.6296
97.045905 -0.274 23.6483
97.412116 -0.394 22.7412
97.778327 -0.534 21.9189
98.144538 -0.689 21.2341
98.510749 -0.853 20.6544
98.876960 -1.022 20.1961
99.243171 -1.193 19.8283
99.609382 -1.365 19.5496
99.975593 -1.538 19.3432
100.341804 -1.710 19.2046
100.708015 -1.883 19.1264
101.074226 -2.055 19.1049
101.440437 -2.227 19.1369
101.806648 -2.399 19.2202
102.172859 -2.570 19.3533
102.539070 -2.741 19.5352
102.905281 -2.911 19.7650
103.271491 -3.081 20.0426
103.637702 -3.250 20.3672
104.003913 -3.418 20.7392
104.370124 -3.585 21.1574
104.736335 -3.750 21.6228
105.102546 -3.914 22.1333
105.468757 -4.075 22.6905
105.834968 -4.235 23.2918
106.201179 -4.392 23.9390
106.567390 -4.546 24.6290
106.933601 -4.696 25.3635
107.299812 -4.843 26.1393
107.666023 -4.986 26.9575
108.032234 -5.125 27.8149
108.398445 -5.260 28.7115
108.764656 -5.390 29.6450
109.130867 -5.515 30.6141
109.497078 -5.634 31.6171
109.863289 -5.749 32.6518
110.229500 -5.858 33.7174
110.595711 -5.961 34.8104
110.961922 -6.058 35.9307
111.328133 -6.150 37.0747
111.694344 -6.235 38.2423
112.060555 -6.313 39.4295
112.426766 -6.384 40.6360
112.792977 -6.449 41.8577
113.159188 -6.506 43.0916
113.525399 -6.556 44.3350
113.891610 -6.599 45.5832
114.257821 -6.634 46.8335
114.624031 -6.663 48.0839
114.990242 -6.685 49.3312
115.356453 -6.701 50.5749
115.722664 -6.711 51.8125
116.088875 -6.714 53.0432
116.455086 -6.712 54.2652
116.821297 -6.703 55.4770
117.187508 -6.689 56.6773
117.553719 -6.670 57.8642
117.919930 -6.645 59.0371
118.286141 -6.615 60.1933
118.652352 -6.580 61.3328
119.018563 -6.540 62.4534
119.384774 -6.496 63.5543
119.750985 -6.446 64.6347
120.117196 -6.393 65.6927
120.483407 -6.335 66.7286
120.849618 -6.273 67.7401
121.215829 -6.207 68.7275
121.582040 -6.138 69.6893
121.948251 -6.066 70.6248
122.314462 -5.991 71.5343
122.680673 -5.913 72.4152
123.046884 -5.832 73.2695
123.413095 -5.750 74.0947
123.779306 -5.665 74.8917
124.145517 -5.578 75.6604
124.511728 -5.490 76.3993
124.877939 -5.400 77.1109
125.244150 -5.309 77.7931
125.610361 -5.217 78.4475
125.976571 -5.125 79.0742
126.342782 -5.032 79.6727
126.708993 -4.938 80.2454
127.075204 -4.845 80.7907
127.441415 -4.751 81.3104
127.807626 -4.658 81.8051
128.173837 -4.565 82.2743
128.540048 -4.473 82.7203
128.906259 -4.382 83.1423
129.272470 -4.291 83.5418
129.638681 -4.202 83.9196
130.004892 -4.113 84.2754
130.371103 -4.026 84.6116
130.737314 -3.939 84.9276
131.103525 -3.855 85.2248
131.469736 -3.771 85.5044
131.835947 -3.689 85.7664
132.202158 -3.609 86.0125
132.568369 -3.531 86.2432
132.934580 -3.454 86.4589
133.300791 -3.379 86.6614
133.667002 -3.305 86.8505
134.033213 -3.234 87.0275
134.399424 -3.165 87.1931
134.765635 -3.097 87.3477
135.131846 -3.032 87.4928
135.498057 -2.968 87.6287
135.864268 -2.907 87.7562
136.230479 -2.848 87.8766
136.596690 -2.791 87.9904
136.962900 -2.736 88.0986
137.329111 -2.682 88.2021
137.695322 -2.631 88.3018
138.061533 -2.582 88.3982
138.427744 -2.535 88.4925
138.793955 -2.489 88.5855
139.160166 -2.446 88.6775
139.526377 -2.404 88.7698
139.892588 -2.364 88.8628
140.258799 -2.326 88.9569
140.625010 -2.289 89.0534
140.991221 -2.254 89.1520
141.357432 -2.221 89.2536
141.723643 -2.188 89.3590
142.089854 -2.157 89.4677
142.456065 -2.128 89.5808
142.822276 -2.099 89.6988
143.188487 -2.071 89.8209
143.554698 -2.045 89.9487
143.920909 -2.019 90.0820
144.287120 -1.994 90.2205
144.653331 -1.969 90.3652
145.019542 -1.945 90.5160
145.385753 -1.922 90.6722
145.751964 -1.898 90.8351
146.118175 -1.876 91.0039
146.484386 -1.853 91.1782
146.850597 -1.830 91.3590
147.216808 -1.808 91.5453
147.583019 -1.785 91.7370
147.949230 -1.763 91.9350
148.315440 -1.739 92.1378
148.681651 -1.716 92.3459
149.047862 -1.693 92.5596
149.414073 -1.668 92.7777
149.780284 -1.644 93.0005
150.146495 -1.618 93.2283
150.512706 -1.592 93.4595
150.878917 -1.565 93.6946
151.245128 -1.538 93.9337
151.611339 -1.509 94.1751
151.977550 -1.479 94.4192
152.343761 -1.448 94.6661
152.709972 -1.416 94.9138
153.076183 -1.383 95.1629
153.442394 -1.349 95.4131
153.808605 -1.312 95.6622
154.174816 -1.275 95.9107
154.541027 -1.236 96.1582
154.907238 -1.194 96.4021
155.273449 -1.152 96.6424
155.639660 -1.107 96.8787
156.005871 -1.060 97.1079
156.372082 -1.011 97.3289
156.738293 -0.960 97.5407
157.104504 -0.906 97.7407
157.470715 -0.850 97.9247
157.836926 -0.792 98.0903
158.203137 -0.732 98.2369
158.569348 -0.670 98.3568
158.935559 -0.606 98.4429
159.301769 -0.542 98.4996
159.667980 -0.477 98.5225
160.034191 -0.412 98.4967
160.400402 -0.352 98.4307
160.766613 -0.294 98.3372
