* Measurement data measured by REW V5.40 beta 135
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Sep 11, 2026, 1:55:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = Target LR.RMS.AVG B = LX-MP Maximum gain 0.0 dB Lower frequency limit 80 Hz Upper frequency limit 225 Hz 
* Measurement: Fper_L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 2.5634766 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.563477 0.000 0.0000
2.929688 -0.000 -0.0000
3.295898 0.000 0.0000
3.662109 -0.000 -0.0000
4.028320 0.000 0.0000
4.394531 -0.000 -0.0000
4.760742 0.000 0.0000
5.126953 -0.000 -0.0000
5.493164 0.000 0.0000
5.859375 -0.000 -0.0000
6.225586 0.000 0.0000
6.591797 -0.000 -0.0000
6.958008 0.000 0.0000
7.324219 -0.000 -0.0000
7.690430 0.000 0.0000
8.056641 -0.000 -0.0000
8.422852 -0.000 0.0000
8.789063 -0.000 -0.0000
9.155274 -0.000 0.0000
9.521485 -0.000 -0.0000
9.887696 -0.000 0.0000
10.253907 -0.000 -0.0000
10.620118 -0.000 0.0000
10.986329 -0.000 -0.0000
11.352540 -0.000 0.0000
11.718751 0.000 -0.0000
12.084962 -0.000 0.0000
12.451173 0.000 -0.0000
12.817384 -0.000 0.0000
13.183595 0.000 -0.0000
13.549806 -0.000 0.0000
13.916017 0.000 -0.0000
14.282228 -0.000 0.0000
14.648438 0.000 -0.0000
15.014649 -0.000 0.0000
15.380860 0.000 -0.0000
15.747071 -0.000 0.0000
16.113282 0.000 -0.0000
16.479493 -0.000 0.0000
16.845704 0.000 -0.0000
17.211915 -0.000 0.0000
17.578126 0.000 -0.0000
17.944337 -0.000 0.0000
18.310548 0.000 -0.0000
18.676759 -0.000 0.0000
19.042970 0.000 -0.0000
19.409181 -0.000 0.0001
19.775392 0.000 -0.0000
20.141603 -0.000 0.0001
20.507814 0.000 -0.0001
20.874025 -0.000 0.0001
21.240236 0.000 -0.0001
21.606447 -0.000 0.0001
21.972658 0.000 -0.0001
22.338869 -0.000 0.0001
22.705080 0.000 -0.0001
23.071291 -0.000 0.0001
23.437502 0.000 -0.0001
23.803713 -0.000 0.0001
24.169924 0.000 -0.0001
24.536135 -0.000 0.0001
24.902346 0.000 -0.0001
25.268557 -0.000 0.0001
25.634768 0.000 -0.0001
26.000978 -0.000 0.0001
26.367189 0.000 -0.0001
26.733400 -0.000 0.0001
27.099611 0.000 -0.0001
27.465822 -0.000 0.0001
27.832033 0.000 -0.0001
28.198244 -0.000 0.0001
28.564455 0.000 -0.0001
28.930666 -0.000 0.0001
29.296877 0.000 -0.0001
29.663088 -0.000 0.0001
30.029299 0.000 -0.0001
30.395510 -0.000 0.0001
30.761721 0.000 -0.0001
31.127932 -0.000 0.0001
31.494143 0.000 -0.0001
31.860354 -0.000 0.0001
32.226565 0.000 -0.0001
32.592776 -0.000 0.0001
32.958987 0.000 -0.0001
33.325198 -0.000 0.0001
33.691409 0.000 -0.0001
34.057620 -0.000 0.0001
34.423831 0.000 -0.0001
34.790042 -0.000 0.0001
35.156253 0.000 -0.0001
35.522464 -0.000 0.0001
35.888675 0.000 -0.0001
36.254886 -0.000 0.0001
36.621097 0.000 -0.0001
36.987307 -0.000 0.0002
37.353518 0.000 -0.0002
37.719729 -0.000 0.0002
38.085940 0.000 -0.0002
38.452151 -0.000 0.0002
38.818362 0.000 -0.0002
39.184573 -0.000 0.0002
39.550784 0.000 -0.0002
39.916995 -0.000 0.0002
40.283206 0.000 -0.0002
40.649417 -0.000 0.0002
41.015628 0.000 -0.0002
41.381839 -0.000 0.0002
41.748050 0.000 -0.0002
42.114261 -0.000 0.0002
42.480472 0.000 -0.0002
42.846683 -0.000 0.0002
43.212894 0.000 -0.0002
43.579105 -0.000 0.0002
43.945316 0.000 -0.0002
44.311527 -0.000 0.0002
44.677738 0.000 -0.0002
45.043949 -0.000 0.0002
45.410160 0.000 -0.0002
45.776371 -0.000 0.0002
46.142582 0.000 -0.0002
46.508793 -0.000 0.0002
46.875004 0.000 -0.0002
47.241215 -0.000 0.0002
47.607426 0.000 -0.0002
47.973637 -0.000 0.0002
48.339847 0.000 -0.0002
48.706058 -0.000 0.0002
49.072269 0.000 -0.0002
49.438480 -0.000 0.0002
49.804691 0.000 -0.0002
50.170902 -0.000 0.0003
50.537113 0.000 -0.0003
50.903324 -0.000 0.0003
51.269535 0.000 -0.0003
51.635746 -0.000 0.0003
52.001957 0.000 -0.0003
52.368168 -0.000 0.0003
52.734379 0.000 -0.0003
53.100590 -0.000 0.0003
53.466801 0.000 -0.0003
53.833012 -0.000 0.0003
54.199223 0.000 -0.0003
54.565434 -0.000 0.0003
54.931645 0.000 -0.0003
55.297856 -0.000 0.0003
55.664067 0.000 -0.0003
56.030278 -0.000 0.0003
56.396489 0.000 -0.0003
56.762700 -0.000 0.0681
57.128911 0.000 0.2131
57.495122 -0.000 0.3780
57.861333 0.000 0.5549
58.227544 -0.000 0.7406
58.593755 0.000 0.9266
58.959966 -0.000 1.1091
59.326176 0.000 1.2787
59.692387 -0.000 1.4309
60.058598 0.000 1.5554
60.424809 -0.000 1.6470
60.791020 0.000 1.6949
61.157231 -0.000 1.6940
61.523442 0.000 1.6342
61.889653 -0.000 1.5121
62.255864 0.000 1.3208
62.622075 -0.000 1.0617
62.988286 0.000 0.7343
63.354497 -0.000 0.3471
63.720708 0.000 -0.0934
64.086919 -0.000 -0.5728
64.453130 0.000 -1.0815
64.819341 -0.000 -1.6049
65.185552 0.000 -2.1360
65.551763 -0.000 -2.6652
65.917974 0.000 -3.1909
66.284185 -0.000 -3.7093
66.650396 0.000 -4.2245
67.016607 -0.000 -4.7376
67.382818 0.000 -5.2570
67.749029 -0.000 -5.7875
68.115240 0.000 -6.3403
68.481451 -0.000 -6.9227
68.847662 0.000 -7.5481
69.213873 -0.000 -8.2256
69.580084 0.000 -8.9696
69.946295 -0.000 -9.7897
70.312506 0.000 -10.6996
70.678716 -0.000 -11.7066
71.044927 0.000 -12.8196
71.411138 -0.000 -14.0392
71.777349 0.000 -15.3638
72.143560 -0.000 -16.7809
72.509771 0.000 -18.2740
72.875982 -0.000 -19.8158
73.242193 0.000 -21.3771
73.608404 -0.000 -22.9234
73.974615 0.000 -24.4236
74.340826 -0.000 -25.8481
74.707037 0.000 -27.1746
75.073248 -0.000 -28.3854
75.439459 0.000 -29.4701
75.805670 -0.000 -30.4219
76.171881 0.000 -31.2394
76.538092 -0.000 -31.9229
76.904303 0.000 -32.4757
77.270514 -0.000 -32.9018
77.636725 0.000 -33.2066
78.002936 -0.000 -33.3955
78.369147 0.000 -33.4749
78.735358 -0.000 -33.4505
79.101569 -0.145 -33.3288
79.467780 -0.350 -33.1156
79.833991 -0.548 -32.8173
80.200202 -0.740 -32.4394
80.566413 -0.924 -31.9880
80.932624 -1.100 -31.4682
81.298835 -1.268 -30.8861
81.665045 -1.427 -30.2462
82.031256 -1.578 -29.5543
82.397467 -1.720 -28.8145
82.763678 -1.852 -28.0326
83.129889 -1.975 -27.2122
83.496100 -2.088 -26.3589
83.862311 -2.192 -25.4757
84.228522 -2.285 -24.5683
84.594733 -2.370 -23.6392
84.960944 -2.445 -22.6940
85.327155 -2.510 -21.7347
85.693366 -2.565 -20.7671
86.059577 -2.610 -19.7928
86.425788 -2.646 -18.8176
86.791999 -2.672 -17.8430
87.158210 -2.688 -16.8750
87.524421 -2.695 -15.9149
87.890632 -2.693 -14.9689
88.256843 -2.681 -14.0384
88.623054 -2.659 -13.1300
88.989265 -2.629 -12.2449
89.355476 -2.589 -11.3904
89.721687 -2.542 -10.5678
90.087898 -2.485 -9.7846
90.454109 -2.420 -9.0425
90.820320 -2.347 -8.3494
91.186531 -2.267 -7.7073
91.552742 -2.180 -7.1243
91.918953 -2.086 -6.6023
92.285164 -1.987 -6.1494
92.651375 -1.883 -5.7674
93.017585 -1.774 -5.4639
93.383796 -1.663 -5.2398
93.750007 -1.550 -5.1018
94.116218 -1.437 -5.0497
94.482429 -1.324 -5.0884
94.848640 -1.215 -5.2157
95.214851 -1.109 -5.4338
95.581062 -1.010 -5.7378
95.947273 -0.917 -6.1267
96.313484 -0.833 -6.5925
96.679695 -0.760 -7.1306
97.045906 -0.698 -7.7298
97.412117 -0.649 -8.3825
97.778328 -0.615 -9.0750
98.144539 -0.594 -9.7978
98.510750 -0.588 -10.5360
98.876961 -0.596 -11.2796
99.243172 -0.618 -12.0142
99.609383 -0.654 -12.7310
99.975594 -0.703 -13.4176
100.341805 -0.764 -14.0672
100.708016 -0.835 -14.6704
101.074227 -0.916 -15.2231
101.440438 -1.005 -15.7190
101.806649 -1.101 -16.1568
102.172860 -1.202 -16.5330
102.539071 -1.307 -16.8489
102.905282 -1.416 -17.1030
103.271493 -1.527 -17.2986
103.637704 -1.639 -17.4359
104.003915 -1.751 -17.5192
104.370125 -1.863 -17.5498
104.736336 -1.974 -17.5328
105.102547 -2.084 -17.4701
105.468758 -2.191 -17.3669
105.834969 -2.296 -17.2253
106.201180 -2.398 -17.0505
106.567391 -2.498 -16.8441
106.933602 -2.595 -16.6112
107.299813 -2.689 -16.3530
107.666024 -2.780 -16.0743
108.032235 -2.868 -15.7755
108.398446 -2.952 -15.4611
108.764657 -3.034 -15.1311
109.130868 -3.113 -14.7893
109.497079 -3.190 -14.4354
109.863290 -3.264 -14.0726
110.229501 -3.335 -13.7001
110.595712 -3.404 -13.3211
110.961923 -3.471 -12.9341
111.328134 -3.535 -12.5420
111.694345 -3.598 -12.1434
112.060556 -3.658 -11.7408
112.426767 -3.716 -11.3327
112.792978 -3.772 -10.9216
113.159189 -3.826 -10.5028
113.525400 -3.860 -10.0383
113.891611 -3.892 -9.5743
114.257822 -3.923 -9.1133
114.624033 -3.951 -8.6537
114.990244 -3.978 -8.1979
115.356454 -4.002 -7.7441
115.722665 -4.025 -7.2949
116.088876 -4.047 -6.8485
116.455087 -4.066 -6.4074
116.821298 -4.084 -5.9698
117.187509 -4.101 -5.5382
117.553720 -4.116 -5.1107
117.919931 -4.129 -4.6898
118.286142 -4.142 -4.2735
118.652353 -4.153 -3.8640
119.018564 -4.162 -3.4594
119.384775 -4.171 -3.0618
119.750986 -4.179 -2.6693
120.117197 -4.185 -2.2839
120.483408 -4.191 -1.9036
120.849619 -4.196 -1.5304
121.215830 -4.199 -1.1623
121.582041 -4.202 -0.8012
121.948252 -4.205 -0.4453
122.314463 -4.206 -0.0964
122.680674 -4.207 0.2474
123.046885 -4.207 0.5841
123.413096 -4.206 0.9155
123.779307 -4.205 1.2398
124.145518 -4.203 1.5585
124.511729 -4.200 1.8698
124.877940 -4.197 2.1752
125.244151 -4.194 2.4728
125.610362 -4.190 2.7640
125.976573 -4.185 3.0470
126.342784 -4.180 3.3232
126.708994 -4.175 3.5907
127.075205 -4.169 3.8510
127.441416 -4.163 4.1024
127.807627 -4.158 4.3462
128.173838 -4.152 4.5811
128.540049 -4.146 4.8082
128.906260 -4.141 5.0265
129.272471 -4.135 5.2374
129.638682 -4.131 5.4399
130.004893 -4.127 5.6356
130.371104 -4.123 5.8236
130.737315 -4.120 6.0058
131.103526 -4.118 6.1816
131.469737 -4.117 6.3528
131.835948 -4.117 6.5191
132.202159 -4.118 6.6822
132.568370 -4.120 6.8422
132.934581 -4.123 7.0008
133.300792 -4.128 7.1581
133.667003 -4.133 7.3157
134.033214 -4.140 7.4739
134.399425 -4.147 7.6342
134.765636 -4.156 7.7966
135.131847 -4.165 7.9629
135.498058 -4.176 8.1329
135.864269 -4.187 8.3079
136.230480 -4.199 8.4880
136.596691 -4.212 8.6742
136.962902 -4.225 8.8663
137.329113 -4.239 9.0652
137.695323 -4.253 9.2704
138.061534 -4.267 9.4827
138.427745 -4.282 9.7016
138.793956 -4.296 9.9274
139.160167 -4.310 10.1597
139.526378 -4.324 10.3986
139.892589 -4.338 10.6434
140.258800 -4.351 10.8943
140.625011 -4.364 11.1504
140.991222 -4.376 11.4117
