* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -25.7 dBFS, measurement signal peak level -14.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:14:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP+20cm AHEAD 3.98m from front wall 3.13/3.14m from RLand L speaker  2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0287 ms (-9.9 mm, -0.39 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.8 ppm
* Measurement: L 120.green.1
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.382 -156.5865
15.123451 68.574 -157.6702
15.233042 68.802 -158.7492
15.343426 69.031 -159.8476
15.454611 69.254 -160.9753
15.566602 69.474 -162.1198
15.679404 69.687 -163.3002
15.793023 69.893 -164.5332
15.907466 70.093 -165.8095
16.022738 70.287 -167.1357
16.138845 70.473 -168.5218
16.255794 70.654 -169.9697
16.373590 70.829 -171.4757
16.492240 70.997 -173.0354
16.611750 71.160 -174.6567
16.732125 71.319 -176.3342
16.853373 71.472 -178.0493
16.975500 71.622 -179.8101
17.098511 71.768 178.3865
17.222414 71.911 176.5667
17.347215 72.052 174.7234
17.472920 72.191 172.8582
17.599536 72.326 170.9970
17.727069 72.460 169.1289
17.855527 72.590 167.2589
17.984915 72.717 165.4070
18.115241 72.842 163.5587
18.246512 72.962 161.7231
18.378734 73.077 159.9131
18.511914 73.188 158.1120
18.646058 73.292 156.3348
18.781175 73.391 154.5847
18.917272 73.483 152.8497
19.054354 73.569 151.1506
19.192430 73.648 149.4788
19.331506 73.720 147.8351
19.471590 73.786 146.2373
19.612689 73.845 144.6711
19.754811 73.900 143.1483
19.897962 73.950 141.6749
20.042151 73.997 140.2431
20.187385 74.042 138.8613
20.333671 74.086 137.5283
20.481017 74.130 136.2380
20.629431 74.175 134.9897
20.778920 74.223 133.7814
20.929493 74.274 132.5955
21.081157 74.328 131.4377
21.233919 74.387 130.2889
21.387789 74.450 129.1399
21.542774 74.518 127.9891
21.698882 74.589 126.8117
21.856121 74.663 125.6143
22.014499 74.740 124.3777
22.174025 74.818 123.0996
22.334708 74.897 121.7770
22.496554 74.976 120.3988
22.659573 75.053 118.9713
22.823774 75.127 117.4897
22.989164 75.198 115.9545
23.155753 75.264 114.3728
23.323549 75.325 112.7378
23.492562 75.380 111.0659
23.662798 75.428 109.3465
23.834269 75.467 107.5996
24.006982 75.497 105.8161
24.180946 75.517 104.0136
24.356171 75.527 102.1879
24.532666 75.524 100.3525
24.710440 75.509 98.5095
24.889502 75.480 96.6678
25.069862 75.437 94.8365
25.251528 75.380 93.0211
25.434511 75.308 91.2359
25.618820 75.221 89.4862
25.804465 75.119 87.7902
25.991454 75.003 86.1559
26.179799 74.873 84.6028
26.369509 74.730 83.1441
26.560593 74.576 81.7991
26.753062 74.413 80.5859
26.946926 74.244 79.5244
27.142194 74.072 78.6322
27.338878 73.900 77.9302
27.536987 73.734 77.4267
27.736531 73.577 77.1408
27.937521 73.438 77.0610
28.139968 73.320 77.1974
28.343882 73.230 77.5126
28.549273 73.175 77.9931
28.756153 73.157 78.5829
28.964532 73.181 79.2315
29.174421 73.246 79.8921
29.385831 73.352 80.4820
29.598773 73.494 80.9738
29.813258 73.668 81.2918
30.029297 73.867 81.4233
30.246902 74.084 81.3318
30.466083 74.311 81.0113
30.686853 74.546 80.4608
30.909222 74.779 79.6844
31.133203 75.008 78.6986
31.358807 75.230 77.5131
31.586046 75.441 76.1533
31.814932 75.639 74.6294
32.045476 75.822 72.9646
32.277691 75.991 71.1744
32.511588 76.143 69.2674
32.747180 76.278 67.2663
32.984480 76.396 65.1770
33.223499 76.496 63.0074
33.464250 76.578 60.7755
33.706746 76.640 58.4832
33.950999 76.683 56.1388
34.197022 76.706 53.7588
34.444828 76.707 51.3452
34.694429 76.685 48.9066
34.945839 76.641 46.4601
35.199071 76.572 44.0153
35.454138 76.477 41.5927
35.711054 76.356 39.2181
35.969831 76.210 36.9005
36.230483 76.038 34.6538
36.493024 75.839 32.5061
36.757467 75.614 30.4787
37.023827 75.364 28.5928
37.292117 75.088 26.8754
37.562351 74.788 25.3547
37.834543 74.468 24.0559
38.108708 74.130 23.0071
38.384859 73.777 22.2341
38.663012 73.414 21.7576
38.943180 73.048 21.5983
39.225378 72.684 21.7733
39.509622 72.331 22.2899
39.795925 71.998 23.1401
40.084302 71.691 24.3123
40.374770 71.422 25.7816
40.667342 71.197 27.5089
40.962034 71.023 29.4387
41.258862 70.907 31.5085
41.557841 70.850 33.6533
41.858986 70.853 35.8062
42.162313 70.915 37.9035
42.467839 71.035 39.8887
42.775578 71.207 41.7140
43.085548 71.429 43.3398
43.397763 71.694 44.7343
43.712242 72.000 45.8712
44.028998 72.342 46.7282
44.348051 72.715 47.2861
44.669415 73.116 47.5280
44.993108 73.538 47.4384
45.319147 73.978 47.0042
45.647548 74.429 46.2181
45.978329 74.885 45.0782
46.311507 75.339 43.5881
46.647099 75.787 41.7570
46.985123 76.222 39.5982
47.325597 76.638 37.1292
47.668537 77.031 34.3704
48.013963 77.395 31.3444
48.361892 77.727 28.0750
48.712342 78.023 24.5857
49.065332 78.281 20.8989
49.420880 78.498 17.0376
49.779004 78.673 13.0234
50.139723 78.804 8.8757
50.503056 78.892 4.6142
50.869022 78.936 0.2574
51.237640 78.938 -4.1761
51.608929 78.898 -8.6692
51.982909 78.818 -13.2052
52.359598 78.700 -17.7690
52.739018 78.546 -22.3469
53.121186 78.358 -26.9281
53.506124 78.138 -31.5039
53.893852 77.889 -36.0701
54.284389 77.613 -40.6264
54.677756 77.313 -45.1762
55.073973 76.988 -49.7291
55.473062 76.642 -54.2997
55.875043 76.274 -58.9076
56.279936 75.887 -63.5773
56.687764 75.479 -68.3376
57.098547 75.051 -73.2225
57.512306 74.603 -78.2694
57.929064 74.135 -83.5205
58.348842 73.644 -89.0218
58.771662 73.132 -94.8212
59.197546 72.600 -100.9699
59.626515 72.047 -107.5212
60.058594 71.479 -114.5281
60.493803 70.901 -122.0423
60.932166 70.322 -130.1077
61.373706 69.756 -138.7483
61.818445 69.220 -147.9569
62.266407 68.733 -157.6799
62.717615 68.315 -167.8101
63.172093 67.983 -178.1820
63.629864 67.745 171.4209
64.090952 67.603 161.2324
64.555381 67.544 151.4626
65.023176 67.551 142.2767
65.494361 67.606 133.7914
65.968960 67.688 126.0727
66.446998 67.783 119.1403
66.928501 67.879 112.9949
67.413492 67.968 107.6243
67.901998 68.048 103.0061
68.394044 68.119 99.1179
68.889655 68.186 95.9360
69.388858 68.254 93.4350
69.891679 68.332 91.5842
70.398142 68.432 90.3427
70.908276 68.567 89.6580
71.422107 68.750 89.4520
71.939661 68.993 89.6238
72.460965 69.307 90.0474
72.986047 69.696 90.5726
73.514934 70.160 91.0517
74.047654 70.693 91.3362
74.584234 71.282 91.3139
75.124702 71.913 90.8947
75.669086 72.569 90.0331
76.217416 73.235 88.7079
76.769719 73.899 86.9271
77.326024 74.547 84.7133
77.886360 75.171 82.1018
78.450757 75.763 79.1324
79.019243 76.316 75.8481
79.591849 76.826 72.2925
80.168605 77.290 68.5071
80.749539 77.705 64.5338
81.334684 78.070 60.4112
81.924068 78.382 56.1744
82.517724 78.643 51.8600
83.115681 78.851 47.4965
83.717972 79.006 43.1145
84.324627 79.109 38.7414
84.935678 79.160 34.4001
85.551157 79.160 30.1172
86.171096 79.109 25.9168
86.795527 79.005 21.8231
87.424483 78.851 17.8647
88.057997 78.645 14.0737
88.696102 78.387 10.4864
89.338830 78.077 7.1464
89.986216 77.716 4.1079
90.638293 77.306 1.4333
91.295096 76.850 -0.8032
91.956658 76.354 -2.5161
92.623013 75.828 -3.6097
93.294198 75.288 -3.9865
93.970246 74.755 -3.5611
94.651193 74.261 -2.2841
95.337075 73.844 -0.1777
96.027927 73.543 2.6293
96.723785 73.389 5.8878
97.424685 73.399 9.2585
98.130664 73.566 12.3887
98.841760 73.863 14.9952
99.558008 74.252 16.9106
100.279446 74.696 18.0810
101.006112 75.164 18.5351
101.738044 75.630 18.3472
102.475280 76.078 17.6108
103.217858 76.496 16.4205
103.965817 76.879 14.8648
104.719197 77.222 13.0219
105.478035 77.525 10.9595
106.242372 77.786 8.7361
107.012248 78.008 6.4016
107.787703 78.192 3.9987
108.568777 78.341 1.5634
109.355511 78.455 -0.8726
110.147947 78.540 -3.2833
110.946124 78.596 -5.6469
111.750085 78.629 -7.9456
112.559873 78.641 -10.1656
113.375528 78.635 -12.2975
114.197094 78.615 -14.3359
115.024613 78.585 -16.2792
115.858129 78.548 -18.1308
116.697684 78.506 -19.8977
117.543324 78.463 -21.5909
118.395091 78.419 -23.2236
119.253031 78.376 -24.8088
120.117188 78.334 -26.3596
120.987606 78.293 -27.8864
121.864332 78.250 -29.3964
122.747411 78.206 -30.8922
123.636890 78.159 -32.3727
124.532814 78.108 -33.8328
125.435230 78.053 -35.2654
126.344185 77.995 -36.6625
127.259727 77.934 -38.0172
128.181904 77.872 -39.3244
129.110763 77.810 -40.5835
130.046352 77.751 -41.7982
130.988722 77.698 -42.9769
131.937920 77.651 -44.1325
132.893997 77.611 -45.2803
133.857001 77.579 -46.4379
134.826984 77.555 -47.6229
135.803996 77.537 -48.8512
136.788088 77.524 -50.1357
137.779311 77.513 -51.4850
138.777717 77.503 -52.9030
139.783357 77.491 -54.3894
140.796285 77.474 -55.9399
141.816553 77.452 -57.5470
142.844214 77.423 -59.2016
143.879322 77.386 -60.8944
144.921931 77.342 -62.6174
145.972095 77.290 -64.3643
147.029869 77.229 -66.1313
148.095308 77.161 -67.9171
149.168468 77.085 -69.7228
150.249404 77.002 -71.5515
151.338173 76.910 -73.4075
152.434832 76.809 -75.2945
153.539437 76.697 -77.2159
154.652047 76.573 -79.1739
155.772720 76.434 -81.1683
156.901513 76.279 -83.1964
158.038486 76.104 -85.2516
159.183698 75.907 -87.3242
160.337209 75.686 -89.4016
161.499079 75.437 -91.4662
162.669367 75.159 -93.4970
163.848137 74.849 -95.4681
165.035448 74.505 -97.3490
166.231363 74.125 -99.1044
167.435944 73.709 -100.6928
168.649254 73.255 -102.0663
169.871356 72.763 -103.1692
171.102314 72.234 -103.9359
172.342191 71.672 -104.2875
173.591054 71.080 -104.1289
174.848966 70.469 -103.3487
176.115994 69.853 -101.8193
177.392203 69.260 -99.4111
178.677660 68.727 -96.0277
179.972432 68.308 -91.6675
181.276587 68.061 -86.5004
182.590191 68.035 -80.9133
183.913315 68.248 -75.4506
185.246027 68.675 -70.6536
186.588396 69.262 -66.8994
187.940492 69.946 -64.3423
189.302387 70.673 -62.9608
190.674150 71.399 -62.6365
192.055853 72.098 -63.2170
193.447569 72.755 -64.5522
194.849370 73.358 -66.5100
196.261329 73.904 -68.9793
197.683519 74.391 -71.8679
199.116016 74.819 -75.0992
200.558892 75.187 -78.6089
202.012225 75.498 -82.3433
203.476089 75.752 -86.2556
204.950560 75.950 -90.3050
206.435716 76.096 -94.4554
207.931635 76.190 -98.6755
209.438393 76.234 -102.9378
210.956070 76.232 -107.2183
212.484745 76.184 -111.4969
214.024497 76.093 -115.7570
215.575406 75.960 -119.9854
217.137555 75.788 -124.1718
218.711023 75.578 -128.3087
220.295893 75.331 -132.3914
221.892248 75.049 -136.4172
223.500171 74.731 -140.3859
225.119745 74.379 -144.2983
226.751056 73.991 -148.1560
228.394187 73.567 -151.9614
230.049226 73.104 -155.7181
231.716257 72.602 -159.4297
233.395369 72.056 -163.1006
235.086648 71.462 -166.7358
236.790182 70.814 -170.3411
238.506062 70.105 -173.9197
240.234375 69.323 -177.4746
241.975212 68.456 178.9944
243.728664 67.482 175.4924
245.494823 66.377 172.0330
247.273780 65.102 168.6434
249.065627 63.599 165.3784
