* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.4 dBFS, measurement signal peak level -11.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:07:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP 4.18m from front wall 3.32m from RLand L speaker  2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0265 ms (-9.1 mm, -0.36 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Measurement: L+R 120.green
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 74.699 -154.8180
15.123451 74.880 -156.0786
15.233042 75.099 -157.3301
15.343426 75.321 -158.6023
15.454611 75.541 -159.9091
15.566602 75.759 -161.2337
15.679404 75.973 -162.5953
15.793023 76.180 -164.0130
15.907466 76.383 -165.4785
16.022738 76.580 -166.9937
16.138845 76.771 -168.5640
16.255794 76.957 -170.1943
16.373590 77.139 -171.8777
16.492240 77.315 -173.6025
16.611750 77.488 -175.3764
16.732125 77.658 -177.1950
16.853373 77.824 -179.0365
16.975500 77.988 179.0932
17.098511 78.149 177.1948
17.222414 78.308 175.2910
17.347215 78.465 173.3758
17.472920 78.620 171.4490
17.599536 78.771 169.5297
17.727069 78.920 167.6072
17.855527 79.066 165.6854
17.984915 79.207 163.7796
18.115241 79.345 161.8749
18.246512 79.478 159.9804
18.378734 79.606 158.1074
18.511914 79.728 156.2389
18.646058 79.843 154.3897
18.781175 79.953 152.5631
18.917272 80.056 150.7462
19.054354 80.152 148.9575
19.192430 80.241 147.1887
19.331506 80.323 145.4381
19.471590 80.399 143.7187
19.612689 80.469 142.0172
19.754811 80.534 140.3401
19.897962 80.595 138.6895
20.042151 80.652 137.0579
20.187385 80.708 135.4488
20.333671 80.762 133.8597
20.481017 80.815 132.2853
20.629431 80.871 130.7234
20.778920 80.927 129.1721
20.929493 80.986 127.6206
21.081157 81.049 126.0706
21.233919 81.113 124.5134
21.387789 81.181 122.9422
21.542774 81.252 121.3579
21.698882 81.324 119.7491
21.856121 81.399 118.1175
22.014499 81.474 116.4595
22.174025 81.550 114.7701
22.334708 81.624 113.0544
22.496554 81.697 111.3056
22.659573 81.768 109.5291
22.823774 81.835 107.7271
22.989164 81.898 105.8961
23.155753 81.957 104.0471
23.323549 82.010 102.1710
23.492562 82.057 100.2825
23.662798 82.098 98.3713
23.834269 82.131 96.4515
24.006982 82.158 94.5148
24.180946 82.176 92.5714
24.356171 82.187 90.6166
24.532666 82.188 88.6567
24.710440 82.182 86.6904
24.889502 82.167 84.7209
25.069862 82.143 82.7500
25.251528 82.111 80.7786
25.434511 82.069 78.8102
25.618820 82.020 76.8452
25.804465 81.961 74.8877
25.991454 81.894 72.9389
26.179799 81.819 71.0020
26.369509 81.734 69.0804
26.560593 81.641 67.1747
26.753062 81.538 65.2923
26.946926 81.426 63.4325
27.142194 81.304 61.6068
27.338878 81.170 59.8141
27.536987 81.025 58.0706
27.736531 80.868 56.3764
27.937521 80.698 54.7526
28.139968 80.516 53.2030
28.343882 80.322 51.7517
28.549273 80.116 50.4084
28.756153 79.900 49.1945
28.964532 79.677 48.1245
29.174421 79.448 47.2186
29.385831 79.219 46.4846
29.598773 78.993 45.9407
29.813258 78.777 45.5791
30.029297 78.576 45.4040
30.246902 78.394 45.3992
30.466083 78.239 45.5334
30.686853 78.114 45.7910
30.909222 78.023 46.1075
31.133203 77.968 46.4563
31.358807 77.948 46.7803
31.586046 77.961 47.0309
31.814932 78.003 47.1801
32.045476 78.071 47.1790
32.277691 78.159 47.0131
32.511588 78.261 46.6643
32.747180 78.372 46.1216
32.984480 78.486 45.3884
33.223499 78.600 44.4634
33.464250 78.707 43.3607
33.706746 78.804 42.0901
33.950999 78.888 40.6627
34.197022 78.955 39.1028
34.444828 79.003 37.4218
34.694429 79.030 35.6357
34.945839 79.034 33.7709
35.199071 79.012 31.8447
35.454138 78.963 29.8840
35.711054 78.888 27.9221
35.969831 78.785 25.9725
36.230483 78.655 24.0529
36.493024 78.498 22.1952
36.757467 78.314 20.4227
37.023827 78.105 18.7573
37.292117 77.870 17.2257
37.562351 77.614 15.8568
37.834543 77.337 14.6732
38.108708 77.044 13.7001
38.384859 76.738 12.9598
38.663012 76.424 12.4692
38.943180 76.108 12.2428
39.225378 75.795 12.2903
39.509622 75.493 12.6113
39.795925 75.210 13.1887
40.084302 74.953 14.0001
40.374770 74.729 15.0097
40.667342 74.544 16.1680
40.962034 74.403 17.4109
41.258862 74.307 18.6680
41.557841 74.256 19.8723
41.858986 74.246 20.9610
42.162313 74.272 21.8809
42.467839 74.327 22.5913
42.775578 74.405 23.0677
43.085548 74.496 23.3016
43.397763 74.594 23.2988
43.712242 74.692 23.0756
44.028998 74.785 22.6560
44.348051 74.868 22.0704
44.669415 74.939 21.3526
44.993108 74.996 20.5399
45.319147 75.038 19.6667
45.647548 75.067 18.7648
45.978329 75.082 17.8616
46.311507 75.087 16.9786
46.647099 75.085 16.1301
46.985123 75.080 15.3208
47.325597 75.075 14.5454
47.668537 75.074 13.7892
48.013963 75.078 13.0279
48.361892 75.090 12.2308
48.712342 75.109 11.3624
49.065332 75.136 10.3859
49.420880 75.167 9.2678
49.779004 75.198 7.9802
50.139723 75.225 6.5011
50.503056 75.243 4.8170
50.869022 75.247 2.9216
51.237640 75.231 0.8146
51.608929 75.191 -1.5000
51.982909 75.122 -4.0160
52.359598 75.018 -6.7270
52.739018 74.876 -9.6279
53.121186 74.692 -12.7173
53.506124 74.459 -15.9977
53.893852 74.175 -19.4788
54.284389 73.835 -23.1780
54.677756 73.432 -27.1228
55.073973 72.961 -31.3555
55.473062 72.413 -35.9374
55.875043 71.780 -40.9576
56.279936 71.051 -46.5456
56.687764 70.214 -52.8932
57.098547 69.258 -60.2919
57.512306 68.182 -69.1876
57.929064 67.010 -80.2585
58.348842 65.833 -94.4324
58.771662 64.876 -112.5577
59.197546 64.503 -134.2124
59.626515 64.963 -156.5452
60.058594 66.097 -176.1667
60.493803 67.534 168.0676
60.932166 68.999 155.5394
61.373706 70.369 145.2974
61.818445 71.604 136.6005
62.266407 72.697 128.9586
62.717615 73.658 122.0567
63.172093 74.496 115.6972
63.629864 75.222 109.7612
64.090952 75.846 104.1768
64.555381 76.377 98.8975
65.023176 76.820 93.8973
65.494361 77.184 89.1727
65.968960 77.475 84.7291
66.446998 77.697 80.5715
66.928501 77.859 76.7183
67.413492 77.965 73.1938
67.901998 78.022 70.0185
68.394044 78.038 67.2188
68.889655 78.023 64.8214
69.388858 77.986 62.8464
69.891679 77.939 61.3076
70.398142 77.896 60.2055
70.908276 77.869 59.5234
71.422107 77.875 59.2167
71.939661 77.926 59.2150
72.460965 78.032 59.4218
72.986047 78.199 59.7153
73.514934 78.427 59.9744
74.047654 78.712 60.0773
74.584234 79.042 59.9316
75.124702 79.405 59.4678
75.669086 79.787 58.6516
76.217416 80.174 57.4745
76.769719 80.555 55.9504
77.326024 80.919 54.1098
77.886360 81.259 51.9901
78.450757 81.570 49.6363
79.019243 81.846 47.0912
79.591849 82.086 44.4005
80.168605 82.288 41.6033
80.749539 82.451 38.7398
81.334684 82.576 35.8442
81.924068 82.664 32.9471
82.517724 82.716 30.0780
83.115681 82.734 27.2601
83.717972 82.719 24.5163
84.324627 82.673 21.8665
84.935678 82.599 19.3279
85.551157 82.498 16.9181
86.171096 82.373 14.6535
86.795527 82.225 12.5507
87.424483 82.057 10.6268
88.057997 81.871 8.8994
88.696102 81.670 7.3864
89.338830 81.459 6.1059
89.986216 81.241 5.0743
90.638293 81.021 4.3051
91.295096 80.806 3.8068
91.956658 80.601 3.5814
92.623013 80.414 3.6226
93.294198 80.252 3.9136
93.970246 80.121 4.4268
94.651193 80.028 5.1243
95.337075 79.979 5.9584
96.027927 79.976 6.8747
96.723785 80.021 7.8146
97.424685 80.113 8.7184
98.130664 80.251 9.5289
98.841760 80.431 10.1955
99.558008 80.647 10.6761
100.279446 80.892 10.9385
101.006112 81.160 10.9609
101.738044 81.445 10.7310
102.475280 81.739 10.2456
103.217858 82.037 9.5090
103.965817 82.335 8.5304
104.719197 82.627 7.3223
105.478035 82.910 5.8989
106.242372 83.180 4.2751
107.012248 83.435 2.4666
107.787703 83.673 0.4879
108.568777 83.891 -1.6464
109.355511 84.088 -3.9203
110.147947 84.262 -6.3181
110.946124 84.412 -8.8229
111.750085 84.535 -11.4160
112.559873 84.631 -14.0778
113.375528 84.699 -16.7872
114.197094 84.739 -19.5225
115.024613 84.751 -22.2610
115.858129 84.735 -24.9805
116.697684 84.693 -27.6601
117.543324 84.626 -30.2802
118.395091 84.535 -32.8236
119.253031 84.424 -35.2750
120.117188 84.294 -37.6223
120.987606 84.147 -39.8556
121.864332 83.987 -41.9688
122.747411 83.816 -43.9575
123.636890 83.636 -45.8192
124.532814 83.450 -47.5526
125.435230 83.259 -49.1575
126.344185 83.066 -50.6345
127.259727 82.873 -51.9847
128.181904 82.682 -53.2102
129.110763 82.497 -54.3148
130.046352 82.318 -55.3052
130.988722 82.150 -56.1918
131.937920 81.994 -56.9887
132.893997 81.853 -57.7145
133.857001 81.728 -58.3920
134.826984 81.621 -59.0470
135.803996 81.529 -59.7057
136.788088 81.454 -60.3936
137.779311 81.392 -61.1324
138.777717 81.342 -61.9390
139.783357 81.300 -62.8245
140.796285 81.263 -63.7943
141.816553 81.229 -64.8483
142.844214 81.196 -65.9833
143.879322 81.161 -67.1942
144.921931 81.125 -68.4761
145.972095 81.086 -69.8255
147.029869 81.043 -71.2411
148.095308 80.996 -72.7241
149.168468 80.945 -74.2780
150.249404 80.888 -75.9084
151.338173 80.824 -77.6213
152.434832 80.752 -79.4221
153.539437 80.668 -81.3143
154.652047 80.570 -83.3000
155.772720 80.456 -85.3777
156.901513 80.322 -87.5430
158.038486 80.164 -89.7879
159.183698 79.981 -92.1018
160.337209 79.768 -94.4724
161.499079 79.522 -96.8848
162.669367 79.241 -99.3229
163.848137 78.921 -101.7686
165.035448 78.557 -104.2019
166.231363 78.146 -106.6008
167.435944 77.683 -108.9385
168.649254 77.162 -111.1817
169.871356 76.573 -113.2875
171.102314 75.909 -115.1970
172.342191 75.157 -116.8250
173.591054 74.303 -118.0455
174.848966 73.330 -118.6662
176.115994 72.221 -118.3816
177.392203 70.966 -116.6956
178.677660 69.579 -112.8060
179.972432 68.158 -105.5125
181.276587 66.979 -93.5786
182.590191 66.530 -77.5424
183.913315 67.106 -61.5137
185.246027 68.415 -49.6940
186.588396 69.966 -42.7247
187.940492 71.473 -39.3788
189.302387 72.838 -38.4296
190.674150 74.041 -39.0468
192.055853 75.091 -40.7095
193.447569 76.004 -43.0892
194.849370 76.796 -45.9731
196.261329 77.480 -49.2178
197.683519 78.070 -52.7228
199.116016 78.575 -56.4149
200.558892 79.003 -60.2390
202.012225 79.362 -64.1530
203.476089 79.656 -68.1232
204.950560 79.892 -72.1219
206.435716 80.074 -76.1263
207.931635 80.205 -80.1177
209.438393 80.289 -84.0804
210.956070 80.331 -88.0012
212.484745 80.330 -91.8696
214.024497 80.292 -95.6768
215.575406 80.218 -99.4153
217.137555 80.108 -103.0783
218.711023 79.964 -106.6586
220.295893 79.788 -110.1484
221.892248 79.579 -113.5386
223.500171 79.339 -116.8182
225.119745 79.068 -119.9734
226.751056 78.766 -122.9871
228.394187 78.434 -125.8391
230.049226 78.074 -128.5073
231.716257 77.686 -130.9668
233.395369 77.273 -133.1917
235.086648 76.839 -135.1562
236.790182 76.388 -136.8364
238.506062 75.924 -138.2095
240.234375 75.453 -139.2581
241.975212 74.983 -139.9696
243.728664 74.520 -140.3389
245.494823 74.071 -140.3684
247.273780 73.646 -140.0697
249.065627 73.251 -139.4634
250.870459 72.893 -138.5793
252.688370 72.581 -137.4556
