* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.5 dBFS, measurement signal peak level -14.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:05:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP 4.18m from front wall 3.32m from R and L speaker  1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Measurement: L.0
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 69.349 -150.1352
15.123451 69.426 -151.2074
15.233042 69.527 -152.3714
15.343426 69.640 -153.6466
15.454611 69.766 -155.0397
15.566602 69.905 -156.5310
15.679404 70.055 -158.1151
15.793023 70.214 -159.7883
15.907466 70.384 -161.5460
16.022738 70.562 -163.3665
16.138845 70.746 -165.2293
16.255794 70.936 -167.1402
16.373590 71.131 -169.0818
16.492240 71.326 -171.0259
16.611750 71.522 -172.9787
16.732125 71.718 -174.9361
16.853373 71.911 -176.8752
16.975500 72.102 -178.8008
17.098511 72.289 179.2824
17.222414 72.470 177.3859
17.347215 72.648 175.5046
17.472920 72.820 173.6313
17.599536 72.987 171.7689
17.727069 73.148 169.9084
17.855527 73.303 168.0473
17.984915 73.453 166.1859
18.115241 73.597 164.3130
18.246512 73.736 162.4326
18.378734 73.869 160.5479
18.511914 73.995 158.6444
18.646058 74.116 156.7371
18.781175 74.230 154.8267
18.917272 74.337 152.9016
19.054354 74.437 150.9875
19.192430 74.531 149.0725
19.331506 74.616 147.1599
19.471590 74.694 145.2726
19.612689 74.764 143.3900
19.754811 74.827 141.5308
19.897962 74.883 139.7009
20.042151 74.933 137.8893
20.187385 74.978 136.1140
20.333671 75.017 134.3664
20.481017 75.053 132.6481
20.629431 75.087 130.9630
20.778920 75.119 129.3044
20.929493 75.151 127.6690
21.081157 75.183 126.0564
21.233919 75.215 124.4564
21.387789 75.250 122.8636
21.542774 75.285 121.2750
21.698882 75.321 119.6744
21.856121 75.359 118.0638
22.014499 75.398 116.4302
22.174025 75.436 114.7686
22.334708 75.474 113.0777
22.496554 75.510 111.3460
22.659573 75.543 109.5786
22.823774 75.573 107.7722
22.989164 75.598 105.9243
23.155753 75.618 104.0450
23.323549 75.631 102.1238
23.492562 75.637 100.1806
23.662798 75.635 98.2021
23.834269 75.623 96.2102
24.006982 75.601 94.1948
24.180946 75.568 92.1746
24.356171 75.522 90.1455
24.532666 75.464 88.1212
24.710440 75.391 86.1059
24.889502 75.304 84.1085
25.069862 75.201 82.1414
25.251528 75.082 80.2111
25.434511 74.947 78.3364
25.618820 74.794 76.5246
25.804465 74.623 74.7988
25.991454 74.434 73.1693
26.179799 74.227 71.6611
26.369509 74.002 70.2895
26.560593 73.759 69.0794
26.753062 73.500 68.0510
26.946926 73.227 67.2317
27.142194 72.943 66.6420
27.338878 72.651 66.3139
27.536987 72.360 66.2599
27.736531 72.074 66.5143
27.937521 71.805 67.0692
28.139968 71.562 67.9472
28.343882 71.360 69.1056
28.549273 71.208 70.5266
28.756153 71.119 72.1299
28.964532 71.100 73.8328
29.174421 71.155 75.5504
29.385831 71.281 77.1524
29.598773 71.473 78.5802
29.813258 71.720 79.7261
30.029297 72.009 80.5682
30.246902 72.328 81.0670
30.466083 72.664 81.2241
30.686853 73.008 81.0526
30.909222 73.349 80.5698
31.133203 73.682 79.8076
31.358807 74.001 78.7875
31.586046 74.302 77.5456
31.814932 74.584 76.0995
32.045476 74.844 74.4783
32.277691 75.083 72.7021
32.511588 75.300 70.7822
32.747180 75.495 68.7444
32.984480 75.669 66.5964
33.223499 75.821 64.3474
33.464250 75.951 62.0184
33.706746 76.060 59.6119
33.950999 76.146 57.1377
34.197022 76.209 54.6148
34.444828 76.248 52.0456
34.694429 76.262 49.4391
34.945839 76.250 46.8148
35.199071 76.210 44.1809
35.454138 76.141 41.5575
35.711054 76.042 38.9716
35.969831 75.914 36.4302
36.230483 75.755 33.9456
36.493024 75.566 31.5461
36.757467 75.346 29.2520
37.023827 75.096 27.0832
37.292117 74.815 25.0664
37.562351 74.506 23.2328
37.834543 74.171 21.6085
38.108708 73.813 20.2252
38.384859 73.434 19.1151
38.663012 73.040 18.3074
38.943180 72.637 17.8329
39.225378 72.230 17.7214
39.509622 71.828 17.9957
39.795925 71.441 18.6630
40.084302 71.080 19.7256
40.374770 70.755 21.1695
40.667342 70.478 22.9600
40.962034 70.259 25.0366
41.258862 70.107 27.3199
41.557841 70.027 29.7213
41.858986 70.019 32.1449
42.162313 70.082 34.4984
42.467839 70.211 36.7008
42.775578 70.398 38.6884
43.085548 70.636 40.4168
43.397763 70.916 41.8592
43.712242 71.232 43.0013
44.028998 71.576 43.8374
44.348051 71.944 44.3668
44.669415 72.332 44.5903
44.993108 72.734 44.5081
45.319147 73.147 44.1178
45.647548 73.567 43.4175
45.978329 73.988 42.4056
46.311507 74.406 41.0819
46.647099 74.818 39.4483
46.985123 75.218 37.5092
47.325597 75.603 35.2720
47.668537 75.968 32.7480
48.013963 76.309 29.9516
48.361892 76.624 26.9006
48.712342 76.910 23.6145
49.065332 77.164 20.1148
49.420880 77.386 16.4254
49.779004 77.572 12.5708
50.139723 77.722 8.5748
50.503056 77.835 4.4624
50.869022 77.911 0.2574
51.237640 77.949 -4.0170
51.608929 77.950 -8.3394
51.982909 77.913 -12.6908
52.359598 77.839 -17.0548
52.739018 77.730 -21.4183
53.121186 77.586 -25.7725
53.506124 77.408 -30.1115
53.893852 77.198 -34.4354
54.284389 76.957 -38.7483
54.677756 76.688 -43.0586
55.073973 76.390 -47.3806
55.473062 76.065 -51.7333
55.875043 75.715 -56.1403
56.279936 75.340 -60.6290
56.687764 74.941 -65.2310
57.098547 74.516 -69.9819
57.512306 74.067 -74.9211
57.929064 73.591 -80.0924
58.348842 73.088 -85.5444
58.771662 72.558 -91.3290
59.197546 71.999 -97.5029
59.626515 71.413 -104.1290
60.058594 70.801 -111.2738
60.493803 70.168 -119.0096
60.932166 69.523 -127.4093
61.373706 68.881 -136.5339
61.818445 68.260 -146.4189
62.266407 67.688 -157.0501
62.717615 67.193 -168.3439
63.172093 66.803 179.8776
63.629864 66.537 167.8895
64.090952 66.399 156.0192
64.555381 66.374 144.5737
65.023176 66.433 133.7911
65.494361 66.545 123.8288
65.968960 66.676 114.7593
66.446998 66.798 106.5830
66.928501 66.889 99.2833
67.413492 66.936 92.8376
67.901998 66.927 87.2209
68.394044 66.859 82.4315
68.889655 66.731 78.4935
69.388858 66.546 75.4517
69.891679 66.315 73.3820
70.398142 66.056 72.3831
70.908276 65.798 72.5605
71.422107 65.586 73.9839
71.939661 65.478 76.6249
72.460965 65.537 80.2729
72.986047 65.813 84.4860
73.514934 66.322 88.6862
74.047654 67.036 92.2983
74.584234 67.901 94.9523
75.124702 68.852 96.4880
75.669086 69.836 96.9347
76.217416 70.813 96.4022
76.769719 71.758 95.0391
77.326024 72.655 92.9849
77.886360 73.496 90.3661
78.450757 74.275 87.2878
79.019243 74.991 83.8374
79.591849 75.644 80.0886
80.168605 76.232 76.1013
80.749539 76.758 71.9292
81.334684 77.223 67.6177
81.924068 77.627 63.2051
82.517724 77.973 58.7292
83.115681 78.262 54.2184
83.717972 78.495 49.7021
84.324627 78.676 45.2060
84.935678 78.804 40.7500
85.551157 78.883 36.3574
86.171096 78.913 32.0477
86.795527 78.895 27.8394
87.424483 78.831 23.7537
88.057997 78.722 19.8131
88.696102 78.568 16.0412
89.338830 78.371 12.4653
89.986216 78.132 9.1177
90.638293 77.853 6.0334
91.295096 77.537 3.2514
91.956658 77.188 0.8142
92.623013 76.811 -1.2328
93.294198 76.415 -2.8451
93.970246 76.008 -3.9825
94.651193 75.604 -4.6156
95.337075 75.219 -4.7328
96.027927 74.869 -4.3509
96.723785 74.571 -3.5219
97.424685 74.343 -2.3386
98.130664 74.195 -0.9285
98.841760 74.131 0.5613
99.558008 74.149 1.9847
100.279446 74.239 3.2174
101.006112 74.387 4.1704
101.738044 74.577 4.7941
102.475280 74.794 5.0747
103.217858 75.025 5.0250
103.965817 75.260 4.6747
104.719197 75.490 4.0612
105.478035 75.711 3.2235
106.242372 75.919 2.1987
107.012248 76.112 1.0196
107.787703 76.290 -0.2869
108.568777 76.452 -1.6986
109.355511 76.598 -3.1965
110.147947 76.728 -4.7653
110.946124 76.842 -6.3909
111.750085 76.940 -8.0596
112.559873 77.023 -9.7580
113.375528 77.090 -11.4727
114.197094 77.142 -13.1906
115.024613 77.182 -14.8994
115.858129 77.208 -16.5886
116.697684 77.224 -18.2503
117.543324 77.230 -19.8800
118.395091 77.228 -21.4758
119.253031 77.220 -23.0381
120.117188 77.206 -24.5689
120.987606 77.186 -26.0707
121.864332 77.161 -27.5455
122.747411 77.131 -28.9932
123.636890 77.096 -30.4113
124.532814 77.055 -31.7949
125.435230 77.009 -33.1369
126.344185 76.960 -34.4300
127.259727 76.908 -35.6671
128.181904 76.854 -36.8435
129.110763 76.803 -37.9581
130.046352 76.754 -39.0148
130.988722 76.712 -40.0232
131.937920 76.679 -40.9973
132.893997 76.654 -41.9552
133.857001 76.640 -42.9174
134.826984 76.634 -43.9048
135.803996 76.637 -44.9364
136.788088 76.646 -46.0272
137.779311 76.658 -47.1868
138.777717 76.672 -48.4191
139.783357 76.683 -49.7225
140.796285 76.692 -51.0905
141.816553 76.695 -52.5131
142.844214 76.692 -53.9790
143.879322 76.683 -55.4773
144.921931 76.668 -56.9999
145.972095 76.649 -58.5417
147.029869 76.626 -60.1025
148.095308 76.599 -61.6859
149.168468 76.570 -63.2993
150.249404 76.539 -64.9534
151.338173 76.504 -66.6597
152.434832 76.465 -68.4286
153.539437 76.419 -70.2688
154.652047 76.364 -72.1860
155.772720 76.297 -74.1818
156.901513 76.215 -76.2532
158.038486 76.115 -78.3923
159.183698 75.994 -80.5870
160.337209 75.848 -82.8218
161.499079 75.675 -85.0773
162.669367 75.474 -87.3309
163.848137 75.242 -89.5573
165.035448 74.976 -91.7280
166.231363 74.677 -93.8131
167.435944 74.343 -95.7791
168.649254 73.974 -97.5896
169.871356 73.568 -99.2046
171.102314 73.127 -100.5790
172.342191 72.650 -101.6596
173.591054 72.140 -102.3824
174.848966 71.599 -102.6705
176.115994 71.034 -102.4283
177.392203 70.455 -101.5412
178.677660 69.880 -99.8836
179.972432 69.342 -97.3397
181.276587 68.881 -93.8492
182.590191 68.555 -89.4766
183.913315 68.416 -84.4790
185.246027 68.501 -79.3092
186.588396 68.806 -74.5112
187.940492 69.295 -70.5483
189.302387 69.909 -67.6867
190.674150 70.588 -65.9904
192.055853 71.285 -65.3848
193.447569 71.966 -65.7301
194.849370 72.608 -66.8718
196.261329 73.199 -68.6660
197.683519 73.734 -70.9869
199.116016 74.209 -73.7297
200.558892 74.623 -76.8067
202.012225 74.978 -80.1462
203.476089 75.276 -83.6885
204.950560 75.517 -87.3828
206.435716 75.705 -91.1860
207.931635 75.842 -95.0618
209.438393 75.930 -98.9790
210.956070 75.974 -102.9109
212.484745 75.974 -106.8352
214.024497 75.934 -110.7336
215.575406 75.857 -114.5912
217.137555 75.745 -118.3962
218.711023 75.599 -122.1396
220.295893 75.423 -125.8149
221.892248 75.218 -129.4187
223.500171 74.987 -132.9492
225.119745 74.730 -136.4067
226.751056 74.448 -139.7922
228.394187 74.143 -143.1085
230.049226 73.815 -146.3595
231.716257 73.463 -149.5493
233.395369 73.088 -152.6830
235.086648 72.687 -155.7662
236.790182 72.259 -158.8037
238.506062 71.801 -161.7974
240.234375 71.308 -164.7468
241.975212 70.776 -167.6458
243.728664 70.198 -170.4810
245.494823 69.567 -173.2295
247.273780 68.874 -175.8550
249.065627 68.108 -178.3027
