* Measurement data measured by REW V5.40 beta 135
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 11, 2026, 2:10:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L B = FLX-trimmed 
* Measurement: L.Filtered
* Smoothing: None
* Frequency Step: 0.18310545 Hz
* Start Frequency: 15.563965 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.563965 67.662 -109.2727
15.747070 68.296 -133.5154
15.930176 68.260 -139.4450
16.113281 69.582 -146.0380
16.296387 70.296 -154.1154
16.479492 71.231 -159.7937
16.662598 71.968 -167.4754
16.845703 72.336 -172.8170
17.028808 72.688 -176.9836
17.211914 72.841 -179.7257
17.395019 73.050 178.9956
17.578125 73.251 178.0295
17.761230 73.485 177.5455
17.944336 73.780 176.9913
18.127441 74.173 176.0251
18.310547 74.609 174.0254
18.493652 75.018 171.0970
18.676758 75.323 167.4740
18.859863 75.507 164.0006
19.042968 75.633 161.0354
19.226074 75.754 158.6505
19.409179 75.915 156.4551
19.592285 76.077 154.0284
19.775390 76.192 151.2177
19.958496 76.215 148.0987
20.141601 76.144 144.8171
20.324707 75.968 141.4352
20.507812 75.688 138.2068
20.690918 75.314 135.4689
20.874023 74.906 133.8361
21.057128 74.602 133.4964
21.240234 74.530 133.9615
21.423339 74.704 134.0967
21.606445 74.985 133.2747
21.789550 75.238 131.6773
21.972656 75.407 129.9769
22.155761 75.550 128.5374
22.338867 75.726 127.1272
22.521972 75.944 125.2034
22.705078 76.137 122.4565
22.888183 76.252 119.1223
23.071288 76.283 115.6402
23.254394 76.280 112.3618
23.437499 76.287 109.3061
23.620605 76.304 106.4394
23.803710 76.305 103.8571
23.986816 76.283 101.9102
24.169921 76.296 100.7397
24.353027 76.409 99.9004
24.536132 76.612 98.5035
24.719238 76.786 95.9575
24.902343 76.804 92.4473
25.085448 76.614 88.6918
25.268554 76.280 85.4796
25.451659 75.940 83.0632
25.634765 75.713 81.0202
25.817870 75.599 78.5969
26.000976 75.496 75.5887
26.184081 75.318 72.4202
26.367187 75.049 69.7530
26.550292 74.743 67.8040
26.733398 74.417 66.2621
26.916503 74.006 64.8013
27.099608 73.411 63.7630
27.282714 72.642 64.1256
27.465819 71.896 66.5252
27.648925 71.451 69.8399
27.832030 71.300 71.4447
28.015136 71.109 69.9611
28.198241 70.534 66.1895
28.381347 69.420 62.2037
28.564452 67.817 60.5112
28.747558 66.044 63.6153
28.930663 64.699 72.0442
29.113768 64.196 83.1397
29.296874 64.458 94.3033
29.479979 65.381 104.8082
29.663085 66.914 112.9709
29.846190 68.719 117.2458
30.029296 70.410 118.0211
30.212401 71.796 116.7314
30.395507 72.866 114.5415
30.578612 73.673 112.0687
30.761718 74.281 109.5358
30.944823 74.732 106.9981
31.127928 75.066 104.5425
31.311034 75.326 102.2345
31.494139 75.553 100.0811
31.677245 75.766 97.9721
31.860350 75.961 95.8672
32.043456 76.125 93.8120
32.226561 76.257 91.9288
32.409667 76.375 90.2130
32.592772 76.486 88.5348
32.775878 76.581 86.7523
32.958983 76.642 84.9240
33.142088 76.685 83.2635
33.325194 76.756 81.8863
33.508299 76.908 80.5855
33.691405 77.135 78.9485
33.874510 77.372 76.7923
34.057616 77.548 74.3567
34.240721 77.657 72.1197
34.423827 77.756 70.3204
34.606932 77.918 68.6827
34.790037 78.149 66.5856
34.973143 78.378 63.6599
35.156248 78.524 60.1065
35.339354 78.562 56.4895
35.522459 78.543 53.2503
35.705565 78.540 50.3657
35.888670 78.579 47.3671
36.071776 78.604 43.8104
36.254881 78.529 39.6942
36.437987 78.308 35.4053
36.621092 77.962 31.4079
36.804197 77.566 27.8608
36.987303 77.177 24.5486
37.170408 76.790 21.1359
37.353514 76.344 17.6274
37.536619 75.785 14.4520
37.719725 75.117 12.1837
37.902830 74.402 11.0771
38.085936 73.689 10.8610
38.269041 72.968 11.0837
38.452147 72.190 11.6842
38.635252 71.379 13.0609
38.818357 70.669 15.3420
39.001463 70.201 17.7426
39.184568 69.942 19.1111
39.367674 69.718 19.3353
39.550779 69.403 19.4812
39.733885 69.035 20.8140
39.916990 68.762 23.5807
40.100096 68.647 26.8044
40.283201 68.572 29.5147
40.466307 68.383 31.8562
40.649412 68.086 34.5559
40.832517 67.828 37.6989
41.015623 67.717 40.3613
41.198728 67.669 41.8172
41.381834 67.564 42.7646
41.564939 67.426 44.7970
41.748045 67.486 48.7743
41.931150 67.921 53.4659
42.114256 68.571 57.0068
42.297361 69.096 59.2022
42.480467 69.319 61.4291
42.663572 69.339 65.0045
42.846677 69.428 69.8006
43.029783 69.745 73.9059
43.212888 70.167 75.5666
43.395994 70.497 74.6852
43.579099 70.676 72.3269
43.762205 70.791 69.6286
43.945310 70.972 67.2200
44.128416 71.285 65.1049
44.311521 71.679 63.0327
44.494627 72.041 60.9132
44.677732 72.265 58.8627
44.860837 72.295 57.0805
45.043943 72.117 55.7262
45.227048 71.750 54.9950
45.410154 71.244 55.1276
45.593259 70.684 56.4543
45.776365 70.175 59.2934
45.959470 69.847 63.9671
46.142576 69.868 70.5076
46.325681 70.414 78.0034
46.508787 71.491 84.3656
46.691892 72.832 87.9174
46.874997 74.106 88.5889
47.058103 75.120 87.3865
47.241208 75.855 85.4267
47.424314 76.402 83.4051
47.607419 76.894 81.3640
47.790525 77.402 78.8689
47.973630 77.904 75.5966
48.156736 78.327 71.7776
48.339841 78.634 68.1228
48.522947 78.862 65.3351
48.706052 79.108 63.6025
48.889157 79.446 62.3726
49.072263 79.856 60.8280
49.255368 80.247 58.5821
49.438474 80.556 55.8758
49.621579 80.810 53.1623
49.804685 81.100 50.5970
49.987790 81.504 47.8175
50.170896 82.011 44.2697
50.354001 82.531 39.7289
50.537107 82.966 34.4474
50.720212 83.263 28.9072
50.903317 83.423 23.5067
51.086423 83.476 18.3887
51.269528 83.456 13.4465
51.452634 83.374 8.4891
51.635739 83.226 3.4304
51.818845 83.005 -1.6409
52.001950 82.725 -6.5288
52.185056 82.404 -11.0604
52.368161 82.065 -15.1464
52.551267 81.715 -18.7741
52.734372 81.354 -21.9461
52.917477 80.987 -24.7043
53.100583 80.616 -27.1624
53.283688 80.235 -29.4974
53.466794 79.818 -31.7737
53.649899 79.341 -33.7931
53.833005 78.826 -35.1288
54.016110 78.363 -35.4949
54.199216 78.063 -35.2039
54.382321 77.956 -35.1539
54.565427 77.939 -36.0698
54.748532 77.866 -37.8714
54.931637 77.664 -39.8540
55.114743 77.377 -41.3000
55.297848 77.119 -42.0936
55.480954 76.968 -42.8508
55.664059 76.882 -44.3169
55.847165 76.743 -46.5737
56.030270 76.474 -48.9878
56.213376 76.108 -50.7268
56.396481 75.770 -51.4595
56.579587 75.577 -51.7139
56.762692 75.522 -52.4319
56.945797 75.489 -54.0312
57.128903 75.377 -56.1200
57.312008 75.178 -57.9586
57.495114 74.978 -59.0804
57.678219 74.878 -59.6556
57.861325 74.907 -60.2849
58.044430 75.009 -61.4329
58.227536 75.108 -63.1100
58.410641 75.170 -65.0846
58.593746 75.199 -67.1828
58.776852 75.213 -69.4111
58.959957 75.215 -71.8345
59.143063 75.202 -74.4374
59.326168 75.177 -77.1110
59.509274 75.159 -79.7579
59.692379 75.166 -82.3834
59.875485 75.206 -85.0526
60.058590 75.274 -87.8197
60.241696 75.370 -90.6935
60.424801 75.505 -93.7357
60.607906 75.687 -97.0914
60.791012 75.907 -100.9373
60.974117 76.137 -105.3072
61.157223 76.352 -110.0555
61.340328 76.551 -114.9446
61.523434 76.754 -119.8514
61.706539 76.980 -124.8768
61.889645 77.221 -130.2767
62.072750 77.436 -136.2408
62.255856 77.575 -142.7178
62.438961 77.611 -149.4296
62.622066 77.556 -156.0150
62.805172 77.456 -162.2426
62.988277 77.361 -168.1407
63.171383 77.290 -173.9639
63.354488 77.215 -179.9545
63.537594 77.085 173.8823
63.720699 76.870 167.8089
63.903805 76.592 162.1874
64.086910 76.321 157.1991
64.270016 76.137 152.6646
64.453121 76.067 148.1280
64.636226 76.064 143.2668
64.819332 76.049 138.1658
65.002437 75.971 133.2581
65.185543 75.842 128.9708
65.368648 75.724 125.3836
65.551754 75.677 122.0810
65.734859 75.702 118.4233
65.917965 75.749 114.0132
66.101070 75.764 108.9031
66.284176 75.734 103.4266
66.467281 75.680 97.8782
66.650386 75.623 92.3256
66.833492 75.550 86.6411
67.016597 75.401 80.7368
67.199703 75.109 74.7362
67.382808 74.629 68.9799
67.565914 73.978 63.8625
67.749019 73.221 59.6107
67.932125 72.439 56.1412
68.115230 71.667 53.1821
68.298336 70.880 50.7116
68.481441 70.042 49.2551
68.664546 69.203 49.7037
68.847652 68.542 52.4089
69.030757 68.249 56.2283
69.213863 68.283 59.0612
69.396968 68.385 59.8226
69.580074 68.334 58.9409
69.763179 68.076 57.4932
69.946285 67.707 56.3661
70.129390 67.392 55.8096
70.312496 67.260 55.3635
70.495601 67.310 54.3357
70.678706 67.436 52.4281
70.861812 67.506 49.8441
71.044917 67.430 47.0605
71.228023 67.174 44.5309
71.411128 66.761 42.5503
71.594234 66.262 41.0596
71.777339 65.747 39.6351
71.960445 65.239 37.6665
72.143550 64.699 34.8853
72.326656 64.079 31.6179
72.509761 63.382 28.6328
72.692866 62.691 26.4816
72.875972 62.101 24.8040
73.059077 61.593 22.3140
73.242183 60.977 17.7422
73.425288 60.027 10.5496
73.608394 58.639 0.5248
73.791499 56.946 -12.8977
73.974605 55.458 -30.9394
74.157710 55.003 -53.4764
74.340816 55.971 -76.8151
74.523921 57.773 -97.6005
74.707026 59.691 -115.5774
74.890132 61.389 -131.2338
75.073237 62.794 -144.4727
75.256343 63.956 -154.9868
75.439448 64.966 -162.7202
75.622554 65.920 -168.1860
75.805659 66.852 -172.2938
75.988765 67.738 -175.8677
76.171870 68.532 -179.3679
76.354976 69.211 177.0886
76.538081 69.779 173.5385
76.721186 70.249 170.1130
76.904292 70.640 167.0647
77.087397 70.988 164.7532
77.270503 71.368 163.3503
77.453608 71.850 162.5674
77.636714 72.442 161.7141
77.819819 73.067 160.1917
78.002925 73.614 157.9368
78.186030 74.019 155.3876
78.369136 74.298 153.1458
78.552241 74.527 151.6252
78.735346 74.810 150.8737
78.918452 75.216 150.6051
79.101557 75.767 150.4468
79.284663 76.451 150.0630
79.467768 77.233 149.1675
79.650874 78.067 147.4929
79.833979 78.885 144.8691
80.017085 79.617 141.3571
80.200190 80.226 137.2458
80.383296 80.718 132.8503
80.566401 81.122 128.3694
80.749506 81.478 123.8419
80.932612 81.804 119.1699
81.115717 82.088 114.2664
81.298823 82.302 109.1881
81.481928 82.424 104.1357
81.665034 82.459 99.3413
81.848139 82.432 94.9473
82.031245 82.376 90.9207
82.214350 82.313 87.0930
82.397455 82.239 83.2966
82.580561 82.131 79.4967
82.763666 81.975 75.8120
82.946772 81.771 72.4192
83.129877 81.535 69.4309
83.312983 81.284 66.8242
83.496088 81.025 64.4846
83.679194 80.749 62.3071
83.862299 80.443 60.2883
84.045405 80.103 58.5171
84.228510 79.744 57.1096
84.411615 79.392 56.1343
84.594721 79.071 55.5945
84.777826 78.797 55.4520
84.960932 78.581 55.6527
85.144037 78.428 56.1210
85.327143 78.339 56.7378
85.510248 78.309 57.3584
85.693354 78.328 57.8512
85.876459 78.389 58.1316
86.059565 78.490 58.1315
86.242670 78.628 57.7822
86.425775 78.795 57.0222
86.608881 78.969 55.8627
86.791986 79.125 54.4144
86.975092 79.247 52.8655
87.158197 79.331 51.3817
87.341303 79.387 50.0245
87.524408 79.421 48.7260
87.707514 79.431 47.3607
87.890619 79.407 45.8500
88.073725 79.348 44.2151
88.256830 79.266 42.5387
88.439935 79.190 40.8617
88.623041 79.149 39.1227
88.806146 79.144 37.1992
88.989252 79.146 35.0513
89.172357 79.114 32.8120
89.355463 79.017 30.7704
89.538568 78.862 29.2322
89.721674 78.685 28.3506
89.904779 78.537 28.0034
90.087885 78.451 27.8422
90.270990 78.429 27.4865
90.454095 78.452 26.6998
90.637201 78.501 25.4105
90.820306 78.564 23.6178
91.003412 78.629 21.3340
