* Measurement data measured by REW V5.40 beta 135
* Source: 
* Format: 
* Dated: Sep 11, 2026, 1:22:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of LR-SP Cal file effects included LF tail from 16 Hz at 12 dB/octave No HF tail
* Measurement: LR-SP-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 4.211 170.2037
0.732422 16.254 172.9973
1.098633 23.298 172.9878
1.464844 28.296 172.2791
1.831055 32.172 171.2895
2.197265 35.340 170.1597
2.563476 38.018 168.9487
2.929687 40.337 167.6864
3.295898 42.383 166.3892
3.662109 44.214 165.0667
4.028320 45.869 163.7252
4.394531 47.381 162.3688
4.760742 48.772 160.9999
5.126953 50.059 159.6208
5.493164 51.257 158.2327
5.859375 52.379 156.8364
6.225585 53.432 155.4328
6.591796 54.425 154.0225
6.958007 55.364 152.6057
7.324218 56.255 151.1828
7.690429 57.103 149.7542
8.056640 57.911 148.3199
8.422851 58.683 146.8801
8.789062 59.422 145.4353
9.155273 60.131 143.9856
9.521484 60.813 142.5313
9.887695 61.468 141.0730
10.253905 62.100 139.6111
10.620116 62.710 138.1465
10.986327 63.299 136.6803
11.352538 63.868 135.2138
11.718749 64.420 133.7493
12.084960 64.954 132.2896
12.451171 65.473 130.8388
12.817382 65.977 129.4037
13.183593 66.466 127.9950
13.549804 66.942 126.6323
13.916015 67.405 125.3657
14.282225 67.877 124.2695
14.648436 68.374 123.2237
15.014647 68.899 122.1477
15.380858 69.456 120.9650
15.747069 70.050 119.5716
16.113280 70.686 117.7426
16.479491 71.297 115.2166
16.845702 71.849 112.3372
17.211913 72.346 109.2575
17.578124 72.792 106.0519
17.944335 73.192 102.7727
18.310545 73.550 99.4421
18.676756 73.864 96.0856
19.042967 74.136 92.7350
19.409178 74.365 89.4300
19.775389 74.552 86.2471
20.141600 74.710 83.2411
20.507811 74.849 80.4238
20.874022 74.983 77.7793
21.240233 75.120 75.2492
21.606444 75.263 72.7683
21.972654 75.413 70.2793
22.338865 75.567 67.7195
22.705076 75.715 65.0532
23.071287 75.853 62.2699
23.437498 75.971 59.3760
23.803709 76.065 56.3935
24.169920 76.133 53.3422
24.536131 76.170 50.2420
24.902342 76.176 47.1129
25.268553 76.147 43.9804
25.634764 76.082 40.8743
26.000974 75.981 37.8237
26.367185 75.844 34.8495
26.733396 75.670 31.9756
27.099607 75.457 29.2355
27.465818 75.205 26.6711
27.832029 74.914 24.3371
28.198240 74.588 22.2915
28.564451 74.231 20.5988
28.930662 73.851 19.3340
29.296873 73.464 18.5644
29.663084 73.089 18.3246
30.029294 72.751 18.6002
30.395505 72.472 19.3153
30.761716 72.271 20.3296
31.127927 72.157 21.4673
31.494138 72.130 22.5391
31.860349 72.179 23.3797
32.226560 72.284 23.8680
32.592771 72.426 23.9323
32.958982 72.581 23.5605
33.325193 72.733 22.7755
33.691404 72.867 21.6231
34.057614 72.973 20.1522
34.423825 73.041 18.4213
34.790036 73.065 16.4918
35.156247 73.039 14.4346
35.522458 72.960 12.3255
35.888669 72.831 10.2332
36.254880 72.651 8.2139
36.621091 72.423 6.3236
36.987302 72.150 4.6216
37.353513 71.835 3.1711
37.719724 71.487 2.0262
38.085934 71.114 1.2284
38.452145 70.726 0.8150
38.818356 70.333 0.8111
39.184567 69.950 1.2299
39.550778 69.589 2.0649
39.916989 69.268 3.2729
40.283200 68.997 4.7823
40.649411 68.787 6.5013
41.015622 68.641 8.3233
41.381833 68.561 10.1354
41.748044 68.540 11.8322
42.114254 68.568 13.3281
42.480465 68.634 14.5631
42.846676 68.722 15.5110
43.212887 68.820 16.1800
43.579098 68.917 16.5948
43.945309 69.006 16.7898
44.311520 69.080 16.8063
44.677731 69.136 16.6908
45.043942 69.171 16.4952
45.410153 69.186 16.2675
45.776363 69.184 16.0437
46.142574 69.168 15.8523
46.508785 69.143 15.7138
46.874996 69.113 15.6394
47.241207 69.084 15.6294
47.607418 69.060 15.6702
47.973629 69.046 15.7353
48.339840 69.044 15.7916
48.706051 69.053 15.8033
49.072262 69.071 15.7382
49.438473 69.097 15.5672
49.804683 69.126 15.2656
50.170894 69.153 14.8168
50.537105 69.171 14.2155
50.903316 69.176 13.4670
51.269527 69.162 12.5839
51.635738 69.125 11.5804
52.001949 69.060 10.4735
52.368160 68.965 9.2847
52.734371 68.835 8.0397
53.100582 68.667 6.7660
53.466793 68.460 5.4914
53.833003 68.209 4.2431
54.199214 67.913 3.0507
54.565425 67.568 1.9490
54.931636 67.169 0.9812
55.297847 66.713 0.1995
55.664058 66.196 -0.3337
56.030269 65.613 -0.5397
56.396480 64.958 -0.3097
56.762691 64.228 0.5066
57.128902 63.423 2.1173
57.495113 62.552 4.8010
57.861323 61.641 8.9087
58.227534 60.749 14.8222
58.593745 59.995 22.8271
58.959956 59.544 32.8168
59.326167 59.531 43.8230
59.692378 59.993 54.2699
60.058589 60.829 63.0216
60.424800 61.859 69.6404
60.791011 62.945 74.2087
61.157222 64.007 77.1009
61.523433 65.005 78.7324
61.889643 65.922 79.4287
62.255854 66.755 79.4235
62.622065 67.507 78.8907
62.988276 68.183 77.9637
63.354487 68.786 76.7448
63.720698 69.323 75.3123
64.086909 69.799 73.7245
64.453120 70.218 72.0293
64.819331 70.583 70.2672
65.185542 70.900 68.4743
65.551753 71.170 66.6809
65.917963 71.399 64.9117
66.284174 71.589 63.1890
66.650385 71.743 61.5339
67.016596 71.864 59.9664
67.382807 71.956 58.5032
67.749018 72.021 57.1597
68.115229 72.064 55.9520
68.481440 72.087 54.8932
68.847651 72.094 53.9916
69.213862 72.089 53.2547
69.580072 72.078 52.6921
69.946283 72.062 52.3073
70.312494 72.049 52.0930
70.678705 72.041 52.0427
71.044916 72.044 52.1503
71.411127 72.061 52.3950
71.777338 72.097 52.7515
72.143549 72.155 53.1967
72.509760 72.236 53.6973
72.875971 72.342 54.2178
73.242182 72.472 54.7275
73.608392 72.627 55.1917
73.974603 72.803 55.5817
74.340814 72.998 55.8746
74.707025 73.209 56.0445
75.073236 73.431 56.0814
75.439447 73.662 55.9801
75.805658 73.896 55.7305
76.171869 74.132 55.3380
76.538080 74.365 54.8090
76.904291 74.593 54.1449
77.270502 74.813 53.3599
77.636712 75.024 52.4651
78.002923 75.224 51.4680
78.369134 75.411 50.3833
78.735345 75.585 49.2221
79.101556 75.745 47.9949
79.467767 75.890 46.7148
79.833978 76.021 45.3917
80.200189 76.137 44.0357
80.566400 76.238 42.6561
80.932611 76.324 41.2615
81.298822 76.396 39.8606
81.665032 76.454 38.4600
82.031243 76.498 37.0673
82.397454 76.530 35.6878
82.763665 76.548 34.3271
83.129876 76.555 32.9911
83.496087 76.550 31.6836
83.862298 76.533 30.4100
84.228509 76.506 29.1737
84.594720 76.469 27.9778
84.960931 76.423 26.8268
85.327142 76.367 25.7227
85.693352 76.303 24.6697
86.059563 76.231 23.6699
86.425774 76.151 22.7261
86.791985 76.064 21.8423
87.158196 75.971 21.0199
87.524407 75.872 20.2636
87.890618 75.768 19.5745
88.256829 75.660 18.9555
88.623040 75.547 18.4099
88.989251 75.432 17.9383
89.355462 75.314 17.5461
89.721672 75.195 17.2312
90.087883 75.076 16.9987
90.454094 74.957 16.8468
90.820305 74.840 16.7769
91.186516 74.725 16.7896
91.552727 74.615 16.8816
91.918938 74.510 17.0551
92.285149 74.410 17.3020
92.651360 74.318 17.6243
93.017571 74.235 18.0119
93.383781 74.161 18.4647
93.749992 74.096 18.9721
94.116203 74.044 19.5305
94.482414 74.003 20.1300
94.848625 73.974 20.7637
95.214836 73.958 21.4227
95.581047 73.955 22.0985
95.947258 73.965 22.7818
96.313469 73.989 23.4648
96.679680 74.025 24.1376
97.045891 74.073 24.7943
97.412101 74.133 25.4247
97.778312 74.205 26.0250
98.144523 74.287 26.5849
98.510734 74.380 27.1029
98.876945 74.481 27.5697
99.243156 74.590 27.9861
99.609367 74.706 28.3441
99.975578 74.829 28.6461
100.341789 74.956 28.8856
100.708000 75.089 29.0662
101.074211 75.224 29.1826
101.440421 75.363 29.2397
101.806632 75.503 29.2332
102.172843 75.644 29.1686
102.539054 75.786 29.0432
102.905265 75.928 28.8622
103.271476 76.069 28.6240
103.637687 76.209 28.3340
104.003898 76.347 27.9907
104.370109 76.483 27.5995
104.736320 76.616 27.1597
105.102531 76.747 26.6765
105.468741 76.874 26.1497
105.834952 76.998 25.5837
106.201163 77.118 24.9787
106.567374 77.234 24.3385
106.933585 77.346 23.6637
107.299796 77.454 22.9574
107.666007 77.558 22.2206
108.032218 77.657 21.4559
108.398429 77.752 20.6647
108.764640 77.841 19.8490
109.130851 77.926 19.0106
109.497061 78.006 18.1509
109.863272 78.081 17.2723
110.229483 78.151 16.3755
110.595694 78.216 15.4633
110.961905 78.276 14.5365
111.328116 78.330 13.5977
111.694327 78.379 12.6478
112.060538 78.423 11.6892
112.426749 78.461 10.7233
112.792960 78.494 9.7520
113.159171 78.521 8.7773
113.525381 78.543 7.8007
113.891592 78.560 6.8241
114.257803 78.572 5.8493
114.624014 78.578 4.8779
114.990225 78.580 3.9117
115.356436 78.576 2.9519
115.722647 78.568 2.0007
116.088858 78.554 1.0592
116.455069 78.537 0.1290
116.821280 78.514 -0.7884
117.187490 78.488 -1.6923
117.553701 78.457 -2.5803
117.919912 78.422 -3.4529
118.286123 78.384 -4.3073
118.652334 78.342 -5.1441
119.018545 78.296 -5.9616
119.384756 78.247 -6.7593
119.750967 78.196 -7.5373
120.117178 78.141 -8.2936
120.483389 78.084 -9.0296
120.849600 78.025 -9.7431
121.215810 77.964 -10.4351
121.582021 77.900 -11.1048
121.948232 77.834 -11.7516
122.314443 77.767 -12.3767
122.680654 77.699 -12.9784
123.046865 77.629 -13.5585
123.413076 77.558 -14.1155
123.779287 77.486 -14.6502
124.145498 77.414 -15.1632
124.511709 77.340 -15.6533
124.877920 77.267 -16.1225
125.244130 77.193 -16.5695
125.610341 77.118 -16.9953
125.976552 77.044 -17.4003
126.342763 76.970 -17.7839
126.708974 76.896 -18.1478
127.075185 76.822 -18.4909
127.441396 76.749 -18.8144
127.807607 76.676 -19.1189
128.173818 76.605 -19.4035
128.540029 76.534 -19.6707
128.906240 76.464 -19.9192
129.272450 76.396 -20.1504
129.638661 76.328 -20.3653
130.004872 76.262 -20.5634
130.371083 76.198 -20.7471
130.737294 76.135 -20.9160
131.103505 76.075 -21.0713
131.469716 76.016 -21.2148
131.835927 75.959 -21.3463
132.202138 75.904 -21.4679
132.568349 75.851 -21.5803
132.934560 75.801 -21.6843
133.300770 75.752 -21.7818
133.666981 75.706 -21.8736
134.033192 75.662 -21.9608
134.399403 75.621 -22.0450
134.765614 75.581 -22.1272
135.131825 75.544 -22.2083
135.498036 75.509 -22.2899
135.864247 75.476 -22.3729
136.230458 75.445 -22.4580
136.596669 75.415 -22.5468
136.962880 75.388 -22.6396
137.329090 75.362 -22.7371
137.695301 75.338 -22.8410
138.061512 75.315 -22.9505
138.427723 75.293 -23.0670
138.793934 75.273 -23.1912
139.160145 75.254 -23.3220
139.526356 75.235 -23.4613
139.892567 75.217 -23.6085
140.258778 75.200 -23.7632
140.624989 75.184 -23.9266
140.991199 75.168 -24.0977
141.357410 75.152 -24.2765
141.723621 75.137 -24.4635
142.089832 75.121 -24.6576
142.456043 75.106 -24.8592
142.822254 75.091 -25.0684
143.188465 75.076 -25.2841
143.554676 75.060 -25.5066
143.920887 75.045 -25.7359
144.287098 75.029 -25.9713
144.653309 75.014 -26.2131
145.019519 74.997 -26.4611
145.385730 74.981 -26.7149
145.751941 74.965 -26.9748
146.118152 74.948 -27.2406
146.484363 74.931 -27.5120
146.850574 74.913 -27.7892
147.216785 74.895 -28.0720
147.582996 74.877 -28.3604
147.949207 74.858 -28.6547
148.315418 74.839 -28.9545
148.681629 74.820 -29.2604
149.047839 74.800 -29.5727
149.414050 74.780 -29.8910
149.780261 74.759 -30.2160
150.146472 74.737 -30.5481
150.512683 74.715 -30.8866
150.878894 74.693 -31.2323
151.245105 74.669 -31.5857
