* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Sep 11, 2026, 11:13:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L .0, R.0
* Measurement: LR.0
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.939 -153.2750
15.380859 69.470 -157.2666
15.747070 70.044 -161.8399
16.113281 70.631 -167.0041
16.479492 71.213 -172.5946
16.845703 71.782 -178.2945
17.211914 72.320 176.1432
17.578125 72.803 170.7906
17.944336 73.225 165.5401
18.310547 73.600 160.2761
18.676758 73.934 155.0394
19.042968 74.230 149.9438
19.409179 74.473 145.0610
19.775390 74.654 140.4026
20.141601 74.792 135.9536
20.507812 74.903 131.7323
20.874023 75.004 127.7767
21.240234 75.104 124.0388
21.606445 75.205 120.3926
21.972656 75.313 116.7141
22.338867 75.437 112.9367
22.705077 75.568 109.0724
23.071288 75.697 105.1533
23.437499 75.808 101.1627
23.803710 75.898 97.0928
24.169921 75.967 92.9771
24.536132 76.011 88.8727
24.902343 76.023 84.8346
25.268554 75.996 80.8660
25.634765 75.929 76.9414
26.000976 75.826 73.0771
26.367187 75.690 69.3158
26.733397 75.514 65.6922
27.099608 75.293 62.2143
27.465819 75.024 58.8620
27.832030 74.715 55.6580
28.198241 74.373 52.7018
28.564452 74.004 50.1133
28.930663 73.612 47.9927
29.296874 73.213 46.4020
29.663085 72.833 45.3648
30.029296 72.500 44.9035
30.395507 72.238 44.9829
30.761717 72.059 45.4510
31.127928 71.966 46.0787
31.494139 71.959 46.6036
31.860350 72.028 46.8382
32.226561 72.158 46.7008
32.592772 72.323 46.1475
32.958983 72.494 45.1546
33.325194 72.656 43.7132
33.691405 72.800 41.8487
34.057616 72.919 39.6577
34.423827 73.001 37.2436
34.790037 73.034 34.6686
35.156248 73.012 31.9664
35.522459 72.931 29.1982
35.888670 72.799 26.4420
36.254881 72.618 23.7953
36.621092 72.383 21.3256
36.987303 72.094 19.0652
37.353514 71.757 17.0432
37.719725 71.386 15.3096
38.085936 70.992 13.9575
38.452147 70.581 13.0610
38.818357 70.159 12.6259
39.184568 69.740 12.6316
39.550779 69.347 13.0500
39.916990 68.998 13.8676
40.283201 68.706 15.0671
40.649412 68.475 16.5397
41.015623 68.307 18.1180
41.381834 68.208 19.6369
41.748045 68.177 20.9653
42.114256 68.204 22.0559
42.480467 68.274 22.8687
42.846677 68.363 23.3388
43.212888 68.460 23.4294
43.579099 68.559 23.1442
43.945310 68.656 22.5605
44.311521 68.743 21.7898
44.677732 68.810 20.8873
45.043943 68.848 19.8793
45.410154 68.864 18.7952
45.776365 68.868 17.6901
46.142576 68.858 16.6558
46.508786 68.836 15.7390
46.874997 68.803 14.9149
47.241208 68.764 14.1455
47.607419 68.733 13.3982
47.973630 68.716 12.6735
48.339841 68.713 11.9713
48.706052 68.719 11.2244
49.072263 68.733 10.3450
49.438474 68.756 9.2721
49.804685 68.791 7.9861
50.170896 68.829 6.5124
50.537106 68.861 4.8479
50.903317 68.876 2.9498
51.269528 68.873 0.7981
51.635739 68.852 -1.5925
52.001950 68.811 -4.1694
52.368161 68.738 -6.8865
52.734372 68.627 -9.7626
53.100583 68.474 -12.8281
53.466794 68.282 -16.0776
53.833005 68.051 -19.4822
54.199216 67.773 -23.0088
54.565426 67.439 -26.6835
54.931637 67.042 -30.5897
55.297848 66.583 -34.7795
55.664059 66.064 -39.2726
56.030270 65.475 -44.1027
56.396481 64.798 -49.3711
56.762692 64.025 -55.3013
57.128903 63.156 -62.1644
57.495114 62.206 -70.2153
57.861325 61.189 -79.8102
58.227536 60.143 -91.5120
58.593746 59.191 -105.9689
58.959957 58.578 -123.2886
59.326168 58.545 -142.1573
59.692379 59.120 -160.3252
60.058590 60.119 -176.2670
60.424801 61.319 170.3910
60.791012 62.562 159.4158
61.157223 63.746 150.3031
61.523434 64.827 142.5061
61.889645 65.799 135.6091
62.255856 66.677 129.3593
62.622066 67.467 123.6379
62.988277 68.173 118.3683
63.354488 68.795 113.4423
63.720699 69.341 108.7683
64.086910 69.824 104.3113
64.453121 70.250 100.0712
64.819332 70.620 96.0590
65.185543 70.935 92.2579
65.551754 71.199 88.6300
65.917965 71.418 85.1693
66.284176 71.600 81.8967
66.650386 71.745 78.8345
67.016597 71.852 75.9900
67.382808 71.927 73.3452
67.749019 71.970 70.8901
68.115230 71.993 68.6478
68.481441 71.998 66.6441
68.847652 71.984 64.8897
69.213863 71.954 63.3759
69.580074 71.916 62.0820
69.946285 71.877 61.0121
70.312495 71.843 60.1839
70.678706 71.818 59.5955
71.044917 71.802 59.2246
71.411128 71.804 59.0278
71.777339 71.828 58.9664
72.143550 71.883 59.0248
72.509761 71.967 59.1777
72.875972 72.081 59.3817
73.242183 72.223 59.5796
73.608394 72.392 59.7128
73.974605 72.590 59.7537
74.340815 72.812 59.6919
74.707026 73.051 59.5093
75.073237 73.302 59.1839
75.439448 73.560 58.6901
75.805659 73.822 58.0215
76.171870 74.086 57.1979
76.538081 74.349 56.2362
76.904292 74.603 55.1436
77.270503 74.845 53.9199
77.636714 75.077 52.5669
78.002925 75.297 51.1071
78.369135 75.504 49.5680
78.735346 75.696 47.9633
79.101557 75.869 46.2982
79.467768 76.026 44.5734
79.833979 76.168 42.8005
80.200190 76.294 41.0043
80.566401 76.405 39.2002
80.932612 76.498 37.3908
81.298823 76.575 35.5754
81.665034 76.636 33.7562
82.031245 76.684 31.9500
82.397455 76.719 30.1734
82.763666 76.740 28.4279
83.129877 76.746 26.7101
83.496088 76.740 25.0179
83.862299 76.723 23.3592
84.228510 76.695 21.7508
84.594721 76.657 20.1970
84.960932 76.607 18.6921
85.327143 76.547 17.2323
85.693354 76.478 15.8196
86.059565 76.403 14.4681
86.425775 76.320 13.1885
86.791986 76.227 11.9760
87.158197 76.126 10.8248
87.524408 76.020 9.7346
87.890619 75.910 8.7149
88.256830 75.795 7.7809
88.623041 75.675 6.9332
88.989252 75.550 6.1637
89.355463 75.422 5.4697
89.721674 75.294 4.8557
90.087885 75.165 4.3353
90.454095 75.038 3.9157
90.820306 74.910 3.5873
91.186517 74.783 3.3412
91.552728 74.660 3.1755
91.918939 74.545 3.0967
92.285150 74.436 3.1140
92.651361 74.333 3.2191
93.017572 74.238 3.3953
93.383783 74.152 3.6326
93.749994 74.078 3.9277
94.116205 74.016 4.2863
94.482415 73.968 4.7049
94.848626 73.930 5.1630
95.214837 73.905 5.6429
95.581048 73.894 6.1347
95.947259 73.899 6.6386
96.313470 73.918 7.1572
96.679681 73.950 7.6757
97.045892 73.993 8.1738
97.412103 74.049 8.6393
97.778314 74.119 9.0682
98.144524 74.201 9.4675
98.510735 74.293 9.8340
98.876946 74.394 10.1519
99.243157 74.503 10.4092
99.609368 74.620 10.6016
99.975579 74.746 10.7358
100.341790 74.877 10.8194
100.708001 75.013 10.8454
101.074212 75.152 10.8031
101.440423 75.294 10.6888
101.806634 75.440 10.5069
102.172844 75.588 10.2692
102.539055 75.737 9.9787
102.905266 75.885 9.6274
103.271477 76.031 9.2111
103.637688 76.178 8.7322
104.003899 76.324 8.2008
104.370110 76.469 7.6265
104.736321 76.610 7.0054
105.102532 76.747 6.3319
105.468743 76.882 5.6067
105.834954 77.014 4.8358
106.201164 77.143 4.0307
106.567375 77.268 3.1931
106.933586 77.388 2.3165
107.299797 77.503 1.3991
107.666008 77.615 0.4447
108.032219 77.723 -0.5378
108.398430 77.826 -1.5420
108.764641 77.924 -2.5720
109.130852 78.015 -3.6320
109.497063 78.103 -4.7204
109.863274 78.186 -5.8307
110.229484 78.263 -6.9541
110.595695 78.336 -8.0909
110.961906 78.401 -9.2468
111.328117 78.460 -10.4219
111.694328 78.516 -11.6110
112.060539 78.566 -12.8061
112.426750 78.610 -14.0029
112.792961 78.648 -15.2063
113.159172 78.679 -16.4190
113.525383 78.706 -17.6370
113.891594 78.727 -18.8538
114.257804 78.742 -20.0626
114.624015 78.752 -21.2650
114.990226 78.756 -22.4663
115.356437 78.754 -23.6647
115.722648 78.748 -24.8544
116.088859 78.737 -26.0287
116.455070 78.720 -27.1858
116.821281 78.699 -28.3314
117.187492 78.672 -29.4674
117.553703 78.642 -30.5892
117.919914 78.608 -31.6907
118.286124 78.569 -32.7681
118.652335 78.526 -33.8250
119.018546 78.479 -34.8671
119.384757 78.429 -35.8919
119.750968 78.377 -36.8939
120.117179 78.322 -37.8686
120.483390 78.263 -38.8171
120.849601 78.201 -39.7463
121.215812 78.136 -40.6579
121.582023 78.071 -41.5469
121.948233 78.004 -42.4085
122.314444 77.935 -43.2415
122.680655 77.862 -44.0516
123.046866 77.789 -44.8447
123.413077 77.715 -45.6174
123.779288 77.640 -46.3644
124.145499 77.565 -47.0830
124.511710 77.489 -47.7761
124.877921 77.410 -48.4516
125.244132 77.332 -49.1099
125.610343 77.255 -49.7453
125.976553 77.178 -50.3538
126.342764 77.099 -50.9358
126.708975 77.021 -51.4981
127.075186 76.943 -52.0460
127.441397 76.866 -52.5748
127.807608 76.789 -53.0791
128.173819 76.714 -53.5576
128.540030 76.639 -54.0146
128.906241 76.565 -54.4583
129.272452 76.493 -54.8881
129.638663 76.421 -55.2976
130.004873 76.353 -55.6843
130.371084 76.285 -56.0500
130.737295 76.219 -56.4030
131.103506 76.155 -56.7481
131.469717 76.093 -57.0803
131.835928 76.035 -57.3951
132.202139 75.979 -57.6928
132.568350 75.924 -57.9796
132.934561 75.871 -58.2643
133.300772 75.821 -58.5458
133.666983 75.775 -58.8182
134.033193 75.732 -59.0801
134.399404 75.690 -59.3351
134.765615 75.650 -59.5925
135.131826 75.613 -59.8566
135.498037 75.580 -60.1217
135.864248 75.549 -60.3837
136.230459 75.520 -60.6440
136.596670 75.493 -60.9093
136.962881 75.467 -61.1874
137.329092 75.444 -61.4760
137.695303 75.424 -61.7681
138.061513 75.405 -62.0625
138.427724 75.386 -62.3628
138.793935 75.368 -62.6771
139.160146 75.352 -63.0078
139.526357 75.338 -63.3470
139.892568 75.325 -63.6904
140.258779 75.312 -64.0393
140.624990 75.298 -64.3992
140.991201 75.285 -64.7764
141.357412 75.273 -65.1659
141.723623 75.262 -65.5601
142.089833 75.251 -65.9576
142.456044 75.239 -66.3623
142.822255 75.226 -66.7809
143.188466 75.214 -67.2136
143.554677 75.202 -67.6522
143.920888 75.191 -68.0924
144.287099 75.178 -68.5361
144.653310 75.164 -68.9892
145.019521 75.150 -69.4566
145.385732 75.137 -69.9323
145.751942 75.124 -70.4093
146.118153 75.110 -70.8878
146.484364 75.095 -71.3718
146.850575 75.079 -71.8687
147.216786 75.063 -72.3773
147.582997 75.046 -72.8891
147.949208 75.030 -73.4020
148.315419 75.013 -73.9185
148.681630 74.994 -74.4454
149.047841 74.975 -74.9868
149.414052 74.957 -75.5359
149.780262 74.938 -76.0865
150.146473 74.918 -76.6404
150.512684 74.897 -77.2029
150.878895 74.874 -77.7800
151.245106 74.852 -78.3697
151.611317 74.829 -78.9636
151.977528 74.805 -79.5602
152.343739 74.780 -80.1636
152.709950 74.752 -80.7801
153.076161 74.724 -81.4121
153.442372 74.695 -82.0519
153.808582 74.664 -82.6941
154.174793 74.632 -83.3411
154.541004 74.598 -83.9987
154.907215 74.562 -84.6715
155.273426 74.525 -85.3557
155.639637 74.486 -86.0426
156.005848 74.446 -86.7316
156.372059 74.403 -87.4278
156.738270 74.357 -88.1366
157.104481 74.309 -88.8582
157.470692 74.260 -89.5840
157.836902 74.208 -90.3089
158.203113 74.153 -91.0367
158.569324 74.094 -91.7731
158.935535 74.033 -92.5212
159.301746 73.972 -93.2752
159.667957 73.907 -94.0267
160.034168 73.838 -94.7764
160.400379 73.765 -95.5300
160.766590 73.690 -96.2922
161.132801 73.612 -97.0614
161.499012 73.531 -97.8279
161.865222 73.448 -98.5879
162.231433 73.359 -99.3467
162.597644 73.266 -100.1098
162.963855 73.171 -100.8790
163.330066 73.073 -101.6470
163.696277 72.972 -102.4049
164.062488 72.866 -103.1559
164.428699 72.755 -103.9064
