* Measurement data measured by REW V5.40 beta 135
* Source: Vector average
* Format: Vector average
* Dated: Sep 11, 2026, 2:12:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L.Filtered, R.Filtered
* Measurement: LR.Filtered
* Smoothing: None
* Frequency Step: 0.18310545 Hz
* Start Frequency: 15.563965 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.563965 65.726 -103.6600
15.747070 68.290 -127.8459
15.930176 68.562 -143.1952
16.113281 69.165 -149.1922
16.296387 70.114 -156.6537
16.479492 70.822 -163.0709
16.662598 71.564 -168.9292
16.845703 72.038 -174.3333
17.028808 72.382 -177.9363
17.211914 72.660 179.3828
17.395019 72.893 177.6828
17.578125 73.145 176.2686
17.761230 73.378 174.8351
17.944336 73.610 173.4030
18.127441 73.878 171.9428
18.310547 74.211 170.2542
18.493652 74.600 168.1463
18.676758 75.002 165.4406
18.859863 75.343 162.2614
19.042968 75.577 158.9465
19.226074 75.691 155.8354
19.409179 75.712 153.2313
19.592285 75.703 151.1399
19.775390 75.721 149.2639
19.958496 75.778 147.0808
20.141601 75.824 144.2554
20.324707 75.781 140.8392
20.507812 75.591 137.4105
20.690918 75.271 134.7336
20.874023 74.914 133.4348
21.057128 74.677 133.4318
21.240234 74.648 133.8309
21.423339 74.782 133.6072
21.606445 74.946 132.4722
21.789550 75.066 130.8429
21.972656 75.155 129.2400
22.155761 75.285 127.7805
22.338867 75.490 126.0968
22.521972 75.733 123.8291
22.705078 75.938 120.9942
22.888183 76.065 117.9847
23.071288 76.131 115.1753
23.254394 76.186 112.6596
23.437499 76.261 110.2350
23.620605 76.341 107.7258
23.803710 76.392 105.2334
23.986816 76.410 103.0959
24.169921 76.443 101.5537
24.353027 76.549 100.4034
24.536132 76.733 99.1086
24.719238 76.928 97.2240
24.902343 77.047 94.7654
25.085448 77.049 92.0652
25.268554 76.954 89.5001
25.451659 76.822 87.1850
25.634765 76.701 85.0075
25.817870 76.608 82.7966
26.000976 76.532 80.5732
26.184081 76.469 78.4914
26.367187 76.424 76.6643
26.550292 76.400 74.9993
26.733398 76.356 73.3410
26.916503 76.237 71.7582
27.099608 76.021 70.6062
27.282714 75.768 70.2350
27.465819 75.601 70.4590
27.648925 75.609 70.3622
27.832030 75.750 68.8540
28.015136 75.889 65.5049
28.198241 75.901 60.6644
28.381347 75.727 55.0846
28.564452 75.369 49.5166
28.747558 74.859 44.5168
28.930663 74.238 40.4019
29.113768 73.528 37.3295
29.296874 72.742 35.4855
29.479979 71.904 35.1417
29.663085 71.082 36.5894
29.846190 70.388 39.7999
30.029296 69.928 44.2402
30.212401 69.732 48.9679
30.395507 69.741 53.2081
30.578612 69.854 56.6181
30.761718 69.981 59.3427
30.944823 70.090 61.7272
31.127928 70.201 64.1022
31.311034 70.376 66.4711
31.494139 70.651 68.4926
31.677245 71.005 69.7185
31.860350 71.366 70.0258
32.043456 71.675 69.6672
32.226561 71.908 69.0634
32.409667 72.085 68.5334
32.592772 72.233 68.1826
32.775878 72.376 67.9714
32.958983 72.530 67.8112
33.142088 72.714 67.5927
33.325194 72.943 67.1005
33.508299 73.210 66.0896
33.691405 73.474 64.4581
33.874510 73.694 62.4236
34.057616 73.860 60.4067
34.240721 74.009 58.7561
34.423827 74.203 57.4358
34.606932 74.465 56.0193
34.790037 74.751 54.0528
34.973143 74.980 51.4357
35.156248 75.101 48.4707
35.339354 75.120 45.5615
35.522459 75.096 42.8838
35.705565 75.085 40.2445
35.888670 75.087 37.2681
36.071776 75.050 33.7693
36.254881 74.908 29.9608
36.437987 74.640 26.3022
36.621092 74.275 23.2202
36.804197 73.879 20.8068
36.987303 73.500 18.7783
37.170408 73.131 16.7328
37.353514 72.718 14.5468
37.536619 72.220 12.4936
37.719725 71.641 11.0318
37.902830 71.042 10.4589
38.085936 70.486 10.6725
38.269041 69.994 11.3077
38.452147 69.536 12.0968
38.635252 69.082 13.0876
38.818357 68.648 14.4062
39.001463 68.280 15.9322
39.184568 67.997 17.2509
39.367674 67.748 18.0873
39.550779 67.465 18.6816
39.733885 67.132 19.7006
39.916990 66.828 21.6956
40.100096 66.664 24.4836
40.283201 66.670 27.1686
40.466307 66.730 29.0042
40.649412 66.694 30.1549
40.832517 66.507 31.4467
41.015623 66.263 33.6508
41.198728 66.131 36.6668
41.381834 66.193 39.5686
41.564939 66.359 41.6424
41.748045 66.502 43.2929
41.931150 66.607 45.4943
42.114256 66.793 48.6903
42.297361 67.149 52.0943
42.480467 67.575 54.6138
42.663572 67.869 56.1822
42.846677 67.942 57.8516
43.029783 67.942 60.6156
43.212888 68.155 63.9312
43.395994 68.694 65.5513
43.579099 69.345 63.8499
43.762205 69.836 59.2993
43.945310 70.051 53.6560
44.128416 70.056 48.8633
44.311521 70.063 46.0971
44.494627 70.305 44.8971
44.677732 70.807 43.4324
44.860837 71.335 40.4308
45.043943 71.635 36.1211
45.227048 71.601 31.6389
45.410154 71.304 28.1405
45.593259 70.942 26.1397
45.776365 70.713 25.0410
45.959470 70.642 23.6702
46.142576 70.596 21.5137
46.325681 70.435 19.1138
46.508787 70.141 17.3644
46.691892 69.800 16.5854
46.874997 69.479 16.1608
47.058103 69.109 15.1719
47.241208 68.526 13.5283
47.424314 67.625 12.3163
47.607419 66.511 13.3671
47.790525 65.585 17.7795
47.973630 65.299 23.7908
48.156736 65.587 27.9987
48.339841 65.976 29.6848
48.522947 66.172 30.6676
48.706052 66.191 32.8784
48.889157 66.232 36.8219
49.072263 66.425 41.3937
49.255368 66.688 45.3590
49.438474 66.894 48.7198
49.621579 67.086 52.1492
49.804685 67.470 55.4751
49.987790 68.169 57.1988
50.170896 69.050 55.9828
50.354001 69.874 52.0208
50.537107 70.481 46.6154
50.720212 70.836 41.3070
50.903317 71.007 37.2566
51.086423 71.141 34.8077
51.269528 71.364 33.2301
51.452634 71.668 31.2632
51.635739 71.919 28.1632
51.818845 71.983 24.1622
52.001950 71.824 20.1414
52.185056 71.530 17.0518
52.368161 71.287 15.2935
52.551267 71.260 14.2501
52.734372 71.450 12.7510
52.917477 71.705 10.1428
53.100583 71.860 6.7214
53.283688 71.844 3.2421
53.466794 71.692 0.3678
53.649899 71.502 -1.7320
53.833005 71.364 -3.4337
54.016110 71.298 -5.3606
54.199216 71.259 -7.9019
54.382321 71.182 -11.0345
54.565427 71.023 -14.4520
54.748532 70.768 -17.7487
54.931637 70.434 -20.5621
55.114743 70.075 -22.6945
55.297848 69.759 -24.3179
55.480954 69.524 -26.0000
55.664059 69.328 -28.3799
55.847165 69.060 -31.5737
56.030270 68.636 -34.9587
56.213376 68.076 -37.4286
56.396481 67.563 -38.2131
56.579587 67.335 -37.9558
56.762692 67.429 -38.6296
56.945797 67.589 -41.5105
57.128903 67.520 -46.0091
57.312008 67.105 -50.3431
57.495114 66.480 -52.5583
57.678219 66.036 -52.0265
57.861325 66.125 -50.9481
58.044430 66.609 -52.4879
58.227536 67.065 -57.2693
58.410641 67.233 -63.7664
58.593746 67.103 -70.0406
58.776852 66.857 -74.7747
58.959957 66.757 -77.9944
59.143063 66.940 -81.0669
59.326168 67.295 -85.2700
59.509274 67.624 -90.5857
59.692379 67.826 -96.0937
59.875485 67.943 -100.8459
60.058590 68.104 -104.5425
60.241696 68.421 -107.6482
60.424801 68.917 -110.9595
60.607906 69.536 -114.9407
60.791012 70.219 -119.6177
60.974117 70.929 -124.8092
61.157223 71.644 -130.3389
61.340328 72.344 -136.0444
61.523434 73.013 -141.7644
61.706539 73.651 -147.4042
61.889645 74.272 -153.0187
62.072750 74.876 -158.8118
62.255856 75.443 -164.9730
62.438961 75.941 -171.5182
62.622066 76.347 -178.2515
62.805172 76.667 175.1000
62.988277 76.927 168.7025
63.171383 77.153 162.5166
63.354488 77.339 156.3814
63.537594 77.451 150.2399
63.720699 77.454 144.2859
63.903805 77.352 138.9233
64.086910 77.213 134.4905
64.270016 77.138 130.9307
64.453121 77.194 127.6719
64.636226 77.349 124.0433
64.819332 77.502 119.8331
65.002437 77.559 115.4233
65.185543 77.503 111.4589
65.368648 77.396 108.3909
65.551754 77.339 106.1158
65.734859 77.392 103.9796
65.917965 77.527 101.2621
66.101070 77.665 97.6666
66.284176 77.741 93.3616
66.467281 77.734 88.7058
66.650386 77.653 84.0045
66.833492 77.516 79.4120
67.016597 77.329 74.9745
67.199703 77.083 70.7131
67.382808 76.763 66.6688
67.565914 76.353 62.9142
67.749019 75.845 59.5692
67.932125 75.240 56.8464
68.115230 74.566 55.0424
68.298336 73.890 54.4175
68.481441 73.315 54.9088
68.664546 72.916 55.9791
68.847652 72.681 56.8989
69.030757 72.527 57.2938
69.213863 72.378 57.2653
69.396968 72.213 57.0699
69.580074 72.044 56.7675
69.763179 71.873 56.2214
69.946285 71.674 55.3870
70.129390 71.428 54.4932
70.312496 71.161 53.8744
70.495601 70.935 53.5831
70.678706 70.781 53.2647
70.861812 70.644 52.5270
71.044917 70.424 51.4692
71.228023 70.069 50.6763
71.411128 69.626 50.7486
71.594234 69.208 51.6422
71.777339 68.872 52.5762
71.960445 68.539 52.8195
72.143550 68.073 52.5884
72.326656 67.432 52.9428
72.509761 66.746 54.9276
72.692866 66.241 58.4173
72.875972 65.996 62.0024
73.059077 65.837 64.6786
73.242183 65.551 67.0441
73.425288 65.123 70.5096
73.608394 64.734 75.7583
73.791499 64.558 81.9152
73.974605 64.529 87.7685
74.157710 64.496 93.6121
74.340816 64.522 100.7534
74.523921 64.922 109.2200
74.707026 65.859 116.6681
74.890132 67.084 121.0916
75.073237 68.266 122.7760
75.256343 69.275 123.0527
75.439448 70.143 122.8997
75.622554 70.943 122.5862
75.805659 71.712 121.9276
75.988765 72.433 120.7617
76.171870 73.084 119.1615
76.354976 73.667 117.3204
76.538081 74.203 115.3525
76.721186 74.706 113.2505
76.904292 75.173 110.9918
77.087397 75.588 108.6471
77.270503 75.945 106.3810
77.453608 76.259 104.3251
77.636714 76.557 102.4819
77.819819 76.857 100.6935
78.002925 77.159 98.7639
78.186030 77.452 96.5925
78.369136 77.724 94.1771
78.552241 77.970 91.5393
78.735346 78.183 88.7332
78.918452 78.354 85.8389
79.101557 78.477 82.9791
79.284663 78.551 80.3128
79.467768 78.596 77.9499
79.650874 78.637 75.8642
79.833979 78.692 73.8903
80.017085 78.753 71.8228
80.200190 78.797 69.5777
80.383296 78.806 67.2495
80.566401 78.782 64.9983
80.749506 78.745 62.9327
80.932612 78.721 61.0224
81.115717 78.716 59.1215
81.298823 78.716 57.0963
81.481928 78.693 54.9364
81.665034 78.631 52.7451
81.848139 78.531 50.6539
82.031245 78.408 48.7314
82.214350 78.281 46.9456
82.397455 78.152 45.2182
82.580561 78.016 43.5087
82.763666 77.861 41.8677
82.946772 77.689 40.3940
83.129877 77.514 39.1437
83.312983 77.354 38.0419
83.496088 77.213 36.9069
83.679194 77.070 35.5673
83.862299 76.892 33.9991
84.045405 76.650 32.3595
84.228510 76.341 30.9060
84.411615 75.986 29.8600
84.594721 75.611 29.3134
84.777826 75.236 29.2726
84.960932 74.867 29.7776
85.144037 74.522 30.9523
85.327143 74.250 32.8542
85.510248 74.113 35.2438
85.693354 74.142 37.5296
85.876459 74.296 39.1431
86.059565 74.497 39.9086
86.242670 74.693 40.0104
86.425775 74.875 39.6689
86.608881 75.045 38.9572
86.791986 75.194 37.8601
86.975092 75.290 36.4626
87.158197 75.318 35.0078
87.341303 75.292 33.7513
87.524408 75.251 32.7561
87.707514 75.222 31.8477
87.890619 75.196 30.8108
88.073725 75.149 29.6202
88.256830 75.075 28.4413
88.439935 75.003 27.3503
88.623041 74.965 26.1168
88.806146 74.938 24.3401
88.989252 74.845 21.8710
89.172357 74.606 19.0330
89.355463 74.205 16.4706
89.538568 73.707 14.7326
89.721674 73.215 13.8417
89.904779 72.782 13.2696
90.087885 72.344 12.5879
90.270990 71.796 12.1884
90.454095 71.124 13.2490
90.637201 70.519 16.8128
90.820306 70.283 22.2383
91.003412 70.491 27.0891
91.186517 70.864 29.7109
91.369623 71.098 30.5909
91.552728 71.102 31.1384
91.735834 70.969 32.3875
