* Measurement data measured by REW V5.40 beta 135
* Source: Vector average
* Format: Vector average
* Dated: Sep 11, 2026, 2:26:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L, R
* Measurement: LR
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.064 -149.4490
15.380859 69.033 -148.9225
15.747070 70.005 -153.4690
16.113281 70.898 -159.1378
16.479492 71.962 -167.7988
16.845703 72.649 -177.6997
17.211914 72.934 175.9237
17.578125 73.199 172.4394
17.944336 73.477 169.0103
18.310547 73.919 164.8587
18.676758 74.631 158.7717
19.042968 75.221 151.1497
19.409179 75.417 144.6072
19.775390 75.483 140.0295
20.141601 75.647 134.5280
20.507812 75.502 127.2895
20.874023 74.930 123.1630
21.240234 74.761 123.7415
21.606445 75.118 122.7581
21.972656 75.345 119.9010
22.338867 75.681 117.0585
22.705077 76.124 112.2398
23.071288 76.299 106.7858
23.437499 76.405 102.2204
23.803710 76.507 97.2780
24.169921 76.530 93.2884
24.536132 76.803 90.3239
24.902343 77.101 85.4287
25.268554 76.977 79.6334
25.634765 76.675 74.5826
26.000976 76.455 69.6344
26.367187 76.334 65.4527
26.733397 76.297 62.0036
27.099608 75.996 59.2169
27.465819 75.601 59.0418
27.832030 75.774 57.3621
28.198241 75.954 49.1103
28.564452 75.453 38.0271
28.930663 74.341 29.0810
29.296874 72.840 24.2971
29.663085 71.170 25.3935
30.029296 70.016 32.8754
30.395507 69.833 41.6298
30.761717 70.065 47.6388
31.127928 70.258 52.3035
31.494139 70.666 56.5256
31.860350 71.351 57.7825
32.226561 71.886 56.5067
32.592772 72.223 55.3935
32.958983 72.528 54.8899
33.325194 72.939 54.0667
33.691405 73.469 51.2445
34.057616 73.866 46.9780
34.423827 74.230 43.8730
34.790037 74.796 40.4632
35.156248 75.149 34.8803
35.522459 75.138 29.2393
35.888670 75.126 23.5135
36.254881 74.952 16.1140
36.621092 74.320 9.3472
36.987303 73.532 4.8900
37.353514 72.729 0.5599
37.719725 71.638 -3.1503
38.085936 70.485 -3.7086
38.452147 69.543 -2.3896
38.818357 68.654 -0.1192
39.184568 67.987 2.6225
39.550779 67.440 3.8226
39.916990 66.809 6.5547
40.283201 66.676 11.8474
40.649412 66.719 14.8091
41.015623 66.289 18.3192
41.381834 66.202 24.1577
41.748045 66.502 27.6825
42.114256 66.803 32.8655
42.480467 67.603 38.6924
42.846677 67.981 41.9336
43.212888 68.185 48.0101
43.579099 69.356 47.8284
43.945310 70.054 37.4297
44.311521 70.075 29.6967
44.677732 70.827 26.9688
45.043943 71.649 19.6183
45.410154 71.305 11.5195
45.776365 70.708 8.2217
46.142576 70.601 4.5149
46.508786 70.158 0.2847
46.874997 69.494 -0.9478
47.241208 68.526 -3.6620
47.607419 66.496 -4.0044
47.973630 65.289 6.2279
48.339841 65.986 12.0307
48.706052 66.212 15.2440
49.072263 66.440 23.7834
49.438474 66.897 31.0407
49.804685 67.470 37.6230
50.170896 69.059 37.9375
50.537106 70.505 28.4837
50.903317 71.034 19.1088
51.269528 71.384 15.0073
51.635739 71.933 9.7757
52.001950 71.844 1.5858
52.368161 71.319 -3.3582
52.734372 71.486 -5.9497
53.100583 71.885 -12.0541
53.466794 71.707 -18.5479
53.833005 71.381 -22.5121
54.199216 71.285 -27.0760
54.565426 71.050 -33.6425
54.931637 70.451 -39.7900
55.297848 69.765 -43.6746
55.664059 69.336 -47.9019
56.030270 68.657 -54.5754
56.396481 67.591 -57.8296
56.762692 67.448 -58.2668
57.128903 67.523 -65.7791
57.495114 66.483 -72.5068
57.861325 66.145 -70.9998
58.227536 67.094 -77.3164
58.593746 67.116 -90.0735
58.959957 66.754 -98.1375
59.326168 67.295 -105.6012
59.692379 67.840 -116.5123
60.058590 68.121 -124.9426
60.424801 68.923 -131.3888
60.791012 70.216 -140.1786
61.157223 71.647 -151.0337
61.523434 73.024 -162.5129
61.889645 74.283 -173.7804
62.255856 75.449 174.2144
62.622066 76.351 160.8449
62.988277 76.936 147.7296
63.354488 77.352 135.3887
63.720699 77.466 123.2839
64.086910 77.221 113.4498
64.453121 77.203 106.5776
64.819332 77.517 98.7166
65.185543 77.521 90.3621
65.551754 77.356 85.0439
65.917965 77.541 80.1932
66.284176 77.757 72.2933
66.650386 77.677 62.9666
67.016597 77.359 53.9983
67.382808 76.795 45.7588
67.749019 75.879 38.6985
68.115230 74.607 34.1859
68.481441 73.368 34.1114
68.847652 72.749 36.2163
69.213863 72.456 36.6671
69.580074 72.123 36.2292
69.946285 71.763 34.9174
70.312495 71.269 33.4845
70.678706 70.907 33.0189
71.044917 70.560 31.4360
71.411128 69.769 30.9320
71.777339 69.031 32.9731
72.143550 68.264 33.2032
72.509761 66.977 35.9027
72.875972 66.285 43.5074
73.242183 65.907 49.1107
73.608394 65.210 58.4136
73.974605 65.198 70.4960
74.340815 65.404 83.0139
74.707026 66.879 97.7874
75.073237 69.287 103.1727
75.439448 71.159 103.0468
75.805659 72.749 101.8698
76.171870 74.159 98.8651
76.538081 75.329 94.8858
76.904292 76.370 90.4563
77.270503 77.232 85.6767
77.636714 77.930 81.3350
78.002925 78.600 77.0702
78.369135 79.250 71.9374
78.735346 79.809 65.6839
79.101557 80.157 58.6910
79.467768 80.231 52.1568
79.833979 80.166 46.7864
80.200190 80.056 41.8648
80.566401 79.831 37.3906
80.932612 79.587 34.2781
81.298823 79.498 31.8325
81.665034 79.458 28.8671
82.031245 79.346 25.8481
82.397455 79.246 23.1181
82.763666 79.158 20.2217
83.129877 79.021 17.4261
83.496088 78.893 14.6016
83.862299 78.676 10.8191
84.228510 78.172 7.0195
84.594721 77.480 5.1093
84.960932 76.805 5.5839
85.327143 76.338 8.6606
85.693354 76.415 12.4726
86.059565 76.848 13.6232
86.425775 77.273 12.4979
86.791986 77.641 9.9025
87.158197 77.801 6.3922
87.524408 77.780 3.4224
87.890619 77.748 0.4974
88.256830 77.624 -2.8786
88.623041 77.500 -6.1884
88.989252 77.365 -11.0712
89.355463 76.782 -16.8203
89.721674 75.890 -20.0431
90.087885 75.115 -21.8149
90.454095 74.148 -22.3798
90.820306 73.406 -17.7991
91.186517 73.532 -14.1379
91.552728 73.355 -14.7748
91.918939 72.651 -13.6812
92.285150 72.075 -11.2956
92.651361 71.361 -9.2390
93.017572 70.675 -3.7654
93.383783 70.724 3.0353
93.749994 71.183 7.1105
94.116205 71.658 9.4500
94.482415 72.167 10.8112
94.848626 72.619 10.5598
95.214837 72.771 9.4907
95.581048 72.716 9.4486
95.947259 72.699 10.0662
96.313470 72.780 11.1542
96.679681 73.209 11.6591
97.045892 73.620 8.7487
97.412103 73.437 5.6152
97.778314 73.141 5.7006
98.144524 72.996 5.6006
98.510735 72.521 6.2785
98.876946 72.294 10.2593
99.243157 72.474 12.1608
99.609368 72.362 12.9911
99.975579 72.350 15.3942
100.341790 72.463 16.7201
100.708001 72.402 19.1149
101.074212 72.609 23.2329
101.440423 72.980 26.3766
101.806634 73.389 29.6873
102.172844 74.081 32.4819
102.539055 74.949 33.7123
102.905266 75.937 33.3641
103.271477 76.842 30.9007
103.637688 77.472 27.4966
104.003899 77.915 23.8130
104.370110 78.155 19.6599
104.736321 78.203 15.9857
105.102532 78.229 12.8275
105.468743 78.183 9.4708
105.834954 77.984 6.7348
106.201164 77.752 5.1570
106.567375 77.528 4.4532
106.933586 77.314 4.7236
107.299797 77.156 5.7936
107.666008 77.102 7.4006
108.032219 77.216 8.9152
108.398430 77.435 9.8631
108.764641 77.723 10.6218
109.130852 78.071 10.9838
109.497063 78.402 11.1495
109.863274 78.812 11.3466
110.229484 79.328 10.6525
110.595695 79.847 9.1326
110.961906 80.381 6.8788
111.328117 80.792 3.4460
111.694328 80.952 -0.0087
112.060539 81.044 -2.5876
112.426750 81.185 -5.2026
112.792961 81.273 -7.9647
113.159172 81.336 -10.1666
113.525383 81.477 -12.0419
113.891594 81.704 -14.2344
114.257804 81.951 -17.0807
114.624015 82.148 -20.4020
114.990226 82.274 -24.0154
115.356437 82.295 -28.0979
115.722648 82.169 -32.4617
116.088859 81.923 -36.8432
116.455070 81.534 -41.0042
116.821281 81.011 -43.9610
117.187492 80.523 -45.4808
117.553703 80.101 -46.6581
117.919914 79.666 -47.3834
118.286124 79.331 -47.3770
118.652335 79.097 -47.3296
119.018546 78.887 -46.8860
119.384757 78.808 -46.2605
119.750968 78.786 -46.7028
120.117179 78.674 -47.6826
120.483390 78.574 -48.3959
120.849601 78.534 -49.4481
121.215812 78.409 -50.8823
121.582023 78.187 -51.9318
121.948233 77.961 -52.6455
122.314444 77.705 -53.2254
122.680655 77.410 -52.9391
123.046866 77.206 -51.6884
123.413077 77.119 -50.4425
123.779288 77.104 -49.7214
124.145499 77.131 -49.7654
124.511710 77.125 -50.0144
124.877921 77.163 -49.5590
125.244132 77.318 -49.2083
125.610343 77.446 -49.5515
125.976553 77.570 -50.3023
126.342764 77.720 -52.1926
126.708975 77.732 -54.6880
127.075186 77.672 -56.2302
127.441397 77.671 -57.5767
127.807608 77.558 -59.4366
128.173819 77.358 -60.8400
128.540030 77.267 -62.3002
128.906241 77.170 -64.4443
129.272452 76.976 -66.0503
129.638663 76.794 -67.1226
130.004873 76.537 -68.6797
130.371084 76.116 -70.1869
130.737295 75.665 -71.3135
131.103506 75.172 -72.2025
131.469717 74.630 -71.5369
131.835928 74.274 -69.3329
132.202139 74.044 -67.2767
132.568350 73.828 -64.8778
132.934561 73.808 -62.6096
133.300772 73.823 -61.5858
133.666983 73.801 -60.3395
134.033193 73.919 -59.4611
134.399404 73.906 -59.8701
134.765615 73.692 -59.4219
135.131826 73.583 -58.1940
135.498037 73.499 -57.1279
135.864248 73.487 -55.0672
136.230459 73.685 -53.2929
136.596670 73.797 -52.2125
136.962881 73.879 -50.2685
137.329092 74.117 -48.6417
137.695303 74.372 -47.8949
138.061513 74.684 -47.3527
138.427724 75.067 -47.3217
138.793935 75.453 -47.4548
139.160146 75.856 -47.9459
139.526357 76.162 -49.0688
139.892568 76.393 -50.2347
140.258779 76.634 -52.0569
140.624990 76.762 -54.6235
140.991201 76.810 -56.8234
141.357412 76.903 -58.9355
141.723623 76.976 -61.2354
142.089833 77.039 -63.3076
142.456044 77.095 -65.4621
142.822255 77.068 -67.3683
143.188466 77.056 -68.8810
143.554677 77.045 -71.0381
143.920888 76.900 -73.5070
144.287099 76.715 -75.4608
144.653310 76.558 -77.3422
145.019521 76.350 -79.2505
145.385732 76.077 -81.0509
145.751942 75.706 -82.8937
146.118153 75.224 -84.3303
146.484364 74.713 -85.1204
146.850575 74.162 -85.1780
147.216786 73.597 -83.7120
147.582997 73.163 -80.8904
147.949208 72.835 -77.5178
148.315419 72.642 -73.0821
148.681630 72.841 -68.5610
149.047841 73.279 -66.1661
149.414052 73.675 -64.9262
149.780262 74.154 -63.9683
150.146473 74.662 -64.4552
150.512684 74.986 -65.6801
150.878895 75.249 -66.9043
151.245106 75.443 -69.1301
151.611317 75.414 -71.4767
151.977528 75.352 -72.7958
152.343739 75.347 -74.0574
152.709950 75.280 -75.0427
153.076161 75.255 -75.4771
153.442372 75.230 -76.1182
153.808582 75.181 -76.1068
154.174793 75.303 -76.0856
154.541004 75.371 -77.2807
154.907215 75.263 -77.7285
155.273426 75.317 -77.1627
155.639637 75.524 -77.4592
156.005848 75.697 -78.2357
156.372059 75.844 -78.9319
156.738270 75.959 -79.5085
157.104481 76.100 -80.2466
157.470692 76.227 -81.7884
157.836902 76.323 -83.2817
158.203113 76.581 -84.6495
158.569324 76.895 -87.0602
158.935535 77.053 -89.8398
159.301746 77.113 -92.5430
159.667957 77.083 -95.7016
160.034168 76.956 -98.9590
160.400379 76.784 -102.1890
160.766590 76.492 -104.9822
161.132801 76.173 -106.5280
161.499012 75.955 -108.0861
161.865222 75.668 -110.3116
162.231433 75.324 -111.9641
162.597644 75.057 -113.1533
162.963855 74.789 -114.0153
163.330066 74.533 -114.3642
163.696277 74.255 -114.8058
164.062488 73.931 -114.7350
