* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Sep 11, 2026, 11:12:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L 120.green.2, R 120.green.2
* Measurement: LR2
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 69.106 -157.3197
15.380859 69.852 -160.5650
15.747070 70.576 -163.9993
16.113281 71.251 -167.9793
16.479492 71.846 -172.5917
16.845703 72.379 -177.7084
17.211914 72.878 176.7423
17.578125 73.346 171.0380
17.944336 73.793 165.4088
18.310547 74.209 159.8762
18.676758 74.570 154.5006
19.042968 74.881 149.2537
19.409179 75.142 144.0553
19.775390 75.359 138.9763
20.141601 75.555 134.0575
20.507812 75.736 129.3034
20.874023 75.905 124.7742
21.240234 76.072 120.4085
21.606445 76.228 116.1220
21.972656 76.370 111.8944
22.338867 76.500 107.6398
22.705077 76.605 103.3247
23.071288 76.689 98.9830
23.437499 76.750 94.5863
23.803710 76.782 90.1686
24.169921 76.786 85.7803
24.536132 76.758 81.4059
24.902343 76.695 77.0936
25.268554 76.601 72.8806
25.634765 76.475 68.7566
26.000976 76.317 64.7787
26.367187 76.133 60.9588
26.733397 75.918 57.2763
27.099608 75.671 53.7763
27.465819 75.394 50.4486
27.832030 75.075 47.2970
28.198241 74.716 44.4019
28.564452 74.318 41.7930
28.930663 73.881 39.5564
29.296874 73.421 37.8264
29.663085 72.957 36.6444
30.029296 72.508 36.0905
30.395507 72.111 36.1721
30.761717 71.793 36.7406
31.127928 71.574 37.6707
31.494139 71.473 38.7051
31.860350 71.475 39.5708
32.226561 71.566 40.1210
32.592772 71.725 40.1736
32.958983 71.915 39.6829
33.325194 72.120 38.6884
33.691405 72.315 37.1802
34.057616 72.481 35.2584
34.423827 72.611 33.0003
34.790037 72.694 30.4383
35.156248 72.719 27.6833
35.522459 72.688 24.8134
35.888670 72.596 21.8730
36.254881 72.445 18.9595
36.621092 72.241 16.0988
36.987303 71.981 13.3483
37.353514 71.673 10.8077
37.719725 71.323 8.4903
38.085936 70.934 6.4706
38.452147 70.518 4.8249
38.818357 70.084 3.5453
39.184568 69.636 2.7120
39.550779 69.196 2.3449
39.916990 68.768 2.3982
40.283201 68.365 2.9138
40.649412 68.009 3.7982
41.015623 67.701 4.9596
41.381834 67.455 6.3589
41.748045 67.277 7.8020
42.114256 67.154 9.2076
42.480467 67.092 10.4933
42.846677 67.075 11.5125
43.212888 67.086 12.2964
43.579099 67.124 12.8054
43.945310 67.165 13.0231
44.311521 67.206 13.0564
44.677732 67.244 12.8900
45.043943 67.267 12.5938
45.410154 67.281 12.2654
45.776365 67.287 11.8809
46.142576 67.279 11.5269
46.508786 67.274 11.2321
46.874997 67.271 10.9526
47.241208 67.274 10.7532
47.607419 67.297 10.5790
47.973630 67.331 10.3766
48.339841 67.384 10.1663
48.706052 67.459 9.8416
49.072263 67.543 9.3804
49.438474 67.641 8.7789
49.804685 67.742 7.9446
50.170896 67.836 6.9037
50.537106 67.924 5.6410
50.903317 67.994 4.1100
51.269528 68.039 2.3726
51.635739 68.062 0.4029
52.001950 68.050 -1.8073
52.368161 68.001 -4.1974
52.734372 67.918 -6.8084
53.100583 67.789 -9.6201
53.466794 67.618 -12.5922
53.833005 67.400 -15.7834
54.199216 67.126 -19.1663
54.565426 66.802 -22.7411
54.931637 66.417 -26.5867
55.297848 65.963 -30.6852
55.664059 65.441 -35.1053
56.030270 64.837 -39.9767
56.396481 64.141 -45.3461
56.762692 63.354 -51.4205
57.128903 62.458 -58.4809
57.495114 61.455 -66.8065
57.861325 60.378 -76.9890
58.227536 59.283 -89.7277
58.593746 58.340 -105.5148
58.959957 57.837 -124.2776
59.326168 58.005 -144.3388
59.692379 58.828 -162.9730
60.058590 60.058 -178.6856
60.424801 61.412 168.5081
60.791012 62.737 158.0756
61.157223 63.975 149.3188
61.523434 65.101 141.7053
61.889645 66.113 134.9620
62.255856 67.026 128.8229
62.622066 67.840 123.1156
62.988277 68.567 117.7804
63.354488 69.217 112.7100
63.720699 69.792 107.8562
64.086910 70.300 103.2165
64.453121 70.749 98.7337
64.819332 71.137 94.4036
65.185543 71.472 90.2346
65.551754 71.757 86.1929
65.917965 71.992 82.2979
66.284176 72.184 78.5558
66.650386 72.334 74.9459
67.016597 72.439 71.4983
67.382808 72.510 68.2154
67.749019 72.542 65.0909
68.115230 72.539 62.1614
68.481441 72.506 59.4232
68.847652 72.441 56.8842
69.213863 72.348 54.5833
69.580074 72.232 52.5138
69.946285 72.094 50.6995
70.312495 71.938 49.1731
70.678706 71.772 47.9236
71.044917 71.597 46.9850
71.411128 71.424 46.3705
71.777339 71.258 46.0608
72.143550 71.107 46.0776
72.509761 70.983 46.3876
72.875972 70.891 46.9483
73.242183 70.840 47.7393
73.608394 70.838 48.6711
73.974605 70.885 49.6815
74.340815 70.986 50.7079
74.707026 71.135 51.6479
75.073237 71.327 52.4622
75.439448 71.558 53.0954
75.805659 71.818 53.4962
76.171870 72.096 53.6711
76.538081 72.390 53.5944
76.904292 72.688 53.2714
77.270503 72.985 52.7328
77.636714 73.278 51.9741
78.002925 73.559 51.0285
78.369135 73.829 49.9225
78.735346 74.084 48.6599
79.101557 74.320 47.2803
79.467768 74.540 45.7983
79.833979 74.742 44.2228
80.200190 74.923 42.5882
80.566401 75.087 40.8965
80.932612 75.232 39.1613
81.298823 75.359 37.4084
81.665034 75.469 35.6331
82.031245 75.560 33.8523
82.397455 75.636 32.0804
82.763666 75.696 30.3100
83.129877 75.740 28.5615
83.496088 75.770 26.8386
83.862299 75.785 25.1367
84.228510 75.787 23.4755
84.594721 75.778 21.8493
84.960932 75.756 20.2593
85.327143 75.722 18.7225
85.693354 75.678 17.2283
86.059565 75.623 15.7847
86.425775 75.560 14.4020
86.791986 75.486 13.0684
87.158197 75.404 11.7988
87.524408 75.315 10.5960
87.890619 75.217 9.4513
88.256830 75.113 8.3828
88.623041 75.003 7.3845
88.989252 74.888 6.4554
89.355463 74.767 5.6130
89.721674 74.644 4.8450
90.087885 74.516 4.1581
90.454095 74.387 3.5628
90.820306 74.258 3.0445
91.186517 74.127 2.6175
91.552728 73.998 2.2817
91.918939 73.871 2.0240
92.285150 73.747 1.8607
92.651361 73.629 1.7796
93.017572 73.516 1.7747
93.383783 73.410 1.8585
93.749994 73.312 2.0089
94.116205 73.222 2.2279
94.482415 73.143 2.5168
94.848626 73.075 2.8514
95.214837 73.017 3.2410
95.581048 72.973 3.6734
95.947259 72.940 4.1296
96.313470 72.919 4.6194
96.679681 72.914 5.1204
97.045892 72.919 5.6246
97.412103 72.936 6.1382
97.778314 72.968 6.6340
98.144524 73.010 7.1166
98.510735 73.063 7.5820
98.876946 73.129 8.0091
99.243157 73.202 8.4109
99.609368 73.286 8.7740
99.975579 73.378 9.0890
100.341790 73.476 9.3682
100.708001 73.583 9.5937
101.074212 73.695 9.7690
101.440423 73.812 9.9011
101.806634 73.936 9.9734
102.172844 74.061 9.9978
102.539055 74.191 9.9727
102.905266 74.323 9.8881
103.271477 74.457 9.7596
103.637688 74.595 9.5782
104.003899 74.732 9.3422
104.370110 74.871 9.0641
104.736321 75.011 8.7307
105.102532 75.149 8.3494
105.468743 75.289 7.9262
105.834954 75.428 7.4485
106.201164 75.565 6.9288
106.567375 75.703 6.3645
106.933586 75.838 5.7493
107.299797 75.972 5.0962
107.666008 76.104 4.3972
108.032219 76.233 3.6523
108.398430 76.359 2.8715
108.764641 76.484 2.0449
109.130852 76.603 1.1796
109.497063 76.720 0.2805
109.863274 76.833 -0.6613
110.229484 76.940 -1.6344
110.595695 77.045 -2.6401
110.961906 77.143 -3.6815
111.328117 77.236 -4.7467
111.694328 77.326 -5.8409
112.060539 77.408 -6.9620
112.426750 77.485 -8.1003
112.792961 77.556 -9.2627
113.159172 77.620 -10.4417
113.525383 77.679 -11.6315
113.891594 77.732 -12.8386
114.257804 77.777 -14.0523
114.624015 77.817 -15.2720
114.990226 77.851 -16.5005
115.356437 77.877 -17.7261
115.722648 77.899 -18.9530
116.088859 77.913 -20.1796
116.455070 77.921 -21.3969
116.821281 77.925 -22.6110
117.187492 77.921 -23.8159
117.553703 77.913 -25.0065
117.919914 77.899 -26.1896
118.286124 77.879 -27.3561
118.652335 77.855 -28.5060
119.018546 77.826 -29.6431
119.384757 77.792 -30.7577
119.750968 77.755 -31.8546
120.117179 77.713 -32.9343
120.483390 77.667 -33.9884
120.849601 77.618 -35.0248
121.215812 77.565 -36.0389
121.582023 77.509 -37.0270
121.948233 77.451 -37.9972
122.314444 77.389 -38.9418
122.680655 77.325 -39.8621
123.046866 77.259 -40.7634
123.413077 77.191 -41.6368
123.779288 77.121 -42.4885
124.145499 77.049 -43.3199
124.511710 76.976 -44.1232
124.877921 76.900 -44.9073
125.244132 76.824 -45.6684
125.610343 76.748 -46.4031
125.976553 76.670 -47.1204
126.342764 76.590 -47.8125
126.708975 76.511 -48.4811
127.075186 76.431 -49.1321
127.441397 76.350 -49.7560
127.807608 76.268 -50.3597
128.173819 76.187 -50.9442
128.540030 76.105 -51.5019
128.906241 76.024 -52.0419
129.272452 75.943 -52.5596
129.638663 75.861 -53.0520
130.004873 75.780 -53.5287
130.371084 75.700 -53.9808
130.737295 75.621 -54.4110
131.103506 75.542 -54.8251
131.469717 75.465 -55.2131
131.835928 75.389 -55.5839
132.202139 75.313 -55.9376
132.568350 75.240 -56.2669
132.934561 75.168 -56.5829
133.300772 75.097 -56.8802
133.666983 75.029 -57.1573
134.033193 74.963 -57.4250
134.399404 74.899 -57.6741
134.765615 74.837 -57.9094
135.131826 74.778 -58.1371
135.498037 74.720 -58.3480
135.864248 74.666 -58.5525
136.230459 74.614 -58.7509
136.596670 74.565 -58.9368
136.962881 74.519 -59.1226
137.329092 74.474 -59.3022
137.695303 74.433 -59.4760
138.061513 74.394 -59.6542
138.427724 74.357 -59.8272
138.793935 74.323 -60.0014
139.160146 74.291 -60.1814
139.526357 74.262 -60.3578
139.892568 74.235 -60.5419
140.258779 74.209 -60.7316
140.624990 74.186 -60.9209
140.991201 74.165 -61.1215
141.357412 74.144 -61.3253
141.723623 74.127 -61.5333
142.089833 74.110 -61.7540
142.456044 74.095 -61.9764
142.822255 74.081 -62.2074
143.188466 74.069 -62.4490
143.554677 74.057 -62.6923
143.920888 74.048 -62.9482
144.287099 74.038 -63.2122
144.653310 74.031 -63.4797
145.019521 74.024 -63.7615
145.385732 74.018 -64.0483
145.751942 74.015 -64.3425
146.118153 74.011 -64.6513
146.484364 74.007 -64.9639
146.850575 74.006 -65.2881
147.216786 74.004 -65.6251
147.582997 74.002 -65.9665
147.949208 74.002 -66.3242
148.315419 74.003 -66.6925
148.681630 74.004 -67.0684
149.047841 74.006 -67.4625
149.414052 74.008 -67.8654
149.780262 74.010 -68.2808
150.146473 74.013 -68.7150
150.512684 74.015 -69.1578
150.878895 74.019 -69.6174
151.245106 74.021 -70.0944
151.611317 74.023 -70.5809
151.977528 74.026 -71.0884
152.343739 74.027 -71.6107
152.709950 74.028 -72.1451
153.076161 74.028 -72.7015
153.442372 74.027 -73.2699
153.808582 74.024 -73.8545
154.174793 74.020 -74.4599
154.541004 74.015 -75.0758
154.907215 74.009 -75.7104
155.273426 74.001 -76.3624
155.639637 73.990 -77.0247
156.005848 73.979 -77.7073
156.372059 73.965 -78.4033
156.738270 73.948 -79.1104
157.104481 73.929 -79.8364
157.470692 73.906 -80.5716
157.836902 73.882 -81.3195
158.203113 73.854 -82.0838
158.569324 73.823 -82.8539
158.935535 73.789 -83.6376
159.301746 73.753 -84.4327
159.667957 73.712 -85.2324
160.034168 73.668 -86.0462
160.400379 73.620 -86.8662
160.766590 73.570 -87.6904
161.132801 73.515 -88.5265
161.499012 73.456 -89.3640
161.865222 73.394 -90.2070
162.231433 73.327 -91.0587
162.597644 73.256 -91.9078
162.963855 73.182 -92.7631
163.330066 73.103 -93.6220
163.696277 73.020 -94.4770
164.062488 72.932 -95.3386
164.428699 72.840 -96.1982
