* Measurement data measured by REW V5.40 beta 135
* Source: 
* Format: 
* Dated: Sep 11, 2026, 1:20:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of LX Cal file effects included LF tail from 16 Hz at 12 dB/octave No HF tail
* Measurement: LX-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 2.340 174.2032
0.732422 14.750 174.2020
1.098633 21.736 173.4780
1.464844 26.654 172.9569
1.831055 30.499 172.4966
2.197265 33.679 171.8493
2.563476 36.383 170.9300
2.929687 38.716 169.8334
3.295898 40.757 168.7110
3.662109 42.577 167.6431
4.028320 44.227 166.6107
4.394531 45.741 165.5579
4.760742 47.134 164.4646
5.126953 48.420 163.3576
5.493164 49.617 162.2655
5.859375 50.741 161.1779
6.225585 51.801 160.0576
6.591796 52.796 158.8920
6.958007 53.730 157.7212
7.324218 54.610 156.6060
7.690429 55.451 155.5615
8.056640 56.266 154.5276
8.422851 57.055 153.4177
8.789062 57.805 152.2068
9.155273 58.508 150.9706
9.521484 59.168 149.8278
9.887695 59.807 148.8304
10.253905 60.443 147.8999
10.620116 61.077 146.8861
10.986327 61.690 145.7083
11.352538 62.260 144.4473
11.718749 62.783 143.2929
12.084960 63.285 142.3839
12.451171 63.797 141.6692
12.817382 64.333 140.9300
13.183593 64.866 139.9864
13.549804 65.356 138.9061
13.916015 65.783 138.0220
14.282225 66.183 137.7266
14.648436 66.640 138.1412
15.014647 67.238 138.8844
15.380858 67.995 139.2339
15.747069 68.843 138.6253
16.113280 69.690 136.9696
16.479491 70.472 134.5486
16.845702 71.174 131.7288
17.211913 71.816 128.7443
17.578124 72.422 125.6269
17.944335 73.002 122.2773
18.310545 73.543 118.6043
18.676756 74.024 114.6248
19.042967 74.428 110.4675
19.409178 74.753 106.3036
19.775389 75.013 102.2648
20.141600 75.227 98.3948
20.507811 75.411 94.6582
20.874022 75.568 90.9915
21.240233 75.694 87.3588
21.606444 75.786 83.7709
21.972654 75.842 80.2631
22.338865 75.866 76.8587
22.705076 75.863 73.5495
23.071287 75.834 70.3080
23.437498 75.771 67.1194
23.803709 75.670 64.0052
24.169920 75.525 61.0212
24.536131 75.337 58.2341
24.902342 75.111 55.6967
25.268553 74.852 53.4403
25.634764 74.563 51.4875
26.000974 74.246 49.8741
26.367185 73.905 48.6605
26.733396 73.548 47.9229
27.099607 73.188 47.7309
27.465818 72.846 48.1267
27.832029 72.545 49.1124
28.198240 72.312 50.6418
28.564451 72.171 52.6059
28.930662 72.146 54.8172
29.296873 72.245 57.0201
29.663084 72.461 58.9435
30.029294 72.768 60.3735
30.395505 73.134 61.1985
30.761716 73.528 61.4043
31.127927 73.923 61.0381
31.494138 74.305 60.1727
31.860349 74.661 58.8830
32.226560 74.985 57.2376
32.592771 75.272 55.2962
32.958982 75.518 53.1102
33.325193 75.723 50.7238
33.691404 75.883 48.1758
34.057614 75.997 45.5030
34.423825 76.064 42.7421
34.790036 76.081 39.9309
35.156247 76.048 37.1085
35.522458 75.964 34.3150
35.888669 75.828 31.5917
36.254880 75.642 28.9819
36.621091 75.405 26.5319
36.987302 75.120 24.2905
37.353513 74.789 22.3082
37.719724 74.416 20.6364
38.085934 74.006 19.3265
38.452145 73.566 18.4302
38.818356 73.104 17.9973
39.184567 72.631 18.0730
39.550778 72.160 18.6926
39.916989 71.707 19.8748
40.283200 71.288 21.6156
40.649411 70.922 23.8822
41.015622 70.625 26.6096
41.381833 70.414 29.7005
41.748044 70.298 33.0309
42.114254 70.283 36.4616
42.480465 70.368 39.8525
42.846676 70.547 43.0762
43.212887 70.810 46.0258
43.579098 71.145 48.6191
43.945309 71.538 50.7988
44.311520 71.976 52.5310
44.677731 72.445 53.8006
45.043942 72.934 54.6073
45.410153 73.432 54.9618
45.776363 73.930 54.8824
46.142574 74.420 54.3937
46.508785 74.894 53.5246
46.874996 75.347 52.3069
47.241207 75.775 50.7733
47.607418 76.173 48.9568
47.973629 76.538 46.8902
48.339840 76.868 44.6053
48.706051 77.161 42.1333
49.072262 77.416 39.5044
49.438473 77.632 36.7474
49.804683 77.809 33.8898
50.170894 77.946 30.9577
50.537105 78.045 27.9757
50.903316 78.105 24.9669
51.269527 78.127 21.9529
51.635738 78.113 18.9533
52.001949 78.063 15.9865
52.368160 77.979 13.0690
52.734371 77.863 10.2164
53.100582 77.714 7.4425
53.466793 77.536 4.7602
53.833003 77.330 2.1806
54.199214 77.097 -0.2861
54.565425 76.839 -2.6310
54.931636 76.557 -4.8459
55.297847 76.253 -6.9230
55.664058 75.927 -8.8553
56.030269 75.582 -10.6361
56.396480 75.219 -12.2589
56.762691 74.839 -13.7172
57.128902 74.443 -15.0038
57.495113 74.032 -16.1109
57.861323 73.607 -17.0301
58.227534 73.171 -17.7519
58.593745 72.724 -18.2662
58.959956 72.267 -18.5617
59.326167 71.804 -18.6265
59.692378 71.337 -18.4477
60.058589 70.868 -18.0121
60.424800 70.402 -17.3074
60.791011 69.942 -16.3230
61.157222 69.495 -15.0518
61.523433 69.066 -13.4933
61.889643 68.662 -11.6556
62.255854 68.291 -9.5587
62.622065 67.960 -7.2365
62.988276 67.675 -4.7372
63.354487 67.439 -2.1216
63.720698 67.255 0.5417
64.086909 67.119 3.1838
64.453120 67.028 5.7431
64.819331 66.975 8.1723
65.185542 66.950 10.4409
65.551753 66.946 12.5356
65.917963 66.955 14.4583
66.284174 66.968 16.2229
66.650385 66.981 17.8524
67.016596 66.989 19.3765
67.382807 66.987 20.8284
67.749018 66.975 22.2437
68.115229 66.950 23.6585
68.481440 66.914 25.1094
68.847651 66.868 26.6321
69.213862 66.813 28.2616
69.580072 66.754 30.0303
69.946283 66.694 31.9677
70.312494 66.641 34.0980
70.678705 66.600 36.4386
71.044916 66.580 38.9965
71.411127 66.591 41.7655
71.777338 66.641 44.7228
72.143549 66.740 47.8271
72.509760 66.896 51.0190
72.875971 67.112 54.2244
73.242182 67.390 57.3607
73.608392 67.729 60.3457
73.974603 68.123 63.1049
74.340814 68.565 65.5788
74.707025 69.044 67.7256
75.073236 69.552 69.5214
75.439447 70.080 70.9575
75.805658 70.618 72.0379
76.171869 71.159 72.7752
76.538080 71.697 73.1879
76.904291 72.228 73.2979
77.270502 72.746 73.1285
77.636712 73.249 72.7036
78.002923 73.734 72.0464
78.369134 74.199 71.1798
78.735345 74.643 70.1252
79.101556 75.065 68.9029
79.467767 75.463 67.5320
79.833978 75.838 66.0303
80.200189 76.189 64.4144
80.566400 76.516 62.6995
80.932611 76.820 60.9000
81.298822 77.099 59.0290
81.665032 77.356 57.0987
82.031243 77.589 55.1205
82.397454 77.800 53.1048
82.763665 77.989 51.0613
83.129876 78.156 48.9989
83.496087 78.303 46.9260
83.862298 78.429 44.8502
84.228509 78.535 42.7786
84.594720 78.622 40.7177
84.960931 78.690 38.6738
85.327142 78.740 36.6523
85.693352 78.773 34.6586
86.059563 78.789 32.6977
86.425774 78.788 30.7744
86.791985 78.772 28.8932
87.158196 78.740 27.0586
87.524407 78.694 25.2749
87.890618 78.634 23.5463
88.256829 78.560 21.8772
88.623040 78.473 20.2717
88.989251 78.373 18.7343
89.355462 78.261 17.2692
89.721672 78.138 15.8810
90.087883 78.004 14.5743
90.454094 77.860 13.3536
90.820305 77.707 12.2238
91.186516 77.545 11.1897
91.552727 77.376 10.2560
91.918938 77.200 9.4275
92.285149 77.019 8.7085
92.651360 76.834 8.1030
93.017571 76.646 7.6146
93.383781 76.456 7.2461
93.749992 76.268 6.9996
94.116203 76.081 6.8761
94.482414 75.898 6.8753
94.848625 75.721 6.9955
95.214836 75.552 7.2331
95.581047 75.393 7.5828
95.947258 75.245 8.0373
96.313469 75.111 8.5873
96.679680 74.992 9.2216
97.045891 74.890 9.9273
97.412101 74.805 10.6902
97.778312 74.738 11.4948
98.144523 74.690 12.3253
98.510734 74.661 13.1658
98.876945 74.650 14.0005
99.243156 74.657 14.8150
99.609367 74.679 15.5960
99.975578 74.717 16.3319
100.341789 74.769 17.0127
100.708000 74.833 17.6307
101.074211 74.907 18.1800
101.440421 74.989 18.6565
101.806632 75.079 19.0580
102.172843 75.174 19.3838
102.539054 75.272 19.6348
102.905265 75.373 19.8127
103.271476 75.475 19.9205
103.637687 75.577 19.9617
104.003898 75.678 19.9404
104.370109 75.778 19.8611
104.736320 75.875 19.7286
105.102531 75.968 19.5477
105.468741 76.059 19.3233
105.834952 76.146 19.0602
106.201163 76.228 18.7628
106.567374 76.307 18.4354
106.933585 76.381 18.0821
107.299796 76.452 17.7065
107.666007 76.518 17.3120
108.032218 76.580 16.9016
108.398429 76.638 16.4780
108.764640 76.692 16.0436
109.130851 76.743 15.6005
109.497061 76.791 15.1504
109.863272 76.835 14.6949
110.229483 76.876 14.2351
110.595694 76.914 13.7722
110.961905 76.949 13.3070
111.328116 76.981 12.8403
111.694327 77.011 12.3727
112.060538 77.039 11.9047
112.426749 77.064 11.4369
112.792960 77.087 10.9695
113.159171 77.107 10.5031
113.525381 77.126 10.0380
113.891592 77.142 9.5745
114.257803 77.157 9.1131
114.624014 77.170 8.6540
114.990225 77.181 8.1976
115.356436 77.190 7.7444
115.722647 77.197 7.2947
116.088858 77.202 6.8488
116.455069 77.206 6.4071
116.821280 77.209 5.9701
117.187490 77.210 5.5379
117.553701 77.209 5.1110
117.919912 77.207 4.6895
118.286123 77.204 4.2737
118.652334 77.199 3.8637
119.018545 77.194 3.4596
119.384756 77.187 3.0615
119.750967 77.179 2.6696
120.117178 77.171 2.2837
120.483389 77.161 1.9039
120.849600 77.151 1.5302
121.215810 77.139 1.1625
121.582021 77.127 0.8010
121.948232 77.115 0.4455
122.314443 77.101 0.0961
122.680654 77.087 -0.2472
123.046865 77.072 -0.5843
123.413076 77.057 -0.9153
123.779287 77.041 -1.2400
124.145498 77.024 -1.5583
124.511709 77.007 -1.8701
124.877920 76.990 -2.1750
125.244130 76.971 -2.4730
125.610341 76.953 -2.7638
125.976552 76.934 -3.0472
126.342763 76.915 -3.3230
126.708974 76.895 -3.5909
127.075185 76.876 -3.8509
127.441396 76.856 -4.1026
127.807607 76.836 -4.3461
128.173818 76.816 -4.5812
128.540029 76.797 -4.8081
128.906240 76.777 -5.0267
129.272450 76.759 -5.2373
129.638661 76.740 -5.4401
130.004872 76.722 -5.6354
130.371083 76.706 -5.8238
130.737294 76.689 -6.0057
131.103505 76.674 -6.1817
131.469716 76.660 -6.3527
131.835927 76.647 -6.5192
132.202138 76.635 -6.6821
132.568349 76.624 -6.8423
132.934560 76.614 -7.0007
133.300770 76.606 -7.1581
133.666981 76.598 -7.3156
134.033192 76.592 -7.4740
134.399403 76.587 -7.6340
134.765614 76.583 -7.7967
135.131825 76.580 -7.9628
135.498036 76.578 -8.1329
135.864247 76.577 -8.3079
136.230458 76.577 -8.4881
136.596669 76.578 -8.6741
136.962880 76.579 -8.8664
137.329090 76.580 -9.0651
137.695301 76.582 -9.2705
138.061512 76.584 -9.4826
138.427723 76.586 -9.7016
138.793934 76.588 -9.9274
139.160145 76.590 -10.1597
139.526356 76.592 -10.3985
139.892567 76.593 -10.6435
140.258778 76.594 -10.8942
140.624989 76.595 -11.1504
140.991199 76.595 -11.4116
141.357410 76.595 -11.6775
141.723621 76.594 -11.9476
142.089832 76.593 -12.2216
142.456043 76.591 -12.4989
142.822254 76.589 -12.7793
143.188465 76.585 -13.0622
143.554676 76.582 -13.3475
143.920887 76.577 -13.6347
144.287098 76.572 -13.9238
144.653309 76.567 -14.2144
145.019519 76.561 -14.5065
145.385730 76.555 -14.7999
145.751941 76.548 -15.0947
146.118152 76.541 -15.3907
146.484363 76.533 -15.6880
146.850574 76.526 -15.9868
147.216785 76.517 -16.2872
147.582996 76.509 -16.5894
147.949207 76.500 -16.8935
148.315418 76.491 -17.1999
148.681629 76.482 -17.5088
149.047839 76.473 -17.8206
149.414050 76.463 -18.1355
149.780261 76.453 -18.4541
150.146472 76.443 -18.7764
150.512683 76.432 -19.1030
150.878894 76.421 -19.4341
151.245105 76.410 -19.7699
