* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 11, 2026, 11:48:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L-SP B = X801 
* Measurement: LX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.380859 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.380859 66.204 26.7082
15.747070 68.375 18.9234
16.113281 69.766 12.1510
16.479492 70.626 7.3781
16.845703 71.202 5.0298
17.211914 71.727 4.7398
17.578125 72.330 5.4134
17.944336 72.988 5.9646
18.310547 73.597 6.0156
18.676758 74.082 5.8383
19.042968 74.441 5.8743
19.409179 74.724 6.3491
19.775390 74.979 7.1628
20.141601 75.223 8.0492
20.507812 75.438 8.8295
20.874023 75.600 9.5199
21.240234 75.707 10.2411
21.606445 75.776 11.0606
21.972656 75.827 11.9156
22.338867 75.865 12.6638
22.705078 75.879 13.1949
23.071288 75.855 13.4925
23.437499 75.786 13.6064
23.803710 75.673 13.5846
24.169921 75.523 13.4326
24.536132 75.339 13.1253
24.902343 75.120 12.6478
25.268554 74.863 12.0226
25.634765 74.569 11.3040
26.000976 74.244 10.5563
26.367187 73.897 9.8404
26.733398 73.538 9.2204
27.099608 73.177 8.7790
27.465819 72.831 8.6185
27.832030 72.522 8.8371
28.198241 72.279 9.4877
28.564452 72.132 10.5418
28.930663 72.104 11.8790
29.296874 72.205 13.3134
29.663085 72.424 14.6467
30.029296 72.738 15.7250
30.395507 73.111 16.4751
30.761717 73.513 16.9060
31.127928 73.916 17.0826
31.494139 74.303 17.0889
31.860350 74.663 16.9982
32.226561 74.990 16.8607
32.592772 75.281 16.7056
32.958983 75.531 16.5503
33.325194 75.739 16.4066
33.691405 75.901 16.2817
34.057616 76.017 16.1779
34.423827 76.086 16.0928
34.790037 76.104 16.0238
35.156248 76.072 15.9709
35.522459 75.988 15.9379
35.888670 75.851 15.9299
36.254881 75.662 15.9512
36.621092 75.422 16.0054
36.987303 75.133 16.0972
37.353514 74.797 16.2337
37.719725 74.417 16.4228
38.085936 74.000 16.6717
38.452147 73.552 16.9841
38.818357 73.082 17.3615
39.184568 72.601 17.8033
39.550779 72.121 18.3066
39.916990 71.659 18.8623
40.283201 71.233 19.4505
40.649412 70.861 20.0392
41.015623 70.561 20.5881
41.381834 70.347 21.0554
41.748045 70.230 21.4065
42.114256 70.214 21.6207
42.480467 70.299 21.6971
42.846677 70.479 21.6550
43.212888 70.743 21.5300
43.579099 71.079 21.3654
43.945310 71.474 21.2023
44.311521 71.915 21.0722
44.677732 72.388 20.9951
45.043943 72.882 20.9801
45.410154 73.386 21.0276
45.776365 73.890 21.1309
46.142576 74.387 21.2792
46.508787 74.869 21.4598
46.874997 75.330 21.6607
47.241208 75.765 21.8721
47.607419 76.171 22.0870
47.973630 76.543 22.2997
48.339841 76.880 22.5063
48.706052 77.179 22.7041
49.072263 77.439 22.8925
49.438474 77.660 23.0724
49.804685 77.840 23.2464
50.170896 77.980 23.4176
50.537107 78.081 23.5892
50.903317 78.141 23.7643
51.269528 78.164 23.9459
51.635739 78.149 24.1366
52.001950 78.097 24.3383
52.368161 78.011 24.5522
52.734372 77.892 24.7787
53.100583 77.740 25.0177
53.466794 77.558 25.2680
53.833005 77.348 25.5273
54.199216 77.110 25.7922
54.565426 76.847 26.0578
54.931637 76.560 26.3190
55.297848 76.251 26.5704
55.664059 75.921 26.8063
56.030270 75.571 27.0208
56.396481 75.202 27.2074
56.762692 74.817 27.3599
57.128903 74.416 27.4731
57.495114 74.000 27.5437
57.861325 73.570 27.5704
58.227536 73.128 27.5541
58.593746 72.675 27.4980
58.959957 72.214 27.4081
59.326168 71.745 27.2947
59.692379 71.272 27.1719
60.058590 70.798 27.0582
60.424801 70.326 26.9756
60.791012 69.860 26.9488
61.157223 69.407 27.0033
61.523434 68.973 27.1636
61.889645 68.565 27.4488
62.255856 68.192 27.8682
62.622066 67.860 28.4174
62.988277 67.576 29.0758
63.354488 67.346 29.8079
63.720699 67.169 30.5672
64.086910 67.045 31.3035
64.453121 66.968 31.9709
64.819332 66.928 32.5350
65.185543 66.918 32.9755
65.551754 66.927 33.2862
65.917965 66.948 33.4716
66.284176 66.971 33.5430
66.650386 66.992 33.5155
67.016597 67.005 33.4059
67.382808 67.007 33.2313
67.749019 66.997 33.0084
68.115230 66.972 32.7526
68.481441 66.934 32.4789
68.847652 66.883 32.2019
69.213863 66.822 31.9372
69.580074 66.754 31.7017
69.946285 66.684 31.5136
70.312496 66.618 31.3917
70.678706 66.562 31.3553
71.044917 66.525 31.4224
71.411128 66.516 31.6073
71.777339 66.545 31.9171
72.143550 66.623 32.3469
72.509761 66.758 32.8785
72.875972 66.956 33.4805
73.242183 67.220 34.1130
73.608394 67.548 34.7337
73.974605 67.937 35.3056
74.340816 68.378 35.8018
74.707026 68.860 36.2085
75.073237 69.375 36.5240
75.439448 69.911 36.7563
75.805659 70.459 36.9192
76.171870 71.013 37.0286
76.538081 71.564 37.1006
76.904292 72.108 37.1494
77.270503 72.640 37.1871
77.636714 73.157 37.2234
78.002925 73.656 37.2653
78.369135 74.134 37.3177
78.735346 74.591 37.3839
79.101557 75.025 37.4658
79.467768 75.434 37.5645
79.833979 75.820 37.6800
80.200190 76.180 37.8117
80.566401 76.516 37.9585
80.932612 76.828 38.1190
81.298823 77.115 38.2918
81.665034 77.377 38.4754
82.031245 77.616 38.6682
82.397455 77.832 38.8686
82.763666 78.025 39.0749
83.129877 78.196 39.2857
83.496088 78.345 39.4997
83.862299 78.472 39.7156
84.228510 78.580 39.9323
84.594721 78.668 40.1486
84.960932 78.737 40.3634
85.327143 78.787 40.5757
85.693354 78.819 40.7846
86.059565 78.834 40.9895
86.425775 78.833 41.1899
86.791986 78.815 41.3854
87.158197 78.782 41.5757
87.524408 78.733 41.7608
87.890619 78.671 41.9407
88.256830 78.594 42.1153
88.623041 78.504 42.2850
88.989252 78.401 42.4501
89.355463 78.286 42.6112
89.721674 78.160 42.7687
90.087885 78.022 42.9233
90.454095 77.874 43.0756
90.820306 77.716 43.2264
91.186517 77.550 43.3767
91.552728 77.376 43.5275
91.918939 77.195 43.6799
92.285150 77.009 43.8349
92.651361 76.818 43.9933
93.017572 76.624 44.1559
93.383783 76.429 44.3236
93.749994 76.234 44.4972
94.116205 76.042 44.6775
94.482415 75.854 44.8648
94.848626 75.671 45.0593
95.214837 75.497 45.2608
95.581048 75.334 45.4685
95.947259 75.182 45.6816
96.313470 75.045 45.8988
96.679681 74.924 46.1186
97.045892 74.820 46.3390
97.412103 74.734 46.5582
97.778314 74.668 46.7737
98.144525 74.621 46.9836
98.510735 74.593 47.1861
98.876946 74.585 47.3801
99.243157 74.595 47.5651
99.609368 74.621 47.7413
99.975579 74.664 47.9094
100.341790 74.720 48.0705
100.708001 74.789 48.2259
101.074212 74.868 48.3771
101.440423 74.955 48.5259
101.806634 75.050 48.6744
102.172844 75.150 48.8242
102.539055 75.253 48.9769
102.905266 75.359 49.1337
103.271477 75.465 49.2956
103.637688 75.571 49.4629
104.003899 75.676 49.6358
104.370110 75.778 49.8143
104.736321 75.878 49.9980
105.102532 75.974 50.1866
105.468743 76.067 50.3797
105.834954 76.155 50.5766
106.201164 76.239 50.7765
106.567375 76.319 50.9782
106.933586 76.394 51.1809
107.299797 76.465 51.3835
107.666008 76.531 51.5853
108.032219 76.593 51.7855
108.398430 76.651 51.9837
108.764641 76.705 52.1794
109.130852 76.756 52.3723
109.497063 76.803 52.5622
109.863274 76.846 52.7491
110.229484 76.887 52.9328
110.595695 76.925 53.1137
110.961906 76.959 53.2919
111.328117 76.992 53.4678
111.694328 77.021 53.6419
112.060539 77.049 53.8148
112.426750 77.073 53.9870
112.792961 77.096 54.1591
113.159172 77.117 54.3315
113.525383 77.135 54.5049
113.891594 77.152 54.6795
114.257804 77.166 54.8557
114.624015 77.179 55.0336
114.990226 77.189 55.2134
115.356437 77.198 55.3952
115.722648 77.205 55.5791
116.088859 77.211 55.7649
116.455070 77.214 55.9527
116.821281 77.216 56.1422
117.187492 77.217 56.3331
117.553703 77.216 56.5252
117.919914 77.214 56.7182
118.286124 77.210 56.9115
118.652335 77.205 57.1050
119.018546 77.199 57.2982
119.384757 77.192 57.4908
119.750968 77.184 57.6826
120.117179 77.176 57.8733
120.483390 77.166 58.0628
120.849601 77.155 58.2511
121.215812 77.144 58.4380
121.582023 77.131 58.6238
121.948234 77.118 58.8084
122.314444 77.105 58.9920
122.680655 77.091 59.1749
123.046866 77.076 59.3571
123.413077 77.060 59.5388
123.779288 77.044 59.7202
124.145499 77.027 59.9014
124.511710 77.010 60.0826
124.877921 76.992 60.2642
125.244132 76.974 60.4465
125.610343 76.955 60.6296
125.976553 76.936 60.8135
126.342764 76.916 60.9984
126.708975 76.896 61.1842
127.075186 76.876 61.3708
127.441397 76.856 61.5583
127.807608 76.835 61.7467
128.173819 76.815 61.9359
128.540030 76.795 62.1257
128.906241 76.775 62.3161
129.272452 76.755 62.5069
129.638663 76.736 62.6981
130.004873 76.718 62.8895
130.371084 76.700 63.0810
130.737295 76.683 63.2723
131.103506 76.667 63.4634
131.469717 76.653 63.6541
131.835928 76.639 63.8443
132.202139 76.627 64.0339
132.568350 76.615 64.2231
132.934561 76.606 64.4118
133.300772 76.597 64.6000
133.666983 76.590 64.7877
134.033193 76.584 64.9751
134.399404 76.579 65.1622
134.765615 76.576 65.3490
135.131826 76.574 65.5357
135.498037 76.572 65.7224
135.864248 76.572 65.9092
136.230459 76.572 66.0961
136.596670 76.574 66.2832
136.962881 76.575 66.4705
137.329092 76.578 66.6582
137.695303 76.580 66.8463
138.061513 76.583 67.0347
138.427724 76.586 67.2236
138.793935 76.589 67.4130
139.160146 76.591 67.6027
139.526357 76.594 67.7928
139.892568 76.596 67.9833
140.258779 76.598 68.1741
140.624990 76.599 68.3652
140.991201 76.600 68.5565
141.357412 76.600 68.7481
141.723623 76.599 68.9398
142.089833 76.598 69.1316
142.456044 76.596 69.3234
142.822255 76.593 69.5153
143.188466 76.590 69.7071
143.554677 76.586 69.8989
143.920888 76.582 70.0907
144.287099 76.577 70.2824
144.653310 76.571 70.4739
145.019521 76.565 70.6653
145.385732 76.558 70.8564
145.751943 76.551 71.0472
146.118153 76.544 71.2377
146.484364 76.536 71.4280
146.850575 76.528 71.6182
147.216786 76.520 71.8086
147.582997 76.511 71.9991
147.949208 76.502 72.1898
148.315419 76.493 72.3807
148.681630 76.484 72.5718
149.047841 76.475 72.7630
149.414052 76.465 72.9543
149.780263 76.455 73.1457
150.146473 76.445 73.3373
150.512684 76.435 73.5290
150.878895 76.425 73.7208
151.245106 76.414 73.9129
151.611317 76.402 74.1051
151.977528 76.390 74.2975
152.343739 76.378 74.4901
152.709950 76.365 74.6828
153.076161 76.351 74.8757
153.442372 76.336 75.0689
153.808582 76.320 75.2622
154.174793 76.304 75.4559
154.541004 76.286 75.6497
154.907215 76.267 75.8438
155.273426 76.247 76.0379
155.639637 76.226 76.2321
156.005848 76.203 76.4261
156.372059 76.178 76.6200
156.738270 76.152 76.8138
157.104481 76.124 77.0074
157.470692 76.094 77.2009
157.836902 76.062 77.3944
158.203113 76.029 77.5879
158.569324 75.993 77.7814
158.935535 75.955 77.9749
159.301746 75.915 78.1683
159.667957 75.872 78.3618
160.034168 75.828 78.5555
160.400379 75.780 78.7492
160.766590 75.731 78.9431
161.132801 75.679 79.1370
161.499012 75.624 79.3311
161.865222 75.567 79.5253
162.231433 75.507 79.7197
162.597644 75.445 79.9142
162.963855 75.379 80.1088
163.330066 75.312 80.3035
163.696277 75.241 80.4983
164.062488 75.168 80.6933
164.428699 75.092 80.8883
164.794910 75.013 81.0834
165.161121 74.932 81.2787
165.527332 74.847 81.4742
165.893542 74.761 81.6699
166.259753 74.671 81.8656
166.625964 74.579 82.0615
166.992175 74.484 82.2572
167.358386 74.387 82.4530
167.724597 74.287 82.6487
168.090808 74.185 82.8443
168.457019 74.080 83.0399
168.823230 73.973 83.2355
