* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -27.2 dBFS, measurement signal peak level -15.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:28:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP+20cm TO THE RIGHT 4.180m from front wall  2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.4548 ms (-156 mm, -6.14 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.6 ppm
* Measurement: R 120.green.4
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.330 -157.7526
15.123451 68.488 -158.5348
15.233042 68.686 -159.3509
15.343426 68.895 -160.2443
15.454611 69.111 -161.2322
15.566602 69.335 -162.2798
15.679404 69.560 -163.4123
15.793023 69.784 -164.6556
15.907466 70.008 -165.9913
16.022738 70.229 -167.4129
16.138845 70.442 -168.9245
16.255794 70.650 -170.5362
16.373590 70.850 -172.2271
16.492240 71.041 -173.9702
16.611750 71.222 -175.7854
16.732125 71.395 -177.6602
16.853373 71.559 -179.5481
16.975500 71.713 178.5359
17.098511 71.859 176.5910
17.222414 71.998 174.6638
17.347215 72.129 172.7445
17.472920 72.253 170.8258
17.599536 72.372 168.9382
17.727069 72.485 167.0727
17.855527 72.593 165.2223
17.984915 72.697 163.3973
18.115241 72.799 161.5906
18.246512 72.898 159.7955
18.378734 72.996 158.0100
18.511914 73.091 156.2295
18.646058 73.186 154.4501
18.781175 73.280 152.6665
18.917272 73.375 150.8768
19.054354 73.468 149.0860
19.192430 73.562 147.2873
19.331506 73.655 145.4855
19.471590 73.747 143.6909
19.612689 73.839 141.8935
19.754811 73.929 140.1079
19.897962 74.019 138.3374
20.042151 74.107 136.5776
20.187385 74.193 134.8421
20.333671 74.278 133.1244
20.481017 74.361 131.4275
20.629431 74.442 129.7528
20.778920 74.522 128.0956
20.929493 74.601 126.4551
21.081157 74.680 124.8277
21.233919 74.757 123.2106
21.387789 74.834 121.5989
21.542774 74.910 119.9914
21.698882 74.985 118.3823
21.856121 75.060 116.7699
22.014499 75.134 115.1519
22.174025 75.207 113.5237
22.334708 75.278 111.8861
22.496554 75.347 110.2324
22.659573 75.414 108.5637
22.823774 75.479 106.8769
22.989164 75.541 105.1693
23.155753 75.601 103.4407
23.323549 75.657 101.6862
23.492562 75.712 99.9098
23.662798 75.764 98.1050
23.834269 75.814 96.2798
24.006982 75.863 94.4284
24.180946 75.909 92.5600
24.356171 75.955 90.6715
24.532666 75.998 88.7706
24.710440 76.040 86.8574
24.889502 76.080 84.9359
25.069862 76.118 83.0074
25.251528 76.152 81.0719
25.434511 76.183 79.1283
25.618820 76.208 77.1742
25.804465 76.228 75.2042
25.991454 76.242 73.2146
26.179799 76.248 71.1958
26.369509 76.245 69.1444
26.560593 76.233 67.0473
26.753062 76.211 64.9044
26.946926 76.177 62.7015
27.142194 76.131 60.4441
27.338878 76.072 58.1171
27.536987 75.998 55.7359
27.736531 75.909 53.2846
27.937521 75.804 50.7898
28.139968 75.682 48.2387
28.343882 75.543 45.6648
28.549273 75.384 43.0653
28.756153 75.207 40.4684
28.964532 75.011 37.8912
29.174421 74.795 35.3484
29.385831 74.561 32.8752
29.598773 74.307 30.4790
29.813258 74.035 28.1967
30.029297 73.747 26.0385
30.246902 73.443 24.0325
30.466083 73.126 22.1895
30.686853 72.799 20.5327
30.909222 72.465 19.0634
31.133203 72.128 17.7960
31.358807 71.792 16.7311
31.586046 71.462 15.8547
31.814932 71.140 15.1746
32.045476 70.832 14.6517
32.277691 70.540 14.2726
32.511588 70.268 14.0146
32.747180 70.016 13.8269
32.984480 69.784 13.6901
33.223499 69.571 13.5651
33.464250 69.375 13.4149
33.706746 69.192 13.2218
33.950999 69.019 12.9590
34.197022 68.851 12.6150
34.444828 68.684 12.1851
34.694429 68.515 11.6646
34.945839 68.338 11.0637
35.199071 68.151 10.3959
35.454138 67.951 9.6846
35.711054 67.738 8.9583
35.969831 67.511 8.2336
36.230483 67.270 7.5323
36.493024 67.018 6.8855
36.757467 66.754 6.3176
37.023827 66.481 5.8519
37.292117 66.203 5.5116
37.562351 65.923 5.3152
37.834543 65.645 5.2758
38.108708 65.375 5.4027
38.384859 65.116 5.6959
38.663012 64.876 6.1451
38.943180 64.659 6.7357
39.225378 64.469 7.4442
39.509622 64.311 8.2356
39.795925 64.188 9.0617
40.084302 64.100 9.8732
40.374770 64.048 10.6147
40.667342 64.028 11.2278
40.962034 64.036 11.6502
41.258862 64.066 11.8221
41.557841 64.109 11.6913
41.858986 64.155 11.2106
42.162313 64.194 10.3369
42.467839 64.218 9.0292
42.775578 64.214 7.2473
43.085548 64.174 4.9518
43.397763 64.087 2.0988
43.712242 63.945 -1.3663
44.028998 63.742 -5.5132
44.348051 63.474 -10.4331
44.669415 63.138 -16.2455
44.993108 62.740 -23.0980
45.319147 62.290 -31.1774
45.647548 61.820 -40.6974
45.978329 61.379 -51.8522
46.311507 61.045 -64.7115
46.647099 60.910 -79.0598
46.985123 61.052 -94.2870
47.325597 61.490 -109.5084
47.668537 62.172 -123.9146
48.013963 63.007 -137.0547
48.361892 63.903 -148.8484
48.712342 64.795 -159.4354
49.065332 65.641 -169.0291
49.420880 66.420 -177.8348
49.779004 67.120 173.9797
50.139723 67.738 166.2870
50.503056 68.277 158.9999
50.869022 68.738 152.0621
51.237640 69.124 145.4418
51.608929 69.440 139.1264
51.982909 69.688 133.1174
52.359598 69.870 127.4275
52.739018 69.992 122.0780
53.121186 70.055 117.0966
53.506124 70.064 112.5173
53.893852 70.022 108.3785
54.284389 69.935 104.7223
54.677756 69.810 101.5945
55.073973 69.655 99.0402
55.473062 69.481 97.1012
55.875043 69.303 95.8104
56.279936 69.138 95.1826
56.687764 69.007 95.2036
57.098547 68.929 95.8165
57.512306 68.928 96.9141
57.929064 69.017 98.3405
58.348842 69.205 99.9025
58.771662 69.490 101.3969
59.197546 69.862 102.6412
59.626515 70.301 103.4962
60.058594 70.787 103.8775
60.493803 71.299 103.7529
60.932166 71.817 103.1286
61.373706 72.327 102.0362
61.818445 72.815 100.5235
62.266407 73.273 98.6475
62.717615 73.695 96.4674
63.172093 74.075 94.0416
63.629864 74.410 91.4284
64.090952 74.700 88.6857
64.555381 74.943 85.8664
65.023176 75.140 83.0202
65.494361 75.293 80.1992
65.968960 75.403 77.4534
66.446998 75.474 74.8253
66.928501 75.510 72.3591
67.413492 75.516 70.0960
67.901998 75.497 68.0692
68.394044 75.462 66.3070
68.889655 75.420 64.8284
69.388858 75.379 63.6388
69.891679 75.351 62.7274
70.398142 75.346 62.0630
70.908276 75.373 61.5976
71.422107 75.442 61.2586
71.939661 75.555 60.9613
72.460965 75.713 60.6149
72.986047 75.914 60.1257
73.514934 76.150 59.4184
74.047654 76.411 58.4291
74.584234 76.686 57.1215
75.124702 76.963 55.4774
75.669086 77.231 53.4987
76.217416 77.478 51.2043
76.769719 77.697 48.6224
77.326024 77.877 45.7941
77.886360 78.014 42.7611
78.450757 78.102 39.5762
79.019243 78.137 36.2875
79.591849 78.115 32.9536
80.168605 78.033 29.6273
80.749539 77.892 26.3710
81.334684 77.691 23.2455
81.924068 77.430 20.3154
82.517724 77.112 17.6523
83.115681 76.740 15.3285
83.717972 76.319 13.4254
84.324627 75.857 12.0273
84.935678 75.366 11.2221
85.551157 74.863 11.0927
86.171096 74.369 11.7055
86.795527 73.913 13.0918
87.424483 73.528 15.2168
88.057997 73.247 17.9553
88.696102 73.098 21.0894
89.338830 73.091 24.3318
89.986216 73.222 27.3827
90.638293 73.468 29.9985
91.295096 73.798 32.0298
91.956658 74.180 33.4235
92.623013 74.584 34.2012
93.294198 74.990 34.4311
93.970246 75.381 34.2020
94.651193 75.749 33.6072
95.337075 76.089 32.7343
96.027927 76.400 31.6606
96.723785 76.682 30.4509
97.424685 76.940 29.1556
98.130664 77.177 27.8109
98.841760 77.398 26.4402
99.558008 77.607 25.0546
100.279446 77.808 23.6539
101.006112 78.007 22.2287
101.738044 78.205 20.7628
102.475280 78.403 19.2367
103.217858 78.602 17.6295
103.965817 78.802 15.9216
104.719197 79.001 14.0957
105.478035 79.197 12.1384
106.242372 79.387 10.0406
107.012248 79.570 7.7980
107.787703 79.741 5.4095
108.568777 79.898 2.8780
109.355511 80.038 0.2106
110.147947 80.158 -2.5833
110.946124 80.256 -5.4915
111.750085 80.330 -8.4990
112.559873 80.376 -11.5885
113.375528 80.393 -14.7408
114.197094 80.379 -17.9352
115.024613 80.334 -21.1487
115.858129 80.255 -24.3578
116.697684 80.142 -27.5383
117.543324 79.995 -30.6652
118.395091 79.815 -33.7135
119.253031 79.603 -36.6583
120.117188 79.360 -39.4745
120.987606 79.088 -42.1384
121.864332 78.790 -44.6278
122.747411 78.468 -46.9219
123.636890 78.128 -49.0026
124.532814 77.774 -50.8544
125.435230 77.409 -52.4658
126.344185 77.039 -53.8299
127.259727 76.671 -54.9445
128.181904 76.308 -55.8129
129.110763 75.959 -56.4454
130.046352 75.628 -56.8597
130.988722 75.320 -57.0811
131.937920 75.042 -57.1432
132.893997 74.796 -57.0867
133.857001 74.585 -56.9584
134.826984 74.409 -56.8082
135.803996 74.268 -56.6850
136.788088 74.159 -56.6337
137.779311 74.077 -56.6910
138.777717 74.018 -56.8844
139.783357 73.976 -57.2316
140.796285 73.947 -57.7413
141.816553 73.925 -58.4144
142.844214 73.906 -59.2475
143.879322 73.888 -60.2345
144.921931 73.867 -61.3694
145.972095 73.841 -62.6471
147.029869 73.808 -64.0637
148.095308 73.767 -65.6177
149.168468 73.715 -67.3089
150.249404 73.651 -69.1388
151.338173 73.573 -71.1088
152.434832 73.477 -73.2203
153.539437 73.362 -75.4733
154.652047 73.223 -77.8671
155.772720 73.058 -80.3995
156.901513 72.863 -83.0672
158.038486 72.634 -85.8656
159.183698 72.368 -88.7906
160.337209 72.061 -91.8403
161.499079 71.708 -95.0145
162.669367 71.306 -98.3179
163.848137 70.849 -101.7602
165.035448 70.329 -105.3586
166.231363 69.740 -109.1400
167.435944 69.069 -113.1435
168.649254 68.303 -117.4262
169.871356 67.422 -122.0724
171.102314 66.402 -127.2106
172.342191 65.206 -133.0486
173.591054 63.788 -139.9458
174.848966 62.087 -148.5847
176.115994 60.047 -160.3750
177.392203 57.733 -178.3979
178.677660 55.803 152.0498
179.972432 55.854 113.5529
181.276587 57.885 83.6455
182.590191 60.295 65.1593
183.913315 62.422 52.8025
185.246027 64.200 43.4716
186.588396 65.682 35.7567
187.940492 66.927 28.9880
189.302387 67.980 22.8217
190.674150 68.875 17.0693
192.055853 69.638 11.6229
193.447569 70.288 6.4171
194.849370 70.841 1.4116
196.261329 71.307 -3.4199
197.683519 71.697 -8.0947
199.116016 72.020 -12.6239
200.558892 72.281 -17.0148
202.012225 72.485 -21.2726
203.476089 72.637 -25.4001
204.950560 72.741 -29.3976
206.435716 72.799 -33.2637
207.931635 72.814 -36.9951
209.438393 72.787 -40.5868
210.956070 72.721 -44.0304
212.484745 72.617 -47.3159
214.024497 72.476 -50.4301
215.575406 72.300 -53.3560
217.137555 72.089 -56.0720
218.711023 71.846 -58.5516
220.295893 71.574 -60.7628
221.892248 71.275 -62.6677
223.500171 70.956 -64.2247
225.119745 70.624 -65.3904
226.751056 70.290 -66.1243
228.394187 69.968 -66.3992
230.049226 69.675 -66.2122
231.716257 69.430 -65.5981
233.395369 69.252 -64.6395
235.086648 69.155 -63.4692
236.790182 69.148 -62.2560
238.506062 69.227 -61.1780
240.234375 69.382 -60.3940
241.975212 69.594 -60.0198
243.728664 69.844 -60.1184
245.494823 70.111 -60.7042
247.273780 70.377 -61.7551
249.065627 70.628 -63.2251
250.870459 70.853 -65.0563
252.688370 71.046 -67.1866
254.519454 71.201 -69.5553
