* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.9 dBFS, measurement signal peak level -14.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:05:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP 4.18m from front wall 3.32m from RLand L speaker  1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Measurement: R.0
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.641 -156.5884
15.123451 68.810 -157.6749
15.233042 69.011 -158.7879
15.343426 69.214 -159.9534
15.454611 69.417 -161.1826
15.566602 69.620 -162.4596
15.679404 69.821 -163.7933
15.793023 70.019 -165.1918
15.907466 70.217 -166.6503
16.022738 70.413 -168.1623
16.138845 70.605 -169.7226
16.255794 70.797 -171.3361
16.373590 70.985 -172.9941
16.492240 71.169 -174.6809
16.611750 71.351 -176.4025
16.732125 71.528 -178.1563
16.853373 71.702 -179.9243
16.975500 71.871 178.2885
17.098511 72.037 176.4800
17.222414 72.198 174.6656
17.347215 72.355 172.8396
17.472920 72.509 170.9992
17.599536 72.657 169.1564
17.727069 72.803 167.3017
17.855527 72.944 165.4371
17.984915 73.082 163.5732
18.115241 73.216 161.6974
18.246512 73.346 159.8180
18.378734 73.472 157.9445
18.511914 73.594 156.0624
18.646058 73.712 154.1874
18.781175 73.824 152.3231
18.917272 73.932 150.4583
19.054354 74.034 148.6154
19.192430 74.130 146.7852
19.331506 74.221 144.9694
19.471590 74.305 143.1855
19.612689 74.383 141.4175
19.754811 74.455 139.6782
19.897962 74.522 137.9713
20.042151 74.584 136.2879
20.187385 74.641 134.6389
20.333671 74.694 133.0179
20.481017 74.744 131.4233
20.629431 74.792 129.8556
20.778920 74.838 128.3096
20.929493 74.885 126.7787
21.081157 74.932 125.2627
21.233919 74.980 123.7518
21.387789 75.030 122.2406
21.542774 75.083 120.7275
21.698882 75.140 119.1989
21.856121 75.200 117.6583
22.014499 75.264 116.0954
22.174025 75.333 114.5093
22.334708 75.406 112.8992
22.496554 75.483 111.2586
22.659573 75.563 109.5927
22.823774 75.647 107.8985
22.989164 75.733 106.1779
23.155753 75.821 104.4329
23.323549 75.910 102.6617
23.492562 76.000 100.8699
23.662798 76.091 99.0534
23.834269 76.181 97.2182
24.006982 76.270 95.3597
24.180946 76.357 93.4824
24.356171 76.442 91.5814
24.532666 76.524 89.6595
24.710440 76.603 87.7116
24.889502 76.679 85.7390
25.069862 76.751 83.7365
25.251528 76.818 81.7035
25.434511 76.881 79.6344
25.618820 76.938 77.5279
25.804465 76.989 75.3776
25.991454 77.034 73.1822
26.179799 77.071 70.9340
26.369509 77.101 68.6335
26.560593 77.121 66.2706
26.753062 77.131 63.8503
26.946926 77.131 61.3606
27.142194 77.118 58.8135
27.338878 77.093 56.1941
27.536987 77.052 53.5247
27.736531 76.996 50.7879
27.937521 76.923 48.0165
28.139968 76.833 45.1951
28.343882 76.723 42.3616
28.549273 76.594 39.5108
28.756153 76.445 36.6719
28.964532 76.275 33.8611
29.174421 76.084 31.0909
29.385831 75.872 28.3967
29.598773 75.639 25.7825
29.813258 75.386 23.2858
30.029297 75.114 20.9136
30.246902 74.824 18.6942
30.466083 74.518 16.6383
30.686853 74.197 14.7678
30.909222 73.867 13.0873
31.133203 73.529 11.6111
31.358807 73.188 10.3434
31.586046 72.848 9.2734
31.814932 72.512 8.4124
32.045476 72.187 7.7255
32.277691 71.875 7.2028
32.511588 71.582 6.8256
32.747180 71.309 6.5435
32.984480 71.057 6.3391
33.223499 70.829 6.1731
33.464250 70.621 6.0059
33.706746 70.432 5.8192
33.950999 70.259 5.5835
34.197022 70.096 5.2850
34.444828 69.941 4.9180
34.694429 69.789 4.4769
34.945839 69.634 3.9706
35.199071 69.473 3.4124
35.454138 69.303 2.8254
35.711054 69.122 2.2366
35.969831 68.929 1.6616
36.230483 68.724 1.1205
36.493024 68.508 0.6411
36.757467 68.281 0.2455
37.023827 68.046 -0.0466
37.292117 67.806 -0.2156
37.562351 67.564 -0.2466
37.834543 67.325 -0.1304
38.108708 67.093 0.1393
38.384859 66.874 0.5585
38.663012 66.673 1.1141
38.943180 66.495 1.7876
39.225378 66.345 2.5519
39.509622 66.226 3.3685
39.795925 66.142 4.1855
40.084302 66.094 4.9496
40.374770 66.083 5.6016
40.667342 66.107 6.0801
40.962034 66.165 6.3202
41.258862 66.252 6.2601
41.557841 66.362 5.8484
41.858986 66.491 5.0417
42.162313 66.632 3.8057
42.467839 66.780 2.1141
42.775578 66.929 -0.0504
43.085548 67.074 -2.6943
43.397763 67.210 -5.8156
43.712242 67.333 -9.4073
44.028998 67.438 -13.4600
44.348051 67.522 -17.9636
44.669415 67.581 -22.9097
44.993108 67.610 -28.2900
45.319147 67.604 -34.1057
45.647548 67.562 -40.3677
45.978329 67.482 -47.0974
46.311507 67.363 -54.3274
46.647099 67.210 -62.0989
46.985123 67.029 -70.4578
47.325597 66.831 -79.4457
47.668537 66.634 -89.0865
48.013963 66.458 -99.3673
48.361892 66.327 -110.2190
48.712342 66.263 -121.5042
49.065332 66.281 -133.0212
49.420880 66.386 -144.5294
49.779004 66.570 -155.7932
50.139723 66.814 -166.6226
50.503056 67.093 -176.8911
50.869022 67.386 173.4642
51.237640 67.670 164.4586
51.608929 67.929 156.0789
51.982909 68.152 148.2999
52.359598 68.331 141.0964
52.739018 68.462 134.4495
53.121186 68.545 128.3488
53.506124 68.580 122.7953
53.893852 68.571 117.7986
54.284389 68.521 113.3768
54.677756 68.439 109.5543
55.073973 68.331 106.3577
55.473062 68.210 103.8115
55.875043 68.090 101.9324
56.279936 67.987 100.7202
56.687764 67.920 100.1473
57.098547 67.909 100.1475
57.512306 67.971 100.6105
57.929064 68.120 101.3859
58.348842 68.362 102.2933
58.771662 68.695 103.1472
59.197546 69.107 103.7823
59.626515 69.581 104.0724
60.058594 70.097 103.9395
60.493803 70.637 103.3521
60.932166 71.183 102.3134
61.373706 71.721 100.8495
61.818445 72.238 99.0024
62.266407 72.725 96.8234
62.717615 73.177 94.3666
63.172093 73.589 91.6859
63.629864 73.957 88.8353
64.090952 74.279 85.8685
64.555381 74.557 82.8347
65.023176 74.788 79.7794
65.494361 74.975 76.7500
65.968960 75.120 73.7926
66.446998 75.227 70.9453
66.928501 75.298 68.2485
67.413492 75.339 65.7402
67.901998 75.356 63.4505
68.394044 75.357 61.4063
68.889655 75.350 59.6258
69.388858 75.344 58.1149
69.891679 75.351 56.8646
70.398142 75.379 55.8466
70.908276 75.439 55.0162
71.422107 75.539 54.3051
71.939661 75.682 53.6328
72.460965 75.869 52.9110
72.986047 76.099 52.0478
73.514934 76.363 50.9682
74.047654 76.653 49.6064
74.584234 76.958 47.9238
75.124702 77.265 45.8979
75.669086 77.564 43.5270
76.217416 77.844 40.8254
76.769719 78.095 37.8163
77.326024 78.310 34.5359
77.886360 78.482 31.0206
78.450757 78.605 27.3171
79.019243 78.676 23.4667
79.591849 78.690 19.5206
80.168605 78.645 15.5223
80.749539 78.539 11.5234
81.334684 78.372 7.5720
81.924068 78.141 3.7172
82.517724 77.848 0.0129
83.115681 77.492 -3.4892
83.717972 77.073 -6.7293
84.324627 76.594 -9.6436
84.935678 76.056 -12.1602
85.551157 75.463 -14.1945
86.171096 74.821 -15.6492
86.795527 74.139 -16.4102
87.424483 73.432 -16.3527
88.057997 72.726 -15.3534
88.696102 72.054 -13.3156
89.338830 71.463 -10.2198
89.986216 71.008 -6.1891
90.638293 70.733 -1.5229
91.295096 70.662 3.3359
91.956658 70.786 7.9168
92.623013 71.068 11.8591
93.294198 71.457 14.9808
93.970246 71.905 17.2637
94.651193 72.374 18.7916
95.337075 72.840 19.6929
96.027927 73.289 20.1021
96.723785 73.716 20.1396
97.424685 74.119 19.9026
98.130664 74.502 19.4632
98.841760 74.869 18.8704
99.558008 75.224 18.1521
100.279446 75.572 17.3189
101.006112 75.916 16.3682
101.738044 76.258 15.2880
102.475280 76.600 14.0625
103.217858 76.940 12.6750
103.965817 77.278 11.1114
104.719197 77.610 9.3605
105.478035 77.934 7.4163
106.242372 78.247 5.2774
107.012248 78.545 2.9473
107.787703 78.826 0.4329
108.568777 79.087 -2.2554
109.355511 79.324 -5.1040
110.147947 79.536 -8.0973
110.946124 79.721 -11.2178
111.750085 79.876 -14.4464
112.559873 79.999 -17.7623
113.375528 80.090 -21.1443
114.197094 80.148 -24.5703
115.024613 80.171 -28.0169
115.858129 80.160 -31.4616
116.697684 80.115 -34.8818
117.543324 80.037 -38.2554
118.395091 79.927 -41.5618
119.253031 79.786 -44.7813
120.117188 79.618 -47.8956
120.987606 79.423 -50.8890
121.864332 79.205 -53.7488
122.747411 78.966 -56.4644
123.636890 78.711 -59.0281
124.532814 78.442 -61.4351
125.435230 78.161 -63.6826
126.344185 77.873 -65.7703
127.259727 77.580 -67.6989
128.181904 77.285 -69.4704
129.110763 76.990 -71.0872
130.046352 76.699 -72.5533
130.988722 76.414 -73.8737
131.937920 76.139 -75.0555
132.893997 75.875 -76.1088
133.857001 75.625 -77.0478
134.826984 75.392 -77.8909
135.803996 75.177 -78.6605
136.788088 74.981 -79.3819
137.779311 74.805 -80.0817
138.777717 74.647 -80.7861
139.783357 74.508 -81.5197
140.796285 74.384 -82.3036
141.816553 74.273 -83.1550
142.844214 74.173 -84.0875
143.879322 74.080 -85.1114
144.921931 73.994 -86.2359
145.972095 73.911 -87.4683
147.029869 73.828 -88.8156
148.095308 73.743 -90.2841
149.168468 73.655 -91.8801
150.249404 73.561 -93.6096
151.338173 73.458 -95.4777
152.434832 73.342 -97.4873
153.539437 73.212 -99.6396
154.652047 73.063 -101.9341
155.772720 72.893 -104.3681
156.901513 72.699 -106.9371
158.038486 72.476 -109.6349
159.183698 72.223 -112.4556
160.337209 71.935 -115.3949
161.499079 71.612 -118.4506
162.669367 71.248 -121.6247
163.848137 70.841 -124.9244
165.035448 70.385 -128.3639
166.231363 69.874 -131.9658
167.435944 69.302 -135.7627
168.649254 68.657 -139.8000
169.871356 67.926 -144.1407
171.102314 67.090 -148.8737
172.342191 66.125 -154.1294
173.591054 64.998 -160.1125
174.848966 63.668 -167.1692
176.115994 62.083 -175.9314
177.392203 60.202 172.3531
178.677660 58.087 155.1245
179.972432 56.262 128.2144
181.276587 56.025 92.6263
182.590191 57.686 62.1599
183.913315 59.943 42.1260
185.246027 62.036 28.5878
186.588396 63.821 18.4326
187.940492 65.323 10.1180
189.302387 66.592 2.8875
190.674150 67.670 -3.6527
192.055853 68.591 -9.7203
193.447569 69.380 -15.4423
194.849370 70.057 -20.8960
196.261329 70.637 -26.1305
197.683519 71.134 -31.1771
199.116016 71.557 -36.0576
200.558892 71.914 -40.7859
202.012225 72.212 -45.3732
203.476089 72.458 -49.8284
204.950560 72.655 -54.1583
206.435716 72.809 -58.3693
207.931635 72.923 -62.4670
209.438393 72.999 -66.4576
210.956070 73.040 -70.3455
212.484745 73.047 -74.1348
214.024497 73.022 -77.8279
215.575406 72.964 -81.4247
217.137555 72.874 -84.9210
218.711023 72.752 -88.3083
220.295893 72.596 -91.5726
221.892248 72.408 -94.6926
223.500171 72.187 -97.6416
225.119745 71.934 -100.3851
226.751056 71.652 -102.8821
228.394187 71.344 -105.0878
230.049226 71.017 -106.9562
231.716257 70.680 -108.4452
233.395369 70.344 -109.5240
235.086648 70.024 -110.1829
236.790182 69.736 -110.4417
238.506062 69.494 -110.3568
240.234375 69.312 -110.0229
241.975212 69.199 -109.5646
243.728664 69.155 -109.1189
245.494823 69.176 -108.8145
247.273780 69.248 -108.7527
249.065627 69.360 -108.9993
