* Measurement data measured by REW V5.40 beta 135
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 11, 2026, 2:11:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R B = FRX-trimmed 
* Measurement: R.Filtered
* Smoothing: None
* Frequency Step: 0.18310548 Hz
* Start Frequency: 15.74707 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.747070 68.368 -122.2234
15.930176 68.886 -146.6844
16.113281 68.756 -152.6614
16.296387 69.947 -159.2959
16.479492 70.425 -166.6670
16.662598 71.148 -170.5270
16.845703 71.736 -175.9579
17.028809 72.067 -178.9596
17.211914 72.477 178.4530
17.395020 72.738 176.3221
17.578125 73.046 174.4655
17.761231 73.290 172.0630
17.944336 73.472 169.6845
18.127442 73.621 167.5921
18.310547 73.836 166.1316
18.493653 74.187 164.8990
18.676758 74.681 163.2511
18.859864 75.184 160.4564
19.042969 75.533 156.8333
19.226075 75.648 152.9856
19.409180 75.534 149.8629
19.592285 75.338 147.9946
19.775391 75.235 147.0825
19.958496 75.320 145.9526
20.141602 75.493 143.6501
20.324707 75.592 140.2169
20.507813 75.495 136.5962
20.690918 75.228 133.9909
20.874024 74.922 133.0342
21.057129 74.751 133.3682
21.240235 74.765 133.7038
21.423340 74.860 133.1264
21.606446 74.909 131.6625
21.789551 74.893 129.9747
21.972657 74.896 128.4584
22.155762 75.012 126.9752
22.338868 75.250 125.0084
22.521973 75.522 122.3863
22.705079 75.740 119.4636
22.888184 75.877 116.7971
23.071290 75.976 114.6937
23.254395 76.091 112.9639
23.437501 76.238 111.1692
23.620606 76.382 109.0009
23.803712 76.483 106.5819
23.986817 76.539 104.2472
24.169923 76.589 102.3408
24.353028 76.687 100.8904
24.536134 76.853 99.6972
24.719239 77.071 98.4495
24.902344 77.297 96.9553
25.085450 77.490 95.1145
25.268555 77.614 92.9476
25.451661 77.656 90.5672
25.634766 77.619 88.2084
25.817872 77.547 86.1516
26.000977 77.504 84.5269
26.184083 77.552 83.1819
26.367188 77.693 81.7563
26.550294 77.872 80.0114
26.733399 78.013 78.0134
26.916505 78.076 76.1063
27.099610 78.082 74.5966
27.282716 78.102 73.4889
27.465821 78.204 72.3607
27.648927 78.409 70.5966
27.832032 78.683 67.7470
28.015138 78.969 63.7035
28.198243 79.213 58.6330
28.381349 79.370 52.8255
28.564454 79.399 46.6352
28.747560 79.271 40.4245
28.930665 78.974 34.5815
29.113771 78.531 29.4168
29.296876 77.993 25.1105
29.479982 77.427 21.5922
29.663087 76.880 18.6196
29.846193 76.369 15.9355
30.029298 75.879 13.4687
30.212404 75.401 11.2890
30.395509 74.931 9.4382
30.578614 74.460 7.8265
30.761720 73.943 6.3442
30.944825 73.329 5.1139
31.127931 72.595 4.5421
31.311036 71.798 5.1490
31.494142 71.067 7.0945
31.677247 70.534 9.8848
31.860353 70.234 12.5854
32.043458 70.085 14.5888
32.226564 69.977 15.8640
32.409669 69.824 16.7762
32.592775 69.581 17.8184
32.775880 69.260 19.5614
32.958986 68.963 22.3858
33.142091 68.858 25.9056
33.325197 69.038 28.7436
33.508302 69.390 29.5894
33.691408 69.710 28.4261
33.874513 69.872 26.3779
34.057619 69.904 24.8695
34.240724 69.958 24.6456
34.423830 70.182 25.2068
34.606935 70.558 25.2506
34.790041 70.905 24.0773
34.973146 71.064 21.9988
35.156252 71.003 19.8234
35.339357 70.823 18.0398
35.522463 70.662 16.4065
35.705568 70.578 14.1729
35.888674 70.501 10.8824
36.071779 70.321 6.8683
36.254884 69.965 3.0146
36.437990 69.441 0.2545
36.621095 68.812 -0.8848
36.804201 68.165 -0.4438
36.987306 67.559 1.0657
37.170412 67.016 3.0502
37.353517 66.541 4.9836
37.536623 66.131 6.5328
37.719728 65.777 7.6538
37.902834 65.496 8.7347
38.085939 65.358 10.1807
38.269045 65.437 11.8406
38.452150 65.696 12.9683
38.635256 65.950 13.1378
38.818361 66.015 12.8071
39.001467 65.830 12.9371
39.184572 65.507 14.1498
39.367678 65.206 15.9891
39.550783 64.971 17.3497
39.733889 64.700 17.8663
39.916994 64.356 18.5639
40.100100 64.122 20.5742
40.283205 64.264 23.3142
40.466311 64.730 24.6586
40.649416 65.124 23.9596
40.832522 65.117 22.8893
41.015627 64.723 24.1569
41.198733 64.388 29.1405
41.381838 64.611 35.0765
41.564944 65.183 37.5568
41.748049 65.505 36.4009
41.931154 65.329 34.7225
42.114260 64.915 35.9608
42.297365 64.923 40.5545
42.480471 65.631 44.1594
42.663576 66.449 43.8293
42.846682 66.776 41.5330
43.029787 66.537 41.1903
43.212893 66.286 45.5528
43.395998 66.852 51.5748
43.579104 68.079 52.3831
43.762209 69.146 46.7842
43.945315 69.654 37.8142
44.128420 69.613 29.0429
44.311526 69.314 23.6107
44.494631 69.315 22.7094
44.677737 70.041 23.3286
44.860842 71.190 21.4414
45.043948 72.182 16.6682
45.227053 72.738 10.9170
45.410159 72.907 6.1324
45.593264 72.957 3.2789
45.776370 73.206 1.6467
45.959475 73.757 -0.6796
46.142581 74.456 -4.9077
46.325686 75.109 -10.7979
46.508792 75.630 -17.4966
46.691897 76.027 -24.3964
46.875003 76.332 -31.3873
47.058108 76.552 -38.6793
47.241214 76.666 -46.4408
47.424319 76.648 -54.5632
47.607424 76.498 -62.6736
47.790530 76.251 -70.2832
47.973635 75.966 -76.9960
48.156741 75.705 -82.6476
48.339846 75.512 -87.3737
48.522952 75.414 -91.5504
48.706057 75.413 -95.7025
48.889163 75.495 -100.3527
49.072268 75.631 -105.8417
49.255374 75.796 -112.1920
49.438479 75.982 -119.1044
49.621585 76.199 -126.1282
49.804690 76.459 -132.8668
49.987796 76.761 -139.1461
50.170901 77.084 -144.9962
50.354007 77.400 -150.5835
50.537112 77.692 -156.1433
50.720218 77.955 -162.0000
50.903323 78.179 -168.5094
51.086429 78.338 -175.9034
51.269534 78.392 175.9042
51.452640 78.313 167.3727
51.635745 78.106 159.1965
51.818851 77.831 151.9980
52.001956 77.583 145.9183
52.185062 77.431 140.4021
52.368167 77.344 134.5548
52.551273 77.202 127.8641
52.734378 76.886 120.5438
52.917483 76.357 113.3099
53.100589 75.680 106.9237
53.283694 74.990 101.6557
53.466800 74.395 97.0132
53.649905 73.860 92.1873
53.833011 73.236 86.9818
54.016116 72.386 82.1396
54.199222 71.306 78.9561
54.382327 70.183 78.3683
54.565433 69.290 79.8347
54.748538 68.710 81.4431
54.931644 68.256 82.0380
55.114749 67.751 82.2061
55.297855 67.215 82.9904
55.480960 66.779 84.4683
55.664066 66.455 85.8327
55.847171 66.119 86.8532
56.030277 65.719 88.3026
56.213382 65.414 90.5879
56.396488 65.355 92.3161
56.579593 65.370 91.6717
56.762699 65.091 88.9194
56.945804 64.308 86.7295
57.128910 63.260 88.8940
57.312015 62.827 96.3372
57.495121 63.511 102.2714
57.678226 64.406 101.6614
57.861332 64.613 96.9986
58.044437 63.811 93.1534
58.227543 62.214 96.0491
58.410648 61.148 109.5958
58.593753 61.936 123.2312
58.776859 63.159 127.2161
58.959964 63.579 126.1903
59.143070 63.130 126.5421
59.326175 62.466 132.5541
59.509281 62.604 142.2830
59.692386 63.544 148.5176
59.875492 64.408 149.8115
60.058597 64.791 149.6044
60.241703 64.835 151.1185
60.424808 64.950 155.4913
60.607914 65.467 161.2535
60.791019 66.360 166.3615
60.974125 67.460 170.1588
61.157230 68.679 172.6675
61.340336 69.958 173.6903
61.523441 71.193 173.1694
61.706547 72.295 171.5241
61.889652 73.256 169.3732
62.072758 74.135 167.0428
62.255863 74.995 164.3790
62.438969 75.840 161.0226
62.622074 76.623 156.8301
62.805180 77.300 152.0092
62.988285 77.858 146.9020
63.171391 78.312 141.7388
63.354496 78.675 136.5492
63.537602 78.931 131.3198
63.720707 79.052 126.1991
63.903813 79.033 121.5739
64.086918 78.928 117.8754
64.270023 78.848 115.2065
64.453129 78.895 113.0544
64.636234 79.071 110.5747
64.819340 79.273 107.2998
65.002445 79.384 103.4905
65.185551 79.354 99.8724
65.368656 79.228 97.1317
65.551762 79.117 95.4488
65.734867 79.120 94.2921
65.917973 79.244 92.7746
66.101078 79.407 90.3066
66.284184 79.514 86.8679
66.467289 79.512 82.8201
66.650395 79.395 78.6252
66.833500 79.194 74.6672
67.016606 78.954 71.1503
67.199711 78.715 68.0581
67.382817 78.482 65.1858
67.565922 78.218 62.3321
67.749028 77.857 59.5447
67.932133 77.356 57.2468
68.115239 76.739 56.0796
68.298344 76.137 56.4398
68.481450 75.721 57.8457
68.664555 75.546 58.9976
68.847661 75.490 58.9149
69.030766 75.382 57.7625
69.213872 75.153 56.4512
69.396977 74.867 55.7653
69.580083 74.639 55.7159
69.763188 74.508 55.6149
69.946293 74.389 54.9332
70.129399 74.174 53.8903
70.312504 73.845 53.1768
70.495610 73.486 53.2134
70.678715 73.190 53.6961
70.861821 72.951 53.9600
71.044926 72.668 53.8798
71.228032 72.280 54.0855
71.411137 71.853 55.2995
71.594243 71.529 57.3904
71.777348 71.343 59.3285
71.960454 71.157 60.4196
72.143559 70.804 61.2485
72.326665 70.285 63.1951
72.509770 69.813 67.1241
72.692876 69.638 72.1703
72.875981 69.749 76.5183
73.059087 69.924 79.6442
73.242192 70.036 82.5406
73.425298 70.169 86.1345
73.608403 70.464 90.1079
73.791509 70.906 93.4376
73.974614 71.342 95.8677
74.157720 71.688 98.1768
74.340825 72.030 101.1362
74.523931 72.526 104.4852
74.707036 73.220 107.0806
74.890142 73.986 108.1805
75.073247 74.687 108.0601
75.256352 75.286 107.4680
75.439458 75.837 106.9078
75.622563 76.408 106.3541
75.805669 77.013 105.4819
75.988774 77.612 104.0950
76.171880 78.162 102.3095
76.354985 78.654 100.3830
76.538091 79.108 98.4756
76.721196 79.548 96.5673
76.904302 79.983 94.5528
77.087407 80.407 92.3464
77.270513 80.804 89.9474
77.453618 81.166 87.4137
77.636724 81.489 84.8303
77.819829 81.778 82.2693
78.002935 82.044 79.7761
78.186040 82.306 77.3556
78.369146 82.587 74.9117
78.552251 82.898 72.2314
78.735357 83.224 69.1248
78.918462 83.536 65.5298
79.101568 83.809 61.5134
79.284673 84.029 57.2276
79.467779 84.195 52.8142
79.650884 84.315 48.3319
79.833990 84.388 43.7780
80.017095 84.406 39.1505
80.200201 84.358 34.4868
80.383306 84.239 29.8656
80.566412 84.054 25.3676
80.749517 83.814 21.0329
80.932622 83.526 16.8615
81.115728 83.193 12.8525
81.298833 82.815 9.0437
81.481939 82.394 5.5049
81.665044 81.942 2.2957
81.848150 81.473 -0.5895
82.031255 80.994 -3.2188
82.214361 80.499 -5.6646
82.397466 79.977 -7.9266
82.580572 79.419 -9.9080
82.763677 78.831 -11.4538
82.946783 78.236 -12.4227
83.129888 77.670 -12.7573
83.312994 77.177 -12.5442
83.496099 76.786 -12.0489
83.679205 76.499 -11.6539
83.862310 76.275 -11.6946
84.045416 76.054 -12.2810
84.228521 75.782 -13.2676
84.411627 75.440 -14.3858
84.594732 75.039 -15.4607
84.777838 74.588 -16.4743
84.960943 74.071 -17.4061
85.144049 73.455 -17.9773
85.327154 72.746 -17.5724
85.510260 72.041 -15.5251
85.693365 71.531 -11.8874
85.876471 71.347 -7.9088
86.059576 71.408 -5.0562
86.242682 71.528 -3.7198
86.425787 71.600 -3.4042
86.608892 71.631 -3.6400
86.791998 71.662 -4.4242
86.975103 71.682 -5.9676
87.158209 71.631 -8.1563
87.341314 71.473 -10.4292
87.524420 71.238 -12.1398
87.707525 71.001 -13.0538
87.890631 70.807 -13.4863
88.073736 70.622 -13.8609
88.256842 70.383 -14.1909
88.439947 70.109 -14.3077
88.623053 69.897 -14.6508
88.806158 69.781 -16.5079
88.989264 69.643 -21.0524
89.172369 69.315 -28.3539
89.355475 68.726 -37.4025
89.538580 67.965 -46.6558
89.721686 67.272 -54.9294
89.904791 66.911 -62.6212
90.087897 66.893 -71.8997
90.271002 66.922 -84.8694
90.454108 66.693 -102.5082
90.637213 66.193 -125.1207
90.820319 65.804 -151.7578
91.003424 66.008 -178.3019
91.186530 66.802 160.6404
