* Measurement data measured by REW V5.40 beta 135
* Source: 
* Format: 
* Dated: Sep 11, 2026, 2:01:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FR Cal file effects not included LF tail from 16 Hz at 0 dB/octave No HF tail
* Measurement: RFilter
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -0.000 -0.0312
0.732422 -0.000 -0.0624
1.098633 -0.000 -0.0936
1.464844 -0.000 -0.1248
1.831055 -0.000 -0.1562
2.197266 -0.000 -0.1873
2.563477 -0.000 -0.2186
2.929688 -0.000 -0.2499
3.295899 -0.000 -0.2812
3.662110 -0.000 -0.3126
4.028321 -0.000 -0.3439
4.394532 -0.000 -0.3753
4.760743 -0.000 -0.4067
5.126954 -0.000 -0.4382
5.493164 -0.000 -0.4698
5.859375 -0.000 -0.5013
6.225586 -0.000 -0.5330
6.591797 -0.000 -0.5646
6.958008 -0.000 -0.5964
7.324219 -0.000 -0.6282
7.690430 -0.000 -0.6601
8.056641 -0.000 -0.6920
8.422852 -0.000 -0.7239
8.789063 -0.000 -0.7561
9.155274 -0.000 -0.7882
9.521485 -0.000 -0.8205
9.887696 -0.000 -0.8528
10.253907 -0.000 -0.8853
10.620118 -0.000 -0.9179
10.986329 -0.000 -0.9505
11.352540 -0.000 -0.9832
11.718751 -0.000 -1.0162
12.084962 -0.000 -1.0492
12.451173 -0.000 -1.0824
12.817384 0.000 -1.1157
13.183595 -0.000 -1.1492
13.549806 0.000 -1.1829
13.916017 0.000 -1.2168
14.282228 0.000 -1.2509
14.648439 0.000 -1.2852
15.014650 0.000 -1.3196
15.380861 0.000 -1.3544
15.747072 0.000 -1.3894
16.113283 -0.000 -1.4248
16.479493 -0.000 -1.4604
16.845704 -0.000 -1.4963
17.211915 -0.000 -1.5327
17.578126 -0.000 -1.5695
17.944337 -0.000 -1.6068
18.310548 -0.000 -1.6447
18.676759 -0.000 -1.6833
19.042970 -0.000 -1.7227
19.409181 -0.000 -1.7629
19.775392 0.000 -1.8043
20.141603 -0.000 -1.8471
20.507814 -0.000 -1.8916
20.874025 -0.000 -1.9383
21.240236 -0.000 -1.9881
21.606447 -0.000 -2.0420
21.972658 -0.000 -2.1021
22.338869 -0.000 -2.1724
22.705080 -0.000 -2.2627
23.071291 -0.003 -2.4025
23.437502 -0.024 -2.5828
23.803713 -0.062 -2.6327
24.169924 -0.095 -2.5473
24.536135 -0.118 -2.3765
24.902346 -0.126 -2.1546
25.268557 -0.116 -1.9200
25.634768 -0.087 -1.7316
26.000979 -0.041 -1.6950
26.367190 -0.008 -1.8700
26.733401 -0.001 -2.0436
27.099612 -0.000 -2.1537
27.465823 -0.000 -2.2347
27.832033 -0.000 -2.3022
28.198244 -0.000 -2.3622
28.564455 -0.000 -2.4175
28.930666 -0.000 -2.4696
29.296877 -0.000 -2.5196
29.663088 -0.000 -2.5679
30.029299 -0.000 -2.6150
30.395510 -0.000 -2.6614
30.761721 -0.000 -2.7070
31.127932 -0.000 -2.7522
31.494143 -0.000 -2.7970
31.860354 -0.000 -2.8417
32.226565 -0.000 -2.8861
32.592776 -0.000 -2.9305
32.958987 -0.000 -2.9748
33.325198 -0.000 -3.0192
33.691409 -0.000 -3.0636
34.057620 -0.000 -3.1082
34.423831 -0.000 -3.1528
34.790042 -0.000 -3.1976
35.156253 -0.000 -3.2426
35.522464 -0.000 -3.2878
35.888675 -0.000 -3.3333
36.254886 -0.000 -3.3789
36.621097 -0.000 -3.4249
36.987308 -0.000 -3.4711
37.353519 -0.000 -3.5176
37.719730 -0.000 -3.5645
38.085941 -0.000 -3.6116
38.452152 -0.000 -3.6591
38.818363 -0.000 -3.7069
39.184573 -0.000 -3.7551
39.550784 -0.000 -3.8037
39.916995 -0.000 -3.8528
40.283206 -0.000 -3.9021
40.649417 -0.000 -3.9520
41.015628 -0.000 -4.0022
41.381839 -0.000 -4.0529
41.748050 -0.000 -4.1041
42.114261 -0.000 -4.1558
42.480472 -0.000 -4.2079
42.846683 -0.000 -4.2606
43.212894 -0.000 -4.3138
43.579105 -0.000 -4.3675
43.945316 -0.000 -4.4218
44.311527 -0.000 -4.4766
44.677738 -0.000 -4.5321
45.043949 -0.000 -4.5881
45.410160 -0.000 -4.6447
45.776371 -0.000 -4.7020
46.142582 -0.000 -4.7600
46.508793 -0.000 -4.8186
46.875004 -0.000 -4.8780
47.241215 -0.000 -4.9380
47.607426 -0.000 -4.9988
47.973637 -0.000 -5.0604
48.339848 -0.000 -5.1227
48.706059 -0.000 -5.1859
49.072270 -0.000 -5.2499
49.438481 -0.000 -5.3147
49.804692 -0.000 -5.3805
50.170902 -0.000 -5.4471
50.537113 -0.000 -5.5148
50.903324 -0.000 -5.5833
51.269535 -0.000 -5.6530
51.635746 -0.000 -5.7236
52.001957 -0.000 -5.7953
52.368168 -0.000 -5.8682
52.734379 -0.000 -5.9422
53.100590 -0.000 -6.0174
53.466801 -0.000 -6.0939
53.833012 -0.000 -6.1717
54.199223 -0.000 -6.2508
54.565434 -0.000 -6.3313
54.931645 -0.000 -6.4133
55.297856 -0.000 -6.4968
55.664067 -0.000 -6.5818
56.030278 -0.000 -6.6685
56.396489 -0.000 -6.7569
56.762700 -0.000 -6.8471
57.128911 -0.000 -6.9392
57.495122 -0.000 -7.0332
57.861333 -0.000 -7.1294
58.227544 -0.000 -7.2275
58.593755 -0.000 -7.3281
58.959966 -0.000 -7.4310
59.326177 -0.000 -7.5365
59.692388 -0.000 -7.6445
60.058599 0.000 -7.7554
60.424810 -0.000 -7.8693
60.791021 -0.000 -7.9864
61.157232 -0.000 -8.1069
61.523442 -0.000 -8.2309
61.889653 -0.000 -8.3589
62.255864 -0.000 -8.4910
62.622075 -0.000 -8.6277
62.988286 -0.000 -8.7693
63.354497 -0.000 -8.9163
63.720708 -0.000 -9.0693
64.086919 -0.000 -9.2290
64.453130 -0.000 -9.3963
64.819341 -0.000 -9.5725
65.185552 -0.000 -9.7593
65.551763 -0.001 -9.9597
65.917974 -0.002 -10.1764
66.284185 -0.005 -10.4097
66.650396 -0.010 -10.6577
67.016607 -0.020 -10.9091
67.382818 -0.031 -11.1548
67.749029 -0.044 -11.3942
68.115240 -0.057 -11.6304
68.481451 -0.069 -11.8725
68.847662 -0.081 -12.1271
69.213873 -0.094 -12.3986
69.580084 -0.108 -12.6906
69.946295 -0.124 -13.0050
70.312506 -0.144 -13.3404
70.678717 -0.168 -13.6949
71.044928 -0.197 -14.0663
71.411139 -0.231 -14.4489
71.777350 -0.273 -14.8366
72.143561 -0.321 -15.2236
72.509771 -0.376 -15.6024
72.875982 -0.438 -15.9656
73.242193 -0.508 -16.3067
73.608404 -0.583 -16.6185
73.974615 -0.664 -16.8956
74.340826 -0.750 -17.1349
74.707037 -0.840 -17.3326
75.073248 -0.933 -17.4896
75.439459 -1.028 -17.6096
75.805670 -1.124 -17.6977
76.171881 -1.223 -17.7691
76.538092 -1.326 -17.8242
76.904303 -1.439 -17.8698
77.270514 -1.564 -17.8653
77.636725 -1.705 -17.7683
78.002936 -1.853 -17.5122
78.369147 -2.005 -17.0765
78.735358 -2.148 -16.4697
79.101569 -2.278 -15.7035
79.467780 -2.391 -14.8193
79.833991 -2.483 -13.8388
80.200202 -2.555 -12.7864
80.566413 -2.606 -11.6851
80.932624 -2.635 -10.5519
81.298835 -2.643 -9.4048
81.665046 -2.629 -8.2605
82.031257 -2.594 -7.1342
82.397468 -2.538 -6.0418
82.763679 -2.460 -4.9985
83.129890 -2.363 -4.0219
83.496101 -2.246 -3.1283
83.862311 -2.110 -2.3371
84.228522 -1.957 -1.6718
84.594733 -1.788 -1.1502
84.960944 -1.606 -0.8114
85.327155 -1.416 -0.6702
85.693366 -1.228 -0.7587
86.059577 -1.046 -1.0794
86.425788 -0.887 -1.5941
86.791999 -0.754 -2.2477
87.158210 -0.652 -2.9576
87.524421 -0.573 -3.6472
87.890632 -0.514 -4.2966
88.256843 -0.462 -4.8882
88.623054 -0.418 -5.4398
88.989265 -0.375 -5.9662
89.355476 -0.335 -6.4803
89.721687 -0.295 -6.9941
90.087898 -0.257 -7.5149
90.454109 -0.221 -8.0483
90.820320 -0.186 -8.5981
91.186531 -0.153 -9.1680
91.552742 -0.123 -9.7594
91.918953 -0.095 -10.3757
92.285164 -0.071 -11.0163
92.651375 -0.050 -11.6841
93.017586 -0.033 -12.3762
93.383797 -0.021 -13.0933
93.750008 -0.012 -13.8338
94.116219 -0.007 -14.5991
94.482430 -0.005 -15.3995
94.848641 -0.007 -16.2399
95.214851 -0.013 -17.1485
95.581062 -0.028 -18.1198
95.947273 -0.053 -19.1871
96.313484 -0.100 -20.3111
96.679695 -0.167 -21.4830
97.045906 -0.264 -22.6452
97.412117 -0.383 -23.7335
97.778328 -0.524 -24.7372
98.144539 -0.679 -25.6036
98.510750 -0.843 -26.3650
98.876961 -1.011 -27.0050
99.243172 -1.182 -27.5546
99.609383 -1.355 -28.0149
99.975594 -1.527 -28.4029
100.341805 -1.700 -28.7230
100.708016 -1.872 -28.9828
101.074227 -2.045 -29.1858
101.440438 -2.217 -29.3355
101.806649 -2.388 -29.4339
102.172860 -2.560 -29.4829
102.539071 -2.731 -29.4832
102.905282 -2.901 -29.4360
103.271493 -3.071 -29.3411
103.637704 -3.240 -29.1995
104.003915 -3.408 -29.0105
104.370126 -3.575 -28.7754
104.736337 -3.740 -28.4930
105.102548 -3.903 -28.1652
105.468759 -4.065 -27.7907
105.834970 -4.224 -27.3719
106.201180 -4.381 -26.9070
106.567391 -4.535 -26.3993
106.933602 -4.686 -25.8470
107.299813 -4.833 -25.2535
107.666024 -4.976 -24.6179
108.032235 -5.115 -23.9432
108.398446 -5.250 -23.2297
108.764657 -5.379 -22.4798
109.130868 -5.505 -21.6946
109.497079 -5.624 -20.8757
109.863290 -5.739 -20.0255
110.229501 -5.848 -19.1445
110.595712 -5.951 -18.2362
110.961923 -6.048 -17.3004
111.328134 -6.140 -16.3409
111.694345 -6.224 -15.3574
112.060556 -6.302 -14.3543
112.426767 -6.374 -13.3315
112.792978 -6.438 -12.2934
113.159189 -6.495 -11.2429
113.525400 -6.545 -10.1830
113.891611 -6.588 -9.1184
114.257822 -6.624 -8.0519
114.624033 -6.653 -6.9856
114.990244 -6.675 -5.9228
115.356455 -6.691 -4.8638
115.722666 -6.700 -3.8112
116.088877 -6.704 -2.7659
116.455088 -6.702 -1.7295
116.821299 -6.693 -0.7033
117.187510 -6.679 0.3113
117.553720 -6.660 1.3125
117.919931 -6.635 2.2998
118.286142 -6.605 3.2705
118.652353 -6.570 4.2247
119.018564 -6.530 5.1601
119.384775 -6.485 6.0758
119.750986 -6.436 6.9709
120.117197 -6.382 7.8435
120.483408 -6.324 8.6941
120.849619 -6.263 9.5198
121.215830 -6.197 10.3215
121.582041 -6.128 11.0972
121.948252 -6.056 11.8464
122.314463 -5.981 12.5695
122.680674 -5.903 13.2639
123.046885 -5.822 13.9317
123.413096 -5.739 14.5704
123.779307 -5.654 15.1808
124.145518 -5.568 15.7630
124.511729 -5.479 16.3154
124.877940 -5.389 16.8406
125.244151 -5.299 17.3362
125.610362 -5.207 17.8040
125.976573 -5.114 18.2441
126.342784 -5.021 18.6557
126.708995 -4.928 19.0413
127.075206 -4.834 19.3994
127.441417 -4.741 19.7317
127.807628 -4.648 20.0387
128.173839 -4.555 20.3201
128.540049 -4.463 20.5784
128.906260 -4.372 20.8126
129.272471 -4.281 21.0242
129.638682 -4.191 21.2142
130.004893 -4.103 21.3823
130.371104 -4.015 21.5308
130.737315 -3.929 21.6592
131.103526 -3.844 21.7687
131.469737 -3.761 21.8606
131.835948 -3.679 21.9347
132.202159 -3.599 21.9929
132.568370 -3.520 22.0354
132.934581 -3.443 22.0628
133.300792 -3.368 22.0767
133.667003 -3.295 22.0770
134.033214 -3.224 22.0650
134.399425 -3.155 22.0416
134.765636 -3.087 22.0071
135.131847 -3.022 21.9630
135.498058 -2.958 21.9097
135.864269 -2.897 21.8481
136.230480 -2.838 21.7793
