* Measurement data measured by REW V5.40 beta 135
* Source: 
* Format: 
* Dated: Sep 11, 2026, 1:20:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of RX Cal file effects included LF tail from 16 Hz at 12 dB/octave No HF tail
* Measurement: RX-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 2.802 171.8912
0.732422 14.896 173.3411
1.098633 21.870 173.0978
1.464844 26.812 172.6684
1.831055 30.677 172.1060
2.197265 33.865 171.2959
2.563476 36.567 170.2314
2.929687 38.895 169.0257
3.295898 40.933 167.8138
3.662109 42.753 166.6564
4.028320 44.404 165.5282
4.394531 45.917 164.3776
4.760742 47.310 163.1879
5.126953 48.598 161.9811
5.493164 49.797 160.7795
5.859375 50.921 159.5741
6.225585 51.978 158.3386
6.591796 52.972 157.0714
6.958007 53.904 155.8111
7.324218 54.786 154.6035
7.690429 55.631 153.4469
8.056640 56.448 152.2798
8.422851 57.235 151.0327
8.789062 57.981 149.7021
9.155273 58.681 148.3688
9.521484 59.342 147.1342
9.887695 59.985 146.0231
10.253905 60.625 144.9448
10.620116 61.259 143.7654
10.986327 61.868 142.4356
11.352538 62.432 141.0537
11.718749 62.955 139.7953
12.084960 63.461 138.7615
12.451171 63.981 137.8712
12.817382 64.518 136.9148
13.183593 65.045 135.7556
13.549804 65.526 134.4983
13.916015 65.952 133.4667
14.282225 66.362 132.9848
14.648436 66.836 133.0778
15.014647 67.438 133.3214
15.380858 68.167 133.0658
15.747069 68.950 131.8863
16.113280 69.703 129.8048
16.479491 70.373 127.1542
16.845702 70.959 124.3141
17.211913 71.488 121.5080
17.578124 71.994 118.7367
17.944335 72.492 115.8550
18.310545 72.968 112.7302
18.676756 73.398 109.3601
19.042967 73.764 105.8747
19.409178 74.068 102.4520
19.775389 74.327 99.2166
20.141600 74.564 96.1866
20.507811 74.794 93.2903
20.874022 75.020 90.4371
21.240233 75.236 87.5815
21.606444 75.437 84.7348
21.972654 75.624 81.9283
22.338865 75.804 79.1664
22.705076 75.981 76.4123
23.071287 76.155 73.6112
23.437498 76.321 70.7286
23.803709 76.470 67.7686
24.169920 76.600 64.7616
24.536131 76.712 61.7340
24.902342 76.808 58.6881
25.268553 76.892 55.6024
25.634764 76.959 52.4513
26.000974 77.006 49.2228
26.367185 77.029 45.9244
26.733396 77.022 42.5735
27.099607 76.986 39.1856
27.465818 76.918 35.7702
27.832029 76.815 32.3359
28.198240 76.673 28.9006
28.564451 76.488 25.4972
28.930662 76.258 22.1711
29.296873 75.982 18.9732
29.663084 75.662 15.9525
30.029294 75.301 13.1541
30.395505 74.903 10.6194
30.761716 74.474 8.3872
31.127927 74.021 6.4912
31.494138 73.553 4.9540
31.860349 73.079 3.7803
32.226560 72.610 2.9550
32.592771 72.153 2.4450
32.958982 71.713 2.2058
33.325193 71.295 2.1893
33.691404 70.896 2.3507
34.057614 70.517 2.6556
34.423825 70.152 3.0852
34.790036 69.800 3.6366
35.156247 69.458 4.3187
35.522458 69.127 5.1455
35.888669 68.807 6.1300
36.254880 68.501 7.2814
36.621091 68.212 8.6047
36.987302 67.945 10.1000
37.353513 67.704 11.7597
37.719724 67.494 13.5665
38.085934 67.318 15.4935
38.452145 67.181 17.5073
38.818356 67.084 19.5703
39.184567 67.029 21.6416
39.550778 67.015 23.6766
39.916989 67.042 25.6282
40.283200 67.106 27.4504
40.649411 67.202 29.1022
41.015622 67.326 30.5511
41.381833 67.468 31.7748
41.748044 67.623 32.7619
42.114254 67.782 33.5128
42.480465 67.939 34.0390
42.846676 68.088 34.3607
43.212887 68.223 34.5034
43.579098 68.341 34.4960
43.945309 68.439 34.3688
44.311520 68.514 34.1535
44.677731 68.566 33.8832
45.043942 68.595 33.5909
45.410153 68.600 33.3090
45.776363 68.583 33.0685
46.142574 68.546 32.8988
46.508785 68.492 32.8271
46.874996 68.424 32.8776
47.241207 68.348 33.0690
47.607418 68.269 33.4123
47.973629 68.194 33.9078
48.339840 68.127 34.5438
48.706051 68.075 35.2965
49.072262 68.042 36.1306
49.438473 68.029 37.0035
49.804683 68.037 37.8708
50.170894 68.063 38.6921
50.537105 68.102 39.4371
50.903316 68.148 40.0883
51.269527 68.196 40.6418
51.635738 68.240 41.1057
52.001949 68.275 41.4987
52.368160 68.297 41.8473
52.734371 68.305 42.1835
53.100582 68.296 42.5424
53.466793 68.272 42.9598
53.833003 68.233 43.4705
54.199214 68.182 44.1075
54.565425 68.124 44.9007
54.931636 68.063 45.8756
55.297847 68.004 47.0513
55.664058 67.957 48.4384
56.030269 67.927 50.0372
56.396480 67.923 51.8353
56.762691 67.954 53.8059
57.128902 68.026 55.9072
57.495113 68.145 58.0827
57.861323 68.316 60.2656
58.227534 68.537 62.3841
58.593745 68.806 64.3687
58.959956 69.119 66.1583
59.326167 69.469 67.7042
59.692378 69.846 68.9729
60.058589 70.242 69.9457
60.424800 70.650 70.6177
60.791011 71.061 70.9950
61.157222 71.469 71.0917
61.523433 71.867 70.9276
61.889643 72.253 70.5256
62.255854 72.621 69.9109
62.622065 72.968 69.1094
62.988276 73.294 68.1472
63.354487 73.595 67.0499
63.720698 73.872 65.8428
64.086909 74.122 64.5501
64.453120 74.348 63.1952
64.819331 74.547 61.8005
65.185542 74.722 60.3871
65.551753 74.872 58.9752
65.917963 75.000 57.5836
66.284174 75.106 56.2299
66.650385 75.192 54.9305
67.016596 75.261 53.7001
67.382807 75.314 52.5516
67.749018 75.355 51.4961
68.115229 75.385 50.5423
68.481440 75.408 49.6964
68.847651 75.427 48.9619
69.213862 75.445 48.3387
69.580072 75.465 47.8233
69.946283 75.491 47.4086
70.312494 75.526 47.0834
70.678705 75.571 46.8330
71.044916 75.631 46.6395
71.411127 75.705 46.4821
71.777338 75.796 46.3380
72.143549 75.904 46.1837
72.509760 76.028 45.9955
72.875971 76.167 45.7509
73.242182 76.320 45.4295
73.608392 76.484 45.0134
73.974603 76.658 44.4878
74.340814 76.838 43.8416
74.707025 77.021 43.0672
75.073236 77.205 42.1604
75.439447 77.386 41.1201
75.805658 77.562 39.9483
76.171869 77.730 38.6491
76.538080 77.887 37.2290
76.904291 78.032 35.6959
77.270502 78.162 34.0592
77.636712 78.275 32.3293
78.002923 78.371 30.5172
78.369134 78.447 28.6349
78.735345 78.502 26.6945
79.101556 78.536 24.7086
79.467767 78.549 22.6901
79.833978 78.538 20.6517
80.200189 78.504 18.6066
80.566400 78.447 16.5679
80.932611 78.367 14.5486
81.298822 78.263 12.5619
81.665032 78.135 10.6211
82.031243 77.984 8.7395
82.397454 77.811 6.9304
82.763665 77.615 5.2074
83.129876 77.397 3.5842
83.496087 77.159 2.0749
83.862298 76.901 0.6936
84.228509 76.624 -0.5456
84.594720 76.330 -1.6282
84.960931 76.021 -2.5398
85.327142 75.697 -3.2659
85.693352 75.363 -3.7923
86.059563 75.020 -4.1055
86.425774 74.671 -4.1928
86.791985 74.320 -4.0431
87.158196 73.971 -3.6473
87.524407 73.628 -2.9995
87.890618 73.296 -2.0979
88.256829 72.981 -0.9456
88.623040 72.688 0.4479
88.989251 72.423 2.0658
89.355462 72.190 3.8834
89.721672 71.995 5.8684
90.087883 71.841 7.9815
90.454094 71.731 10.1788
90.820305 71.664 12.4134
91.186516 71.642 14.6389
91.552727 71.661 16.8120
91.918938 71.718 18.8948
92.285149 71.809 20.8566
92.651360 71.929 22.6748
93.017571 72.073 24.3346
93.383781 72.236 25.8287
93.749992 72.414 27.1556
94.116203 72.603 28.3186
94.482414 72.799 29.3249
94.848625 72.998 30.1841
95.214836 73.199 30.9074
95.581047 73.400 31.5071
95.947258 73.599 31.9954
96.313469 73.795 32.3844
96.679680 73.987 32.6853
97.045891 74.176 32.9089
97.412101 74.360 33.0648
97.778312 74.539 33.1614
98.144523 74.715 33.2061
98.510734 74.886 33.2053
98.876945 75.054 33.1641
99.243156 75.220 33.0868
99.609367 75.382 32.9765
99.975578 75.542 32.8356
100.341789 75.700 32.6656
100.708000 75.857 32.4672
101.074211 76.012 32.2405
101.440421 76.167 31.9851
101.806632 76.321 31.7003
102.172843 76.474 31.3850
102.539054 76.627 31.0379
102.905265 76.779 30.6577
103.271476 76.931 30.2429
103.637687 77.082 29.7921
104.003898 77.232 29.3041
104.370109 77.380 28.7778
104.736320 77.528 28.2123
105.102531 77.674 27.6072
105.468741 77.817 26.9621
105.834952 77.959 26.2769
106.201163 78.097 25.5517
106.567374 78.233 24.7870
106.933585 78.365 23.9835
107.299796 78.493 23.1422
107.666007 78.617 22.2642
108.032218 78.736 21.3508
108.398429 78.851 20.4036
108.764640 78.961 19.4243
109.130851 79.066 18.4146
109.497061 79.165 17.3766
109.863272 79.258 16.3121
110.229483 79.346 15.2233
110.595694 79.427 14.1123
110.961905 79.502 12.9813
111.328116 79.571 11.8323
111.694327 79.634 10.6676
112.060538 79.690 9.4893
112.426749 79.740 8.2996
112.792960 79.784 7.1006
113.159171 79.821 5.8944
113.525381 79.851 4.6830
113.891592 79.875 3.4684
114.257803 79.893 2.2526
114.624014 79.904 1.0374
114.990225 79.909 -0.1753
115.356436 79.908 -1.3838
115.722647 79.901 -2.5863
116.088858 79.887 -3.7810
116.455069 79.868 -4.9664
116.821280 79.843 -6.1409
117.187490 79.813 -7.3028
117.553701 79.776 -8.4507
117.919912 79.735 -9.5831
118.286123 79.688 -10.6988
118.652334 79.637 -11.7963
119.018545 79.580 -12.8744
119.384756 79.519 -13.9319
119.750967 79.453 -14.9675
120.117178 79.383 -15.9803
120.483389 79.309 -16.9691
120.849600 79.231 -17.9331
121.215810 79.149 -18.8712
121.582021 79.064 -19.7828
121.948232 78.975 -20.6670
122.314443 78.884 -21.5233
122.680654 78.789 -22.3511
123.046865 78.693 -23.1500
123.413076 78.594 -23.9196
123.779287 78.492 -24.6598
124.145498 78.390 -25.3703
124.511709 78.285 -26.0511
124.877920 78.179 -26.7024
125.244130 78.073 -27.3242
125.610341 77.965 -27.9169
125.976552 77.857 -28.4807
126.342763 77.748 -29.0161
126.708974 77.639 -29.5236
127.075185 77.530 -30.0037
127.441396 77.422 -30.4571
127.807607 77.313 -30.8845
128.173818 77.205 -31.2864
128.540029 77.098 -31.6638
128.906240 76.992 -32.0173
129.272450 76.886 -32.3477
129.638661 76.782 -32.6558
130.004872 76.678 -32.9425
130.371083 76.576 -33.2085
130.737294 76.476 -33.4547
131.103505 76.377 -33.6819
131.469716 76.279 -33.8910
131.835927 76.183 -34.0829
132.202138 76.089 -34.2582
132.568349 75.996 -34.4180
132.934560 75.906 -34.5630
133.300770 75.817 -34.6941
133.666981 75.730 -34.8120
134.033192 75.645 -34.9178
134.399403 75.563 -35.0123
134.765614 75.482 -35.0964
135.131825 75.404 -35.1709
135.498036 75.327 -35.2369
135.864247 75.253 -35.2952
136.230458 75.181 -35.3469
136.596669 75.111 -35.3928
136.962880 75.044 -35.4339
137.329090 74.978 -35.4712
137.695301 74.915 -35.5055
138.061512 74.854 -35.5378
138.427723 74.795 -35.5690
138.793934 74.738 -35.6000
139.160145 74.683 -35.6317
139.526356 74.630 -35.6647
139.892567 74.578 -35.7000
140.258778 74.529 -35.7382
140.624989 74.481 -35.7801
140.991199 74.435 -35.8261
141.357410 74.391 -35.8771
141.723621 74.347 -35.9335
142.089832 74.306 -35.9957
142.456043 74.265 -36.0644
142.822254 74.226 -36.1398
143.188465 74.187 -36.2223
143.554676 74.150 -36.3124
143.920887 74.114 -36.4103
144.287098 74.078 -36.5163
144.653309 74.043 -36.6306
145.019519 74.009 -36.7534
145.385730 73.975 -36.8850
145.751941 73.941 -37.0254
146.118152 73.908 -37.1747
146.484363 73.875 -37.3331
146.850574 73.842 -37.5006
147.216785 73.809 -37.6773
147.582996 73.776 -37.8632
147.949207 73.743 -38.0583
148.315418 73.710 -38.2625
148.681629 73.677 -38.4761
149.047839 73.643 -38.6988
149.414050 73.608 -38.9307
149.780261 73.573 -39.1718
150.146472 73.538 -39.4221
150.512683 73.502 -39.6815
150.878894 73.465 -39.9499
