* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 11, 2026, 11:48:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R-SP B = X801 
* Measurement: RX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.380859 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.380859 66.578 29.5005
15.747070 68.547 21.8891
16.113281 69.786 15.0448
16.479492 70.519 10.0195
16.845703 70.982 7.2925
17.211914 71.402 6.5600
17.578125 71.908 6.7849
17.944336 72.482 6.9036
18.310547 73.021 6.5326
18.676758 73.453 5.9417
19.042968 73.774 5.5847
19.409179 74.036 5.7027
19.775390 74.291 6.1996
20.141601 74.557 6.7995
20.507812 74.817 7.3138
20.874023 75.047 7.7621
21.240234 75.243 8.2797
21.606445 75.421 8.9510
21.972656 75.604 9.7263
22.338867 75.797 10.4733
22.705078 75.991 11.0920
23.071288 76.170 11.5772
23.437499 76.328 11.9885
23.803710 76.467 12.3793
24.169921 76.594 12.7556
24.536132 76.711 13.0870
24.902343 76.815 13.3447
25.268554 76.901 13.5238
25.634765 76.967 13.6365
26.000976 77.011 13.6925
26.367187 77.032 13.6889
26.733398 77.029 13.6174
27.099608 76.996 13.4754
27.465819 76.930 13.2706
27.832030 76.827 13.0172
28.198241 76.685 12.7318
28.564452 76.499 12.4337
28.930663 76.268 12.1502
29.296874 75.990 11.9169
29.663085 75.667 11.7729
30.029296 75.302 11.7523
30.395507 74.900 11.8795
30.761717 74.467 12.1705
31.127928 74.009 12.6361
31.494139 73.536 13.2788
31.860350 73.058 14.0845
32.226561 72.585 15.0138
32.592772 72.126 16.0024
32.958983 71.688 16.9727
33.325194 71.271 17.8493
33.691405 70.874 18.5695
34.057616 70.496 19.0867
34.423827 70.134 19.3726
34.790037 69.783 19.4201
35.156248 69.442 19.2447
35.522459 69.110 18.8815
35.888670 68.789 18.3773
36.254881 68.482 17.7840
36.621092 68.192 17.1556
36.987303 67.924 16.5483
37.353514 67.682 16.0190
37.719725 67.471 15.6189
38.085936 67.294 15.3867
38.452147 67.156 15.3437
38.818357 67.060 15.4956
39.184568 67.005 15.8358
39.550779 66.991 16.3465
39.916990 67.018 16.9962
40.283201 67.084 17.7404
40.649412 67.183 18.5263
41.015623 67.310 19.3026
41.381834 67.457 20.0266
41.748045 67.616 20.6664
42.114256 67.780 21.1993
42.480467 67.941 21.6107
42.846677 68.093 21.8945
43.212888 68.232 22.0527
43.579099 68.353 22.0942
43.945310 68.453 22.0319
44.311521 68.531 21.8812
44.677732 68.584 21.6603
45.043943 68.613 21.3914
45.410154 68.617 21.1004
45.776365 68.599 20.8162
46.142576 68.560 20.5678
46.508787 68.502 20.3840
46.874997 68.431 20.2928
47.241208 68.350 20.3201
47.607419 68.266 20.4868
47.973630 68.184 20.8034
48.339841 68.113 21.2654
48.706052 68.057 21.8526
49.072263 68.022 22.5304
49.438474 68.010 23.2545
49.804685 68.020 23.9770
50.170896 68.049 24.6514
50.537107 68.093 25.2390
50.903317 68.146 25.7124
51.269528 68.200 26.0574
51.635739 68.249 26.2720
52.001950 68.288 26.3628
52.368161 68.314 26.3430
52.734372 68.323 26.2297
53.100583 68.314 26.0433
53.466794 68.288 25.8058
53.833005 68.246 25.5397
54.199216 68.191 25.2671
54.565426 68.127 25.0096
54.931637 68.059 24.7897
55.297848 67.993 24.6299
55.664059 67.936 24.5521
56.030270 67.896 24.5745
56.396481 67.882 24.7090
56.762692 67.902 24.9592
57.128903 67.964 25.3187
57.495114 68.075 25.7707
57.861325 68.238 26.2889
58.227536 68.455 26.8406
58.593746 68.722 27.3912
58.959957 69.036 27.9100
59.326168 69.388 28.3743
59.692379 69.771 28.7713
60.058590 70.174 29.0973
60.424801 70.590 29.3554
60.791012 71.009 29.5540
61.157223 71.426 29.7036
61.523434 71.834 29.8159
61.889645 72.228 29.9016
62.255856 72.605 29.9701
62.622066 72.961 30.0293
62.988277 73.295 30.0858
63.354488 73.603 30.1448
63.720699 73.885 30.2103
64.086910 74.141 30.2849
64.453121 74.371 30.3702
64.819332 74.574 30.4670
65.185543 74.750 30.5759
65.551754 74.902 30.6973
65.917965 75.030 30.8311
66.284176 75.135 30.9769
66.650386 75.220 31.1340
67.016597 75.286 31.3019
67.382808 75.336 31.4800
67.749019 75.372 31.6681
68.115230 75.397 31.8658
68.481441 75.415 32.0728
68.847652 75.428 32.2886
69.213863 75.440 32.5124
69.580074 75.455 32.7435
69.946285 75.475 32.9807
70.312496 75.504 33.2221
70.678706 75.544 33.4654
71.044917 75.599 33.7078
71.411128 75.670 33.9464
71.777339 75.758 34.1780
72.143550 75.864 34.3997
72.509761 75.988 34.6090
72.875972 76.128 34.8040
73.242183 76.283 34.9839
73.608394 76.450 35.1487
73.974605 76.628 35.2995
74.340816 76.813 35.4379
74.707026 77.003 35.5662
75.073237 77.193 35.6872
75.439448 77.381 35.8038
75.805659 77.564 35.9193
76.171870 77.738 36.0365
76.538081 77.903 36.1581
76.904292 78.054 36.2862
77.270503 78.190 36.4226
77.636714 78.310 36.5686
78.002925 78.411 36.7249
78.369135 78.491 36.8919
78.735346 78.551 37.0697
79.101557 78.589 37.2581
79.467768 78.603 37.4568
79.833979 78.594 37.6649
80.200190 78.561 37.8815
80.566401 78.503 38.1050
80.932612 78.421 38.3339
81.298823 78.314 38.5662
81.665034 78.183 38.8001
82.031245 78.028 39.0335
82.397455 77.849 39.2639
82.763666 77.646 39.4890
83.129877 77.422 39.7064
83.496088 77.175 39.9137
83.862299 76.908 40.1088
84.228510 76.621 40.2900
84.594721 76.317 40.4558
84.960932 75.996 40.6051
85.327143 75.661 40.7378
85.693354 75.314 40.8545
86.059565 74.959 40.9570
86.425775 74.598 41.0484
86.791986 74.234 41.1332
87.158197 73.873 41.2169
87.524408 73.519 41.3064
87.890619 73.177 41.4092
88.256830 72.853 41.5326
88.623041 72.553 41.6830
88.989252 72.281 41.8650
89.355463 72.045 42.0805
89.721674 71.848 42.3277
90.087885 71.694 42.6014
90.454095 71.587 42.8931
90.820306 71.526 43.1921
91.186517 71.510 43.4875
91.552728 71.537 43.7693
91.918939 71.604 44.0299
92.285150 71.706 44.2644
92.651361 71.837 44.4715
93.017572 71.991 44.6524
93.383783 72.165 44.8107
93.749994 72.353 44.9511
94.116205 72.551 45.0791
94.482415 72.754 45.2001
94.848626 72.961 45.3189
95.214837 73.169 45.4395
95.581048 73.375 45.5652
95.947259 73.578 45.6984
96.313470 73.777 45.8407
96.679681 73.972 45.9931
97.045892 74.162 46.1557
97.412103 74.347 46.3283
97.778314 74.527 46.5098
98.144525 74.703 46.6991
98.510735 74.874 46.8947
98.876946 75.042 47.0950
99.243157 75.206 47.2986
99.609368 75.367 47.5044
99.975579 75.526 47.7109
100.341790 75.683 47.9170
100.708001 75.839 48.1213
101.074212 75.993 48.3228
101.440423 76.147 48.5209
101.806634 76.300 48.7151
102.172844 76.453 48.9053
102.539055 76.606 49.0917
102.905266 76.758 49.2744
103.271477 76.911 49.4536
103.637688 77.062 49.6299
104.003899 77.214 49.8034
104.370110 77.364 49.9750
104.736321 77.513 50.1452
105.102532 77.660 50.3149
105.468743 77.806 50.4848
105.834954 77.950 50.6557
106.201164 78.090 50.8280
106.567375 78.228 51.0020
106.933586 78.363 51.1779
107.299797 78.493 51.3558
107.666008 78.620 51.5358
108.032219 78.742 51.7178
108.398430 78.859 51.9019
108.764641 78.972 52.0880
109.130852 79.079 52.2757
109.497063 79.180 52.4650
109.863274 79.275 52.6553
110.229484 79.365 52.8463
110.595695 79.448 53.0376
110.961906 79.525 53.2289
111.328117 79.596 53.4198
111.694328 79.660 53.6101
112.060539 79.718 53.7997
112.426750 79.768 53.9882
112.792961 79.813 54.1758
113.159172 79.850 54.3622
113.525383 79.881 54.5476
113.891594 79.906 54.7318
114.257804 79.924 54.9150
114.624015 79.935 55.0970
114.990226 79.940 55.2781
115.356437 79.939 55.4584
115.722648 79.931 55.6382
116.088859 79.917 55.8176
116.455070 79.897 55.9971
116.821281 79.872 56.1766
117.187492 79.840 56.3566
117.553703 79.803 56.5372
117.919914 79.760 56.7185
118.286124 79.713 56.9006
118.652335 79.659 57.0837
119.018546 79.601 57.2679
119.384757 79.539 57.4530
119.750968 79.471 57.6391
120.117179 79.399 57.8261
120.483390 79.324 58.0140
120.849601 79.244 58.2028
121.215812 79.160 58.3922
121.582023 79.073 58.5823
121.948234 78.982 58.7729
122.314444 78.889 58.9638
122.680655 78.792 59.1549
123.046866 78.694 59.3460
123.413077 78.593 59.5368
123.779288 78.490 59.7272
124.145499 78.385 59.9168
124.511710 78.279 60.1058
124.877921 78.171 60.2939
125.244132 78.063 60.4813
125.610343 77.954 60.6680
125.976553 77.844 60.8540
126.342764 77.734 61.0392
126.708975 77.624 61.2236
127.075186 77.513 61.4073
127.441397 77.404 61.5905
127.807608 77.294 61.7733
128.173819 77.186 61.9560
128.540030 77.078 62.1388
128.906241 76.970 62.3216
129.272452 76.864 62.5048
129.638663 76.759 62.6886
130.004873 76.656 62.8731
130.371084 76.553 63.0585
130.737295 76.452 63.2447
131.103506 76.353 63.4319
131.469717 76.255 63.6199
131.835928 76.159 63.8088
132.202139 76.065 63.9985
132.568350 75.972 64.1891
132.934561 75.882 64.3804
133.300772 75.793 64.5724
133.666983 75.706 64.7649
134.033193 75.621 64.9577
134.399404 75.539 65.1508
134.765615 75.458 65.3439
135.131826 75.380 65.5370
135.498037 75.304 65.7299
135.864248 75.230 65.9224
136.230459 75.158 66.1145
136.596670 75.089 66.3060
136.962881 75.022 66.4969
137.329092 74.957 66.6872
137.695303 74.894 66.8768
138.061513 74.834 67.0657
138.427724 74.775 67.2539
138.793935 74.719 67.4416
139.160146 74.664 67.6288
139.526357 74.612 67.8155
139.892568 74.562 68.0019
140.258779 74.513 68.1881
140.624990 74.466 68.3742
140.991201 74.421 68.5602
141.357412 74.377 68.7465
141.723623 74.335 68.9330
142.089833 74.294 69.1199
142.456044 74.254 69.3072
142.822255 74.215 69.4951
143.188466 74.178 69.6836
143.554677 74.141 69.8728
143.920888 74.106 70.0628
144.287099 74.071 70.2536
144.653310 74.037 70.4452
145.019521 74.003 70.6374
145.385732 73.970 70.8303
145.751943 73.937 71.0237
146.118153 73.905 71.2176
146.484364 73.872 71.4119
146.850575 73.840 71.6067
147.216786 73.808 71.8020
147.582997 73.776 71.9978
147.949208 73.743 72.1940
148.315419 73.711 72.3904
148.681630 73.678 72.5867
149.047841 73.645 72.7827
149.414052 73.611 72.9784
149.780263 73.577 73.1735
150.146473 73.542 73.3680
150.512684 73.506 73.5617
150.878895 73.470 73.7545
151.245106 73.433 73.9463
151.611317 73.395 74.1372
151.977528 73.356 74.3272
152.343739 73.315 74.5162
152.709950 73.274 74.7043
153.076161 73.232 74.8917
153.442372 73.188 75.0785
153.808582 73.142 75.2648
154.174793 73.096 75.4511
154.541004 73.047 75.6374
154.907215 72.997 75.8240
155.273426 72.946 76.0111
155.639637 72.892 76.1988
156.005848 72.837 76.3874
156.372059 72.779 76.5770
156.738270 72.719 76.7678
157.104481 72.657 76.9600
157.470692 72.592 77.1539
157.836902 72.525 77.3497
158.203113 72.454 77.5472
158.569324 72.381 77.7465
158.935535 72.305 77.9475
159.301746 72.226 78.1500
159.667957 72.143 78.3538
160.034168 72.057 78.5587
160.400379 71.968 78.7644
160.766590 71.875 78.9702
161.132801 71.778 79.1759
161.499012 71.677 79.3809
161.865222 71.572 79.5848
162.231433 71.464 79.7870
162.597644 71.351 79.9872
162.963855 71.234 80.1849
163.330066 71.114 80.3798
163.696277 70.989 80.5715
164.062488 70.860 80.7601
164.428699 70.727 80.9454
164.794910 70.589 81.1276
165.161121 70.448 81.3070
165.527332 70.302 81.4840
165.893542 70.152 81.6591
166.259753 69.997 81.8331
166.625964 69.838 82.0065
166.992175 69.674 82.1803
167.358386 69.505 82.3554
167.724597 69.331 82.5328
168.090808 69.152 82.7137
168.457019 68.966 82.8989
168.823230 68.774 83.0896
