* Measurement data measured by REW V5.40 beta 135
* Source: EQ window target shape
* Format: 
* Dated: Sep 11, 2026, 1:41:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LR.RMS.AVG
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
2.500000 51.903
2.518116 52.106
2.536363 52.349
2.554743 52.598
2.573256 52.847
2.591902 53.097
2.610684 53.346
2.629603 53.596
2.648658 53.845
2.667851 54.094
2.687183 54.344
2.706656 54.593
2.726269 54.842
2.746025 55.091
2.765924 55.339
2.785967 55.588
2.806155 55.836
2.826490 56.085
2.846972 56.333
2.867602 56.581
2.888382 56.829
2.909312 57.076
2.930394 57.324
2.951629 57.571
2.973018 57.818
2.994561 58.065
3.016261 58.312
3.038118 58.558
3.060134 58.804
3.082309 59.050
3.104645 59.296
3.127142 59.541
3.149803 59.786
3.172627 60.031
3.195618 60.275
3.218774 60.519
3.242099 60.762
3.265592 61.005
3.289256 61.248
3.313092 61.490
3.337100 61.731
3.361282 61.972
3.385639 62.213
3.410173 62.453
3.434884 62.692
3.459775 62.931
3.484846 63.169
3.510098 63.406
3.535534 63.642
3.561154 63.878
3.586959 64.113
3.612952 64.347
3.639133 64.580
3.665504 64.812
3.692065 65.043
3.718820 65.273
3.745768 65.501
3.772911 65.729
3.800251 65.955
3.827789 66.180
3.855527 66.404
3.883466 66.626
3.911607 66.847
3.939952 67.066
3.968503 67.284
3.997260 67.499
4.026226 67.713
4.055402 67.925
4.084789 68.136
4.114389 68.344
4.144203 68.550
4.174234 68.754
4.204482 68.956
4.234949 69.155
4.265638 69.352
4.296548 69.547
4.327683 69.739
4.359043 69.928
4.390630 70.115
4.422447 70.299
4.454494 70.480
4.486773 70.658
4.519286 70.833
4.552034 71.005
4.585020 71.173
4.618245 71.339
4.651711 71.501
4.685419 71.660
4.719372 71.816
4.753570 71.968
4.788016 72.116
4.822712 72.261
4.857660 72.403
4.892860 72.541
4.928316 72.675
4.964029 72.806
5.000000 72.933
5.036232 73.057
5.072727 73.177
5.109486 73.293
5.146511 73.406
5.183805 73.515
5.221369 73.621
5.259205 73.723
5.297315 73.821
5.335702 73.917
5.374367 74.008
5.413312 74.097
5.452539 74.182
5.492050 74.264
5.531848 74.343
5.571934 74.419
5.612310 74.492
5.652979 74.561
5.693943 74.628
5.735204 74.692
5.776763 74.754
5.818624 74.813
5.860788 74.869
5.903258 74.923
5.946036 74.974
5.989123 75.023
6.032523 75.070
6.076237 75.114
6.120268 75.157
6.164618 75.198
6.209289 75.236
6.254284 75.273
6.299605 75.308
6.345255 75.341
6.391235 75.373
6.437549 75.403
6.484198 75.432
6.531185 75.459
6.578513 75.485
6.626183 75.509
6.674199 75.532
6.722563 75.555
6.771278 75.575
6.820345 75.595
6.869768 75.614
6.919549 75.632
6.969691 75.649
7.020197 75.665
7.071068 75.680
7.122308 75.694
7.173919 75.708
7.225904 75.721
7.278266 75.733
7.331007 75.745
7.384131 75.756
7.437639 75.766
7.491535 75.776
7.545822 75.785
7.600502 75.794
7.655579 75.802
7.711054 75.810
7.766932 75.817
7.823214 75.824
7.879904 75.831
7.937005 75.837
7.994520 75.843
8.052452 75.849
8.110803 75.854
8.169577 75.859
8.228777 75.864
8.288407 75.868
8.348468 75.872
8.408964 75.876
8.469899 75.880
8.531275 75.883
8.593096 75.887
8.655366 75.890
8.718086 75.893
8.781261 75.896
8.844893 75.898
8.908987 75.901
8.973545 75.903
9.038571 75.906
9.104069 75.908
9.170040 75.910
9.236490 75.912
9.303422 75.913
9.370838 75.915
9.438743 75.917
9.507140 75.918
9.576033 75.920
9.645425 75.921
9.715319 75.922
9.785721 75.923
9.856632 75.925
9.928057 75.926
10.000000 75.927
10.072464 75.927
10.145453 75.928
10.218971 75.929
10.293022 75.929
10.367610 75.930
10.442738 75.931
10.518410 75.931
10.594631 75.932
10.671404 75.932
10.748733 75.933
10.826623 75.934
10.905077 75.934
10.984100 75.935
11.063695 75.935
11.143867 75.935
11.224620 75.936
11.305959 75.936
11.387886 75.937
11.470408 75.937
11.553527 75.937
11.637249 75.937
11.721577 75.937
11.806516 75.937
11.892071 75.937
11.978246 75.938
12.065045 75.938
12.152474 75.938
12.240535 75.938
12.329235 75.938
12.418578 75.939
12.508568 75.939
12.599210 75.939
12.690510 75.939
12.782470 75.939
12.875097 75.939
12.968396 75.938
