* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 2:27:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FLX-trimmed
* Smoothing: None
* Frequency Step: 0.18310548 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.098633	-0.010	0.4038
1.281738	-0.010	0.4711
1.464844	-0.010	0.5384
1.647949	-0.010	0.6057
1.831055	-0.010	0.6730
2.014160	-0.010	0.7403
2.197266	-0.010	0.8076
2.380371	-0.010	0.8749
2.563477	-0.010	0.9422
2.746582	-0.010	1.0095
2.929688	-0.010	1.0768
3.112793	-0.010	1.1440
3.295899	-0.010	1.2113
3.479004	-0.010	1.2786
3.662110	-0.010	1.3458
3.845215	-0.010	1.4131
4.028321	-0.010	1.4803
4.211426	-0.010	1.5476
4.394532	-0.010	1.6148
4.577637	-0.010	1.6820
4.760742	-0.010	1.7493
4.943848	-0.010	1.8165
5.126953	-0.010	1.8837
5.310059	-0.010	1.9509
5.493164	-0.010	2.0181
5.676270	-0.010	2.0853
5.859375	-0.010	2.1525
6.042481	-0.010	2.2197
6.225586	-0.010	2.2868
6.408692	-0.010	2.3540
6.591797	-0.010	2.4211
6.774903	-0.010	2.4883
6.958008	-0.010	2.5554
7.141114	-0.010	2.6225
7.324219	-0.010	2.6896
7.507325	-0.010	2.7567
7.690430	-0.010	2.8238
7.873536	-0.010	2.8909
8.056641	-0.010	2.9580
8.239747	-0.010	3.0251
8.422852	-0.010	3.0921
8.605958	-0.010	3.1592
8.789063	-0.010	3.2262
8.972169	-0.010	3.2932
9.155274	-0.010	3.3602
9.338380	-0.010	3.4272
9.521485	-0.010	3.4942
9.704591	-0.010	3.5611
9.887696	-0.010	3.6281
10.070802	-0.010	3.6950
10.253907	-0.010	3.7619
10.437012	-0.010	3.8289
10.620118	-0.010	3.8958
10.803223	-0.010	3.9626
10.986329	-0.010	4.0295
11.169434	-0.010	4.0963
11.352540	-0.010	4.1632
11.535645	-0.010	4.2300
11.718751	-0.010	4.2968
11.901856	-0.010	4.3636
12.084962	-0.010	4.4304
12.268067	-0.010	4.4971
12.451173	-0.010	4.5638
12.634278	-0.010	4.6305
12.817384	-0.010	4.6973
13.000489	-0.010	4.7640
13.183595	-0.010	4.8306
13.366700	-0.010	4.8972
13.549806	-0.010	4.9638
13.732911	-0.010	5.0304
13.916017	-0.010	5.0970
14.099122	-0.010	5.1635
14.282228	-0.010	5.2300
14.465333	-0.010	5.2965
14.648439	-0.010	5.3631
14.831544	-0.010	5.4295
15.014650	-0.010	5.4959
15.197755	-0.010	5.5624
15.380861	-0.010	5.6289
15.563966	-0.010	5.6952
15.747072	-0.010	5.7615
15.930177	-0.010	5.8280
16.113282	-0.010	5.8944
16.296388	-0.010	5.9606
16.479493	-0.010	6.0268
16.662599	-0.010	6.0932
16.845704	-0.010	6.1595
17.028810	-0.010	6.2256
17.211915	-0.010	6.2917
17.395021	-0.010	6.3579
17.578126	-0.010	6.4241
17.761232	-0.010	6.4901
17.944337	-0.010	6.5561
18.127443	-0.010	6.6223
18.310548	-0.010	6.6883
18.493654	-0.010	6.7542
18.676759	-0.010	6.8201
18.859865	-0.010	6.8861
19.042970	-0.010	6.9521
19.226076	-0.010	7.0179
19.409181	-0.010	7.0837
19.592287	-0.010	7.1495
19.775392	-0.010	7.2154
19.958498	-0.010	7.2811
20.141603	-0.010	7.3467
20.324709	-0.010	7.4124
20.507814	-0.010	7.4782
20.690920	-0.010	7.5438
20.874025	-0.010	7.6093
21.057131	-0.010	7.6749
21.240236	-0.010	7.7405
21.423341	-0.010	7.8060
21.606447	-0.010	7.8713
21.789552	-0.010	7.9368
21.972658	-0.010	8.0023
22.155763	-0.010	8.0676
22.338869	-0.010	8.1328
22.521974	-0.010	8.1981
22.705080	-0.010	8.2634
22.888185	-0.010	8.3286
23.071291	-0.010	8.3938
23.254396	-0.010	8.4589
23.437502	-0.010	8.5240
23.620607	-0.010	8.5891
23.803713	-0.010	8.6540
23.986818	-0.010	8.7190
24.169924	-0.010	8.7840
24.353029	-0.010	8.8489
24.536135	-0.010	8.9137
24.719240	-0.010	8.9785
24.902346	-0.010	9.0433
25.085451	-0.010	9.1081
25.268557	-0.010	9.1727
25.451662	-0.010	9.2373
25.634768	-0.010	9.3020
25.817873	-0.010	9.3665
26.000979	-0.010	9.4310
26.184084	-0.010	9.4955
26.367190	-0.010	9.5599
26.550295	-0.010	9.6243
26.733401	-0.010	9.6885
26.916506	-0.010	9.7528
27.099611	-0.010	9.8171
27.282717	-0.010	9.8813
27.465822	-0.010	9.9454
