* Measurement data measured by REW V5.40 beta 135
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 11, 2026, 4:09:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = X801 B = LFilter 
* Measurement: FLX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.380859 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.380859 -6.447 59.4512
15.747070 -1.579 12.2274
16.113281 -1.313 6.6060
16.479492 -0.995 3.4607
16.845703 -0.603 1.8603
17.211914 -0.235 1.6919
17.578125 0.033 2.3774
17.944336 0.205 3.3629
18.310547 0.311 4.4458
18.676758 0.361 5.5703
19.042968 0.357 6.6338
19.409179 0.312 7.5366
19.775390 0.240 8.2438
20.141601 0.151 8.7374
20.507812 0.054 8.9977
20.874023 -0.038 9.0349
21.240234 -0.114 8.8904
21.606445 -0.170 8.6096
21.972656 -0.201 8.2451
22.338867 -0.205 7.8574
22.705078 -0.186 7.4919
23.071288 -0.152 7.1501
23.437499 -0.130 6.8690
23.803710 -0.125 6.8834
24.169921 -0.117 7.1905
24.536132 -0.103 7.7095
24.902343 -0.083 8.3740
25.268554 -0.055 9.1062
25.634765 -0.018 9.8081
26.000976 0.028 10.3474
26.367187 0.061 10.5850
26.733398 0.051 10.6599
27.099608 0.020 10.7496
27.465819 -0.012 10.8147
27.832030 -0.042 10.8321
28.198241 -0.066 10.8043
28.564452 -0.081 10.7460
28.930663 -0.087 10.6765
29.296874 -0.083 10.6154
29.663085 -0.072 10.5812
30.029296 -0.055 10.5880
30.395507 -0.034 10.6436
30.761717 -0.013 10.7498
31.127928 0.007 10.9031
31.494139 0.023 11.0951
31.860350 0.034 11.3133
32.226561 0.039 11.5448
32.592772 0.038 11.7756
32.958983 0.032 11.9935
33.325194 0.021 12.1884
33.691405 0.008 12.3541
34.057616 -0.005 12.4878
34.423827 -0.019 12.5906
34.790037 -0.030 12.6671
35.156248 -0.038 12.7244
35.522459 -0.042 12.7713
35.888670 -0.042 12.8168
36.254881 -0.038 12.8695
36.621092 -0.032 12.9361
36.987303 -0.024 13.0210
37.353514 -0.015 13.1262
37.719725 -0.007 13.2510
38.085936 0.000 13.3926
38.452147 0.006 13.5462
38.818357 0.009 13.7068
39.184568 0.009 13.8683
39.550779 0.007 14.0255
39.916990 0.004 14.1743
40.283201 -0.001 14.3119
40.649412 -0.006 14.4366
41.015623 -0.011 14.5490
41.381834 -0.015 14.6505
41.748045 -0.019 14.7438
42.114256 -0.021 14.8321
42.480467 -0.021 14.9189
42.846677 -0.021 15.0073
43.212888 -0.019 15.0997
43.579099 -0.016 15.1978
43.945310 -0.013 15.3022
44.311521 -0.011 15.4127
44.677732 -0.008 15.5282
45.043943 -0.006 15.6473
45.410154 -0.005 15.7680
45.776365 -0.005 15.8885
46.142576 -0.005 16.0072
46.508787 -0.006 16.1229
46.874997 -0.007 16.2348
47.241208 -0.009 16.3428
47.607419 -0.010 16.4472
47.973630 -0.011 16.5485
48.339841 -0.011 16.6475
48.706052 -0.012 16.7453
49.072263 -0.012 16.8424
49.438474 -0.012 16.9395
49.804685 -0.011 17.0370
50.170896 -0.011 17.1349
50.537107 -0.011 17.2328
50.903317 -0.011 17.3305
51.269528 -0.011 17.4276
51.635739 -0.011 17.5234
52.001950 -0.011 17.6177
52.368161 -0.011 17.7103
52.734372 -0.011 17.8010
53.100583 -0.011 17.8901
53.466794 -0.011 17.9780
53.833005 -0.011 18.0649
54.199216 -0.010 18.1511
54.565426 -0.010 18.2371
54.931637 -0.009 18.3230
55.297848 -0.009 18.4087
55.664059 -0.009 18.4940
56.030270 -0.009 18.5786
56.396481 -0.009 18.6618
56.762692 -0.009 18.7433
57.128903 -0.009 18.8223
57.495114 -0.010 18.8985
57.861325 -0.011 18.9714
58.227536 -0.011 19.0410
58.593746 -0.012 19.1073
58.959957 -0.012 19.1707
59.326168 -0.012 19.2313
59.692379 -0.012 19.2899
60.058590 -0.012 19.3467
60.424801 -0.011 19.4023
60.791012 -0.011 19.4568
61.157223 -0.010 19.5104
61.523434 -0.009 19.5630
61.889645 -0.009 19.6143
62.255856 -0.009 19.6636
62.622066 -0.008 19.7106
62.988277 -0.008 19.7544
63.354488 -0.009 19.7945
63.720699 -0.009 19.8302
64.086910 -0.010 19.8611
64.453121 -0.010 19.8868
64.819332 -0.011 19.9073
65.185543 -0.011 19.9224
65.551754 -0.012 19.9323
65.917965 -0.012 19.9371
66.284176 -0.012 19.9369
66.650386 -0.011 19.9319
67.016597 -0.011 19.9219
67.382808 -0.011 19.9067
67.749019 -0.010 19.8861
68.115230 -0.010 19.8594
68.481441 -0.010 19.8260
68.847652 -0.009 19.7850
69.213863 -0.009 19.7356
69.580074 -0.009 19.6767
69.946285 -0.010 19.6074
70.312496 -0.010 19.5264
70.678706 -0.010 19.4329
71.044917 -0.010 19.3255
71.411128 -0.010 19.2031
71.777339 -0.011 19.0642
72.143550 -0.011 18.9072
72.509761 -0.011 18.7302
72.875972 -0.011 18.5305
73.242183 -0.011 18.3053
73.608394 -0.010 18.0506
73.974605 -0.010 17.7613
74.340816 -0.010 17.4309
74.707026 -0.010 17.0499
75.073237 -0.011 16.6064
75.439448 -0.013 16.0819
75.805659 -0.018 15.4473
76.171870 -0.030 14.6871
76.538081 -0.060 13.7641
76.904292 -0.114 12.6916
77.270503 -0.207 11.5204
77.636714 -0.344 10.3095
78.002925 -0.527 9.1405
78.369135 -0.759 8.0865
78.735346 -1.036 7.2476
79.101557 -1.354 6.7343
79.467768 -1.689 6.5959
79.833979 -2.028 6.8735
80.200190 -2.353 7.4777
80.566401 -2.654 8.3753
80.932612 -2.928 9.4864
81.298823 -3.174 10.7610
81.665034 -3.392 12.1566
82.031245 -3.582 13.6405
82.397455 -3.747 15.1890
82.763666 -3.888 16.7790
83.129877 -4.005 18.3973
83.496088 -4.101 20.0280
83.862299 -4.177 21.6615
84.228510 -4.235 23.2917
84.594721 -4.275 24.9100
84.960932 -4.299 26.5147
85.327143 -4.308 28.1005
85.693354 -4.302 29.6656
86.059565 -4.282 31.2076
86.425775 -4.247 32.7242
86.791986 -4.200 34.2127
87.158197 -4.138 35.6698
87.524408 -4.063 37.0914
87.890619 -3.973 38.4718
88.256830 -3.870 39.8050
88.623041 -3.752 41.0814
88.989252 -3.620 42.2906
89.355463 -3.474 43.4211
89.721674 -3.317 44.4624
90.087885 -3.149 45.4060
90.454095 -2.974 46.2520
90.820306 -2.791 47.0077
91.186517 -2.602 47.6760
91.552728 -2.405 48.2689
91.918939 -2.198 48.7657
92.285150 -1.980 49.1560
92.651361 -1.749 49.3998
93.017572 -1.510 49.4732
93.383783 -1.263 49.3259
93.749994 -1.020 48.9526
94.116205 -0.785 48.3014
94.482415 -0.573 47.4236
94.848626 -0.390 46.3187
95.214837 -0.251 45.0889
95.581048 -0.149 43.8255
95.947259 -0.086 42.5795
96.313470 -0.048 41.4445
96.679681 -0.028 40.3809
97.045892 -0.018 39.4206
97.412103 -0.014 38.5069
97.778314 -0.013 37.6344
98.144525 -0.014 36.7621
98.510735 -0.019 35.8743
98.876946 -0.026 34.9377
99.243157 -0.046 33.9407
99.609368 -0.076 32.8667
99.975579 -0.132 31.7222
100.341790 -0.213 30.5545
100.708001 -0.329 29.3907
101.074212 -0.479 28.3401
101.440423 -0.654 27.4294
101.806634 -0.854 26.7232
102.172844 -1.061 26.2314
102.539055 -1.275 25.9392
102.905266 -1.484 25.8421
103.271477 -1.687 25.8983
103.637688 -1.879 26.0963
104.003899 -2.060 26.4013
104.370110 -2.230 26.8001
104.736321 -2.387 27.2685
105.102532 -2.532 27.7938
105.468743 -2.666 28.3608
105.834954 -2.789 28.9573
106.201164 -2.902 29.5765
106.567375 -3.006 30.2070
106.933586 -3.101 30.8482
107.299797 -3.190 31.4900
107.666008 -3.271 32.1357
108.032219 -3.347 32.7781
108.398430 -3.419 33.4216
108.764641 -3.485 34.0625
109.130852 -3.548 34.7041
109.497063 -3.607 35.3461
109.863274 -3.663 35.9894
110.229484 -3.715 36.6362
110.595695 -3.764 37.2859
110.961906 -3.810 37.9390
111.328117 -3.852 38.5952
111.694328 -3.890 39.2524
112.060539 -3.925 39.9101
112.426750 -3.956 40.5664
112.792961 -3.983 41.2198
113.159172 -4.006 41.8692
113.525383 -4.025 42.5135
113.891594 -4.041 43.1514
114.257804 -4.054 43.7809
114.624015 -4.062 44.4004
114.990226 -4.068 45.0063
115.356437 -4.070 45.5954
115.722648 -4.069 46.1671
116.088859 -4.065 46.7153
116.455070 -4.060 47.2434
116.821281 -4.054 47.7462
117.187492 -4.047 48.2265
117.553703 -4.040 48.6846
117.919914 -4.034 49.1202
118.286124 -4.028 49.5394
118.652335 -4.024 49.9410
119.018546 -4.022 50.3314
119.384757 -4.021 50.7128
119.750968 -4.023 51.0885
120.117179 -4.026 51.4637
120.483390 -4.031 51.8411
120.849601 -4.038 52.2232
121.215812 -4.046 52.6155
121.582023 -4.055 53.0160
121.948234 -4.065 53.4305
122.314444 -4.073 53.8580
122.680655 -4.082 54.2977
123.046866 -4.089 54.7531
123.413077 -4.095 55.2177
123.779288 -4.099 55.6947
124.145499 -4.099 56.1794
124.511710 -4.097 56.6688
124.877921 -4.092 57.1619
125.244132 -4.084 57.6529
125.610343 -4.072 58.1392
125.976553 -4.056 58.6180
126.342764 -4.037 59.0838
126.708975 -4.015 59.5340
127.075186 -3.991 59.9666
127.441397 -3.963 60.3749
127.807608 -3.934 60.7608
128.173819 -3.903 61.1193
128.540030 -3.872 61.4477
128.906241 -3.840 61.7501
129.272452 -3.808 62.0191
129.638663 -3.778 62.2603
130.004873 -3.748 62.4730
130.371084 -3.721 62.6551
130.737295 -3.696 62.8153
131.103506 -3.675 62.9500
131.469717 -3.657 63.0644
131.835928 -3.643 63.1633
132.202139 -3.633 63.2470
132.568350 -3.628 63.3222
132.934561 -3.627 63.3918
133.300772 -3.632 63.4589
133.666983 -3.641 63.5287
134.033193 -3.654 63.6052
134.399404 -3.672 63.6904
134.765615 -3.695 63.7895
135.131826 -3.721 63.9067
135.498037 -3.750 64.0407
135.864248 -3.783 64.1991
136.230459 -3.819 64.3823
136.596670 -3.856 64.5891
136.962881 -3.896 64.8268
137.329092 -3.936 65.0910
137.695303 -3.977 65.3833
138.061513 -4.018 65.7075
138.427724 -4.058 66.0561
138.793935 -4.097 66.4331
139.160146 -4.135 66.8375
139.526357 -4.170 67.2625
139.892568 -4.204 67.7110
140.258779 -4.235 68.1791
140.624990 -4.262 68.6617
140.991201 -4.287 69.1593
141.357412 -4.309 69.6673
141.723623 -4.327 70.1818
142.089833 -4.342 70.7009
142.456044 -4.353 71.2219
142.822255 -4.361 71.7403
143.188466 -4.366 72.2539
143.554677 -4.368 72.7624
143.920888 -4.368 73.2601
144.287099 -4.365 73.7462
144.653310 -4.360 74.2222
145.019521 -4.354 74.6819
145.385732 -4.347 75.1269
145.751943 -4.339 75.5591
146.118153 -4.331 75.9732
146.484364 -4.323 76.3730
146.850575 -4.315 76.7605
147.216786 -4.308 77.1321
147.582997 -4.303 77.4929
147.949208 -4.299 77.8450
148.315419 -4.297 78.1875
148.681630 -4.297 78.5249
149.047841 -4.299 78.8600
149.414052 -4.304 79.1938
149.780263 -4.311 79.5295
150.146473 -4.320 79.8704
150.512684 -4.331 80.2188
150.878895 -4.345 80.5756
151.245106 -4.360 80.9450
151.611317 -4.378 81.3296
151.977528 -4.397 81.7282
152.343739 -4.417 82.1452
152.709950 -4.439 82.5834
153.076161 -4.461 83.0397
153.442372 -4.484 83.5184
153.808582 -4.507 84.0222
154.174793 -4.529 84.5469
154.541004 -4.552 85.0960
154.907215 -4.573 85.6722
155.273426 -4.593 86.2705
155.639637 -4.612 86.8939
156.005848 -4.629 87.5453
156.372059 -4.642 88.2188
156.738270 -4.654 88.9161
157.104481 -4.663 89.6408
157.470692 -4.667 90.3862
157.836902 -4.668 91.1506
158.203113 -4.664 91.9376
158.569324 -4.655 92.7411
158.935535 -4.641 93.5545
159.301746 -4.622 94.3785
