* Measurement data measured by REW V5.40 beta 135
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 11, 2026, 4:09:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = X801 B = RFilter 
* Measurement: FRX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.380859 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.380859 -6.446 59.6529
15.747070 -1.579 12.4333
16.113281 -1.313 6.8159
16.479492 -0.995 3.6749
16.845703 -0.604 2.0783
17.211914 -0.236 1.9138
17.578125 0.032 2.6032
17.944336 0.205 3.5930
18.310547 0.311 4.6802
18.676758 0.361 5.8093
19.042968 0.357 6.8774
19.409179 0.313 7.7852
19.775390 0.241 8.4974
20.141601 0.151 8.9964
20.507812 0.054 9.2620
20.874023 -0.037 9.3048
21.240234 -0.114 9.1655
21.606445 -0.170 8.8899
21.972656 -0.201 8.5303
22.338867 -0.205 8.1475
22.705078 -0.186 7.7864
23.071288 -0.152 7.4489
23.437499 -0.131 7.1719
23.803710 -0.125 7.1904
24.169921 -0.117 7.5015
24.536132 -0.103 8.0245
24.902343 -0.083 8.6933
25.268554 -0.055 9.4299
25.634765 -0.018 10.1363
26.000976 0.028 10.6804
26.367187 0.061 10.9228
26.733398 0.051 11.0028
27.099608 0.021 11.0976
27.465819 -0.012 11.1678
27.832030 -0.042 11.1904
28.198241 -0.065 11.1676
28.564452 -0.081 11.1142
28.930663 -0.087 11.0494
29.296874 -0.083 10.9928
29.663085 -0.072 10.9629
30.029296 -0.055 10.9740
30.395507 -0.034 11.0337
30.761717 -0.013 11.1440
31.127928 0.007 11.3014
31.494139 0.023 11.4975
31.860350 0.034 11.7200
32.226561 0.039 11.9558
32.592772 0.038 12.1911
32.958983 0.032 12.4136
33.325194 0.022 12.6132
33.691405 0.009 12.7836
34.057616 -0.005 12.9221
34.423827 -0.019 13.0296
34.790037 -0.030 13.1108
35.156248 -0.038 13.1727
35.522459 -0.042 13.2240
35.888670 -0.042 13.2738
36.254881 -0.039 13.3307
36.621092 -0.032 13.4015
36.987303 -0.024 13.4903
37.353514 -0.015 13.5996
37.719725 -0.007 13.7283
38.085936 0.000 13.8737
38.452147 0.006 14.0314
38.818357 0.009 14.1959
39.184568 0.009 14.3614
39.550779 0.007 14.5228
39.916990 0.004 14.6758
40.283201 -0.001 14.8174
40.649412 -0.006 14.9463
41.015623 -0.011 15.0627
41.381834 -0.015 15.1682
41.748045 -0.019 15.2654
42.114256 -0.021 15.3575
42.480467 -0.021 15.4480
42.846677 -0.021 15.5400
43.212888 -0.019 15.6360
43.579099 -0.016 15.7375
43.945310 -0.013 15.8453
44.311521 -0.011 15.9590
44.677732 -0.008 16.0778
45.043943 -0.007 16.2000
45.410154 -0.005 16.3239
45.776365 -0.005 16.4474
46.142576 -0.005 16.5692
46.508787 -0.006 16.6878
46.874997 -0.007 16.8026
47.241208 -0.009 16.9133
47.607419 -0.010 17.0204
47.973630 -0.011 17.1242
48.339841 -0.011 17.2256
48.706052 -0.012 17.3256
49.072263 -0.012 17.4248
49.438474 -0.012 17.5238
49.804685 -0.011 17.6231
50.170896 -0.011 17.7225
50.537107 -0.011 17.8219
50.903317 -0.011 17.9208
51.269528 -0.011 18.0188
51.635739 -0.011 18.1155
52.001950 -0.011 18.2103
52.368161 -0.011 18.3032
52.734372 -0.011 18.3940
53.100583 -0.011 18.4828
53.466794 -0.011 18.5701
53.833005 -0.011 18.6561
54.199216 -0.010 18.7410
54.565426 -0.010 18.8253
54.931637 -0.009 18.9090
55.297848 -0.009 18.9921
55.664059 -0.009 19.0742
56.030270 -0.009 19.1551
56.396481 -0.009 19.2341
56.762692 -0.009 19.3105
57.128903 -0.009 19.3838
57.495114 -0.010 19.4533
57.861325 -0.011 19.5188
58.227536 -0.011 19.5798
58.593746 -0.012 19.6364
58.959957 -0.012 19.6886
59.326168 -0.012 19.7367
59.692379 -0.012 19.7809
60.058590 -0.012 19.8213
60.424801 -0.011 19.8580
60.791012 -0.011 19.8908
61.157223 -0.010 19.9192
61.523434 -0.009 19.9420
61.889645 -0.009 19.9577
62.255856 -0.009 19.9636
62.622066 -0.009 19.9557
62.988277 -0.010 19.9277
63.354488 -0.013 19.8714
63.720699 -0.022 19.7879
64.086910 -0.040 19.6923
64.453121 -0.067 19.6181
64.819332 -0.101 19.6081
65.185543 -0.136 19.6692
65.551754 -0.167 19.7916
65.917965 -0.191 19.9601
66.284176 -0.206 20.1562
66.650386 -0.211 20.3620
67.016597 -0.208 20.5610
67.382808 -0.194 20.7372
67.749019 -0.172 20.8724
68.115230 -0.143 20.9445
68.481441 -0.108 20.9342
68.847652 -0.074 20.8319
69.213863 -0.046 20.6359
69.580074 -0.027 20.3862
69.946285 -0.017 20.1092
70.312496 -0.012 19.8220
70.678706 -0.011 19.5234
71.044917 -0.011 19.1983
71.411128 -0.011 18.8328
71.777339 -0.013 18.4082
72.143550 -0.018 17.8952
72.509761 -0.030 17.2750
72.875972 -0.058 16.5355
73.242183 -0.112 15.6806
73.608394 -0.200 14.7980
73.974605 -0.325 13.9510
74.340816 -0.479 13.2309
74.707026 -0.657 12.6623
75.073237 -0.847 12.2504
75.439448 -1.046 11.9915
75.805659 -1.250 11.8509
76.171870 -1.457 11.8117
76.538081 -1.675 11.8464
76.904292 -1.905 11.9727
77.270503 -2.159 12.2449
77.636714 -2.428 12.7573
78.002925 -2.707 13.5866
78.369135 -2.974 14.7347
78.735346 -3.220 16.2006
79.101557 -3.434 17.8996
79.467768 -3.611 19.7877
79.833979 -3.749 21.8082
80.200190 -3.848 23.9149
80.566401 -3.908 26.0719
80.932612 -3.929 28.2437
81.298823 -3.913 30.4025
81.665034 -3.861 32.5195
82.031245 -3.774 34.5711
82.397455 -3.653 36.5340
82.763666 -3.499 38.3821
83.129877 -3.314 40.0926
83.496088 -3.099 41.6371
83.862299 -2.856 42.9803
84.228510 -2.588 44.0938
84.594721 -2.301 44.9166
84.960932 -1.998 45.4162
85.327143 -1.699 45.5521
85.693354 -1.412 45.3066
86.059565 -1.164 44.7650
86.425775 -0.958 44.0061
86.791986 -0.803 43.1796
87.158197 -0.683 42.3913
87.524408 -0.594 41.6852
87.890619 -0.516 41.0689
88.256830 -0.449 40.5241
88.623041 -0.383 40.0154
88.989252 -0.320 39.5222
89.355463 -0.258 39.0196
89.721674 -0.200 38.4944
90.087885 -0.147 37.9366
90.454095 -0.102 37.3507
90.820306 -0.067 36.7489
91.186517 -0.043 36.1464
91.552728 -0.027 35.5688
91.918939 -0.018 35.0137
92.285150 -0.014 34.4925
92.651361 -0.012 33.9901
93.017572 -0.011 33.5043
93.383783 -0.010 33.0224
93.749994 -0.010 32.5384
94.116205 -0.011 32.0420
94.482415 -0.011 31.5272
94.848626 -0.013 30.9803
95.214837 -0.017 30.3987
95.581048 -0.025 29.7622
95.947259 -0.039 29.0822
96.313470 -0.063 28.3439
96.679681 -0.101 27.5834
97.045892 -0.151 26.8112
97.412103 -0.216 26.0579
97.778314 -0.289 25.3433
98.144525 -0.371 24.6554
98.510735 -0.457 23.9982
98.876946 -0.547 23.3439
99.243157 -0.644 22.6880
99.609368 -0.747 22.0223
99.975579 -0.862 21.3479
100.341790 -0.989 20.6829
100.708001 -1.129 20.0349
101.074212 -1.282 19.4269
101.440423 -1.447 18.8673
101.806634 -1.623 18.3691
102.172844 -1.810 17.9385
102.539055 -2.006 17.5824
102.905266 -2.209 17.3053
103.271477 -2.420 17.1111
103.637688 -2.636 17.0030
104.003899 -2.856 16.9824
104.370110 -3.080 17.0521
104.736321 -3.306 17.2095
105.102532 -3.532 17.4571
105.468743 -3.759 17.7897
105.834954 -3.985 18.2096
106.201164 -4.209 18.7105
106.567375 -4.431 19.2949
106.933586 -4.649 19.9561
107.299797 -4.864 20.6964
107.666008 -5.075 21.5092
108.032219 -5.281 22.3969
108.398430 -5.482 23.3528
108.764641 -5.677 24.3792
109.130852 -5.866 25.4697
109.497063 -6.048 26.6258
109.863274 -6.223 27.8420
110.229484 -6.391 29.1184
110.595695 -6.550 30.4512
110.961906 -6.701 31.8376
111.328117 -6.842 33.2761
111.694328 -6.974 34.7610
112.060539 -7.095 36.2929
112.426750 -7.206 37.8626
112.792961 -7.305 39.4709
113.159172 -7.392 41.1074
113.525383 -7.467 42.7683
113.891594 -7.530 44.4468
114.257804 -7.580 46.1356
114.624015 -7.618 47.8302
114.990226 -7.645 49.5252
115.356437 -7.659 51.2157
115.722648 -7.662 52.8977
116.088859 -7.654 54.5660
116.455070 -7.635 56.2177
116.821281 -7.605 57.8467
117.187492 -7.564 59.4505
117.553703 -7.514 61.0239
117.919914 -7.454 62.5628
118.286124 -7.384 64.0655
118.652335 -7.306 65.5252
119.018546 -7.220 66.9433
119.384757 -7.126 68.3122
119.750968 -7.025 69.6330
120.117179 -6.917 70.9021
120.483390 -6.804 72.1164
120.849601 -6.685 73.2785
121.215812 -6.562 74.3811
121.582023 -6.436 75.4302
121.948234 -6.305 76.4201
122.314444 -6.174 77.3533
122.680655 -6.039 78.2320
123.046866 -5.905 79.0524
123.413077 -5.769 79.8226
123.779288 -5.634 80.5388
124.145499 -5.500 81.2064
124.511710 -5.366 81.8282
124.877921 -5.235 82.4044
125.244132 -5.105 82.9420
125.610343 -4.977 83.4409
125.976553 -4.851 83.9053
126.342764 -4.728 84.3389
126.708975 -4.606 84.7435
127.075186 -4.488 85.1218
127.441397 -4.371 85.4765
127.807608 -4.256 85.8084
128.173819 -4.144 86.1195
128.540030 -4.033 86.4110
128.906241 -3.923 86.6822
129.272452 -3.816 86.9345
129.638663 -3.709 87.1674
130.004873 -3.604 87.3799
130.371084 -3.500 87.5720
130.737295 -3.398 87.7436
131.103506 -3.297 87.8926
131.469717 -3.197 88.0199
131.835928 -3.099 88.1248
132.202139 -3.003 88.2054
132.568350 -2.910 88.2649
132.934561 -2.818 88.3006
133.300772 -2.730 88.3136
133.666983 -2.645 88.3071
134.033193 -2.562 88.2787
134.399404 -2.484 88.2326
134.765615 -2.409 88.1704
135.131826 -2.339 88.0923
135.498037 -2.273 88.0032
135.864248 -2.211 87.9044
136.230459 -2.153 87.7981
136.596670 -2.100 87.6881
136.962881 -2.051 87.5771
137.329092 -2.006 87.4664
137.695303 -1.966 87.3596
138.061513 -1.929 87.2598
138.427724 -1.895 87.1660
138.793935 -1.865 87.0830
139.160146 -1.838 87.0119
139.526357 -1.814 86.9507
139.892568 -1.792 86.9041
140.258779 -1.772 86.8707
140.624990 -1.754 86.8492
140.991201 -1.737 86.8426
141.357412 -1.722 86.8478
141.723623 -1.707 86.8644
142.089833 -1.693 86.8934
142.456044 -1.680 86.9316
142.822255 -1.667 86.9789
143.188466 -1.654 87.0348
143.554677 -1.642 87.0975
143.920888 -1.629 87.1661
144.287099 -1.617 87.2401
144.653310 -1.606 87.3189
145.019521 -1.594 87.4011
145.385732 -1.584 87.4870
145.751943 -1.573 87.5764
146.118153 -1.563 87.6681
146.484364 -1.554 87.7629
146.850575 -1.545 87.8613
147.216786 -1.537 87.9627
147.582997 -1.531 88.0681
147.949208 -1.525 88.1787
148.315419 -1.520 88.2945
148.681630 -1.516 88.4167
149.047841 -1.513 88.5466
149.414052 -1.511 88.6854
149.780263 -1.509 88.8331
150.146473 -1.509 88.9918
150.512684 -1.509 89.1630
150.878895 -1.509 89.3453
151.245106 -1.511 89.5414
151.611317 -1.512 89.7529
151.977528 -1.512 89.9771
152.343739 -1.513 90.2169
152.709950 -1.513 90.4738
153.076161 -1.512 90.7438
153.442372 -1.511 91.0296
153.808582 -1.507 91.3325
154.174793 -1.502 91.6477
154.541004 -1.496 91.9771
154.907215 -1.487 92.3218
155.273426 -1.475 92.6765
155.639637 -1.460 93.0418
156.005848 -1.443 93.4188
156.372059 -1.422 93.8019
156.738270 -1.398 94.1901
157.104481 -1.370 94.5839
157.470692 -1.337 94.9782
157.836902 -1.301 95.3693
158.203113 -1.261 95.7568
158.569324 -1.215 96.1364
158.935535 -1.165 96.5023
159.301746 -1.111 96.8511
