* Measurement data measured by REW V5.40 beta 135
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Sep 11, 2026, 4:07:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = Target LR.RMS.Average B = RX-MP Maximum gain 0.0 dB Lower frequency limit 80 Hz Upper frequency limit 225 Hz 
* Measurement: Fper_R
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 -0.000 0.0000
15.380859 0.000 -0.0000
15.747070 -0.000 0.0000
16.113281 0.000 -0.0000
16.479492 -0.000 0.0000
16.845703 0.000 -0.0000
17.211914 -0.000 0.0000
17.578125 0.000 -0.0000
17.944336 -0.000 0.0000
18.310547 0.000 -0.0000
18.676758 -0.000 0.0000
19.042968 0.000 -0.0000
19.409179 -0.000 0.0000
19.775390 0.000 -0.0000
20.141601 -0.000 0.0000
20.507812 0.000 -0.0000
20.874023 -0.000 0.0000
21.240234 0.000 -0.0000
21.606445 -0.000 0.0000
21.972656 0.000 -0.0000
22.338867 -0.000 0.0000
22.705077 0.000 -0.0000
23.071288 -0.000 0.0000
23.437499 0.000 -0.0000
23.803710 -0.000 0.0000
24.169921 0.000 -0.0000
24.536132 -0.000 0.0000
24.902343 0.000 -0.0000
25.268554 -0.000 0.0000
25.634765 0.000 -0.0000
26.000976 -0.000 0.0000
26.367187 0.000 -0.0000
26.733397 -0.000 0.0000
27.099608 0.000 -0.0000
27.465819 -0.000 0.0000
27.832030 0.000 -0.0000
28.198241 -0.000 0.0000
28.564452 0.000 -0.0000
28.930663 -0.000 0.0000
29.296874 0.000 -0.0000
29.663085 -0.000 0.0000
30.029296 0.000 -0.0000
30.395507 -0.000 0.0000
30.761717 0.000 -0.0000
31.127928 -0.000 0.0000
31.494139 0.000 -0.0000
31.860350 -0.000 0.0000
32.226561 0.000 -0.0000
32.592772 -0.000 0.0000
32.958983 0.000 -0.0000
33.325194 -0.000 0.0000
33.691405 0.000 -0.0000
34.057616 -0.000 0.0000
34.423827 0.000 -0.0000
34.790037 -0.000 0.0000
35.156248 0.000 -0.0000
35.522459 -0.000 0.0000
35.888670 0.000 -0.0000
36.254881 -0.000 0.0000
36.621092 0.000 -0.0000
36.987303 -0.000 0.0000
37.353514 0.000 -0.0000
37.719725 -0.000 0.0000
38.085936 0.000 -0.0000
38.452147 -0.000 0.0000
38.818357 0.000 -0.0000
39.184568 -0.000 0.0000
39.550779 0.000 -0.0000
39.916990 -0.000 0.0000
40.283201 0.000 -0.0000
40.649412 -0.000 0.0000
41.015623 0.000 -0.0000
41.381834 -0.000 0.0001
41.748045 0.000 -0.0000
42.114256 -0.000 0.0001
42.480467 0.000 -0.0000
42.846677 -0.000 0.0000
43.212888 0.000 -0.0000
43.579099 -0.000 0.0000
43.945310 0.000 -0.0000
44.311521 -0.000 0.0000
44.677732 0.000 -0.0000
45.043943 -0.000 0.0001
45.410154 0.000 -0.0001
45.776365 -0.000 0.0000
46.142576 0.000 -0.0000
46.508786 -0.000 0.0000
46.874997 0.000 -0.0000
47.241208 -0.000 0.0000
47.607419 0.000 -0.0000
47.973630 -0.000 0.0000
48.339841 0.000 -0.0000
48.706052 -0.000 0.0000
49.072263 0.000 -0.0000
49.438474 -0.000 0.0000
49.804685 0.000 -0.0000
50.170896 -0.000 0.0000
50.537106 0.000 -0.0000
50.903317 -0.000 0.0000
51.269528 0.000 -0.0000
51.635739 -0.000 0.0000
52.001950 0.000 -0.0000
52.368161 -0.000 0.0000
52.734372 0.000 -0.0000
53.100583 -0.000 0.0000
53.466794 0.000 -0.0000
53.833005 -0.000 0.0000
54.199216 0.000 -0.0000
54.565426 -0.000 0.0000
54.931637 0.000 -0.0000
55.297848 -0.000 0.0000
55.664059 0.000 -0.0000
56.030270 -0.000 0.0000
56.396481 0.000 -0.0000
56.762692 -0.000 -0.1413
57.128903 0.000 -0.4752
57.495114 -0.000 -0.9197
57.861325 0.000 -1.4883
58.227536 -0.000 -2.1850
58.593746 0.000 -2.9927
58.959957 -0.000 -3.8783
59.326168 0.000 -4.8139
59.692379 0.000 -5.7503
60.058590 -0.000 -6.6537
60.424801 0.000 -7.5075
60.791012 -0.000 -8.2896
61.157223 0.000 -9.0001
61.523434 -0.000 -9.6355
61.889645 0.000 -10.1810
62.255856 -0.000 -10.6422
62.622066 0.000 -11.0205
62.988277 -0.000 -11.3172
63.354488 0.000 -11.5450
63.720699 -0.000 -11.7028
64.086910 0.000 -11.7903
64.453121 -0.046 -11.8195
64.819332 -0.094 -11.7947
65.185543 -0.134 -11.7269
65.551754 -0.168 -11.6283
65.917965 -0.193 -11.4981
66.284176 -0.209 -11.3453
66.650386 -0.216 -11.1832
67.016597 -0.213 -11.0206
67.382808 -0.199 -10.8754
67.749019 -0.177 -10.7566
68.115230 -0.146 -10.6690
68.481441 -0.105 -10.6306
68.847652 -0.056 -10.6557
69.213863 -0.000 -10.7621
69.580074 -0.000 -10.9701
69.946285 0.000 -11.2819
70.312495 -0.000 -11.7085
70.678706 0.000 -12.2612
71.044917 -0.000 -12.9405
71.411128 0.000 -13.7490
71.777339 -0.000 -14.6589
72.143550 0.000 -15.6304
72.509761 -0.000 -16.6318
72.875972 0.000 -17.6118
73.242183 -0.000 -18.5344
73.608394 -0.098 -19.3605
73.974605 -0.263 -20.0392
74.340815 -0.444 -20.5521
74.707026 -0.640 -20.8862
75.073237 -0.843 -21.0327
75.439448 -1.050 -21.0045
75.805659 -1.258 -20.7950
76.171870 -1.463 -20.4055
76.538081 -1.660 -19.8529
76.904292 -1.849 -19.1437
77.270503 -2.025 -18.2934
77.636714 -2.188 -17.3192
78.002925 -2.338 -16.2184
78.369135 -2.470 -15.0051
78.735346 -2.583 -13.6963
79.101557 -2.678 -12.3004
79.467768 -2.751 -10.8367
79.833979 -2.805 -9.3164
80.200190 -2.837 -7.7411
80.566401 -2.846 -6.1308
80.932612 -2.832 -4.5000
81.298823 -2.794 -2.8594
81.665034 -2.732 -1.2298
82.031245 -2.648 0.3840
82.397455 -2.540 1.9752
82.763666 -2.408 3.5223
83.129877 -2.252 5.0136
83.496088 -2.073 6.4356
83.862299 -1.872 7.7703
84.228510 -1.649 9.0206
84.594721 -1.402 10.1705
84.960932 -1.133 11.1957
85.327143 -0.842 12.0840
85.693354 -0.528 12.8136
86.059565 -0.194 13.3658
86.425775 -0.000 13.7325
86.791986 0.000 13.8670
87.158197 -0.000 13.7222
87.524408 0.000 13.2549
87.890619 -0.000 12.4053
88.256830 0.000 11.1274
88.623041 -0.000 9.3732
88.989252 0.000 7.0726
89.355463 -0.000 4.2156
89.721674 0.000 0.8671
90.087885 -0.000 -2.8354
90.454095 0.000 -6.6737
90.820306 -0.000 -10.4230
91.186517 0.000 -13.9120
91.552728 -0.000 -16.9956
91.918939 0.000 -19.5848
92.285150 -0.000 -21.6772
92.651361 0.000 -23.2993
93.017572 -0.000 -24.5185
93.383783 0.000 -25.4177
93.749994 -0.000 -26.0407
94.116205 0.000 -26.4300
94.482415 -0.000 -26.6402
94.848626 0.000 -26.7061
95.214837 -0.000 -26.6838
95.581048 0.000 -26.6102
95.947259 -0.000 -26.4933
96.313470 0.000 -26.3573
96.679681 -0.000 -26.2248
97.045892 -0.079 -26.1134
97.412103 -0.180 -26.0595
97.778314 -0.274 -26.0612
98.144524 -0.363 -26.1155
98.510735 -0.447 -26.2326
98.876946 -0.530 -26.4105
99.243157 -0.612 -26.6599
99.609368 -0.701 -26.9857
99.975579 -0.799 -27.3573
100.341790 -0.905 -27.7685
100.708001 -1.023 -28.2027
101.074212 -1.151 -28.6463
101.440423 -1.291 -29.1014
101.806634 -1.446 -29.5419
102.172844 -1.613 -29.9406
102.539055 -1.791 -30.2953
102.905266 -1.980 -30.5844
103.271477 -2.177 -30.8159
103.637688 -2.382 -30.9859
104.003899 -2.596 -31.0720
104.370110 -2.814 -31.0736
104.736321 -3.037 -30.9915
105.102532 -3.260 -30.8214
105.468743 -3.485 -30.5853
105.834954 -3.712 -30.2690
106.201164 -3.939 -29.8687
106.567375 -4.166 -29.3907
106.933586 -4.391 -28.8317
107.299797 -4.612 -28.2006
107.666008 -4.832 -27.5092
108.032219 -5.049 -26.7372
108.398430 -5.263 -25.8945
108.764641 -5.472 -24.9800
109.130852 -5.676 -23.9959
109.497063 -5.873 -22.9552
109.863274 -6.067 -21.8540
110.229484 -6.254 -20.6811
110.595695 -6.434 -19.4511
110.961906 -6.606 -18.1576
111.328117 -6.770 -16.8123
111.694328 -6.925 -15.4234
112.060539 -7.073 -13.9810
112.426750 -7.209 -12.4891
112.792961 -7.337 -10.9578
113.159172 -7.452 -9.3813
113.525383 -7.522 -7.7474
113.891594 -7.582 -6.1034
114.257804 -7.631 -4.4429
114.624015 -7.668 -2.7789
114.990226 -7.694 -1.1123
115.356437 -7.707 0.5490
115.722648 -7.709 2.1913
116.088859 -7.701 3.8232
116.455070 -7.682 5.4420
116.821281 -7.652 7.0344
117.187492 -7.611 8.6043
117.553703 -7.559 10.1350
117.919914 -7.499 11.6268
118.286124 -7.429 13.0869
118.652335 -7.351 14.5058
119.018546 -7.263 15.8777
119.384757 -7.168 17.2039
119.750968 -7.065 18.4674
120.117179 -6.957 19.6828
120.483390 -6.842 20.8477
120.849601 -6.722 21.9542
121.215812 -6.596 23.0027
121.582023 -6.466 23.9879
121.948233 -6.333 24.9036
122.314444 -6.199 25.7709
122.680655 -6.062 26.5762
123.046866 -5.924 27.3235
123.413077 -5.785 28.0126
123.779288 -5.646 28.6379
124.145499 -5.509 29.2115
124.511710 -5.373 29.7469
124.877921 -5.239 30.2300
125.244132 -5.106 30.6751
125.610343 -4.975 31.0728
125.976553 -4.849 31.4296
126.342764 -4.725 31.7640
126.708975 -4.604 32.0740
127.075186 -4.485 32.3558
127.441397 -4.368 32.6192
127.807608 -4.253 32.8480
128.173819 -4.142 33.0635
128.540030 -4.032 33.2692
128.906241 -3.924 33.4557
129.272452 -3.816 33.6260
129.638663 -3.709 33.7729
130.004873 -3.603 33.8904
130.371084 -3.500 34.0022
130.737295 -3.397 34.0922
131.103506 -3.295 34.1596
131.469717 -3.193 34.2028
131.835928 -3.092 34.2096
132.202139 -2.995 34.1940
132.568350 -2.899 34.1647
132.934561 -2.805 34.1027
133.300772 -2.713 34.0197
133.666983 -2.623 33.9022
134.033193 -2.538 33.7547
134.399404 -2.458 33.5986
134.765615 -2.380 33.4253
135.131826 -2.307 33.2322
135.498037 -2.238 33.0275
135.864248 -2.174 32.7970
136.230459 -2.116 32.5669
136.596670 -2.063 32.3432
136.962881 -2.014 32.1155
137.329092 -1.969 31.8928
137.695303 -1.928 31.6683
138.061513 -1.893 31.4443
138.427724 -1.862 31.2473
138.793935 -1.834 31.0634
139.160146 -1.810 30.8936
139.526357 -1.787 30.7378
139.892568 -1.767 30.5863
140.258779 -1.750 30.4569
140.624990 -1.735 30.3549
140.991201 -1.720 30.2645
141.357412 -1.706 30.1915
141.723623 -1.692 30.1217
142.089833 -1.680 30.0607
142.456044 -1.668 30.0231
142.822255 -1.656 29.9968
143.188466 -1.643 29.9781
143.554677 -1.630 29.9637
143.920888 -1.617 29.9421
144.287099 -1.606 29.9341
144.653310 -1.594 29.9365
145.019521 -1.583 29.9403
145.385732 -1.570 29.9482
145.751942 -1.558 29.9484
146.118153 -1.547 29.9479
146.484364 -1.538 29.9642
146.850575 -1.529 29.9824
147.216786 -1.520 30.0058
147.582997 -1.511 30.0285
147.949208 -1.505 30.0450
148.315419 -1.500 30.0764
148.681630 -1.497 30.1238
149.047841 -1.494 30.1787
149.414052 -1.492 30.2465
149.780262 -1.491 30.3146
150.146473 -1.492 30.3962
150.512684 -1.494 30.5041
150.878895 -1.496 30.6288
151.245106 -1.499 30.7725
151.611317 -1.501 30.9294
151.977528 -1.504 31.0945
152.343739 -1.507 31.2912
152.709950 -1.510 31.5126
153.076161 -1.512 31.7544
153.442372 -1.513 32.0185
153.808582 -1.511 32.2906
154.174793 -1.509 32.5827
