* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -25.7 dBFS, measurement signal peak level -14.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:14:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP+20cm AHEAD 3.98m from front wall 3.13/3.14m from RLand L speaker  2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0287 ms (-9.9 mm, -0.39 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.8 ppm
* Measurement: L 120.green.1
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.253 -155.3348
15.123451 68.464 -156.2692
15.233042 68.716 -157.1852
15.343426 68.967 -158.1137
15.454611 69.213 -159.0635
15.566602 69.453 -160.0153
15.679404 69.687 -161.0124
15.793023 69.912 -162.0902
15.907466 70.132 -163.2203
16.022738 70.345 -164.4266
16.138845 70.547 -165.7455
16.255794 70.743 -167.1740
16.373590 70.932 -168.7012
16.492240 71.110 -170.3269
16.611750 71.279 -172.0706
16.732125 71.442 -173.9116
16.853373 71.596 -175.8042
16.975500 71.744 -177.7660
17.098511 71.887 -179.7887
17.222414 72.025 178.1898
17.347215 72.161 176.1636
17.472920 72.295 174.1281
17.599536 72.429 172.1240
17.727069 72.564 170.1493
17.855527 72.699 168.1956
17.984915 72.835 166.2692
18.115241 72.972 164.3673
18.246512 73.107 162.4834
18.378734 73.239 160.6074
18.511914 73.368 158.7320
18.646058 73.489 156.8655
18.781175 73.601 154.9971
18.917272 73.703 153.1183
19.054354 73.793 151.2639
19.192430 73.869 149.4122
19.331506 73.932 147.5743
19.471590 73.981 145.7944
19.612689 74.015 144.0393
19.754811 74.039 142.3480
19.897962 74.053 140.7432
20.042151 74.059 139.2074
20.187385 74.061 137.7773
20.333671 74.061 136.4538
20.481017 74.063 135.2288
20.629431 74.071 134.1133
20.778920 74.086 133.1017
20.929493 74.113 132.1523
21.081157 74.153 131.2861
21.233919 74.207 130.4451
21.387789 74.275 129.6078
21.542774 74.355 128.7684
21.698882 74.447 127.8608
21.856121 74.549 126.9041
22.014499 74.656 125.8547
22.174025 74.769 124.7094
22.334708 74.882 123.4695
22.496554 74.994 122.1199
22.659573 75.104 120.6760
22.823774 75.210 119.1421
22.989164 75.311 117.5188
23.155753 75.405 115.8287
23.323549 75.493 114.0624
23.492562 75.575 112.2460
23.662798 75.649 110.3687
23.834269 75.714 108.4513
24.006982 75.770 106.4845
24.180946 75.816 104.4842
24.356171 75.849 102.4422
24.532666 75.869 100.3722
24.710440 75.873 98.2707
24.889502 75.860 96.1482
25.069862 75.826 94.0110
25.251528 75.771 91.8654
25.434511 75.694 89.7278
25.618820 75.592 87.6031
25.804465 75.466 85.5158
25.991454 75.315 83.4732
26.179799 75.140 81.5039
26.369509 74.942 79.6233
26.560593 74.722 77.8609
26.753062 74.482 76.2457
26.946926 74.224 74.8099
27.142194 73.951 73.5962
27.338878 73.665 72.6443
27.536987 73.375 72.0052
27.736531 73.083 71.7286
27.937521 72.803 71.8575
28.139968 72.545 72.4377
28.343882 72.325 73.4689
28.549273 72.160 74.9417
28.756153 72.068 76.7747
28.964532 72.064 78.8301
29.174421 72.153 80.9764
29.385831 72.334 82.9654
29.598773 72.595 84.6979
29.813258 72.915 85.9779
30.029297 73.276 86.7896
30.246902 73.654 87.0807
30.466083 74.035 86.8944
30.686853 74.406 86.2641
30.909222 74.757 85.2614
31.133203 75.086 83.9420
31.358807 75.389 82.3618
31.586046 75.666 80.5867
31.814932 75.918 78.6410
32.045476 76.146 76.5771
32.277691 76.351 74.4119
32.511588 76.535 72.1595
32.747180 76.700 69.8404
32.984480 76.846 67.4526
33.223499 76.974 64.9972
33.464250 77.084 62.4773
33.706746 77.176 59.8863
33.950999 77.249 57.2192
34.197022 77.303 54.4805
34.444828 77.334 51.6650
34.694429 77.340 48.7703
34.945839 77.319 45.8120
35.199071 77.267 42.7974
35.454138 77.179 39.7441
35.711054 77.054 36.6926
35.969831 76.891 33.6598
36.230483 76.685 30.6683
36.493024 76.437 27.7751
36.757467 76.144 25.0242
37.023827 75.806 22.4578
37.292117 75.423 20.1355
37.562351 74.998 18.1194
37.834543 74.535 16.4591
38.108708 74.039 15.2136
38.384859 73.518 14.4366
38.663012 72.984 14.1582
38.943180 72.448 14.4086
39.225378 71.926 15.2051
39.509622 71.435 16.5343
39.795925 70.989 18.3439
40.084302 70.604 20.5743
40.374770 70.290 23.1410
40.667342 70.056 25.9380
40.962034 69.904 28.8495
41.258862 69.829 31.7681
41.557841 69.827 34.6009
41.858986 69.887 37.2733
42.162313 69.999 39.7343
42.467839 70.152 41.9585
42.775578 70.338 43.9481
43.085548 70.550 45.7286
43.397763 70.785 47.3406
43.712242 71.045 48.8300
44.028998 71.335 50.2352
44.348051 71.666 51.5738
44.669415 72.047 52.8289
44.993108 72.490 53.9364
45.319147 73.001 54.7865
45.647548 73.577 55.2496
45.978329 74.209 55.2028
46.311507 74.881 54.5539
46.647099 75.575 53.2547
46.985123 76.271 51.3008
47.325597 76.951 48.7231
47.668537 77.601 45.5763
48.013963 78.207 41.9262
48.361892 78.761 37.8415
48.712342 79.255 33.3864
49.065332 79.683 28.6177
49.420880 80.042 23.5854
49.779004 80.327 18.3325
50.139723 80.538 12.8956
50.503056 80.673 7.3114
50.869022 80.734 1.6172
51.237640 80.723 -4.1460
51.608929 80.645 -9.9337
51.982909 80.504 -15.6985
52.359598 80.305 -21.3925
52.739018 80.055 -26.9705
53.121186 79.761 -32.3944
53.506124 79.429 -37.6350
53.893852 79.067 -42.6764
54.284389 78.684 -47.5164
54.677756 78.286 -52.1669
55.073973 77.880 -56.6551
55.473062 77.471 -61.0220
55.875043 77.067 -65.3207
56.279936 76.670 -69.6146
56.687764 76.283 -73.9759
57.098547 75.906 -78.4828
57.512306 75.541 -83.2156
57.929064 75.186 -88.2534
58.348842 74.839 -93.6725
58.771662 74.498 -99.5410
59.197546 74.160 -105.9183
59.626515 73.822 -112.8539
60.058594 73.482 -120.3849
60.493803 73.140 -128.5372
60.932166 72.800 -137.3196
61.373706 72.466 -146.7087
61.818445 72.146 -156.6433
62.266407 71.847 -167.0165
62.717615 71.575 -177.6904
63.172093 71.334 171.5054
63.629864 71.119 160.7642
64.090952 70.924 150.2715
64.555381 70.739 140.1759
65.023176 70.551 130.6000
65.494361 70.352 121.6556
65.968960 70.137 113.4362
66.446998 69.902 106.0100
66.928501 69.647 99.4410
67.413492 69.378 93.7728
67.901998 69.100 89.0232
68.394044 68.820 85.1791
68.889655 68.546 82.1965
69.388858 68.282 80.0266
69.891679 68.032 78.6183
70.398142 67.796 77.9503
70.908276 67.577 78.0518
71.422107 67.387 78.9957
71.939661 67.250 80.8737
72.460965 67.208 83.7384
72.986047 67.317 87.5022
73.514934 67.633 91.8576
74.047654 68.189 96.2637
74.584234 68.972 100.1199
75.124702 69.931 102.9291
75.669086 71.000 104.4579
76.217416 72.115 104.6669
76.769719 73.228 103.6656
77.326024 74.306 101.5982
77.886360 75.328 98.6271
78.450757 76.279 94.8927
79.019243 77.150 90.5264
79.591849 77.936 85.6443
80.168605 78.631 80.3522
80.749539 79.233 74.7521
81.334684 79.743 68.9368
81.924068 80.161 62.9877
82.517724 80.491 56.9860
83.115681 80.735 50.9880
83.717972 80.900 45.0467
84.324627 80.991 39.1964
84.935678 81.014 33.4531
85.551157 80.973 27.8278
86.171096 80.870 22.3177
86.795527 80.707 16.9159
87.424483 80.481 11.6193
88.057997 80.189 6.4325
88.696102 79.825 1.3715
89.338830 79.382 -3.5289
89.986216 78.849 -8.2077
90.638293 78.219 -12.5760
91.295096 77.478 -16.5070
91.956658 76.616 -19.8209
92.623013 75.626 -22.2634
93.294198 74.507 -23.4746
93.970246 73.277 -22.9506
94.651193 71.994 -20.0267
95.337075 70.794 -14.0143
96.027927 69.918 -4.7547
96.723785 69.633 6.4733
97.424685 70.014 17.0911
98.130664 70.865 25.0953
98.841760 71.920 30.0881
99.558008 72.997 32.5881
100.279446 74.010 33.2565
101.006112 74.929 32.6205
101.738044 75.744 31.0518
102.475280 76.458 28.8091
103.217858 77.075 26.0773
103.965817 77.602 22.9958
104.719197 78.045 19.6745
105.478035 78.408 16.2037
106.242372 78.698 12.6592
107.012248 78.920 9.1044
107.787703 79.081 5.5916
108.568777 79.186 2.1626
109.355511 79.240 -1.1479
110.147947 79.249 -4.3135
110.946124 79.219 -7.3110
111.750085 79.153 -10.1194
112.559873 79.058 -12.7164
113.375528 78.940 -15.0797
114.197094 78.807 -17.1891
115.024613 78.669 -19.0322
115.858129 78.535 -20.6137
116.697684 78.417 -21.9626
117.543324 78.324 -23.1368
118.395091 78.262 -24.2165
119.253031 78.231 -25.2919
120.117188 78.227 -26.4487
120.987606 78.240 -27.7499
121.864332 78.259 -29.2274
122.747411 78.271 -30.8766
123.636890 78.264 -32.6626
124.532814 78.231 -34.5240
125.435230 78.166 -36.3857
126.344185 78.071 -38.1679
127.259727 77.951 -39.7982
128.181904 77.813 -41.2209
129.110763 77.670 -42.4061
130.046352 77.533 -43.3550
130.988722 77.417 -44.1002
131.937920 77.330 -44.7020
132.893997 77.279 -45.2379
133.857001 77.264 -45.7936
134.826984 77.284 -46.4503
135.803996 77.332 -47.2758
136.788088 77.398 -48.3181
137.779311 77.472 -49.6011
138.777717 77.543 -51.1235
139.783357 77.600 -52.8614
140.796285 77.636 -54.7701
141.816553 77.647 -56.7917
142.844214 77.629 -58.8620
143.879322 77.586 -60.9192
144.921931 77.520 -62.9135
145.972095 77.440 -64.8138
147.029869 77.352 -66.6127
148.095308 77.263 -68.3265
149.168468 77.180 -69.9901
150.249404 77.104 -71.6486
151.338173 77.036 -73.3481
152.434832 76.972 -75.1276
153.539437 76.909 -77.0165
154.652047 76.842 -79.0349
155.772720 76.764 -81.1942
156.901513 76.671 -83.4988
158.038486 76.555 -85.9467
159.183698 76.411 -88.5288
160.337209 76.231 -91.2296
161.499079 76.010 -94.0239
162.669367 75.741 -96.8765
163.848137 75.418 -99.7410
165.035448 75.037 -102.5581
166.231363 74.593 -105.2575
167.435944 74.086 -107.7595
168.649254 73.516 -109.9807
169.871356 72.888 -111.8435
171.102314 72.208 -113.2847
172.342191 71.481 -114.2625
173.591054 70.709 -114.7537
174.848966 69.889 -114.7328
176.115994 69.006 -114.1202
177.392203 68.042 -112.7045
178.677660 66.981 -110.0353
179.972432 65.844 -105.3044
181.276587 64.749 -97.3439
182.590191 64.007 -85.2740
183.913315 64.044 -70.4178
185.246027 64.978 -56.8905
186.588396 66.450 -47.7427
187.940492 68.051 -42.9749
189.302387 69.568 -41.3890
190.674150 70.932 -41.9133
192.055853 72.137 -43.8346
193.447569 73.194 -46.7143
194.849370 74.120 -50.2886
196.261329 74.929 -54.3972
197.683519 75.634 -58.9374
199.116016 76.240 -63.8364
200.558892 76.752 -69.0325
202.012225 77.172 -74.4667
203.476089 77.502 -80.0775
204.950560 77.745 -85.8004
206.435716 77.903 -91.5709
207.931635 77.981 -97.3279
209.438393 77.983 -103.0175
210.956070 77.918 -108.5943
212.484745 77.790 -114.0243
214.024497 77.608 -119.2842
215.575406 77.377 -124.3616
217.137555 77.105 -129.2537
218.711023 76.796 -133.9686
220.295893 76.456 -138.5237
221.892248 76.088 -142.9446
223.500171 75.695 -147.2607
225.119745 75.277 -151.5005
226.751056 74.831 -155.6841
228.394187 74.355 -159.8237
230.049226 73.847 -163.9248
231.716257 73.307 -167.9917
233.395369 72.732 -172.0376
235.086648 72.123 -176.0918
236.790182 71.477 179.7957
238.506062 70.789 175.5575
240.234375 70.048 171.1130
241.975212 69.240 166.3762
243.728664 68.345 161.2578
245.494823 67.340 155.6553
247.273780 66.199 149.4238
249.065627 64.894 142.3154
