* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.5 dBFS, measurement signal peak level -14.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:05:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP 4.18m from front wall 3.32m from RLand L speaker   1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Measurement: L 120.green
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 69.010 -147.4954
15.123451 69.081 -148.2580
15.233042 69.183 -149.1342
15.343426 69.309 -150.1924
15.454611 69.459 -151.4663
15.566602 69.633 -152.8993
15.679404 69.823 -154.4942
15.793023 70.026 -156.2631
15.907466 70.245 -158.1953
16.022738 70.473 -160.2368
16.138845 70.703 -162.3442
16.255794 70.937 -164.5460
16.373590 71.172 -166.7931
16.492240 71.402 -169.0079
16.611750 71.626 -171.2154
16.732125 71.845 -173.4082
16.853373 72.055 -175.5216
16.975500 72.255 -177.5619
17.098511 72.447 -179.5519
17.222414 72.631 178.5272
17.347215 72.807 176.6789
17.472920 72.976 174.8740
17.599536 73.139 173.0869
17.727069 73.298 171.3224
17.855527 73.453 169.5590
17.984915 73.606 167.7598
18.115241 73.757 165.9279
18.246512 73.906 164.0586
18.378734 74.052 162.1345
18.511914 74.196 160.1510
18.646058 74.335 158.1307
18.781175 74.467 156.0706
18.917272 74.594 153.9626
19.054354 74.710 151.8550
19.192430 74.816 149.7274
19.331506 74.909 147.5919
19.471590 74.988 145.4945
19.612689 75.052 143.3960
19.754811 75.102 141.3372
19.897962 75.137 139.3334
20.042151 75.158 137.3622
20.187385 75.170 135.4696
20.333671 75.171 133.6414
20.481017 75.167 131.8839
20.629431 75.162 130.2176
20.778920 75.157 128.6298
20.929493 75.157 127.1107
21.081157 75.165 125.6745
21.233919 75.181 124.2809
21.387789 75.210 122.9215
21.542774 75.248 121.5868
21.698882 75.297 120.2191
21.856121 75.355 118.8357
22.014499 75.419 117.3853
22.174025 75.487 115.8635
22.334708 75.556 114.2638
22.496554 75.624 112.5628
22.659573 75.690 110.7756
22.823774 75.750 108.9018
22.989164 75.805 106.9403
23.155753 75.854 104.9210
23.323549 75.894 102.8291
23.492562 75.927 100.7031
23.662798 75.950 98.5282
23.834269 75.962 96.3322
24.006982 75.963 94.1049
24.180946 75.950 91.8606
24.356171 75.921 89.5901
24.532666 75.876 87.3023
24.710440 75.812 84.9913
24.889502 75.729 82.6653
25.069862 75.626 80.3307
25.251528 75.501 77.9966
25.434511 75.354 75.6875
25.618820 75.186 73.4152
25.804465 74.993 71.2201
25.991454 74.777 69.1172
26.179799 74.534 67.1524
26.369509 74.264 65.3441
26.560593 73.964 63.7333
26.753062 73.632 62.3410
26.946926 73.268 61.2047
27.142194 72.871 60.3486
27.338878 72.440 59.8183
27.536987 71.983 59.6508
27.736531 71.502 59.9146
27.937521 71.015 60.6678
28.139968 70.535 62.0000
28.343882 70.094 63.9601
28.549273 69.723 66.5834
28.756153 69.465 69.8025
28.964532 69.356 73.4286
29.174421 69.421 77.2191
29.385831 69.656 80.7675
29.598773 70.042 83.8524
29.813258 70.535 86.2008
30.029297 71.094 87.8008
30.246902 71.679 88.6411
30.466083 72.258 88.8237
30.686853 72.814 88.4379
30.909222 73.330 87.5974
31.133203 73.804 86.3874
31.358807 74.230 84.8799
31.586046 74.612 83.1509
31.814932 74.952 81.2275
32.045476 75.254 79.1637
32.277691 75.523 76.9759
32.511588 75.764 74.6779
32.747180 75.982 72.2898
32.984480 76.178 69.8098
33.223499 76.357 67.2394
33.464250 76.518 64.5822
33.706746 76.663 61.8333
33.950999 76.790 58.9882
34.197022 76.896 56.0540
34.444828 76.979 53.0271
34.694429 77.036 49.9055
34.945839 77.061 46.7090
35.199071 77.051 43.4443
35.454138 77.000 40.1277
35.711054 76.907 36.8022
35.969831 76.768 33.4810
36.230483 76.580 30.1817
36.493024 76.342 26.9602
36.757467 76.053 23.8557
37.023827 75.711 20.9040
37.292117 75.317 18.1610
37.562351 74.874 15.6883
37.834543 74.386 13.5334
38.108708 73.857 11.7576
38.384859 73.294 10.4229
38.663012 72.707 9.5750
38.943180 72.108 9.2664
39.225378 71.509 9.5475
39.509622 70.928 10.4496
39.795925 70.381 11.9705
40.084302 69.886 14.1003
40.374770 69.464 16.7932
40.667342 69.131 19.9584
40.962034 68.901 23.4593
41.258862 68.780 27.1278
41.557841 68.766 30.7850
41.858986 68.849 34.2608
42.162313 69.014 37.4173
42.467839 69.243 40.1626
42.775578 69.514 42.4582
43.085548 69.814 44.3176
43.397763 70.130 45.7925
43.712242 70.458 46.9565
44.028998 70.797 47.8908
44.348051 71.152 48.6694
44.669415 71.531 49.3441
44.993108 71.943 49.9289
45.319147 72.397 50.3875
45.647548 72.895 50.6445
45.978329 73.437 50.6016
46.311507 74.012 50.1584
46.647099 74.611 49.2320
46.985123 75.218 47.7683
47.325597 75.819 45.7459
47.668537 76.399 43.1719
48.013963 76.948 40.0744
48.361892 77.458 36.4951
48.712342 77.922 32.4820
49.065332 78.336 28.0859
49.420880 78.696 23.3602
49.779004 78.998 18.3588
50.139723 79.240 13.1343
50.503056 79.422 7.7417
50.869022 79.540 2.2362
51.237640 79.596 -3.3273
51.608929 79.589 -8.8949
51.982909 79.521 -14.4156
52.359598 79.395 -19.8427
52.739018 79.214 -25.1357
53.121186 78.984 -30.2640
53.506124 78.710 -35.2067
53.893852 78.399 -39.9568
54.284389 78.058 -44.5211
54.677756 77.695 -48.9199
55.073973 77.317 -53.1881
55.473062 76.931 -57.3723
55.875043 76.542 -61.5289
56.279936 76.158 -65.7221
56.687764 75.780 -70.0210
57.098547 75.411 -74.4995
57.512306 75.052 -79.2333
57.929064 74.702 -84.2988
58.348842 74.358 -89.7733
58.771662 74.019 -95.7305
59.197546 73.682 -102.2386
59.626515 73.344 -109.3575
60.058594 73.005 -117.1329
60.493803 72.667 -125.5964
60.932166 72.334 -134.7606
61.373706 72.012 -144.6070
61.818445 71.709 -155.0853
62.266407 71.432 -166.1092
62.717615 71.191 -177.5695
63.172093 70.993 170.6788
63.629864 70.839 158.8190
64.090952 70.726 147.0481
64.555381 70.645 135.5394
65.023176 70.581 124.4423
65.494361 70.516 113.8875
65.968960 70.433 103.9656
66.446998 70.313 94.7126
66.928501 70.142 86.1605
67.413492 69.908 78.3285
67.901998 69.599 71.2133
68.394044 69.208 64.8181
68.889655 68.728 59.1522
69.388858 68.146 54.2344
69.891679 67.451 50.1161
70.398142 66.624 46.9113
70.908276 65.639 44.8524
71.422107 64.470 44.3971
71.939661 63.105 46.4292
72.460965 61.611 52.5906
72.986047 60.332 65.2601
73.514934 60.054 84.6718
74.047654 61.278 103.8168
74.584234 63.375 115.9879
75.124702 65.598 121.6075
75.669086 67.657 123.1078
76.217416 69.496 122.1267
76.769719 71.130 119.5947
77.326024 72.583 116.0165
77.886360 73.879 111.6934
78.450757 75.034 106.8071
79.019243 76.061 101.4832
79.591849 76.968 95.8175
80.168605 77.761 89.8878
80.749539 78.447 83.7701
81.334684 79.028 77.5355
81.924068 79.511 71.2475
82.517724 79.900 64.9747
83.115681 80.203 58.7642
83.717972 80.425 52.6626
84.324627 80.574 46.6991
84.935678 80.656 40.8862
85.551157 80.678 35.2317
86.171096 80.644 29.7305
86.795527 80.555 24.3738
87.424483 80.413 19.1567
88.057997 80.216 14.0807
88.696102 79.962 9.1570
89.338830 79.646 4.4110
89.986216 79.265 -0.1129
90.638293 78.813 -4.3539
91.295096 78.287 -8.2315
91.956658 77.686 -11.6421
92.623013 77.010 -14.4563
93.294198 76.267 -16.5190
93.970246 75.470 -17.6523
94.651193 74.647 -17.6667
95.337075 73.840 -16.3936
96.027927 73.110 -13.7532
96.723785 72.531 -9.8537
97.424685 72.173 -5.0769
98.130664 72.077 -0.0458
98.841760 72.228 4.5655
99.558008 72.570 8.2609
100.279446 73.028 10.8242
101.006112 73.537 12.2709
101.738044 74.046 12.7476
102.475280 74.524 12.4493
103.217858 74.954 11.5748
103.965817 75.328 10.3046
104.719197 75.647 8.7922
105.478035 75.915 7.1588
106.242372 76.143 5.4888
107.012248 76.341 3.8284
107.787703 76.520 2.1853
108.568777 76.687 0.5364
109.355511 76.847 -1.1581
110.147947 76.998 -2.9407
110.946124 77.137 -4.8403
111.750085 77.257 -6.8627
112.559873 77.352 -8.9874
113.375528 77.417 -11.1708
114.197094 77.450 -13.3531
115.024613 77.451 -15.4683
115.858129 77.427 -17.4573
116.697684 77.385 -19.2784
117.543324 77.336 -20.9185
118.395091 77.289 -22.3956
119.253031 77.253 -23.7569
120.117188 77.231 -25.0693
120.987606 77.222 -26.4026
121.864332 77.221 -27.8143
122.747411 77.218 -29.3359
123.636890 77.205 -30.9662
124.532814 77.173 -32.6721
125.435230 77.114 -34.3953
126.344185 77.028 -36.0620
127.259727 76.916 -37.5950
128.181904 76.785 -38.9253
129.110763 76.645 -40.0040
130.046352 76.510 -40.8119
130.988722 76.394 -41.3660
131.937920 76.309 -41.7211
132.893997 76.266 -41.9633
133.857001 76.267 -42.1992
134.826984 76.311 -42.5381
135.803996 76.390 -43.0748
136.788088 76.493 -43.8768
137.779311 76.604 -44.9753
138.777717 76.710 -46.3658
139.783357 76.798 -48.0109
140.796285 76.858 -49.8469
141.816553 76.883 -51.7932
142.844214 76.874 -53.7614
143.879322 76.832 -55.6658
144.921931 76.767 -57.4365
145.972095 76.690 -59.0302
147.029869 76.614 -60.4398
148.095308 76.549 -61.6989
149.168468 76.508 -62.8749
150.249404 76.494 -64.0567
151.338173 76.505 -65.3342
152.434832 76.536 -66.7829
153.539437 76.579 -68.4553
154.652047 76.621 -70.3801
155.772720 76.655 -72.5643
156.901513 76.671 -74.9984
158.038486 76.658 -77.6588
159.183698 76.609 -80.5119
160.337209 76.518 -83.5172
161.499079 76.380 -86.6273
162.669367 76.190 -89.7913
163.848137 75.945 -92.9549
165.035448 75.644 -96.0601
166.231363 75.286 -99.0464
167.435944 74.872 -101.8512
168.649254 74.405 -104.4129
169.871356 73.890 -106.6781
171.102314 73.332 -108.6096
172.342191 72.739 -110.1934
173.591054 72.111 -111.4406
174.848966 71.447 -112.3787
176.115994 70.735 -113.0211
177.392203 69.954 -113.3215
178.677660 69.072 -113.1095
179.972432 68.061 -112.0004
181.276587 66.905 -109.2691
182.590191 65.659 -103.7070
183.913315 64.548 -93.7708
185.246027 64.056 -79.1268
186.588396 64.609 -63.3914
187.940492 65.999 -51.6950
189.302387 67.681 -45.3774
190.674150 69.312 -43.1420
192.055853 70.770 -43.5433
193.447569 72.037 -45.6069
194.849370 73.125 -48.7414
196.261329 74.056 -52.5919
197.683519 74.848 -56.9412
199.116016 75.518 -61.6516
200.558892 76.077 -66.6290
202.012225 76.534 -71.8019
203.476089 76.896 -77.1081
204.950560 77.169 -82.4879
206.435716 77.358 -87.8833
207.931635 77.468 -93.2402
209.438393 77.508 -98.5106
210.956070 77.482 -103.6547
212.484745 77.399 -108.6426
214.024497 77.265 -113.4537
215.575406 77.086 -118.0751
217.137555 76.869 -122.5013
218.711023 76.619 -126.7329
220.295893 76.341 -130.7781
221.892248 76.041 -134.6519
223.500171 75.721 -138.3739
225.119745 75.384 -141.9644
226.751056 75.031 -145.4384
228.394187 74.663 -148.8049
230.049226 74.281 -152.0692
231.716257 73.888 -155.2371
233.395369 73.485 -158.3259
235.086648 73.075 -161.3711
236.790182 72.658 -164.4255
238.506062 72.231 -167.5542
240.234375 71.785 -170.8210
241.975212 71.309 -174.2760
243.728664 70.787 -177.9445
245.494823 70.203 178.1758
247.273780 69.538 174.1091
249.065627 68.774 169.8912
