* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 2:26:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FL Cal file effects not included LF tail from 15 Hz at 0 dB/octave No HF tail
* Measurement: L.Filter
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.000 -0.0367
0.732422 -0.000 -0.0734
1.098633 0.000 -0.1101
1.464844 0.000 -0.1468
1.831055 -0.000 -0.1836
2.197266 -0.000 -0.2202
2.563477 -0.000 -0.2570
2.929688 -0.000 -0.2937
3.295899 -0.000 -0.3305
3.662110 -0.000 -0.3673
4.028321 0.000 -0.4041
4.394532 -0.000 -0.4410
4.760743 -0.000 -0.4778
5.126954 -0.000 -0.5147
5.493164 0.000 -0.5517
5.859375 0.000 -0.5886
6.225586 0.000 -0.6257
6.591797 0.000 -0.6627
6.958008 0.000 -0.6998
7.324219 -0.000 -0.7369
7.690430 -0.000 -0.7741
8.056641 0.000 -0.8113
8.422852 -0.000 -0.8485
8.789063 0.000 -0.8859
9.155274 0.000 -0.9233
9.521485 -0.000 -0.9607
9.887696 0.000 -0.9982
10.253907 -0.000 -1.0358
10.620118 -0.000 -1.0734
10.986329 0.000 -1.1111
11.352540 -0.000 -1.1488
11.718751 0.000 -1.1867
12.084962 0.000 -1.2246
12.451173 0.000 -1.2626
12.817384 0.000 -1.3006
13.183595 0.000 -1.3388
13.549806 0.000 -1.3771
13.916017 0.000 -1.4155
14.282228 0.000 -1.4539
14.648439 0.000 -1.4925
15.014650 0.000 -1.5312
15.380861 0.000 -1.5697
15.747072 0.000 -1.6087
16.113283 0.000 -1.6474
16.479493 -0.000 -1.6866
16.845704 0.000 -1.7256
17.211915 0.000 -1.7650
17.578126 -0.000 -1.8042
17.944337 0.000 -1.8439
18.310548 0.000 -1.8834
18.676759 0.000 -1.9232
19.042970 0.000 -1.9630
19.409181 0.000 -2.0031
19.775392 0.000 -2.0431
20.141603 0.000 -2.0835
20.507814 -0.000 -2.1239
20.874025 0.000 -2.1645
21.240236 -0.000 -2.2051
21.606447 0.000 -2.2461
21.972658 -0.000 -2.2870
22.338869 0.000 -2.3284
22.705080 -0.000 -2.3696
23.071291 0.000 -2.4112
23.437502 -0.000 -2.4528
23.803713 0.000 -2.4947
24.169924 -0.000 -2.5367
24.536135 0.000 -2.5790
24.902346 0.000 -2.6214
25.268557 0.000 -2.6640
25.634768 -0.000 -2.7067
26.000979 0.000 -2.7498
26.367190 -0.000 -2.7929
26.733401 0.000 -2.8364
27.099612 -0.000 -2.8800
27.465823 0.000 -2.9239
27.832033 -0.000 -2.9679
28.198244 0.000 -3.0122
28.564455 -0.000 -3.0566
28.930666 0.000 -3.1014
29.296877 -0.000 -3.1464
29.663088 -0.000 -3.1917
30.029299 0.000 -3.2371
30.395510 -0.000 -3.2829
30.761721 0.000 -3.3288
31.127932 0.000 -3.3751
31.494143 -0.000 -3.4216
31.860354 0.000 -3.4684
32.226565 -0.000 -3.5155
32.592776 0.000 -3.5629
32.958987 -0.000 -3.6105
33.325198 0.000 -3.6585
33.691409 -0.000 -3.7067
34.057620 0.000 -3.7554
34.423831 -0.000 -3.8043
34.790042 0.000 -3.8535
35.156253 -0.000 -3.9031
35.522464 -0.000 -3.9529
35.888675 -0.000 -4.0032
36.254886 0.000 -4.0538
36.621097 -0.000 -4.1048
36.987308 0.000 -4.1562
37.353519 -0.000 -4.2079
37.719730 0.000 -4.2600
38.085941 -0.000 -4.3125
38.452152 -0.000 -4.3654
38.818363 -0.000 -4.4187
39.184573 -0.000 -4.4725
39.550784 -0.000 -4.5266
39.916995 -0.000 -4.5812
40.283206 -0.000 -4.6363
40.649417 -0.000 -4.6918
41.015628 -0.000 -4.7478
41.381839 -0.000 -4.8042
41.748050 -0.000 -4.8612
42.114261 0.000 -4.9187
42.480472 -0.000 -4.9766
42.846683 0.000 -5.0352
43.212894 -0.000 -5.0942
43.579105 -0.000 -5.1537
43.945316 0.000 -5.2139
44.311527 0.000 -5.2747
44.677738 -0.000 -5.3360
45.043949 -0.000 -5.3979
45.410160 -0.000 -5.4604
45.776371 -0.000 -5.5237
46.142582 0.000 -5.5875
46.508793 -0.000 -5.6520
46.875004 0.000 -5.7172
47.241215 0.000 -5.7831
47.607426 0.000 -5.8497
47.973637 0.000 -5.9170
48.339848 -0.000 -5.9852
48.706059 0.000 -6.0540
49.072270 0.000 -6.1237
49.438481 -0.000 -6.1942
49.804692 -0.000 -6.2656
50.170902 -0.000 -6.3378
50.537113 -0.000 -6.4109
50.903324 -0.000 -6.4849
51.269535 0.000 -6.5599
51.635746 0.000 -6.6358
52.001957 -0.000 -6.7127
52.368168 0.000 -6.7906
52.734379 0.000 -6.8696
53.100590 -0.000 -6.9497
53.466801 -0.000 -7.0309
53.833012 0.000 -7.1133
54.199223 0.000 -7.1968
54.565434 0.000 -7.2816
54.931645 0.000 -7.3676
55.297856 0.000 -7.4550
55.664067 -0.000 -7.5437
56.030278 -0.000 -7.6338
56.396489 0.000 -7.7254
56.762700 0.000 -7.8185
57.128911 -0.000 -7.9131
57.495122 -0.000 -8.0093
57.861333 0.000 -8.1071
58.227544 0.000 -8.2067
58.593755 -0.000 -8.3081
58.959966 -0.000 -8.4114
59.326177 0.000 -8.5165
59.692388 0.000 -8.6237
60.058599 0.000 -8.7330
60.424810 0.000 -8.8444
60.791021 0.000 -8.9581
61.157232 -0.000 -9.0741
61.523442 -0.000 -9.1926
61.889653 0.000 -9.3138
62.255864 0.000 -9.4375
62.622075 0.000 -9.5641
62.988286 0.000 -9.6936
63.354497 0.000 -9.8262
63.720708 0.000 -9.9621
64.086919 0.000 -10.1013
64.453130 -0.000 -10.2442
64.819341 -0.000 -10.3908
65.185552 0.000 -10.5413
65.551763 0.000 -10.6961
65.917974 0.000 -10.8553
66.284185 -0.000 -11.0192
66.650396 0.000 -11.1881
67.016607 0.000 -11.3623
67.382818 0.000 -11.5421
67.749029 0.000 -11.7280
68.115240 0.000 -11.9203
68.481451 0.000 -12.1194
68.847662 0.000 -12.3259
69.213873 -0.000 -12.5404
69.580084 0.000 -12.7635
69.946295 0.000 -12.9959
70.312506 0.000 -13.2383
70.678717 -0.000 -13.4918
71.044928 0.000 -13.7572
71.411139 -0.000 -14.0358
71.777350 0.000 -14.3290
72.143561 0.000 -14.6383
72.509771 -0.000 -14.9657
72.875982 0.000 -15.3133
73.242193 0.000 -15.6839
73.608404 -0.000 -16.0806
73.974615 -0.000 -16.5076
74.340826 -0.000 -16.9703
74.707037 -0.000 -17.4753
75.073248 -0.000 -18.0327
75.439459 -0.001 -18.6562
75.805670 -0.003 -19.3625
76.171881 -0.009 -20.1847
76.538092 -0.022 -21.1458
76.904303 -0.055 -22.2638
77.270514 -0.116 -23.5566
77.636725 -0.218 -24.9438
78.002936 -0.374 -26.3684
78.369147 -0.583 -27.7033
78.735358 -0.849 -28.8294
79.101569 -1.153 -29.6250
79.467780 -1.484 -30.0034
79.833991 -1.814 -30.0030
80.200202 -2.131 -29.6278
80.566413 -2.426 -28.9797
80.932624 -2.693 -28.1101
81.298835 -2.932 -27.0779
81.665046 -3.143 -25.9263
82.031257 -3.327 -24.6875
82.397468 -3.486 -23.3892
82.763679 -3.620 -22.0489
83.129890 -3.733 -20.6873
83.496101 -3.824 -19.3153
83.862311 -3.897 -17.9436
84.228522 -3.951 -16.5820
84.594733 -3.989 -15.2330
84.960944 -4.011 -13.9042
85.327155 -4.019 -12.5969
85.693366 -4.013 -11.3143
86.059577 -3.993 -10.0583
86.425788 -3.961 -8.8311
86.791999 -3.916 -7.6357
87.158210 -3.858 -6.4767
87.524421 -3.788 -5.3592
87.890632 -3.706 -4.2920
88.256843 -3.612 -3.2790
88.623054 -3.509 -2.3325
88.989265 -3.398 -1.4453
89.355476 -3.281 -0.6195
89.721687 -3.158 0.1669
90.087898 -3.027 0.9170
90.454109 -2.887 1.6416
90.820320 -2.733 2.3243
91.186531 -2.565 2.9541
91.552742 -2.381 3.5034
91.918953 -2.182 3.9498
92.285164 -1.966 4.2643
92.651375 -1.739 4.4202
93.017586 -1.498 4.3804
93.383797 -1.254 4.1272
93.750008 -1.009 3.6100
94.116219 -0.776 2.8507
94.482430 -0.561 1.8138
94.848641 -0.382 0.5862
95.214851 -0.239 -0.7854
95.581062 -0.140 -2.2064
95.947273 -0.075 -3.5703
96.313484 -0.038 -4.8758
96.679695 -0.018 -6.0603
97.045906 -0.008 -7.1793
97.412117 -0.004 -8.2232
97.778328 -0.002 -9.2396
98.144539 -0.003 -10.2398
98.510750 -0.005 -11.2584
98.876961 -0.012 -12.3097
99.243172 -0.024 -13.4248
99.609383 -0.050 -14.6086
99.975594 -0.091 -15.8662
100.341805 -0.161 -17.1817
100.708016 -0.259 -18.4860
101.074227 -0.390 -19.7496
101.440438 -0.553 -20.8710
101.806649 -0.735 -21.8301
102.172860 -0.936 -22.5877
102.539071 -1.141 -23.1401
102.905282 -1.349 -23.5098
103.271493 -1.549 -23.7040
103.637704 -1.743 -23.7619
104.003915 -1.926 -23.6953
104.370126 -2.098 -23.5360
104.736337 -2.258 -23.2966
105.102548 -2.406 -22.9986
105.468759 -2.544 -22.6543
105.834970 -2.670 -22.2757
106.201180 -2.787 -21.8742
106.567391 -2.895 -21.4543
106.933602 -2.996 -21.0264
107.299813 -3.088 -20.5895
107.666024 -3.175 -20.1522
108.032235 -3.257 -19.7105
108.398446 -3.333 -19.2696
108.764657 -3.405 -18.8256
109.130868 -3.473 -18.3801
109.497079 -3.538 -17.9312
109.863290 -3.600 -17.4772
110.229501 -3.658 -17.0182
110.595712 -3.713 -16.5518
110.961923 -3.764 -16.0786
111.328134 -3.812 -15.5988
111.694345 -3.855 -15.1124
112.060556 -3.895 -14.6222
112.426767 -3.930 -14.1284
112.792978 -3.961 -13.6346
113.159189 -3.988 -13.1426
113.525400 -4.010 -12.6550
113.891611 -4.028 -12.1751
114.257822 -4.041 -11.7047
114.624033 -4.051 -11.2479
114.990244 -4.057 -10.8069
115.356455 -4.059 -10.3840
115.722666 -4.058 -9.9840
116.088877 -4.055 -9.6043
116.455088 -4.050 -9.2515
116.821299 -4.044 -8.9211
117.187510 -4.036 -8.6163
117.553720 -4.030 -8.3350
117.919931 -4.023 -8.0738
118.286142 -4.018 -7.8337
118.652353 -4.014 -7.6077
119.018564 -4.011 -7.3957
119.384775 -4.011 -7.1926
119.750986 -4.012 -6.9944
120.117197 -4.015 -6.7990
120.483408 -4.021 -6.6013
120.849619 -4.028 -6.3977
121.215830 -4.036 -6.1881
121.582041 -4.045 -5.9661
121.948252 -4.054 -5.7339
122.314463 -4.063 -5.4882
122.680674 -4.071 -5.2279
123.046885 -4.079 -4.9572
123.413096 -4.085 -4.6720
123.779307 -4.088 -4.3787
124.145518 -4.089 -4.0767
124.511729 -4.087 -3.7686
124.877940 -4.082 -3.4597
125.244151 -4.073 -3.1509
125.610362 -4.061 -2.8472
125.976573 -4.045 -2.5528
126.342784 -4.027 -2.2698
126.708995 -4.005 -2.0029
127.075206 -3.980 -1.7566
127.441417 -3.953 -1.5299
127.807628 -3.924 -1.3303
128.173839 -3.893 -1.1570
128.540049 -3.861 -1.0108
128.906260 -3.829 -0.8972
129.272471 -3.798 -0.8097
129.638682 -3.767 -0.7543
130.004893 -3.738 -0.7286
130.371104 -3.710 -0.7277
130.737315 -3.685 -0.7560
131.103526 -3.664 -0.8052
131.469737 -3.646 -0.8754
131.835948 -3.632 -0.9645
132.202159 -3.623 -1.0650
132.568370 -3.617 -1.1764
132.934581 -3.617 -1.2940
133.300792 -3.621 -1.4126
133.667003 -3.630 -1.5294
134.033214 -3.644 -1.6411
134.399425 -3.662 -1.7417
134.765636 -3.684 -1.8294
135.131847 -3.710 -1.9017
135.498058 -3.740 -1.9520
135.864269 -3.773 -1.9823
136.230480 -3.808 -1.9877
136.596691 -3.846 -1.9643
136.962902 -3.885 -1.9174
137.329113 -3.925 -1.8396
137.695324 -3.966 -1.7321
