* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 10, 2026, 2:29:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L B = FLX-trimmed 
* Measurement: L.Filtered
* Smoothing: None
* Frequency Step: 0.18310548 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 30.759 -173.6355
1.281738 28.287 -151.6086
1.464844 31.149 -113.0900
1.647949 28.260 -76.0571
1.831055 30.899 -52.6688
2.014160 29.275 -3.8636
2.197266 30.069 10.1346
2.380371 30.461 62.0218
2.563477 28.957 78.1006
2.746582 31.222 123.6940
2.929688 28.333 152.2162
3.112793 31.365 -176.1220
3.295899 28.895 -132.8409
3.479004 30.876 -114.9755
3.662110 30.142 -63.5280
3.845215 29.894 -50.1859
4.028321 31.228 0.1065
4.211426 28.915 20.7637
4.394532 31.766 60.7772
4.577637 28.843 96.3616
4.760742 31.663 121.0665
4.943848 29.888 169.2589
5.126953 30.961 -176.5134
5.310059 31.198 -124.2626
5.493164 29.925 -109.1331
5.676270 32.116 -62.3255
5.859375 29.289 -35.3420
6.042481 32.420 -2.1569
6.225586 29.845 40.1104
6.408692 32.084 58.7430
6.591797 31.198 110.1581
6.774903 31.222 123.0594
6.958008 32.450 174.2147
7.141114 30.291 -166.4797
7.324219 33.170 -125.0005
7.507325 30.216 -90.7184
7.690430 33.247 -64.8383
7.873536 31.344 -17.0424
8.056641 32.707 -2.7578
8.239747 32.834 50.0402
8.422852 31.785 64.1554
8.605958 33.966 112.2228
8.789063 31.194 137.8237
8.972169 34.489 172.3832
9.155274 31.830 -146.0493
9.338380 34.364 -126.9276
9.521485 33.387 -75.2063
9.704591 33.687 -62.9622
9.887696 34.908 -10.7391
10.070802 32.768 5.6177
10.253907 35.676 46.8352
10.437012 32.498 79.5382
10.620118 35.638 105.4783
10.803223 33.504 153.1254
10.986329 35.016 166.6415
11.169434 35.022 -139.6820
11.352540 34.020 -126.8477
11.535645 36.254 -77.4297
11.718751 33.387 -52.6477
11.901856 36.930 -17.1553
12.084962 34.163 24.9781
12.268067 37.006 43.7911
12.451173 36.088 97.1553
12.634278 36.574 108.3740
12.817384 38.104 162.5405
13.000489 36.097 -179.7324
13.183595 39.714 -135.7166
13.366700 36.790 -100.2231
13.549806 40.832 -74.5132
13.732911 39.366 -22.3970
13.916017 41.525 -10.6213
14.099122 42.870 47.7148
14.282228 42.153 61.0798
14.465333 46.702 113.1130
14.648439 44.394 148.5964
14.831544 51.425 178.7915
15.014650 53.699 -107.6387
15.197755 65.259 -118.2620
15.380861 68.108 -140.7371
15.563966 68.740 -144.6392
15.747072 69.898 -146.9714
15.930177 70.342 -148.5859
16.113282 71.098 -149.9817
16.296388 71.606 -153.8772
16.479493 72.159 -158.6118
16.662599 72.472 -165.1902
16.845704 72.664 -170.5715
17.028810 72.780 -175.4561
17.211915 72.847 -178.1340
17.395021 73.000 179.9424
17.578126 73.115 179.1484
17.761232 73.320 178.4885
17.944337 73.507 177.9492
18.127443 73.838 176.7764
18.310548 74.167 174.4182
18.493654 74.530 170.9692
18.676759 74.781 166.6494
18.859865 74.978 162.6047
19.042970 75.122 158.9756
19.226076 75.294 156.2913
19.409181 75.507 153.7361
19.592287 75.710 151.2571
19.775392 75.869 148.3054
19.958498 75.913 145.1768
20.141603 75.877 141.7734
20.324709 75.719 138.3015
20.507814 75.488 134.9473
20.690920 75.150 132.1125
20.874025 74.809 130.5127
21.057131 74.554 130.2361
21.240236 74.540 130.9810
21.423341 74.748 131.3667
21.606447 75.056 130.9502
21.789552 75.316 129.6370
21.972658 75.480 128.2908
22.155763 75.616 127.0444
22.338869 75.777 125.8738
22.521974 75.992 124.0842
22.705080 76.172 121.5317
22.888185 76.288 118.3850
23.071291 76.306 115.1438
23.254396 76.301 112.1433
23.437502 76.291 109.3142
23.620607 76.300 106.6316
23.803713 76.280 104.0708
23.986818 76.242 102.1042
24.169924 76.238 100.7542
24.353029 76.340 99.7471
24.536135 76.539 98.0833
24.719240 76.707 95.3264
24.902346 76.725 91.5686
25.085451 76.524 87.6204
25.268557 76.183 84.2039
25.451662 75.818 81.5959
25.634768 75.570 79.3640
25.817873 75.424 76.7346
26.000979 75.301 73.5850
26.184084 75.106 70.2812
26.367190 74.842 67.5884
26.550295 74.551 65.5862
26.733401 74.246 64.0886
26.916506 73.860 62.6416
27.099611 73.281 61.7085
27.282717 72.530 62.1326
27.465822 71.788 64.6416
27.648928 71.354 68.0020
27.832033 71.201 69.6577
28.015139 71.021 68.1792
28.198244 70.449 64.4033
28.381350 69.357 60.4429
28.564455 67.768 58.7673
28.747561 66.023 62.0156
28.930666 64.685 70.5378
29.113772 64.198 81.8901
29.296877 64.446 93.1816
29.479983 65.361 103.9131
29.663088 66.867 112.1335
29.846194 68.654 116.5090
30.029299 70.323 117.2537
30.212405 71.696 115.9783
30.395510 72.756 113.7251
30.578616 73.556 111.2556
30.761721 74.162 108.6902
30.944827 74.608 106.1763
31.127932 74.940 103.7256
31.311038 75.189 101.4395
31.494143 75.408 99.2820
31.677249 75.608 97.1465
31.860354 75.796 94.9961
32.043460 75.951 92.8572
32.226565 76.083 90.9048
32.409671 76.202 89.0964
32.592776 76.319 87.3711
32.775881 76.421 85.5310
32.958987 76.490 83.6997
33.142092 76.539 82.0200
33.325198 76.614 80.6567
33.508303 76.770 79.3430
33.691409 76.998 77.7036
33.874514 77.240 75.5247
34.057620 77.420 73.0693
34.240725 77.537 70.8210
34.423831 77.644 69.0190
34.606936 77.817 67.4106
34.790042 78.055 65.3459
34.973147 78.290 62.4863
35.156253 78.438 58.9832
35.339358 78.476 55.4341
35.522464 78.455 52.2288
35.705569 78.449 49.3840
35.888675 78.487 46.3975
36.071780 78.510 42.8621
36.254886 78.437 38.7620
36.437991 78.215 34.5012
36.621097 77.870 30.5442
36.804202 77.470 27.0356
36.987308 77.077 23.7729
37.170413 76.682 20.3787
37.353519 76.228 16.8911
37.536624 75.661 13.6892
37.719730 74.987 11.4045
37.902835 74.269 10.2463
38.085941 73.555 10.0090
38.269046 72.839 10.1978
38.452151 72.062 10.8040
38.635257 71.255 12.1848
38.818362 70.542 14.4922
39.001468 70.074 16.9102
39.184573 69.806 18.2805
39.367679 69.579 18.4915
39.550784 69.255 18.5823
39.733890 68.889 19.8726
39.916995 68.616 22.5610
40.100101 68.511 25.7615
40.283206 68.443 28.4248
40.466312 68.265 30.7974
40.649417 67.976 33.4998
40.832523 67.724 36.7212
41.015628 67.614 39.4109
41.198734 67.563 40.9438
41.381839 67.453 41.8921
41.564945 67.306 43.9490
41.748050 67.366 47.8823
41.931156 67.796 52.5598
42.114261 68.453 56.0569
42.297367 68.980 58.2473
42.480472 69.213 60.4712
42.663578 69.236 64.0730
42.846683 69.332 68.9080
43.029789 69.646 73.0605
43.212894 70.068 74.7759
43.396000 70.390 73.9238
43.579105 70.564 71.5923
43.762211 70.670 68.8684
43.945316 70.848 66.4446
44.128421 71.160 64.2759
44.311527 71.556 62.1936
44.494632 71.923 60.0508
44.677738 72.149 58.0247
44.860843 72.183 56.2556
45.043949 72.002 54.9390
45.227054 71.634 54.2258
45.410160 71.121 54.3728
45.593265 70.558 55.6917
45.776371 70.042 58.5034
45.959476 69.715 63.1458
46.142582 69.734 69.6440
46.325687 70.286 77.1213
46.508793 71.366 83.4658
46.691898 72.713 87.0308
46.875004 73.989 87.7112
47.058109 75.006 86.5393
47.241215 75.739 84.5918
47.424320 76.286 82.5925
47.607426 76.776 80.5471
47.790531 77.282 78.0525
47.973637 77.783 74.7615
48.156742 78.206 70.9341
48.339848 78.516 67.2686
48.522953 78.745 64.4834
48.706059 78.994 62.7598
48.889164 79.333 61.5430
49.072270 79.743 60.0154
49.255375 80.132 57.7778
49.438480 80.440 55.0801
49.621586 80.691 52.3601
49.804691 80.980 49.7917
49.987797 81.385 46.9990
50.170902 81.893 43.4482
50.354008 82.414 38.9031
50.537113 82.850 33.6282
50.720219 83.148 28.0945
50.903324 83.307 22.7031
51.086430 83.360 17.5908
51.269535 83.338 12.6479
51.452641 83.255 7.6880
51.635746 83.106 2.6187
51.818852 82.886 -2.4578
52.001957 82.607 -7.3540
52.185063 82.288 -11.8818
52.368168 81.949 -15.9648
52.551274 81.599 -19.5806
52.734379 81.239 -22.7451
52.917485 80.869 -25.4966
53.100590 80.498 -27.9546
53.283696 80.115 -30.2964
53.466801 79.698 -32.5806
53.649907 79.221 -34.6130
53.833012 78.708 -35.9519
54.016118 78.246 -36.3232
54.199223 77.947 -36.0208
54.382329 77.841 -35.9653
54.565434 77.823 -36.8638
54.748540 77.749 -38.6624
54.931645 77.545 -40.6389
55.114750 77.255 -42.0959
55.297856 76.995 -42.9001
55.480961 76.846 -43.6755
55.664067 76.760 -45.1548
55.847172 76.624 -47.4192
56.030278 76.356 -49.8340
56.213383 75.992 -51.5613
56.396489 75.654 -52.2861
56.579594 75.461 -52.5242
56.762700 75.404 -53.2444
56.945805 75.368 -54.8420
57.128911 75.254 -56.9514
57.312016 75.055 -58.8020
57.495122 74.857 -59.9482
57.678227 74.758 -60.5293
57.861333 74.791 -61.1643
58.044438 74.894 -62.3003
58.227544 74.996 -63.9644
58.410649 75.056 -65.9231
58.593755 75.085 -68.0093
58.776860 75.096 -70.2388
58.959966 75.097 -72.6660
59.143071 75.082 -75.2893
59.326177 75.058 -77.9734
59.509282 75.041 -80.6387
59.692388 75.051 -83.2605
59.875493 75.093 -85.9285
60.058599 75.161 -88.6765
60.241704 75.258 -91.5396
60.424810 75.389 -94.5688
60.607915 75.570 -97.9263
60.791020 75.786 -101.7820
60.974126 76.016 -106.1677
61.157231 76.230 -110.9368
61.340337 76.431 -115.8350
61.523442 76.636 -120.7507
61.706548 76.864 -125.7671
61.889653 77.105 -131.1638
62.072759 77.319 -137.1165
62.255864 77.456 -143.5972
62.438970 77.489 -150.3149
62.622075 77.433 -156.9180
62.805181 77.333 -163.1650
62.988286 77.240 -169.0781
63.171392 77.170 -174.9131
63.354497 77.097 179.1001
63.537603 76.969 172.9385
63.720708 76.754 166.8772
63.903814 76.475 161.2534
64.086919 76.201 156.2637
64.270025 76.016 151.7109
64.453130 75.946 147.1575
64.636236 75.944 142.2773
64.819341 75.931 137.1646
65.002447 75.856 132.2568
65.185552 75.728 127.9722
65.368658 75.611 124.3984
65.551763 75.562 121.0977
65.734869 75.585 117.4451
65.917974 75.630 113.0200
66.101080 75.644 107.8970
66.284185 75.614 102.3960
66.467290 75.561 96.8333
66.650396 75.507 91.2700
66.833501 75.435 85.5854
67.016607 75.288 79.6890
67.199712 74.994 73.6924
67.382818 74.513 67.9424
67.565923 73.859 62.8110
67.749029 73.099 58.5460
67.932134 72.316 55.0410
68.115240 71.544 52.0586
68.298345 70.761 49.5566
68.481451 69.925 48.0930
68.664556 69.091 48.5371
68.847662 68.430 51.2556
69.030767 68.138 55.0850
69.213873 68.167 57.9247
69.396978 68.267 58.6820
69.580084 68.210 57.7751
69.763189 67.951 56.2972
69.946295 67.579 55.1162
70.129400 67.268 54.5258
70.312506 67.139 54.0352
70.495611 67.195 53.0065
70.678717 67.325 51.0905
70.861822 67.396 48.5332
71.044928 67.320 45.7524
71.228033 67.058 43.2338
71.411139 66.642 41.2286
71.594244 66.136 39.7047
71.777350 65.620 38.2231
71.960455 65.112 36.1910
72.143560 64.579 33.3611
72.326666 63.963 30.0519
72.509771 63.275 27.0776
72.692877 62.587 24.9294
72.875982 61.997 23.3016
73.059088 61.482 20.8047
73.242193 60.855 16.2404
73.425299 59.896 8.9573
73.608404 58.497 -1.1726
73.791510 56.815 -14.7660
73.974615 55.344 -32.9165
74.157721 54.918 -55.3375
74.340826 55.877 -78.5721
74.523932 57.654 -99.3212
74.707037 59.560 -117.4468
74.890143 61.253 -133.2478
75.073248 62.670 -146.5951
75.256354 63.839 -157.1835
75.439459 64.857 -164.9386
75.622565 65.811 -170.4470
75.805670 66.741 -174.5829
75.988776 67.623 -178.2440
