* Measurement data measured by REW V5.40 beta 135
* Source: 
* Format: 
* Dated: Sep 11, 2026, 4:09:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FL Cal file effects not included LF tail from 16 Hz at 0 dB/octave No HF tail
* Measurement: LFilter
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.000 -0.0383
0.732422 0.000 -0.0766
1.098633 0.000 -0.1149
1.464844 -0.000 -0.1532
1.831055 0.000 -0.1916
2.197265 -0.000 -0.2299
2.563476 -0.000 -0.2683
2.929687 0.000 -0.3067
3.295898 -0.000 -0.3451
3.662109 -0.000 -0.3836
4.028320 0.000 -0.4221
4.394531 -0.000 -0.4606
4.760742 0.000 -0.4991
5.126953 0.000 -0.5377
5.493164 0.000 -0.5764
5.859375 0.000 -0.6152
6.225585 0.000 -0.6540
6.591796 0.000 -0.6928
6.958007 0.000 -0.7317
7.324218 -0.000 -0.7707
7.690429 -0.000 -0.8098
8.056640 -0.000 -0.8490
8.422851 0.000 -0.8882
8.789062 0.000 -0.9275
9.155273 0.000 -0.9670
9.521484 0.000 -1.0065
9.887695 -0.000 -1.0462
10.253905 0.000 -1.0859
10.620116 -0.000 -1.1258
10.986327 -0.000 -1.1659
11.352538 -0.000 -1.2060
11.718749 0.000 -1.2464
12.084960 0.000 -1.2869
12.451171 -0.000 -1.3276
12.817382 -0.000 -1.3685
13.183593 -0.000 -1.4094
13.549804 -0.000 -1.4506
13.916015 -0.000 -1.4921
14.282225 -0.000 -1.5338
14.648436 -0.000 -1.5757
15.014647 -0.000 -1.6179
15.380858 -0.000 -1.6605
15.747069 -0.000 -1.7033
16.113280 -0.000 -1.7465
16.479491 0.000 -1.7904
16.845702 0.000 -1.8344
17.211913 0.000 -1.8792
17.578124 -0.000 -1.9243
17.944335 0.000 -1.9703
18.310545 0.000 -2.0168
18.676756 0.000 -2.0644
19.042967 -0.000 -2.1128
19.409178 -0.000 -2.1627
19.775389 -0.000 -2.2137
20.141600 0.000 -2.2669
20.507811 -0.000 -2.3220
20.874022 0.000 -2.3803
21.240233 -0.000 -2.4424
21.606444 0.000 -2.5101
21.972654 0.000 -2.5859
22.338865 0.000 -2.6752
22.705076 -0.000 -2.7905
23.071287 -0.004 -2.9698
23.437498 -0.031 -3.2031
23.803709 -0.079 -3.2692
24.169920 -0.123 -3.1646
24.536131 -0.153 -2.9509
24.902342 -0.166 -2.6695
25.268553 -0.158 -2.3671
25.634764 -0.126 -2.1082
26.000974 -0.072 -1.9956
26.367185 -0.020 -2.1445
26.733396 -0.002 -2.3951
27.099607 -0.000 -2.5574
27.465818 -0.000 -2.6689
27.832029 -0.000 -2.7583
28.198240 0.000 -2.8359
28.564451 -0.000 -2.9064
28.930662 0.000 -2.9720
29.296873 0.000 -3.0343
29.663084 0.000 -3.0942
30.029294 0.000 -3.1523
30.395505 0.000 -3.2090
30.761716 -0.000 -3.2647
31.127927 0.000 -3.3197
31.494138 0.000 -3.3740
31.860349 0.000 -3.4281
32.226560 -0.000 -3.4817
32.592771 0.000 -3.5351
32.958982 -0.000 -3.5884
33.325193 0.000 -3.6416
33.691404 -0.000 -3.6948
34.057614 0.000 -3.7480
34.423825 -0.000 -3.8013
34.790036 0.000 -3.8548
35.156247 -0.000 -3.9083
35.522458 0.000 -3.9621
35.888669 0.000 -4.0160
36.254880 0.000 -4.0702
36.621091 -0.000 -4.1246
36.987302 0.000 -4.1792
37.353513 -0.000 -4.2342
37.719724 0.000 -4.2895
38.085934 -0.000 -4.3450
38.452145 0.000 -4.4009
38.818356 -0.000 -4.4571
39.184567 -0.000 -4.5138
39.550778 0.000 -4.5708
39.916989 0.000 -4.6282
40.283200 -0.000 -4.6860
40.649411 -0.000 -4.7443
41.015622 -0.000 -4.8030
41.381833 0.000 -4.8621
41.748044 -0.000 -4.9217
42.114254 0.000 -4.9819
42.480465 -0.000 -5.0425
42.846676 -0.000 -5.1036
43.212887 -0.000 -5.1652
43.579098 -0.000 -5.2274
43.945309 -0.000 -5.2902
44.311520 0.000 -5.3535
44.677731 -0.000 -5.4175
45.043942 0.000 -5.4821
45.410153 -0.000 -5.5472
45.776363 0.000 -5.6131
46.142574 0.000 -5.6795
46.508785 -0.000 -5.7467
46.874996 -0.000 -5.8146
47.241207 -0.000 -5.8832
47.607418 -0.000 -5.9525
47.973629 -0.000 -6.0226
48.339840 0.000 -6.0935
48.706051 -0.000 -6.1652
49.072262 0.000 -6.2377
49.438473 0.000 -6.3110
49.804683 -0.000 -6.3853
50.170894 0.000 -6.4604
50.537105 -0.000 -6.5365
50.903316 -0.000 -6.6135
51.269527 0.000 -6.6915
51.635738 -0.000 -6.7705
52.001949 0.000 -6.8506
52.368160 0.000 -6.9317
52.734371 0.000 -7.0139
53.100582 -0.000 -7.0973
53.466793 0.000 -7.1819
53.833003 -0.000 -7.2677
54.199214 0.000 -7.3547
54.565425 0.000 -7.4430
54.931636 -0.000 -7.5327
55.297847 0.000 -7.6238
55.664058 -0.000 -7.7162
56.030269 0.000 -7.8101
56.396480 0.000 -7.9057
56.762691 0.000 -8.0027
57.128902 0.000 -8.1014
57.495113 0.000 -8.2018
57.861323 -0.000 -8.3040
58.227534 -0.000 -8.4080
58.593745 0.000 -8.5139
58.959956 0.000 -8.6218
59.326167 0.000 -8.7318
59.692378 0.000 -8.8439
60.058589 0.000 -8.9582
60.424800 0.000 -9.0748
60.791011 0.000 -9.1938
61.157222 0.000 -9.3154
61.523433 0.000 -9.4396
61.889643 0.000 -9.5665
62.255854 -0.000 -9.6963
62.622065 0.000 -9.8291
62.988276 0.000 -9.9651
63.354487 0.000 -10.1044
63.720698 0.000 -10.2472
64.086909 0.000 -10.3936
64.453120 0.000 -10.5439
64.819331 0.000 -10.6982
65.185542 0.000 -10.8568
65.551753 0.000 -11.0200
65.917963 0.000 -11.1879
66.284174 0.000 -11.3609
66.650385 0.000 -11.5393
67.016596 0.000 -11.7235
67.382807 0.000 -11.9138
67.749018 0.000 -12.1106
68.115229 0.000 -12.3144
68.481440 0.000 -12.5257
68.847651 0.000 -12.7451
69.213862 0.000 -12.9731
69.580072 0.000 -13.2106
69.946283 -0.000 -13.4582
70.312494 0.000 -13.7169
70.678705 0.000 -13.9877
71.044916 0.000 -14.2718
71.411127 0.000 -14.5705
71.777338 0.000 -14.8853
72.143549 0.000 -15.2182
72.509760 0.000 -15.5712
72.875971 0.000 -15.9469
73.242182 0.000 -16.3486
73.608392 -0.000 -16.7802
73.974603 -0.000 -17.2466
74.340814 -0.000 -17.7545
74.707025 -0.000 -18.3132
75.073236 -0.001 -18.9345
75.439447 -0.003 -19.6367
75.805658 -0.008 -20.4488
76.171869 -0.020 -21.3864
76.538080 -0.049 -22.4868
76.904291 -0.103 -23.7366
77.270502 -0.197 -25.0851
77.636712 -0.333 -26.4734
78.002923 -0.516 -27.8200
78.369134 -0.749 -29.0520
78.735345 -1.026 -30.0691
79.101556 -1.344 -30.7611
79.467767 -1.680 -31.0785
79.833978 -2.018 -30.9802
80.200189 -2.343 -30.5550
80.566400 -2.644 -29.8365
80.932611 -2.918 -28.9043
81.298822 -3.163 -27.8082
81.665032 -3.381 -26.5907
82.031243 -3.571 -25.2845
82.397454 -3.736 -23.9133
82.763665 -3.876 -22.5004
83.129876 -3.994 -21.0592
83.496087 -4.090 -19.6056
83.862298 -4.167 -18.1495
84.228509 -4.225 -16.6973
84.594720 -4.265 -15.2576
84.960931 -4.289 -13.8320
85.327142 -4.298 -12.4261
85.693352 -4.292 -11.0413
86.059563 -4.272 -9.6801
86.425774 -4.238 -8.3444
86.791985 -4.190 -7.0369
87.158196 -4.128 -5.7606
87.524407 -4.053 -4.5195
87.890618 -3.963 -3.3191
88.256829 -3.859 -2.1655
88.623040 -3.741 -1.0683
88.989251 -3.609 -0.0378
89.355462 -3.463 0.9143
89.721672 -3.306 1.7771
90.087883 -3.138 2.5422
90.454094 -2.963 3.2094
90.820305 -2.781 3.7860
91.186516 -2.592 4.2747
91.552727 -2.395 4.6877
91.918938 -2.188 5.0040
92.285149 -1.970 5.2135
92.651360 -1.739 5.2762
93.017571 -1.500 5.1683
93.383781 -1.253 4.8398
93.749992 -1.010 4.2853
94.116203 -0.774 3.4530
94.482414 -0.563 2.3943
94.848625 -0.380 1.1087
95.214836 -0.241 -0.3016
95.581047 -0.139 -1.7455
95.947258 -0.076 -3.1720
96.313469 -0.038 -4.4876
96.679680 -0.018 -5.7319
97.045891 -0.008 -6.8732
97.412101 -0.004 -7.9681
97.778312 -0.003 -9.0219
98.144523 -0.004 -10.0756
98.510734 -0.008 -11.1449
98.876945 -0.016 -12.2631
99.243156 -0.036 -13.4417
99.609367 -0.066 -14.6973
99.975578 -0.122 -16.0235
100.341789 -0.203 -17.3729
100.708000 -0.319 -18.7185
101.074211 -0.469 -19.9510
101.440421 -0.644 -21.0435
101.806632 -0.844 -21.9316
102.172843 -1.051 -22.6054
102.539054 -1.265 -23.0797
102.905265 -1.473 -23.3592
103.271476 -1.676 -23.4856
103.637687 -1.869 -23.4704
104.003898 -2.050 -23.3482
104.370109 -2.220 -23.1323
104.736320 -2.377 -22.8467
105.102531 -2.522 -22.5042
105.468741 -2.656 -22.1198
105.834952 -2.779 -21.7059
106.201163 -2.891 -21.2692
106.567374 -2.995 -20.8210
106.933585 -3.091 -20.3623
107.299796 -3.179 -19.9031
107.666007 -3.261 -19.4400
108.032218 -3.337 -18.9805
108.398429 -3.408 -18.5203
108.764640 -3.475 -18.0629
109.130851 -3.538 -17.6052
109.497061 -3.597 -17.1474
109.863272 -3.653 -16.6883
110.229483 -3.705 -16.2259
110.595694 -3.754 -15.7606
110.961905 -3.800 -15.2918
111.328116 -3.842 -14.8199
111.694327 -3.880 -14.3467
112.060538 -3.914 -13.8728
112.426749 -3.945 -13.4003
112.792960 -3.972 -12.9306
113.159171 -3.995 -12.4648
113.525381 -4.015 -12.0041
113.891592 -4.031 -11.5501
114.257803 -4.043 -11.1046
114.624014 -4.052 -10.6694
114.990225 -4.057 -10.2482
115.356436 -4.059 -9.8440
115.722647 -4.058 -9.4574
116.088858 -4.055 -9.0945
116.455069 -4.050 -8.7517
116.821280 -4.044 -8.4345
117.187490 -4.037 -8.1397
117.553701 -4.030 -7.8671
117.919912 -4.023 -7.6169
118.286123 -4.018 -7.3831
118.652334 -4.014 -7.1668
119.018545 -4.011 -6.9616
119.384756 -4.011 -6.7655
119.750967 -4.012 -6.5751
120.117178 -4.016 -6.3853
120.483389 -4.021 -6.1934
120.849600 -4.028 -5.9971
121.215810 -4.036 -5.7907
121.582021 -4.045 -5.5763
121.948232 -4.054 -5.3480
122.314443 -4.063 -5.1068
122.680654 -4.072 -4.8535
123.046865 -4.079 -4.5845
123.413076 -4.085 -4.3064
123.779287 -4.088 -4.0159
124.145498 -4.089 -3.7177
124.511709 -4.087 -3.4148
124.877920 -4.082 -3.1082
125.244130 -4.073 -2.8038
125.610341 -4.061 -2.5042
125.976552 -4.046 -2.2123
126.342763 -4.027 -1.9335
126.708974 -4.005 -1.6706
127.075185 -3.980 -1.4253
127.441396 -3.953 -1.2044
127.807607 -3.924 -1.0060
128.173818 -3.893 -0.8352
128.540029 -3.862 -0.6945
128.906240 -3.830 -0.5797
129.272450 -3.798 -0.4983
129.638661 -3.767 -0.4447
130.004872 -3.738 -0.4197
130.371083 -3.710 -0.4251
130.737294 -3.686 -0.4525
131.103505 -3.664 -0.5054
131.469716 -3.646 -0.5790
131.835927 -3.632 -0.6679
132.202138 -3.623 -0.7725
132.568349 -3.618 -0.8857
132.934560 -3.617 -1.0046
133.300770 -3.621 -1.1262
133.666981 -3.630 -1.2454
134.033192 -3.644 -1.3578
134.399403 -3.662 -1.4617
134.765614 -3.684 -1.5516
135.131825 -3.710 -1.6235
135.498036 -3.740 -1.6785
135.864247 -3.773 -1.7091
136.230458 -3.808 -1.7148
136.596669 -3.846 -1.6969
136.962880 -3.885 -1.6481
137.329090 -3.925 -1.5729
137.695301 -3.966 -1.4697
