* Measurement data measured by REW V5.40 beta 135
* Source: 
* Format: 
* Dated: Sep 11, 2026, 4:03:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of LR-SP Cal file effects included LF tail from 16 Hz at 12 dB/octave No HF tail
* Measurement: LR-SP-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 4.242 170.2437
0.732422 16.285 173.0665
1.098633 23.329 173.0937
1.464844 28.327 172.4200
1.831055 32.203 171.4665
2.197265 35.371 170.3722
2.563476 38.049 169.1969
2.929687 40.368 167.9706
3.295898 42.414 166.7098
3.662109 44.245 165.4237
4.028320 45.901 164.1190
4.394531 47.412 162.7996
4.760742 48.803 161.4685
5.126953 50.090 160.1272
5.493164 51.288 158.7774
5.859375 52.410 157.4202
6.225585 53.463 156.0561
6.591796 54.456 154.6859
6.958007 55.395 153.3100
7.324218 56.286 151.9287
7.690429 57.134 150.5425
8.056640 57.942 149.1516
8.422851 58.714 147.7565
8.789062 59.453 146.3573
9.155273 60.162 144.9546
9.521484 60.844 143.5489
9.887695 61.499 142.1409
10.253905 62.131 140.7312
10.620116 62.741 139.3211
10.986327 63.330 137.9119
11.352538 63.899 136.5056
11.718749 64.451 135.1047
12.084960 64.985 133.7129
12.451171 65.504 132.3355
12.817382 66.008 130.9803
13.183593 66.497 129.6599
13.549804 66.973 128.3956
13.916015 67.436 127.2353
14.282225 67.904 126.3014
14.648436 68.405 125.4851
15.014647 68.948 124.6727
15.380858 69.538 123.7599
15.747069 70.189 122.5902
16.113280 70.913 120.7589
16.479491 71.580 117.8448
16.845702 72.137 114.6021
17.211913 72.618 111.3513
17.578124 73.055 108.1472
17.944335 73.468 104.9159
18.310545 73.854 101.5498
18.676756 74.197 98.0142
19.042967 74.483 94.3632
19.409178 74.700 90.7131
19.775389 74.848 87.2426
20.141600 74.945 84.1123
20.507811 75.017 81.4081
20.874022 75.100 79.1135
21.240233 75.223 77.0700
21.606444 75.390 75.0551
21.972654 75.593 72.8826
22.338865 75.810 70.4452
22.705076 76.016 67.7405
23.071287 76.200 64.8228
23.437498 76.354 61.7480
23.803709 76.476 58.5595
24.169920 76.565 55.2814
24.536131 76.617 51.9347
24.902342 76.630 48.5470
25.268553 76.600 45.1584
25.634764 76.527 41.8181
26.000974 76.415 38.5714
26.367185 76.268 35.4363
26.733396 76.091 32.4017
27.099607 75.884 29.4353
27.465818 75.638 26.5099
27.832029 75.340 23.6451
28.198240 74.973 20.9287
28.564451 74.527 18.5232
28.930662 74.003 16.6594
29.296873 73.418 15.5953
29.663084 72.811 15.5513
30.029294 72.244 16.6372
30.395505 71.784 18.7637
30.761716 71.492 21.5853
31.127927 71.394 24.5994
31.494138 71.475 27.3019
31.860349 71.690 29.3535
32.226560 71.987 30.6034
32.592771 72.322 31.0410
32.958982 72.661 30.7365
33.325193 72.980 29.7770
33.691404 73.262 28.2576
34.057614 73.496 26.2605
34.423825 73.672 23.8702
34.790036 73.780 21.1649
35.156247 73.812 18.2327
35.522458 73.763 15.1735
35.888669 73.630 12.0942
36.254880 73.413 9.0959
36.621091 73.114 6.2835
36.987302 72.737 3.7587
37.353513 72.289 1.6295
37.719724 71.781 -0.0047
38.085934 71.227 -1.0595
38.452145 70.644 -1.4558
38.818356 70.054 -1.1445
39.184567 69.479 -0.1025
39.550778 68.946 1.6658
39.916989 68.482 4.0997
40.283200 68.113 7.0802
40.649411 67.862 10.4307
41.015622 67.741 13.9191
41.381833 67.747 17.2899
41.748044 67.867 20.3130
42.114254 68.076 22.8152
42.480465 68.342 24.6905
42.846676 68.635 25.9078
43.212887 68.925 26.5060
43.579098 69.190 26.5642
43.945309 69.413 26.1853
44.311520 69.584 25.4837
44.677731 69.694 24.5753
45.043942 69.743 23.5771
45.410153 69.730 22.6040
45.776363 69.662 21.7636
46.142574 69.546 21.1579
46.508785 69.396 20.8755
46.874996 69.230 20.9784
47.241207 69.067 21.4931
47.607418 68.931 22.3983
47.973629 68.843 23.6150
48.339840 68.820 25.0097
48.706051 68.866 26.4115
49.072262 68.979 27.6481
49.438473 69.144 28.5802
49.804683 69.340 29.1217
50.170894 69.549 29.2422
50.537105 69.749 28.9572
50.903316 69.927 28.3129
51.269527 70.070 27.3730
51.635738 70.171 26.2063
52.001949 70.226 24.8807
52.368160 70.232 23.4613
52.734371 70.189 22.0064
53.100582 70.097 20.5683
53.466793 69.956 19.1962
53.833003 69.768 17.9366
54.199214 69.536 16.8334
54.565425 69.260 15.9283
54.931636 68.943 15.2639
55.297847 68.588 14.8869
55.664058 68.198 14.8473
56.030269 67.777 15.1999
56.396480 67.330 16.0072
56.762691 66.865 17.3429
57.128902 66.392 19.2923
57.495113 65.928 21.9441
57.861323 65.498 25.3742
58.227534 65.134 29.6199
58.593745 64.882 34.6437
58.959956 64.785 40.2822
59.326167 64.877 46.2107
59.692378 65.170 51.9953
60.058589 65.648 57.2288
60.424800 66.270 61.6177
60.791011 66.984 64.9992
61.157222 67.742 67.3407
61.523433 68.505 68.7170
61.889643 69.247 69.2526
62.255854 69.948 69.0790
62.622065 70.597 68.3178
62.988276 71.187 67.0789
63.354487 71.715 65.4610
63.720698 72.181 63.5502
64.086909 72.583 61.4185
64.453120 72.925 59.1271
64.819331 73.206 56.7299
65.185542 73.430 54.2757
65.551753 73.599 51.8062
65.917963 73.714 49.3584
66.284174 73.779 46.9667
66.650385 73.797 44.6638
67.016596 73.768 42.4819
67.382807 73.698 40.4488
67.749018 73.587 38.5922
68.115229 73.440 36.9425
68.481440 73.260 35.5290
68.847651 73.051 34.3776
69.213862 72.817 33.5150
69.580072 72.563 32.9746
69.946283 72.296 32.7899
70.312494 72.021 32.9832
70.678705 71.749 33.5778
71.044916 71.492 34.6065
71.411127 71.260 36.0709
71.777338 71.070 37.9391
72.143549 70.939 40.1855
72.509760 70.879 42.7335
72.875971 70.903 45.4474
73.242182 71.019 48.2090
73.608392 71.223 50.8579
73.974603 71.510 53.2568
74.340814 71.864 55.3135
74.707025 72.269 56.9244
75.073236 72.710 58.0763
75.439447 73.167 58.7738
75.805658 73.627 59.0122
76.171869 74.082 58.8462
76.538080 74.520 58.3199
76.904291 74.935 57.4663
77.270502 75.324 56.3426
77.636712 75.683 54.9903
78.002923 76.010 53.4452
78.369134 76.306 51.7485
78.735345 76.568 49.9311
79.101556 76.799 48.0237
79.467767 76.998 46.0527
79.833978 77.166 44.0406
80.200189 77.306 42.0106
80.566400 77.418 39.9778
80.932611 77.504 37.9595
81.298822 77.565 35.9694
81.665032 77.604 34.0159
82.031243 77.622 32.1132
82.397454 77.621 30.2652
82.763665 77.603 28.4779
83.129876 77.568 26.7578
83.496087 77.519 25.1042
83.862298 77.457 23.5224
84.228509 77.384 22.0105
84.594720 77.300 20.5676
84.960931 77.206 19.1937
85.327142 77.103 17.8853
85.693352 76.992 16.6426
86.059563 76.873 15.4629
86.425774 76.745 14.3469
86.791985 76.609 13.2949
87.158196 76.465 12.3099
87.524407 76.312 11.3945
87.890618 76.151 10.5549
88.256829 75.982 9.7962
88.623040 75.804 9.1279
88.989251 75.619 8.5558
89.355462 75.427 8.0929
89.721672 75.230 7.7435
90.087883 75.028 7.5212
90.454094 74.824 7.4291
90.820305 74.621 7.4747
91.186516 74.419 7.6635
91.552727 74.222 7.9914
91.918938 74.032 8.4661
92.285149 73.852 9.0711
92.651360 73.685 9.8112
93.017571 73.533 10.6631
93.383781 73.398 11.6243
93.749992 73.281 12.6720
94.116203 73.183 13.7972
94.482414 73.106 14.9788
94.848625 73.050 16.2043
95.214836 73.014 17.4567
95.581047 72.998 18.7241
95.947258 73.003 19.9928
96.313469 73.026 21.2538
96.679680 73.069 22.4950
97.045891 73.130 23.7096
97.412101 73.208 24.8869
97.778312 73.304 26.0207
98.144523 73.416 27.0989
98.510734 73.543 28.1165
98.876945 73.685 29.0604
99.243156 73.840 29.9278
99.609367 74.008 30.7050
99.975578 74.186 31.3926
100.341789 74.373 31.9772
100.708000 74.569 32.4634
101.074211 74.769 32.8393
101.440421 74.974 33.1142
101.806632 75.181 33.2796
102.172843 75.389 33.3480
102.539054 75.595 33.3143
102.905265 75.800 33.1922
103.271476 76.002 32.9800
103.637687 76.200 32.6906
104.003898 76.393 32.3251
104.370109 76.581 31.8941
104.736320 76.764 31.4009
105.102531 76.941 30.8530
105.468741 77.113 30.2551
105.834952 77.280 29.6111
106.201163 77.441 28.9253
106.567374 77.597 28.1991
106.933585 77.748 27.4346
107.299796 77.895 26.6328
107.666007 78.037 25.7941
108.032218 78.174 24.9194
108.398429 78.306 24.0071
108.764640 78.434 23.0586
109.130851 78.556 22.0726
109.497061 78.673 21.0497
109.863272 78.785 19.9905
110.229483 78.890 18.8942
110.595694 78.988 17.7646
110.961905 79.080 16.5998
111.328116 79.164 15.4061
111.694327 79.239 14.1817
112.060538 79.307 12.9339
112.426749 79.366 11.6631
112.792960 79.415 10.3750
113.159171 79.456 9.0734
113.525381 79.487 7.7620
113.891592 79.508 6.4469
114.257803 79.520 5.1316
114.624014 79.522 3.8214
114.990225 79.514 2.5210
115.356436 79.498 1.2342
115.722647 79.472 -0.0325
116.088858 79.437 -1.2771
116.455069 79.394 -2.4937
116.821280 79.344 -3.6791
117.187490 79.286 -4.8311
117.553701 79.221 -5.9437
117.919912 79.150 -7.0193
118.286123 79.073 -8.0501
118.652334 78.992 -9.0398
119.018545 78.906 -9.9840
119.384756 78.817 -10.8829
119.750967 78.724 -11.7387
120.117178 78.629 -12.5475
120.483389 78.533 -13.3154
120.849600 78.434 -14.0388
121.215810 78.336 -14.7222
121.582021 78.236 -15.3667
121.948232 78.137 -15.9731
122.314443 78.038 -16.5462
122.680654 77.939 -17.0856
123.046865 77.841 -17.5953
123.413076 77.744 -18.0773
123.779287 77.648 -18.5333
124.145498 77.553 -18.9658
124.511709 77.458 -19.3766
124.877920 77.364 -19.7660
125.244130 77.271 -20.1365
125.610341 77.178 -20.4877
125.976552 77.086 -20.8201
126.342763 76.993 -21.1343
126.708974 76.901 -21.4289
127.075185 76.809 -21.7040
127.441396 76.717 -21.9588
127.807607 76.625 -22.1912
128.173818 76.533 -22.3999
128.540029 76.441 -22.5848
128.906240 76.350 -22.7424
129.272450 76.259 -22.8735
129.638661 76.169 -22.9763
130.004872 76.080 -23.0474
130.371083 75.994 -23.0915
130.737294 75.909 -23.1034
131.103505 75.827 -23.0854
131.469716 75.748 -23.0410
131.835927 75.673 -22.9660
132.202138 75.602 -22.8679
132.568349 75.536 -22.7463
132.934560 75.474 -22.6028
133.300770 75.418 -22.4454
133.666981 75.368 -22.2739
134.033192 75.323 -22.0933
134.399403 75.285 -21.9097
134.765614 75.252 -21.7262
135.131825 75.225 -21.5465
135.498036 75.204 -21.3774
135.864247 75.189 -21.2219
136.230458 75.178 -21.0816
136.596669 75.172 -20.9650
136.962880 75.170 -20.8704
137.329090 75.172 -20.8010
137.695301 75.177 -20.7631
138.061512 75.184 -20.7506
138.427723 75.193 -20.7692
138.793934 75.203 -20.8204
139.160145 75.213 -20.8969
139.526356 75.224 -21.0045
139.892567 75.233 -21.1401
140.258778 75.242 -21.2980
140.624989 75.250 -21.4815
140.991199 75.256 -21.6853
141.357410 75.259 -21.9061
141.723621 75.261 -22.1435
142.089832 75.260 -22.3931
142.456043 75.257 -22.6517
142.822254 75.251 -22.9176
143.188465 75.243 -23.1882
143.554676 75.233 -23.4595
143.920887 75.220 -23.7301
144.287098 75.206 -23.9996
144.653309 75.189 -24.2630
145.019519 75.172 -24.5206
145.385730 75.154 -24.7734
145.751941 75.134 -25.0168
146.118152 75.114 -25.2529
146.484363 75.094 -25.4829
146.850574 75.074 -25.7031
147.216785 75.055 -25.9174
147.582996 75.037 -26.1270
147.949207 75.019 -26.3302
148.315418 75.003 -26.5311
148.681629 74.988 -26.7318
149.047839 74.975 -26.9328
149.414050 74.963 -27.1368
149.780261 74.953 -27.3468
150.146472 74.945 -27.5643
150.512683 74.938 -27.7904
150.878894 74.933 -28.0286
