* Measurement data measured by REW V5.40 beta 135
* Source: Vector average
* Format: Vector average
* Dated: Sep 11, 2026, 3:59:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L 120.green.4, R 120.green.4
* Measurement: LR.4
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.523 -155.9053
15.380859 69.145 -157.5086
15.747070 69.922 -160.1681
16.113281 70.755 -164.2151
16.479492 71.544 -169.4602
16.845703 72.208 -175.3535
17.211914 72.738 178.7778
17.578125 73.173 173.2208
17.944336 73.546 167.9237
18.310547 73.895 162.7310
18.676758 74.240 157.3983
19.042968 74.568 151.8470
19.409179 74.863 146.2344
19.775390 75.107 140.7522
20.141601 75.284 135.6463
20.507812 75.399 131.0877
20.874023 75.474 127.0042
21.240234 75.537 123.2249
21.606445 75.621 119.5394
21.972656 75.745 115.7559
22.338867 75.897 111.8646
22.705077 76.059 107.8971
23.071288 76.201 103.8430
23.437499 76.301 99.7041
23.803710 76.358 95.4362
24.169921 76.372 91.0262
24.536132 76.349 86.5684
24.902343 76.293 82.1534
25.268554 76.198 77.8864
25.634765 76.066 73.8794
26.000976 75.899 70.1490
26.367187 75.699 66.6844
26.733397 75.470 63.4409
27.099608 75.213 60.2939
27.465819 74.916 57.1735
27.832030 74.576 54.0663
28.198241 74.179 51.0146
28.564452 73.716 48.2232
28.930663 73.196 45.9496
29.296874 72.637 44.4612
29.663085 72.080 44.0434
30.029296 71.589 44.7715
30.395507 71.220 46.4821
30.761717 71.026 48.8003
31.127928 71.018 51.1344
31.494139 71.166 53.0236
31.860350 71.427 54.2044
32.226561 71.753 54.5562
32.592772 72.104 54.1579
32.958983 72.457 53.0805
33.325194 72.789 51.3897
33.691405 73.086 49.1945
34.057616 73.338 46.5379
34.423827 73.530 43.4809
34.790037 73.653 40.1084
35.156248 73.703 36.4531
35.522459 73.663 32.6305
35.888670 73.540 28.7509
36.254881 73.329 24.8792
36.621092 73.027 21.1425
36.987303 72.638 17.6573
37.353514 72.166 14.5151
37.719725 71.616 11.8680
38.085936 71.009 9.8252
38.452147 70.353 8.4699
38.818357 69.670 7.9254
39.184568 68.991 8.2231
39.550779 68.343 9.3923
39.916990 67.768 11.4495
40.283201 67.303 14.2396
40.649412 66.975 17.5940
41.015623 66.813 21.2281
41.381834 66.813 24.7681
41.748045 66.954 27.9711
42.114256 67.207 30.5747
42.480467 67.522 32.4503
42.846677 67.861 33.6053
43.212888 68.192 34.0289
43.579099 68.481 33.8449
43.945310 68.718 33.1877
44.311521 68.890 32.1566
44.677732 68.989 30.9301
45.043943 69.025 29.6287
45.410154 68.999 28.3636
45.776365 68.924 27.2974
46.142576 68.819 26.4991
46.508786 68.698 26.0338
46.874997 68.589 25.9412
47.241208 68.517 26.1298
47.607419 68.503 26.5145
47.973630 68.568 26.9404
48.339841 68.715 27.1816
48.706052 68.937 27.0935
49.072263 69.225 26.5201
49.438474 69.549 25.3772
49.804685 69.888 23.6930
50.170896 70.221 21.4757
50.537106 70.525 18.7906
50.903317 70.788 15.7242
51.269528 71.002 12.3135
51.635739 71.159 8.6385
52.001950 71.259 4.7631
52.368161 71.299 0.7059
52.734372 71.281 -3.4773
53.100583 71.210 -7.7643
53.466794 71.085 -12.1535
53.833005 70.908 -16.6072
54.199216 70.685 -21.1387
54.565426 70.416 -25.7749
54.931637 70.104 -30.5188
55.297848 69.755 -35.4325
55.664059 69.369 -40.5720
56.030270 68.955 -45.9835
56.396481 68.522 -51.7885
56.762692 68.071 -58.0870
57.128903 67.621 -64.9724
57.495114 67.189 -72.5931
57.861325 66.790 -81.0357
58.227536 66.456 -90.3583
58.593746 66.222 -100.6034
58.959957 66.120 -111.6410
59.326168 66.183 -123.2316
59.692379 66.420 -135.0990
60.058590 66.818 -146.8831
60.424801 67.354 -158.2872
60.791012 67.987 -169.1494
61.157223 68.669 -179.3597
61.523434 69.370 171.0874
61.889645 70.059 162.1182
62.255856 70.713 153.6892
62.622066 71.323 145.7393
62.988277 71.879 138.1902
63.354488 72.372 131.0081
63.720699 72.805 124.1503
64.086910 73.176 117.5765
64.453121 73.485 111.2873
64.819332 73.733 105.2676
65.185543 73.923 99.5029
65.551754 74.054 94.0089
65.917965 74.130 88.7827
66.284176 74.153 83.8301
66.650386 74.124 79.1774
67.016597 74.045 74.8242
67.382808 73.919 70.7838
67.749019 73.747 67.0837
68.115230 73.537 63.7276
68.481441 73.287 60.7412
68.847652 73.005 58.1495
69.213863 72.693 55.9552
69.580074 72.357 54.1938
69.946285 72.004 52.8917
70.312495 71.640 52.0643
70.678706 71.274 51.7599
71.044917 70.918 51.9929
71.411128 70.583 52.7762
71.777339 70.289 54.1327
72.143550 70.057 56.0144
72.509761 69.902 58.3615
72.875972 69.847 61.0601
73.242183 69.903 63.9180
73.608394 70.071 66.7626
73.974605 70.350 69.3939
74.340815 70.719 71.6451
74.707026 71.158 73.4279
75.073237 71.646 74.6672
75.439448 72.158 75.3612
75.805659 72.679 75.5446
76.171870 73.194 75.2471
76.538081 73.692 74.5379
76.904292 74.167 73.4709
77.270503 74.611 72.0905
77.636714 75.025 70.4610
78.002925 75.406 68.6214
78.369135 75.752 66.6116
78.735346 76.065 64.4774
79.101557 76.345 62.2389
79.467768 76.592 59.9264
79.833979 76.809 57.5696
80.200190 76.997 55.1800
80.566401 77.155 52.7822
80.932612 77.289 50.3906
81.298823 77.397 48.0096
81.665034 77.481 45.6584
82.031245 77.544 43.3427
82.397455 77.587 41.0659
82.763666 77.611 38.8411
83.129877 77.618 36.6648
83.496088 77.608 34.5402
83.862299 77.583 32.4762
84.228510 77.545 30.4665
84.594721 77.493 28.5149
84.960932 77.429 26.6235
85.327143 77.354 24.7838
85.693354 77.265 23.0034
86.059565 77.167 21.2825
86.425775 77.056 19.6170
86.791986 76.932 18.0173
87.158197 76.796 16.4815
87.524408 76.647 15.0143
87.890619 76.484 13.6323
88.256830 76.309 12.3370
88.623041 76.118 11.1426
88.989252 75.915 10.0658
89.355463 75.699 9.1113
89.721674 75.471 8.3024
90.087885 75.234 7.6541
90.454095 74.990 7.1723
90.820306 74.741 6.8793
91.186517 74.492 6.7772
91.552728 74.243 6.8701
91.918939 74.004 7.1705
92.285150 73.776 7.6624
92.651361 73.564 8.3400
93.017572 73.373 9.1909
93.383783 73.205 10.1813
93.749994 73.063 11.2980
94.116205 72.950 12.5099
94.482415 72.865 13.7811
94.848626 72.808 15.0965
95.214837 72.781 16.4202
95.581048 72.777 17.7349
95.947259 72.800 19.0352
96.313470 72.844 20.2964
96.679681 72.908 21.5201
97.045892 72.991 22.6998
97.412103 73.092 23.8222
97.778314 73.210 24.8975
98.144524 73.345 25.9147
98.510735 73.495 26.8665
98.876946 73.661 27.7559
99.243157 73.841 28.5627
99.609368 74.034 29.2855
99.975579 74.241 29.9199
100.341790 74.459 30.4478
100.708001 74.687 30.8713
101.074212 74.925 31.1797
101.440423 75.168 31.3641
101.806634 75.417 31.4326
102.172844 75.669 31.3772
102.539055 75.922 31.2009
102.905266 76.175 30.9117
103.271477 76.426 30.5048
103.637688 76.674 29.9919
104.003899 76.919 29.3805
104.370110 77.158 28.6705
104.736321 77.392 27.8753
105.102532 77.618 26.9965
105.468743 77.839 26.0380
105.834954 78.052 25.0117
106.201164 78.258 23.9170
106.567375 78.457 22.7593
106.933586 78.647 21.5455
107.299797 78.830 20.2725
107.666008 79.005 18.9479
108.032219 79.172 17.5752
108.398430 79.331 16.1523
108.764641 79.481 14.6869
109.130852 79.622 13.1785
109.497063 79.755 11.6277
109.863274 79.878 10.0428
110.229484 79.992 8.4225
110.595695 80.096 6.7701
110.961906 80.189 5.0922
111.328117 80.273 3.3871
111.694328 80.347 1.6624
112.060539 80.409 -0.0767
112.426750 80.461 -1.8303
112.792961 80.501 -3.5902
113.159172 80.530 -5.3533
113.525383 80.549 -7.1169
113.891594 80.556 -8.8716
114.257804 80.551 -10.6155
114.624015 80.535 -12.3445
114.990226 80.509 -14.0503
115.356437 80.471 -15.7322
115.722648 80.424 -17.3828
116.088859 80.365 -18.9955
116.455070 80.297 -20.5705
116.821281 80.220 -22.1000
117.187492 80.134 -23.5806
117.553703 80.039 -25.0111
117.919914 79.937 -26.3831
118.286124 79.828 -27.6968
118.652335 79.713 -28.9506
119.018546 79.592 -30.1384
119.384757 79.467 -31.2628
119.750968 79.339 -32.3204
120.117179 79.207 -33.3082
120.483390 79.074 -34.2319
120.849601 78.939 -35.0881
121.215812 78.804 -35.8782
121.582023 78.670 -36.6079
121.948233 78.538 -37.2736
122.314444 78.408 -37.8824
122.680655 78.280 -38.4395
123.046866 78.156 -38.9440
123.413077 78.037 -39.4054
123.779288 77.920 -39.8257
124.145499 77.809 -40.2073
124.511710 77.704 -40.5610
124.877921 77.601 -40.8867
125.244132 77.505 -41.1895
125.610343 77.413 -41.4766
125.976553 77.325 -41.7451
126.342764 77.241 -42.0025
126.708975 77.161 -42.2525
127.075186 77.084 -42.4916
127.441397 77.011 -42.7266
127.807608 76.940 -42.9546
128.173819 76.872 -43.1743
128.540030 76.806 -43.3918
128.906241 76.743 -43.6013
129.272452 76.681 -43.8033
129.638663 76.621 -44.0002
130.004873 76.563 -44.1849
130.371084 76.507 -44.3621
130.737295 76.453 -44.5316
131.103506 76.401 -44.6878
131.469717 76.352 -44.8367
131.835928 76.305 -44.9744
132.202139 76.261 -45.0999
132.568350 76.220 -45.2206
132.934561 76.182 -45.3312
133.300772 76.147 -45.4352
133.666983 76.117 -45.5367
134.033193 76.089 -45.6311
134.399404 76.066 -45.7269
134.765615 76.046 -45.8257
135.131826 76.031 -45.9252
135.498037 76.020 -46.0342
135.864248 76.012 -46.1500
136.230459 76.008 -46.2750
136.596670 76.007 -46.4173
136.962881 76.009 -46.5723
137.329092 76.015 -46.7448
137.695303 76.023 -46.9380
138.061513 76.033 -47.1468
138.427724 76.046 -47.3788
138.793935 76.059 -47.6331
139.160146 76.074 -47.9059
139.526357 76.091 -48.2029
139.892568 76.107 -48.5182
140.258779 76.123 -48.8520
140.624990 76.140 -49.2079
140.991201 76.156 -49.5782
141.357412 76.172 -49.9649
141.723623 76.187 -50.3669
142.089833 76.201 -50.7773
142.456044 76.214 -51.2010
142.822255 76.226 -51.6341
143.188466 76.238 -52.0717
143.554677 76.250 -52.5182
143.920888 76.260 -52.9670
144.287099 76.271 -53.4186
144.653310 76.281 -53.8768
145.019521 76.290 -54.3350
145.385732 76.301 -54.7967
145.751942 76.313 -55.2626
146.118153 76.324 -55.7286
146.484364 76.337 -56.2021
146.850575 76.350 -56.6819
147.216786 76.365 -57.1666
147.582997 76.380 -57.6630
147.949208 76.397 -58.1680
148.315419 76.416 -58.6852
148.681630 76.435 -59.2203
149.047841 76.456 -59.7697
149.414052 76.479 -60.3387
149.780262 76.502 -60.9291
150.146473 76.526 -61.5389
150.512684 76.551 -62.1756
150.878895 76.576 -62.8375
151.245106 76.601 -63.5237
151.611317 76.625 -64.2398
151.977528 76.649 -64.9814
152.343739 76.672 -65.7512
152.709950 76.693 -66.5523
153.076161 76.712 -67.3791
153.442372 76.730 -68.2348
153.808582 76.744 -69.1187
154.174793 76.757 -70.0267
154.541004 76.766 -70.9633
154.907215 76.772 -71.9246
155.273426 76.774 -72.9073
155.639637 76.773 -73.9144
156.005848 76.766 -74.9399
156.372059 76.757 -75.9841
156.738270 76.742 -77.0483
157.104481 76.722 -78.1249
157.470692 76.697 -79.2155
157.836902 76.667 -80.3182
158.203113 76.632 -81.4276
158.569324 76.591 -82.5471
158.935535 76.545 -83.6716
159.301746 76.494 -84.7971
159.667957 76.437 -85.9265
160.034168 76.375 -87.0535
160.400379 76.307 -88.1779
160.766590 76.235 -89.3011
161.132801 76.157 -90.4157
161.499012 76.074 -91.5236
161.865222 75.987 -92.6242
162.231433 75.894 -93.7122
162.597644 75.797 -94.7922
162.963855 75.696 -95.8604
163.330066 75.591 -96.9133
163.696277 75.482 -97.9557
164.062488 75.368 -98.9827
164.428699 75.252 -99.9955
