* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:32:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.3 dB
* Note: ; Copy of RMS Average 1
* Measurement: LR.RMS
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB)
1.098633 27.036
1.464844 23.966
1.831055 26.019
2.197266 25.868
2.563477 24.441
2.929688 27.246
3.295898 22.468
3.662109 28.102
4.028320 21.191
4.394531 28.460
4.760742 22.347
5.126953 28.313
5.493164 24.910
5.859375 27.615
6.225586 27.302
6.591797 26.291
6.958008 29.151
7.324219 24.395
7.690430 30.461
8.056641 23.033
8.422852 31.269
8.789062 24.695
9.155273 31.576
9.521484 28.159
9.887695 31.331
10.253906 31.389
10.620117 30.421
10.986328 34.073
11.352539 28.824
11.718750 36.323
12.084961 28.172
12.451172 38.286
12.817383 32.402
13.183594 40.114
13.549805 38.866
13.916016 41.986
14.282227 46.346
14.648438 43.640
15.014648 60.403
15.380859 68.121
15.747070 70.338
16.113281 70.976
16.479492 71.760
16.845703 72.087
17.211914 72.449
17.578125 73.093
17.944336 73.522
18.310547 73.914
18.676758 74.251
19.042969 74.439
19.409180 74.708
19.775391 74.920
20.141602 75.006
20.507812 75.090
20.874023 75.108
21.240234 75.179
21.606445 75.375
21.972656 75.560
22.338867 75.770
22.705078 75.968
23.071289 76.110
23.437500 76.287
23.803711 76.438
24.169922 76.533
24.536133 76.612
24.902344 76.620
25.268555 76.605
25.634766 76.591
26.000977 76.520
26.367188 76.434
26.733398 76.324
27.099609 76.177
27.465820 76.051
27.832031 75.894
28.198242 75.685
28.564453 75.448
28.930664 75.141
29.296875 74.821
29.663086 74.528
30.029297 74.241
30.395508 74.024
30.761719 73.871
31.127930 73.782
31.494141 73.811
31.860352 73.898
32.226562 74.023
32.592773 74.190
32.958984 74.341
33.325195 74.509
33.691406 74.684
34.057617 74.814
34.423828 74.916
34.790039 74.953
35.156250 74.912
35.522461 74.824
35.888672 74.647
36.254883 74.384
36.621094 74.042
36.987305 73.592
37.353516 73.079
37.719727 72.514
38.085938 71.879
38.452148 71.227
38.818359 70.546
39.184570 69.867
39.550781 69.276
39.916992 68.751
40.283203 68.338
40.649414 68.071
41.015625 67.912
41.381836 67.936
41.748047 68.113
42.114258 68.379
42.480469 68.748
42.846680 69.141
43.212891 69.553
43.579102 70.011
43.945312 70.450
44.311523 70.891
44.677734 71.332
45.043945 71.748
45.410156 72.192
45.776367 72.649
46.142578 73.104
46.508789 73.580
46.875000 74.044
47.241211 74.506
47.607422 74.976
47.973633 75.420
48.339844 75.846
48.706055 76.238
49.072266 76.580
49.438477 76.888
49.804688 77.143
50.170898 77.338
50.537109 77.480
50.903320 77.553
51.269531 77.566
51.635742 77.529
52.001953 77.429
52.368164 77.281
52.734375 77.082
53.100586 76.830
53.466797 76.549
53.833008 76.234
54.199219 75.891
54.565430 75.535
54.931641 75.154
55.297852 74.769
55.664062 74.392
56.030273 74.015
56.396484 73.655
56.762695 73.307
57.128906 72.967
57.495117 72.665
57.861328 72.386
58.227539 72.139
58.593750 71.935
58.959961 71.756
59.326172 71.631
59.692383 71.569
60.058594 71.554
60.424805 71.610
60.791016 71.717
61.157227 71.869
61.523438 72.084
61.889648 72.329
62.255859 72.600
62.622070 72.887
62.988281 73.158
63.354492 73.427
63.720703 73.681
64.086914 73.903
64.453125 74.102
64.819336 74.258
65.185547 74.373
65.551758 74.460
65.917969 74.503
66.284180 74.511
66.650391 74.483
67.016602 74.408
67.382812 74.305
67.749023 74.172
68.115234 74.004
68.481445 73.819
68.847656 73.603
69.213867 73.368
69.580078 73.131
69.946289 72.886
70.312500 72.651
70.678711 72.436
71.044922 72.239
71.411133 72.097
71.777344 72.018
72.143555 72.009
72.509766 72.094
72.875977 72.258
73.242188 72.510
73.608398 72.849
73.974609 73.248
74.340820 73.701
74.707031 74.187
75.073242 74.682
75.439453 75.189
75.805664 75.687
76.171875 76.170
76.538086 76.635
76.904297 77.067
77.270508 77.469
77.636719 77.844
78.002930 78.182
78.369141 78.490
78.735352 78.761
79.101562 78.994
79.467773 79.199
79.833984 79.369
80.200195 79.507
80.566406 79.617
80.932617 79.694
81.298828 79.744
81.665039 79.771
82.031250 79.771
82.397461 79.753
82.763672 79.713
