* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:40:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of LR.SP Cal file effects included LF tail from 16 Hz at 12 dB/octave No HF tail
* Measurement: LR.SP-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	3.545	169.7012
0.732422	15.547	172.5552
1.098633	22.568	172.6229
1.464844	27.549	171.9924
1.831055	31.412	171.0817
2.197265	34.568	170.0316
2.563476	37.237	168.9011
2.929687	39.549	167.7195
3.295898	41.588	166.5035
3.662109	43.412	165.2627
4.028320	45.062	164.0033
4.394531	46.569	162.7295
4.760742	47.954	161.4440
5.126953	49.237	160.1485
5.493164	50.432	158.8448
5.859375	51.549	157.5336
6.225585	52.599	156.2159
6.591796	53.588	154.8921
6.958007	54.524	153.5628
7.324218	55.412	152.2285
7.690429	56.257	150.8894
8.056640	57.062	149.5457
8.422851	57.832	148.1980
8.789062	58.569	146.8466
9.155273	59.275	145.4918
9.521484	59.954	144.1341
9.887695	60.608	142.7743
10.253905	61.237	141.4131
10.620116	61.845	140.0516
10.986327	62.432	138.6912
11.352538	62.999	137.3337
11.718749	63.549	135.9817
12.084960	64.082	134.6389
12.451171	64.599	133.3102
12.817382	65.101	132.0035
13.183593	65.588	130.7312
13.549804	66.063	129.5145
13.916015	66.524	128.4014
14.282225	66.991	127.5116
14.648436	67.491	126.7329
15.014647	68.032	125.9523
15.380858	68.620	125.0642
15.747069	69.267	123.9058
16.113280	69.982	122.0393
16.479491	70.623	119.1528
16.845702	71.156	116.0625
17.211913	71.628	113.0191
17.578124	72.069	110.0027
17.944335	72.493	106.8937
18.310545	72.889	103.5700
18.676756	73.234	100.0308
19.042967	73.511	96.3752
19.409178	73.709	92.7569
19.775389	73.832	89.3930
20.141600	73.906	86.4567
20.507811	73.964	84.0157
20.874022	74.046	82.0175
21.240233	74.181	80.2483
21.606444	74.368	78.4462
21.972654	74.591	76.4281
22.338865	74.824	74.1103
22.705076	75.043	71.5210
23.071287	75.238	68.7326
