* Measurement data measured by REW V5.40 beta 135
* Source: Vector average
* Format: Vector average
* Dated: Sep 11, 2026, 4:15:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L, R
* Measurement: LR
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.027 -149.4904
15.380859 68.998 -148.9626
15.747070 69.970 -153.5024
16.113281 70.861 -159.1697
16.479492 71.924 -167.8180
16.845703 72.611 -177.7033
17.211914 72.897 175.9247
17.578125 73.163 172.4332
17.944336 73.440 168.9876
18.310547 73.880 164.8329
18.676758 74.592 158.7623
19.042968 75.185 151.1398
19.409179 75.379 144.5854
19.775390 75.442 140.0186
20.141601 75.608 134.5302
20.507812 75.465 127.2886
20.874023 74.894 123.1650
21.240234 74.726 123.7453
21.606445 75.082 122.7551
21.972656 75.307 119.8982
22.338867 75.643 117.0528
22.705077 76.086 112.2298
23.071288 76.262 106.7854
23.437499 76.368 102.2335
23.803710 76.472 97.2955
24.169921 76.496 93.3009
24.536132 76.769 90.3344
24.902343 77.068 85.4547
25.268554 76.947 79.6731
25.634765 76.648 74.6208
26.000976 76.428 69.6806
26.367187 76.311 65.5123
26.733397 76.277 62.0603
27.099608 75.981 59.2675
27.465819 75.593 59.0686
27.832030 75.771 57.3500
28.198241 75.956 49.0848
28.564452 75.465 37.9861
28.930663 74.363 28.9885
29.296874 72.869 24.1215
29.663085 71.203 25.0733
30.029296 70.037 32.3361
30.395507 69.823 40.9612
30.761717 70.026 46.9671
31.127928 70.196 51.6964
31.494139 70.590 56.0318
31.860350 71.272 57.3850
32.226561 71.808 56.1619
32.592772 72.144 55.0884
32.958983 72.449 54.6366
33.325194 72.863 53.8551
33.691405 73.395 51.0403
34.057616 73.791 46.7799
34.423827 74.156 43.6925
34.790037 74.724 40.2910
35.156248 75.076 34.7201
35.522459 75.064 29.0960
35.888670 75.052 23.3727
36.254881 74.876 15.9758
36.621092 74.242 9.2301
36.987303 73.454 4.8081
37.353514 72.651 0.5171
37.719725 71.561 -3.1655
38.085936 70.412 -3.7108
38.452147 69.478 -2.3838
38.818357 68.597 -0.1293
39.184568 67.931 2.6021
39.550779 67.384 3.8146
39.916990 66.753 6.5331
40.283201 66.620 11.8199
40.649412 66.670 14.7610
41.015623 66.238 18.2456
41.381834 66.152 24.1237
41.748045 66.456 27.6256
42.114256 66.750 32.7697
42.480467 67.549 38.6139
42.846677 67.932 41.8013
43.212888 68.130 47.8735
43.579099 69.307 47.7364
43.945310 70.011 37.2894
44.311521 70.027 29.5073
44.677732 70.779 26.7992
45.043943 71.614 19.4276
45.410154 71.278 11.2772
45.776365 70.690 7.9371
46.142576 70.597 4.1426
46.508786 70.167 -0.2910
46.874997 69.499 -1.8181
47.241208 68.514 -4.8505
47.607419 66.444 -5.6627
47.973630 65.122 4.3876
48.339841 65.758 10.5580
48.706052 65.946 13.9961
49.072263 66.121 22.9207
49.438474 66.546 30.7133
49.804685 67.118 37.8572
50.170896 68.745 38.4414
50.537106 70.211 28.9771
50.903317 70.746 19.6626
51.269528 71.119 15.7647
51.635739 71.706 10.6249
52.001950 71.633 2.4511
52.368161 71.122 -2.3984
52.734372 71.322 -4.9781
53.100583 71.746 -11.2213
53.466794 71.577 -17.8093
53.833005 71.263 -21.8384
54.199216 71.172 -26.5321
54.565426 70.927 -33.1987
54.931637 70.320 -39.3755
55.297848 69.629 -43.2854
55.664059 69.194 -47.5448
56.030270 68.507 -54.2502
56.396481 67.432 -57.5073
56.762692 67.292 -57.9343
57.128903 67.369 -65.5404
57.495114 66.311 -72.3413
57.861325 65.969 -70.7565
58.227536 66.934 -77.1758
58.593746 66.954 -90.1404
58.959957 66.584 -98.2910
59.326168 67.139 -105.7936
59.692379 67.700 -116.8139
60.058590 67.988 -125.2999
60.424801 68.802 -131.7321
60.791012 70.113 -140.5135
61.157223 71.561 -151.3575
61.523434 72.953 -162.8239
61.889645 74.223 -174.0738
62.255856 75.398 173.9531
62.622066 76.309 160.6102
62.988277 76.903 147.5068
63.354488 77.324 135.1759
63.720699 77.441 123.0834
64.086910 77.199 113.2629
64.453121 77.182 106.4130
64.819332 77.497 98.5741
65.185543 77.503 90.2294
65.551754 77.337 84.9230
65.917965 77.522 80.0981
66.284176 77.739 72.2206
66.650386 77.658 62.9073
67.016597 77.340 53.9578
67.382808 76.777 45.7449
67.749019 75.865 38.7016
68.115230 74.595 34.2020
68.481441 73.359 34.1514
68.847652 72.745 36.2459
69.213863 72.451 36.6606
69.580074 72.116 36.2208
69.946285 71.758 34.9167
70.312495 71.264 33.4812
70.678706 70.898 33.0303
71.044917 70.549 31.4719
71.411128 69.757 30.9944
71.777339 69.022 33.0646
72.143550 68.258 33.3214
72.509761 66.975 36.0704
72.875972 66.291 43.7178
73.242183 65.924 49.3494
73.608394 65.247 58.6590
73.974605 65.257 70.6441
74.340815 65.477 83.0148
74.707026 66.945 97.6013
75.073237 69.334 102.9200
75.439448 71.194 102.7932
75.805659 72.778 101.6196
76.171870 74.186 98.6146
76.538081 75.353 94.6386
76.904292 76.393 90.2167
77.270503 77.257 85.4351
77.636714 77.957 81.0726
78.002925 78.626 76.7864
78.369135 79.277 71.6462
78.735346 79.839 65.3799
79.101557 80.192 58.3470
79.467768 80.271 51.7373
79.833979 80.206 46.2610
80.200190 80.090 41.2295
80.566401 79.854 36.6575
80.932612 79.593 33.4656
81.298823 79.482 30.9912
81.665034 79.421 28.0518
82.031245 79.294 25.0790
82.397455 79.181 22.4085
82.763666 79.084 19.5891
83.129877 78.942 16.8715
83.496088 78.813 14.1104
83.862299 78.598 10.3653
84.228510 78.095 6.5791
84.594721 77.401 4.6755
84.960932 76.720 5.1614
85.327143 76.246 8.2747
85.693354 76.320 12.1516
86.059565 76.756 13.3441
86.425775 77.182 12.2402
86.791986 77.550 9.6638
87.158197 77.709 6.1627
87.524408 77.687 3.2031
87.890619 77.655 0.2947
88.256830 77.531 -3.0649
88.623041 77.407 -6.3569
88.989252 77.271 -11.2397
89.355463 76.683 -17.0065
89.721674 75.783 -20.2399
90.087885 75.000 -22.0322
90.454095 74.015 -22.5948
90.820306 73.253 -17.8450
91.186517 73.384 -13.9747
91.552728 73.212 -14.4791
91.918939 72.511 -13.2185
92.285150 71.949 -10.6686
92.651361 71.257 -8.4725
93.017572 70.609 -2.9190
93.383783 70.694 3.7872
93.749994 71.170 7.7261
94.116205 71.654 9.9576
94.482415 72.168 11.2210
94.848626 72.623 10.8843
95.214837 72.776 9.7399
95.581048 72.718 9.6430
95.947259 72.699 10.2328
96.313470 72.780 11.2952
96.679681 73.209 11.7731
97.045892 73.620 8.8407
97.412103 73.438 5.6727
97.778314 73.141 5.7051
98.144524 72.992 5.5593
98.510735 72.513 6.2028
98.876946 72.280 10.1621
99.243157 72.456 12.0539
99.609368 72.339 12.8755
99.975579 72.320 15.2852
100.341790 72.430 16.6249
100.708001 72.364 19.0273
101.074212 72.566 23.1652
101.440423 72.936 26.3427
101.806634 73.347 29.6788
102.172844 74.039 32.4897
102.539055 74.909 33.7414
102.905266 75.898 33.4025
103.271477 76.803 30.9379
103.637688 77.432 27.5406
104.003899 77.875 23.8649
104.370110 78.115 19.7199
104.736321 78.165 16.0648
105.102532 78.194 12.9230
105.468743 78.149 9.5739
105.834954 77.951 6.8484
106.201164 77.721 5.2808
106.567375 77.501 4.5806
106.933586 77.291 4.8492
107.299797 77.138 5.9088
107.666008 77.087 7.4961
108.032219 77.203 8.9844
108.398430 77.422 9.9064
108.764641 77.709 10.6458
109.130852 78.055 10.9973
109.497063 78.384 11.1627
109.863274 78.794 11.3644
110.229484 79.310 10.6722
110.595695 79.831 9.1523
110.961906 80.365 6.8944
111.328117 80.778 3.4523
111.694328 80.939 -0.0147
112.060539 81.031 -2.6097
112.426750 81.171 -5.2391
112.792961 81.257 -8.0102
113.159172 81.318 -10.2172
113.525383 81.457 -12.0867
113.891594 81.683 -14.2653
114.257804 81.932 -17.1031
114.624015 82.128 -20.4175
114.990226 82.256 -24.0195
115.356437 82.279 -28.0940
115.722648 82.157 -32.4583
116.088859 81.913 -36.8459
116.455070 81.528 -41.0181
116.821281 81.008 -43.9926
117.187492 80.521 -45.5383
117.553703 80.100 -46.7469
117.919914 79.665 -47.5045
118.286124 79.327 -47.5262
118.652335 79.089 -47.4934
119.018546 78.877 -47.0546
119.384757 78.796 -46.4332
119.750968 78.773 -46.8739
120.117179 78.660 -47.8461
120.483390 78.563 -48.5605
120.849601 78.525 -49.6263
121.215812 78.401 -51.0823
121.582023 78.179 -52.1633
121.948233 77.952 -52.9151
122.314444 77.693 -53.5342
122.680655 77.391 -53.2838
123.046866 77.177 -52.0524
123.413077 77.080 -50.8008
123.779288 77.056 -50.0488
124.145499 77.078 -50.0450
124.511710 77.069 -50.2445
124.877921 77.106 -49.7425
125.244132 77.262 -49.3524
125.610343 77.394 -49.6685
125.976553 77.521 -50.4032
126.342764 77.676 -52.2839
126.708975 77.690 -54.7700
127.075186 77.632 -56.3041
127.441397 77.634 -57.6479
127.807608 77.524 -59.5112
128.173819 77.326 -60.9247
128.540030 77.239 -62.3970
128.906241 77.143 -64.5538
129.272452 76.950 -66.1802
129.638663 76.768 -67.2737
130.004873 76.510 -68.8441
130.371084 76.090 -70.3666
130.737295 75.639 -71.5121
131.103506 75.145 -72.4155
131.469717 74.601 -71.7643
131.835928 74.243 -69.5740
132.202139 74.010 -67.5314
132.568350 73.790 -65.1445
132.934561 73.765 -62.8711
133.300772 73.777 -61.8319
133.666983 73.754 -60.5720
134.033193 73.872 -59.6787
134.399404 73.860 -60.0793
134.765615 73.646 -59.6364
135.131826 73.536 -58.4142
135.498037 73.451 -57.3482
135.864248 73.438 -55.2894
136.230459 73.634 -53.5081
136.596670 73.745 -52.4120
136.962881 73.827 -50.4639
137.329092 74.063 -48.8354
137.695303 74.317 -48.0759
138.061513 74.630 -47.5275
138.427724 75.013 -47.4935
138.793935 75.398 -47.6158
139.160146 75.800 -48.0990
139.526357 76.106 -49.2136
139.892568 76.337 -50.3686
140.258779 76.579 -52.1859
140.624990 76.706 -54.7450
140.991201 76.755 -56.9394
141.357412 76.849 -59.0580
141.723623 76.922 -61.3621
142.089833 76.988 -63.4377
142.456044 77.043 -65.6001
142.822255 77.016 -67.5057
143.188466 77.002 -69.0155
143.554677 76.989 -71.1728
143.920888 76.844 -73.6339
144.287099 76.658 -75.5765
144.653310 76.501 -77.4438
145.019521 76.293 -79.3298
145.385732 76.020 -81.1138
145.751942 75.650 -82.9438
146.118153 75.171 -84.3610
146.484364 74.664 -85.1395
146.850575 74.118 -85.1981
147.216786 73.558 -83.7447
147.582997 73.127 -80.9480
147.949208 72.801 -77.6028
148.315419 72.609 -73.2042
148.681630 72.805 -68.7157
149.047841 73.240 -66.3380
149.414052 73.633 -65.1155
149.780262 74.107 -64.1602
150.146473 74.613 -64.6400
150.512684 74.934 -65.8604
150.878895 75.194 -67.0654
151.245106 75.388 -69.2723
151.611317 75.360 -71.6167
151.977528 75.297 -72.9302
152.343739 75.293 -74.1818
152.709950 75.227 -75.1591
153.076161 75.203 -75.5831
153.442372 75.180 -76.2253
153.808582 75.131 -76.2208
154.174793 75.253 -76.1934
154.541004 75.324 -77.3853
154.907215 75.216 -77.8427
155.273426 75.270 -77.2875
155.639637 75.477 -77.5879
156.005848 75.650 -78.3660
156.372059 75.799 -79.0685
156.738270 75.915 -79.6501
157.104481 76.055 -80.3898
157.470692 76.182 -81.9429
157.836902 76.277 -83.4534
158.203113 76.534 -84.8331
158.569324 76.848 -87.2512
158.935535 77.003 -90.0308
159.301746 77.063 -92.7307
159.667957 77.031 -95.8924
160.034168 76.903 -99.1509
160.400379 76.731 -102.3796
160.766590 76.439 -105.1777
161.132801 76.119 -106.7249
161.499012 75.901 -108.2806
161.865222 75.614 -110.5130
162.231433 75.270 -112.1750
162.597644 75.003 -113.3687
162.963855 74.734 -114.2339
163.330066 74.476 -114.5865
163.696277 74.196 -115.0358
164.062488 73.870 -114.9762
