* Measurement data measured by REW V5.40 beta 135
* Source: 
* Format: 
* Dated: Sep 11, 2026, 4:03:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of LX Cal file effects included LF tail from 16 Hz at 12 dB/octave No HF tail
* Measurement: LX-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 6.896 90.6479
0.732422 16.516 -165.2321
1.098633 25.014 169.6397
1.464844 28.027 170.3203
1.831055 32.832 174.9757
2.197265 36.042 168.7648
2.563476 38.247 169.7920
2.929687 40.985 169.3503
3.295898 42.896 166.1379
3.662109 44.604 166.5073
4.028320 46.477 164.9228
4.394531 47.841 162.9015
4.760742 49.236 162.6857
5.126953 50.627 160.7940
5.493164 51.706 159.3658
5.859375 52.882 158.6793
6.225585 53.968 156.7699
6.591796 54.878 155.6400
6.958007 55.886 154.5877
7.324218 56.767 152.7806
7.690429 57.569 151.7724
8.056640 58.439 150.4493
8.422851 59.177 148.7906
8.789062 59.903 147.7896
9.155273 60.659 146.2816
9.521484 61.295 144.7785
9.887695 61.963 143.7116
10.253905 62.621 142.0957
10.620116 63.187 140.7337
10.986327 63.805 139.5597
11.352538 64.380 137.9048
11.718749 64.897 136.6616
12.084960 65.470 135.3676
12.451171 65.975 133.7411
12.817382 66.457 132.6049
13.183593 66.987 131.2143
13.549804 67.432 129.7173
13.916015 67.896 128.7743
14.282225 68.403 127.4570
14.648436 68.840 126.2678
15.014647 69.361 125.4266
15.380858 69.895 123.8547
15.747069 70.350 122.7255
16.113280 70.995 121.8009
16.479491 71.660 119.0462
16.845702 72.060 116.1539
17.211913 72.494 114.6091
17.578124 73.111 112.3784
17.944335 73.650 108.9215
18.310545 74.068 105.2974
18.676756 74.413 101.6025
19.042967 74.678 98.0476
19.409178 74.927 94.6998
19.775389 75.146 91.0791
20.141600 75.256 87.4708
20.507811 75.295 84.3998
20.874022 75.322 81.8928
21.240233 75.386 79.9032
21.606444 75.538 77.9826
21.972654 75.728 75.6315
22.338865 75.897 72.9670
22.705076 76.042 70.1194
23.071287 76.157 67.1253
23.437498 76.252 64.0359
23.803709 76.324 60.6720
24.169920 76.332 57.0118
24.536131 76.258 53.2813
24.902342 76.107 49.5885
25.268553 75.877 46.0190
25.634764 75.574 42.6225
26.000974 75.184 39.3895
26.367185 74.684 36.5197
26.733396 74.077 34.3025
27.099607 73.380 32.9720
27.465818 72.619 32.7695
27.832029 71.824 33.8933
28.198240 71.037 36.7252
28.564451 70.379 41.6287
28.930662 70.023 48.3166
29.296873 70.117 55.7540
29.663084 70.672 62.1515
30.029294 71.490 66.3192
30.395505 72.380 68.3147
30.761716 73.227 68.5294
31.127927 73.971 67.5522
31.494138 74.618 65.8519
31.860349 75.175 63.5634
32.226560 75.634 60.9033
32.592771 76.013 58.0800
32.958982 76.330 55.1282
33.325193 76.595 52.0958
33.691404 76.824 48.9328
34.057614 77.009 45.5260
34.423825 77.131 41.9255
34.790036 77.190 38.1933
35.156247 77.179 34.3528
35.522458 77.094 30.4765
35.888669 76.933 26.5843
36.254880 76.682 22.7185
36.621091 76.332 19.0417
36.987302 75.889 15.6975
37.353513 75.359 12.7976
37.719724 74.755 10.4542
38.085934 74.087 8.7298
38.452145 73.359 7.7378
38.818356 72.592 7.6540
39.184567 71.820 8.5900
39.550778 71.084 10.5535
39.916989 70.420 13.4488
40.283200 69.853 17.1614
40.649411 69.411 21.5459
41.015622 69.114 26.4195
41.381833 68.985 31.5454
41.748044 69.027 36.4915
42.114254 69.192 40.9958
42.480465 69.449 45.0136
42.846676 69.766 48.4996
43.212887 70.118 51.6053
43.579098 70.513 54.3722
43.945309 70.935 56.7381
44.311520 71.372 58.8569
44.677731 71.839 60.7686
45.043942 72.337 62.4645
45.410153 72.883 63.9563
45.776363 73.487 65.0312
46.142574 74.122 65.5713
46.508785 74.778 65.5811
46.874996 75.440 64.9959
47.241207 76.088 63.8583
47.607418 76.719 62.1972
47.973629 77.316 59.9807
48.339840 77.861 57.2995
48.706051 78.351 54.2395
49.072262 78.779 50.8463
49.438473 79.142 47.2131
49.804683 79.442 43.3768
50.170894 79.673 39.3647
50.537105 79.830 35.2774
50.903316 79.919 31.1817
51.269527 79.939 27.1292
51.635738 79.898 23.1899
52.001949 79.801 19.3768
52.368160 79.648 15.7204
52.734371 79.444 12.2949
53.100582 79.198 9.1230
53.466793 78.916 6.2280
53.833003 78.608 3.6305
54.199214 78.280 1.2983
54.565425 77.933 -0.7569
54.931636 77.576 -2.5095
55.297847 77.217 -3.9875
55.664058 76.860 -5.2031
56.030269 76.514 -6.1986
56.396480 76.176 -7.0339
56.762691 75.845 -7.6967
57.128902 75.525 -8.1996
57.495113 75.218 -8.5827
57.861323 74.923 -8.8648
58.227534 74.640 -9.0994
58.593745 74.359 -9.2912
58.959956 74.079 -9.3963
59.326167 73.802 -9.4203
59.692378 73.526 -9.3588
60.058589 73.254 -9.2102
60.424800 72.982 -8.9865
60.791011 72.706 -8.6305
61.157222 72.435 -8.1000
61.523433 72.177 -7.4078
61.889643 71.938 -6.5690
62.255854 71.723 -5.6331
62.622065 71.529 -4.6289
62.988276 71.358 -3.5468
63.354487 71.219 -2.4322
63.720698 71.113 -1.3582
64.086909 71.034 -0.3950
64.453120 70.973 0.3999
64.819331 70.919 1.0341
65.185542 70.866 1.5330
65.551753 70.814 1.8840
65.917963 70.756 2.0704
66.284174 70.683 2.0916
66.650385 70.583 1.9816
67.016596 70.452 1.8149
67.382807 70.293 1.6402
67.749018 70.106 1.4636
68.115229 69.888 1.2991
68.481440 69.633 1.1712
68.847651 69.335 1.1376
69.213862 68.996 1.2873
69.580072 68.622 1.6478
69.946283 68.209 2.2289
70.312494 67.753 3.0883
70.678705 67.247 4.2935
71.044916 66.685 6.0161
71.411127 66.081 8.4535
71.777338 65.449 11.7070
72.143549 64.802 16.0200
72.509760 64.188 21.6390
72.875971 63.664 28.7063
73.242182 63.335 37.3567
73.608392 63.338 47.0018
73.974603 63.702 56.6592
74.340814 64.406 65.5008
74.707025 65.356 72.7351
75.073236 66.419 78.3002
75.439447 67.539 82.3674
75.805658 68.654 85.0285
76.171869 69.724 86.6104
76.538080 70.745 87.3212
76.904291 71.699 87.3056
77.270502 72.590 86.7855
77.636712 73.428 85.8207
78.002923 74.209 84.4494
78.369134 74.934 82.7711
78.735345 75.608 80.8118
79.101556 76.227 78.6270
79.467767 76.798 76.2833
79.833978 77.326 73.7711
80.200189 77.807 71.1163
80.566400 78.244 68.3589
80.932611 78.638 65.5077
81.298822 78.989 62.6064
81.665032 79.302 59.6769
82.031243 79.579 56.7102
82.397454 79.819 53.7343
82.763665 80.025 50.7652
83.129876 80.197 47.8114
83.496087 80.339 44.9037
83.862298 80.455 42.0372
84.228509 80.545 39.2047
84.594720 80.609 36.4251
84.960931 80.651 33.6959
85.327142 80.670 31.0242
85.693352 80.670 28.4200
86.059563 80.652 25.8611
86.425774 80.616 23.3474
86.791985 80.561 20.8893
87.158196 80.488 18.4799
87.524407 80.397 16.1310
87.890618 80.290 13.8395
88.256829 80.166 11.5885
88.623040 80.022 9.3937
88.989251 79.859 7.2630
89.355462 79.676 5.2010
89.721672 79.473 3.2277
90.087883 79.253 1.3354
90.454094 79.011 -0.4724
90.820305 78.747 -2.1661
91.186516 78.462 -3.7347
91.552727 78.156 -5.1540
91.918938 77.831 -6.4020
92.285149 77.489 -7.4818
92.651360 77.127 -8.3632
93.017571 76.750 -9.0111
93.383781 76.359 -9.4073
93.749992 75.959 -9.5155
94.116203 75.558 -9.3266
94.482414 75.158 -8.8380
94.848625 74.763 -8.0137
95.214836 74.386 -6.8432
95.581047 74.033 -5.3289
95.947258 73.717 -3.4867
96.313469 73.447 -1.3760
96.679680 73.228 0.9553
97.045891 73.067 3.4601
97.412101 72.969 6.0632
97.778312 72.937 8.6815
98.144523 72.968 11.2174
98.510734 73.055 13.5909
98.876945 73.187 15.7577
99.243156 73.358 17.6926
99.609367 73.560 19.3785
99.975578 73.786 20.7920
100.341789 74.025 21.9277
100.708000 74.271 22.8005
101.074211 74.517 23.4340
101.440421 74.758 23.8641
101.806632 74.995 24.1059
102.172843 75.223 24.1662
102.539054 75.439 24.0721
102.905265 75.641 23.8462
103.271476 75.827 23.5187
103.637687 76.001 23.1169
104.003898 76.161 22.6399
104.370109 76.308 22.0998
104.736320 76.440 21.5162
105.102531 76.559 20.9023
105.468741 76.664 20.2839
105.834952 76.761 19.6649
106.201163 76.848 19.0373
106.567374 76.927 18.4122
106.933585 76.998 17.7927
107.299796 77.061 17.1873
107.666007 77.120 16.6064
108.032218 77.176 16.0329
108.398429 77.229 15.4609
108.764640 77.278 14.8948
109.130851 77.324 14.3304
109.497061 77.367 13.7771
109.863272 77.410 13.2272
110.229483 77.452 12.6625
110.595694 77.491 12.0876
110.961905 77.527 11.5011
111.328116 77.558 10.9070
111.694327 77.587 10.3145
112.060538 77.613 9.7095
112.426749 77.635 9.0907
112.792960 77.652 8.4677
113.159171 77.663 7.8417
113.525381 77.668 7.2279
113.891592 77.670 6.6273
114.257803 77.668 6.0292
114.624014 77.661 5.4441
114.990225 77.648 4.8761
115.356436 77.631 4.3331
115.722647 77.611 3.8274
116.088858 77.589 3.3465
116.455069 77.566 2.8882
116.821280 77.540 2.4605
117.187490 77.514 2.0610
117.553701 77.487 1.6991
117.919912 77.463 1.3692
118.286123 77.441 1.0537
118.652334 77.420 0.7558
119.018545 77.402 0.4720
119.384756 77.385 0.2013
119.750967 77.371 -0.0527
120.117178 77.362 -0.3101
120.483389 77.355 -0.5779
120.849600 77.349 -0.8530
121.215810 77.345 -1.1407
121.582021 77.341 -1.4329
121.948232 77.339 -1.7359
122.314443 77.338 -2.0645
122.680654 77.335 -2.4115
123.046865 77.331 -2.7759
123.413076 77.323 -3.1525
123.779287 77.314 -3.5314
124.145498 77.303 -3.9251
124.511709 77.288 -4.3323
124.877920 77.269 -4.7421
125.244130 77.246 -5.1516
125.610341 77.217 -5.5458
125.976552 77.187 -5.9253
126.342763 77.153 -6.2992
126.708974 77.114 -6.6562
127.075185 77.072 -6.9925
127.441396 77.027 -7.3004
127.807607 76.979 -7.5685
128.173818 76.931 -7.8095
128.540029 76.882 -8.0238
128.906240 76.832 -8.2034
129.272450 76.782 -8.3496
129.638661 76.732 -8.4513
130.004872 76.685 -8.5143
130.371083 76.641 -8.5539
130.737294 76.600 -8.5649
131.103505 76.562 -8.5499
131.469716 76.528 -8.5078
131.835927 76.499 -8.4359
132.202138 76.476 -8.3536
132.568349 76.458 -8.2667
132.934560 76.446 -8.1734
133.300770 76.438 -8.0793
133.666981 76.435 -7.9794
134.033192 76.439 -7.8845
134.399403 76.449 -7.8109
134.765614 76.463 -7.7558
135.131825 76.480 -7.7221
135.498036 76.501 -7.7078
135.864247 76.526 -7.7114
136.230458 76.555 -7.7490
136.596669 76.586 -7.8228
136.962880 76.618 -7.9291
137.329090 76.649 -8.0672
137.695301 76.681 -8.2287
138.061512 76.715 -8.4207
138.427723 76.747 -8.6504
138.793934 76.777 -8.9115
139.160145 76.805 -9.2012
139.526356 76.830 -9.5102
139.892567 76.853 -9.8348
140.258778 76.873 -10.1838
140.624989 76.890 -10.5528
140.991199 76.903 -10.9367
141.357410 76.911 -11.3290
141.723621 76.915 -11.7179
142.089832 76.916 -12.1087
142.456043 76.914 -12.5034
142.822254 76.908 -12.8964
143.188465 76.898 -13.2853
143.554676 76.884 -13.6560
143.920887 76.868 -14.0070
144.287098 76.851 -14.3499
144.653309 76.831 -14.6773
145.019519 76.810 -14.9882
145.385730 76.786 -15.2806
145.751941 76.762 -15.5432
146.118152 76.740 -15.7880
146.484363 76.718 -16.0215
146.850574 76.696 -16.2366
147.216785 76.676 -16.4379
147.582996 76.656 -16.6187
147.949207 76.640 -16.7793
148.315418 76.627 -16.9368
148.681629 76.616 -17.0917
149.047839 76.608 -17.2445
149.414050 76.602 -17.3962
149.780261 76.599 -17.5423
150.146472 76.600 -17.6959
150.512683 76.604 -17.8642
