* Measurement data measured by REW V5.40 beta 135
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 11, 2026, 4:02:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L-SP B = X801 
* Measurement: LX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 60.452 22.1412
15.380859 68.129 9.7193
15.747070 70.307 3.1142
16.113281 70.919 6.8017
16.479492 71.708 9.3920
16.845703 72.056 8.2086
17.211914 72.459 8.2246
17.578125 73.152 7.7424
17.944336 73.629 7.7656
18.310547 74.064 8.9818
18.676758 74.436 9.0476
19.042968 74.652 8.9495
19.409179 74.938 9.0741
19.775390 75.155 8.8889
20.141601 75.237 9.4080
20.507812 75.312 9.8756
20.874023 75.317 9.8117
21.240234 75.375 9.9935
21.606445 75.554 9.9750
21.972656 75.717 10.1021
22.338867 75.896 10.6133
22.705077 76.053 10.7267
23.071288 76.144 10.8218
23.437499 76.258 10.9760
23.803710 76.329 10.9783
24.169921 76.321 11.3226
24.536132 76.269 11.6199
24.902343 76.104 11.6756
25.268554 75.870 11.8712
25.634765 75.586 11.9198
26.000976 75.177 12.0687
26.367187 74.683 12.4665
26.733397 74.086 12.5790
27.099608 73.368 12.7148
27.465819 72.625 12.8743
27.832030 71.828 12.8582
28.198241 71.026 13.2322
28.564452 70.391 13.5230
28.930663 70.015 13.5581
29.296874 70.111 13.8096
29.663085 70.682 13.7976
30.029296 71.482 13.9507
30.395507 72.384 14.3394
30.761717 73.232 14.4517
31.127928 73.963 14.6259
31.494139 74.624 14.7718
31.860350 75.174 14.8314
32.226561 75.629 15.1162
32.592772 76.020 15.3346
32.958983 76.325 15.4623
33.325194 76.593 15.6592
33.691405 76.829 15.7478
34.057616 77.003 15.9227
34.423827 77.133 16.1907
34.790037 77.193 16.3321
35.156248 77.173 16.5113
35.522459 77.098 16.6606
35.888670 76.933 16.7657
36.254881 76.678 17.0212
36.621092 76.338 17.2179
36.987303 75.886 17.3600
37.353514 75.357 17.5571
37.719725 74.761 17.6409
38.085936 74.081 17.8250
38.452147 73.362 18.1035
38.818357 72.596 18.2311
39.184568 71.813 18.4301
39.550779 71.090 18.5559
39.916990 70.418 18.6174
40.283201 69.848 18.9429
40.649412 69.419 19.1394
41.015623 69.107 19.2739
41.381834 68.986 19.4860
41.748045 69.032 19.4975
42.114256 69.184 19.7186
42.480467 69.455 20.0246
42.846677 69.766 20.1316
43.212888 70.113 20.3446
43.579099 70.520 20.4546
43.945310 70.932 20.5489
44.311521 71.372 20.8469
44.677732 71.844 21.0181
45.043943 72.332 21.1770
45.410154 72.885 21.3690
45.776365 73.488 21.4524
46.142576 74.118 21.6619
46.508786 74.782 21.8905
46.874997 75.439 22.0342
47.241208 76.086 22.2308
47.607419 76.722 22.3693
47.973630 77.313 22.5149
48.339841 77.861 22.7416
48.706052 78.353 22.9099
49.072263 78.776 23.0832
49.438474 79.143 23.2618
49.804685 79.443 23.3950
50.170896 79.670 23.5899
50.537106 79.833 23.7860
50.903317 79.918 23.9462
51.269528 79.938 24.1355
51.635739 79.901 24.2850
52.001950 79.800 24.4440
52.368161 79.648 24.6539
52.734372 79.447 24.8216
53.100583 79.196 25.0004
53.466794 78.917 25.1756
53.833005 78.609 25.3108
54.199216 78.277 25.5107
54.565426 77.936 25.7039
54.931637 77.576 25.8647
55.297848 77.215 26.0590
55.664059 76.863 26.1980
56.030270 76.512 26.3598
56.396481 76.176 26.5798
56.762692 75.847 26.7401
57.128903 75.522 26.9273
57.495114 75.219 27.0996
57.861325 74.924 27.2217
58.227536 74.637 27.4356
58.593746 74.363 27.6280
58.959957 74.078 27.7899
59.326168 73.800 27.9926
59.692379 73.530 28.1128
60.058590 73.251 28.2792
60.424801 72.983 28.5107
60.791012 72.709 28.6646
61.157223 72.431 28.8632
61.523434 72.180 29.0256
61.889645 71.939 29.1367
62.255856 71.720 29.3689
62.622066 71.533 29.5565
62.988277 71.356 29.7220
63.354488 71.218 29.9295
63.720699 71.116 30.0323
64.086910 71.030 30.2103
64.453121 70.975 30.4447
64.819332 70.920 30.5932
65.185543 70.862 30.8028
65.551754 70.818 30.9543
65.917965 70.755 31.0682
66.284176 70.680 31.3076
66.650386 70.587 31.4859
67.016597 70.449 31.6611
67.382808 70.293 31.8666
67.749019 70.109 31.9612
68.115230 69.884 32.1511
68.481441 69.636 32.3827
68.847652 69.336 32.5299
69.213863 68.992 32.7508
69.580074 68.626 32.8864
69.946285 68.206 32.9965
70.312495 67.751 33.2567
70.678706 67.252 33.4245
71.044917 66.680 33.6114
71.411128 66.083 33.8241
71.777339 65.452 33.8718
72.143550 64.797 34.0884
72.509761 64.193 34.3409
72.875972 63.662 34.4681
73.242183 63.332 34.7332
73.608394 63.342 34.8193
73.974605 63.697 34.9144
74.340815 64.407 35.2157
74.707026 65.358 35.3628
75.073237 66.416 35.5637
75.439448 67.542 35.7590
75.805659 68.654 35.8458
76.171870 69.723 36.0611
76.538081 70.747 36.2642
76.904292 71.698 36.4245
77.270503 72.589 36.6348
77.636714 73.430 36.7780
78.002925 74.207 36.9373
78.369135 74.935 37.1478
78.735346 75.609 37.3158
79.101557 76.225 37.5055
79.467768 76.800 37.6858
79.833979 77.326 37.8340
80.200190 77.806 38.0273
80.566401 78.246 38.2118
80.932612 78.637 38.3862
81.298823 78.988 38.5790
81.665034 79.303 38.7382
82.031245 79.577 38.9106
82.397455 79.819 39.1051
82.763666 80.025 39.2773
83.129877 80.196 39.4651
83.496088 80.340 39.6425
83.862299 80.455 39.8030
84.228510 80.544 39.9937
84.594721 80.610 40.1745
84.960932 80.650 40.3521
85.327143 80.670 40.5419
85.693354 80.671 40.7046
86.059565 80.651 40.8814
86.425775 80.616 41.0721
86.791986 80.561 41.2453
87.158197 80.487 41.4352
87.524408 80.398 41.6111
87.890619 80.290 41.7742
88.256830 80.165 41.9661
88.623041 80.023 42.1453
88.989252 79.858 42.3261
89.355463 79.676 42.5163
89.721674 79.474 42.6767
90.087885 79.251 42.8568
90.454095 79.012 43.0478
90.820306 78.748 43.2210
91.186517 78.461 43.4153
91.552728 78.157 43.5880
91.918939 77.831 43.7499
92.285150 77.488 43.9466
92.651361 77.129 44.1237
93.017572 76.748 44.3090
93.383783 76.359 44.5016
93.749994 75.961 44.6534
94.116205 75.556 44.8387
94.482415 75.159 45.0320
94.848626 74.764 45.2035
95.214837 74.384 45.4079
95.581048 74.035 45.5725
95.947259 73.716 45.7299
96.313470 73.447 45.9362
96.679681 73.230 46.1085
97.045892 73.065 46.3016
97.412103 72.970 46.4963
97.778314 72.938 46.6375
98.144524 72.966 46.8301
98.510735 73.056 47.0224
98.876946 73.187 47.1957
99.243157 73.357 47.4044
99.609368 73.562 47.5634
99.975579 73.784 47.7271
100.341790 74.025 47.9316
100.708001 74.273 48.1039
101.074212 74.515 48.2997
101.440423 74.760 48.4878
101.806634 74.995 48.6396
102.172844 75.221 48.8335
102.539055 75.440 49.0201
102.905266 75.640 49.1988
103.271477 75.827 49.4006
103.637688 76.002 49.5635
104.003899 76.160 49.7368
104.370110 76.308 49.9345
104.736321 76.441 50.1089
105.102532 76.557 50.3050
105.468743 76.665 50.4892
105.834954 76.761 50.6494
106.201164 76.847 50.8436
106.567375 76.928 51.0273
106.933586 76.997 51.2097
107.299797 77.061 51.4082
107.666008 77.121 51.5731
108.032219 77.175 51.7519
108.398430 77.229 51.9464
108.764641 77.279 52.1221
109.130852 77.323 52.3195
109.497063 77.369 52.5015
109.863274 77.410 52.6667
110.229484 77.451 52.8613
110.595695 77.492 53.0430
110.961906 77.526 53.2291
111.328117 77.558 53.4261
111.694328 77.588 53.5917
112.060539 77.612 53.7743
112.426750 77.636 53.9668
112.792961 77.652 54.1446
113.159172 77.662 54.3434
113.525383 77.670 54.5230
113.891594 77.670 54.6920
114.257804 77.668 54.8876
114.624015 77.662 55.0684
114.990226 77.647 55.2574
115.356437 77.631 55.4528
115.722648 77.612 55.6193
116.088859 77.588 55.8056
116.455070 77.567 55.9963
116.821281 77.541 56.1758
117.187492 77.513 56.3762
117.553703 77.488 56.5541
117.919914 77.462 56.7265
118.286124 77.440 56.9226
118.652335 77.421 57.1024
119.018546 77.400 57.2950
119.384757 77.385 57.4892
119.750968 77.372 57.6561
120.117179 77.361 57.8456
120.483390 77.356 58.0347
120.849601 77.349 58.2165
121.215812 77.344 58.4181
121.582023 77.342 58.5943
121.948233 77.338 58.7702
122.314444 77.338 58.9663
122.680655 77.336 59.1460
123.046866 77.329 59.3418
123.413077 77.324 59.5341
123.779288 77.314 59.7025
124.145499 77.302 59.8948
124.511710 77.289 60.0822
124.877921 77.269 60.2667
125.244132 77.245 60.4690
125.610343 77.218 60.6437
125.976553 77.186 60.8232
126.342764 77.153 61.0191
126.708975 77.115 61.1992
127.075186 77.071 61.3980
127.441397 77.027 61.5882
127.807608 76.979 61.7582
128.173819 76.930 61.9531
128.540030 76.883 62.1390
128.906241 76.832 62.3265
129.272452 76.781 62.5291
129.638663 76.733 62.7023
130.004873 76.684 62.8858
130.371084 76.642 63.0812
130.737295 76.601 63.2613
131.103506 76.561 63.4634
131.469717 76.529 63.6518
131.835928 76.499 63.8236
132.202139 76.475 64.0207
132.568350 76.460 64.2048
132.934561 76.445 64.3956
133.300772 76.438 64.5986
133.666983 76.436 64.7708
134.033193 76.438 64.9579
134.399404 76.450 65.1523
134.765615 76.463 65.3334
135.131826 76.479 65.5382
135.498037 76.502 65.7244
135.864248 76.526 65.8989
136.230459 76.554 66.0974
136.596670 76.587 66.2806
136.962881 76.617 66.4744
137.329092 76.649 66.6764
137.695303 76.682 66.8492
138.061513 76.713 67.0393
138.427724 76.748 67.2327
138.793935 76.778 67.4158
139.160146 76.804 67.6212
139.526357 76.831 67.8065
139.892568 76.852 67.9842
140.258779 76.873 68.1828
140.624990 76.891 68.3665
140.991201 76.902 68.5626
141.357412 76.911 68.7629
141.723623 76.915 68.9378
142.089833 76.915 69.1299
142.456044 76.915 69.3221
142.822255 76.908 69.5083
143.188466 76.897 69.7136
143.554677 76.885 69.8978
143.920888 76.867 70.0797
144.287099 76.851 70.2771
144.653310 76.832 70.4612
145.019521 76.809 70.6612
145.385732 76.787 70.8588
145.751942 76.763 71.0352
146.118153 76.739 71.2307
146.484364 76.719 71.4203
146.850575 76.696 71.6097
147.216786 76.675 71.8167
147.582997 76.657 71.9981
147.949208 76.639 72.1835
148.315419 76.627 72.3821
148.681630 76.617 72.5653
149.047841 76.607 72.7681
149.414052 76.602 72.9652
149.780262 76.599 73.1423
150.146473 76.599 73.3397
150.512684 76.605 73.5292
150.878895 76.610 73.7207
151.245106 76.618 73.9272
151.611317 76.629 74.1091
151.977528 76.639 74.2977
152.343739 76.655 74.4944
152.709950 76.671 74.6797
153.076161 76.685 74.8852
153.442372 76.702 75.0792
153.808582 76.717 75.2593
154.174793 76.733 75.4589
154.541004 76.750 75.6462
154.907215 76.763 75.8412
155.273426 76.776 76.0480
155.639637 76.788 76.2285
156.005848 76.795 76.4203
156.372059 76.805 76.6175
156.738270 76.809 76.8032
157.104481 76.809 77.0099
157.470692 76.808 77.2038
157.836902 76.802 77.3857
158.203113 76.793 77.5856
158.569324 76.782 77.7738
158.935535 76.764 77.9710
159.301746 76.743 78.1763
159.667957 76.716 78.3585
160.034168 76.685 78.5528
160.400379 76.651 78.7479
160.766590 76.611 78.9364
161.132801 76.566 79.1450
161.499012 76.516 79.3364
161.865222 76.460 79.5215
162.231433 76.400 79.7224
162.597644 76.337 79.9092
162.963855 76.265 80.1100
163.330066 76.190 80.3152
163.696277 76.109 80.4967
164.062488 76.022 80.6937
164.428699 75.933 80.8880
164.794910 75.837 81.0781
165.161121 75.735 81.2891
165.527332 75.630 81.4786
165.893542 75.517 81.6659
166.259753 75.403 81.8677
166.625964 75.285 82.0533
166.992175 75.160 82.2581
167.358386 75.033 82.4632
167.724597 74.900 82.6438
168.090808 74.764 82.8435
168.457019 74.628 83.0367
