* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -27.2 dBFS, measurement signal peak level -15.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:18:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP+20cm AHEAD 4.387m from front wall 3.49/3.49m from RLand L speaker  2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0038 ms (-1.3 mm, -0.05 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.7 ppm
* Measurement: R 120.green.2
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 69.297 -155.1099
15.123451 69.533 -155.9525
15.233042 69.814 -156.7416
15.343426 70.094 -157.5525
15.454611 70.364 -158.4178
15.566602 70.627 -159.2940
15.679404 70.877 -160.2469
15.793023 71.113 -161.3360
15.907466 71.338 -162.5275
16.022738 71.551 -163.8349
16.138845 71.749 -165.2889
16.255794 71.937 -166.8978
16.373590 72.114 -168.6387
16.492240 72.281 -170.4890
16.611750 72.439 -172.4727
16.732125 72.591 -174.5689
16.853373 72.738 -176.7145
16.975500 72.882 -178.9252
17.098511 73.024 178.8062
17.222414 73.165 176.5529
17.347215 73.308 174.3078
17.472920 73.451 172.0708
17.599536 73.597 169.8966
17.727069 73.744 167.7787
17.855527 73.892 165.7139
17.984915 74.041 163.7224
18.115241 74.192 161.8004
18.246512 74.340 159.9333
18.378734 74.486 158.1112
18.511914 74.629 156.3344
18.646058 74.767 154.5762
18.781175 74.898 152.8149
18.917272 75.023 151.0516
19.054354 75.139 149.2639
19.192430 75.247 147.4337
19.331506 75.346 145.5657
19.471590 75.436 143.6595
19.612689 75.517 141.6949
19.754811 75.590 139.7032
19.897962 75.657 137.6893
20.042151 75.718 135.6458
20.187385 75.776 133.6236
20.333671 75.830 131.6065
20.481017 75.883 129.6182
20.629431 75.937 127.6834
20.778920 75.991 125.7896
20.929493 76.049 123.9517
21.081157 76.110 122.1707
21.233919 76.173 120.4346
21.387789 76.241 118.7412
21.542774 76.311 117.0842
21.698882 76.385 115.4410
21.856121 76.461 113.8159
22.014499 76.538 112.1870
22.174025 76.616 110.5509
22.334708 76.694 108.9011
22.496554 76.771 107.2252
22.659573 76.848 105.5266
22.823774 76.924 103.7976
22.989164 76.999 102.0383
23.155753 77.072 100.2503
23.323549 77.144 98.4290
23.492562 77.214 96.5836
23.662798 77.282 94.7074
23.834269 77.348 92.8121
24.006982 77.411 90.8917
24.180946 77.469 88.9560
24.356171 77.524 87.0009
24.532666 77.574 85.0325
24.710440 77.620 83.0489
24.889502 77.661 81.0527
25.069862 77.699 79.0449
25.251528 77.734 77.0253
25.434511 77.768 74.9969
25.618820 77.803 72.9580
25.804465 77.841 70.9108
25.991454 77.883 68.8506
26.179799 77.931 66.7742
26.369509 77.986 64.6707
26.560593 78.047 62.5281
26.753062 78.114 60.3276
26.946926 78.185 58.0498
27.142194 78.254 55.6724
27.338878 78.320 53.1712
27.536987 78.374 50.5340
27.736531 78.414 47.7342
27.937521 78.433 44.7856
28.139968 78.427 41.6638
28.343882 78.389 38.4113
28.549273 78.319 35.0214
28.756153 78.211 31.5399
28.964532 78.065 28.0060
29.174421 77.879 24.4362
29.385831 77.654 20.9219
29.598773 77.386 17.4579
29.813258 77.080 14.1456
30.029297 76.735 10.9880
30.246902 76.352 8.0585
30.466083 75.938 5.3773
30.686853 75.493 2.9949
30.909222 75.028 0.9280
31.133203 74.546 -0.7899
31.358807 74.057 -2.1384
31.586046 73.571 -3.1334
31.814932 73.098 -3.7418
32.045476 72.651 -4.0288
32.277691 72.239 -4.0143
32.511588 71.873 -3.7429
32.747180 71.560 -3.3284
32.984480 71.304 -2.8258
33.223499 71.107 -2.3346
33.464250 70.962 -1.9529
33.706746 70.864 -1.7328
33.950999 70.802 -1.7393
34.197022 70.762 -1.9999
34.444828 70.732 -2.5222
34.694429 70.701 -3.3105
34.945839 70.656 -4.3359
35.199071 70.588 -5.5713
35.454138 70.491 -6.9789
35.711054 70.359 -8.4959
35.969831 70.193 -10.0850
36.230483 69.991 -11.7033
36.493024 69.755 -13.2785
36.757467 69.490 -14.7585
37.023827 69.200 -16.0975
37.292117 68.891 -17.2449
37.562351 68.570 -18.1703
37.834543 68.245 -18.8619
38.108708 67.923 -19.3152
38.384859 67.609 -19.5487
38.663012 67.309 -19.5992
38.943180 67.027 -19.4951
39.225378 66.765 -19.2662
39.509622 66.527 -18.9421
39.795925 66.312 -18.5408
40.084302 66.126 -18.0655
40.374770 65.970 -17.5211
40.667342 65.851 -16.9165
40.962034 65.775 -16.2738
41.258862 65.750 -15.6436
41.557841 65.782 -15.1078
41.858986 65.875 -14.7738
42.162313 66.031 -14.7651
42.467839 66.248 -15.2087
42.775578 66.519 -16.2243
43.085548 66.833 -17.8914
43.397763 67.178 -20.2428
43.712242 67.542 -23.2746
44.028998 67.913 -26.9565
44.348051 68.280 -31.2429
44.669415 68.635 -36.0840
44.993108 68.966 -41.4307
45.319147 69.269 -47.2444
45.647548 69.539 -53.4982
45.978329 69.773 -60.1762
46.311507 69.972 -67.2708
46.647099 70.136 -74.7784
46.985123 70.271 -82.6963
47.325597 70.383 -91.0182
47.668537 70.477 -99.7303
48.013963 70.561 -108.8105
48.361892 70.643 -118.2264
48.712342 70.728 -127.9366
49.065332 70.821 -137.8901
49.420880 70.924 -148.0228
49.779004 71.038 -158.2582
50.139723 71.158 -168.5082
50.503056 71.278 -178.6740
50.869022 71.389 171.3445
51.237640 71.476 161.6393
51.608929 71.526 152.2869
51.982909 71.524 143.3460
52.359598 71.459 134.8596
52.739018 71.322 126.8612
53.121186 71.108 119.3813
53.506124 70.814 112.4575
53.893852 70.441 106.1396
54.284389 69.996 100.4970
54.677756 69.484 95.6223
55.073973 68.916 91.6317
55.473062 68.302 88.6664
55.875043 67.663 86.8895
56.279936 67.023 86.4767
56.687764 66.422 87.5914
57.098547 65.920 90.3260
57.512306 65.594 94.5997
57.929064 65.525 100.0427
58.348842 65.765 105.9662
58.771662 66.311 111.5374
59.197546 67.102 116.0682
59.626515 68.052 119.1917
60.058594 69.079 120.8381
60.493803 70.121 121.1198
60.932166 71.140 120.2170
61.373706 72.107 118.3158
61.818445 73.008 115.5893
62.266407 73.832 112.1927
62.717615 74.575 108.2610
63.172093 75.234 103.9083
63.629864 75.807 99.2359
64.090952 76.296 94.3329
64.555381 76.699 89.2709
65.023176 77.019 84.1110
65.494361 77.257 78.9147
65.968960 77.413 73.7390
66.446998 77.490 68.6260
66.928501 77.487 63.6307
67.413492 77.406 58.8139
67.901998 77.246 54.2303
68.394044 77.010 49.9518
68.889655 76.698 46.0673
69.388858 76.312 42.6744
69.891679 75.859 39.9024
70.398142 75.350 37.9109
70.908276 74.802 36.8898
71.422107 74.253 37.0438
71.939661 73.758 38.5406
72.460965 73.398 41.3955
72.986047 73.264 45.3070
73.514934 73.419 49.6205
74.047654 73.866 53.4468
74.584234 74.542 56.0773
75.124702 75.351 57.1391
75.669086 76.205 56.6258
76.217416 77.037 54.7054
76.769719 77.807 51.6152
77.326024 78.488 47.5908
77.886360 79.067 42.8333
78.450757 79.535 37.5280
79.019243 79.890 31.8174
79.591849 80.129 25.8468
80.168605 80.252 19.7239
80.749539 80.262 13.5653
81.334684 80.163 7.4643
81.924068 79.957 1.5060
82.517724 79.651 -4.2269
83.115681 79.252 -9.6751
83.717972 78.766 -14.7815
84.324627 78.201 -19.5070
84.935678 77.561 -23.8215
85.551157 76.850 -27.7028
86.171096 76.068 -31.1292
86.795527 75.212 -34.0633
87.424483 74.274 -36.4380
88.057997 73.243 -38.1262
88.696102 72.109 -38.9012
89.338830 70.869 -38.3921
89.986216 69.543 -36.0386
90.638293 68.210 -31.1139
91.295096 67.045 -23.0155
91.956658 66.317 -12.0961
92.623013 66.235 -0.3918
93.294198 66.729 9.5072
93.970246 67.534 16.4212
94.651193 68.410 20.6330
95.337075 69.227 22.9210
96.027927 69.938 24.0084
96.723785 70.537 24.4399
97.424685 71.038 24.5984
98.130664 71.466 24.7414
98.841760 71.851 25.0243
99.558008 72.221 25.5101
100.279446 72.604 26.1773
101.006112 73.023 26.9328
101.738044 73.490 27.6373
102.475280 74.005 28.1394
103.217858 74.565 28.3063
103.965817 75.158 28.0432
104.719197 75.770 27.2963
105.478035 76.386 26.0474
106.242372 76.997 24.3016
107.012248 77.592 22.0789
107.787703 78.162 19.4066
108.568777 78.700 16.3171
109.355511 79.199 12.8476
110.147947 79.655 9.0386
110.946124 80.060 4.9344
111.750085 80.412 0.5833
112.559873 80.705 -3.9646
113.375528 80.937 -8.6572
114.197094 81.105 -13.4417
115.024613 81.208 -18.2652
115.858129 81.246 -23.0767
116.697684 81.219 -27.8251
117.543324 81.131 -32.4603
118.395091 80.984 -36.9343
119.253031 80.785 -41.2015
120.117188 80.539 -45.2192
120.987606 80.256 -48.9520
121.864332 79.943 -52.3741
122.747411 79.611 -55.4734
123.636890 79.271 -58.2570
124.532814 78.933 -60.7545
125.435230 78.604 -63.0171
126.344185 78.291 -65.1122
127.259727 77.992 -67.1102
128.181904 77.703 -69.0699
129.110763 77.418 -71.0271
130.046352 77.125 -72.9873
130.988722 76.818 -74.9258
131.937920 76.488 -76.7914
132.893997 76.133 -78.5159
133.857001 75.754 -80.0212
134.826984 75.355 -81.2322
135.803996 74.947 -82.0865
136.788088 74.546 -82.5499
137.779311 74.167 -82.6277
138.777717 73.828 -82.3708
139.783357 73.542 -81.8728
140.796285 73.316 -81.2490
141.816553 73.151 -80.6113
142.844214 73.041 -80.0464
143.879322 72.980 -79.6079
144.921931 72.963 -79.3222
145.972095 72.985 -79.2037
147.029869 73.043 -79.2708
148.095308 73.136 -79.5554
149.168468 73.262 -80.1046
150.249404 73.417 -80.9760
151.338173 73.592 -82.2279
152.434832 73.777 -83.9102
153.539437 73.960 -86.0577
154.652047 74.127 -88.6860
155.772720 74.265 -91.7896
156.901513 74.362 -95.3425
158.038486 74.406 -99.2999
159.183698 74.388 -103.6031
160.337209 74.304 -108.1846
161.499079 74.150 -112.9734
162.669367 73.926 -117.9025
163.848137 73.636 -122.9157
165.035448 73.286 -127.9749
166.231363 72.883 -133.0691
167.435944 72.436 -138.2205
168.649254 71.955 -143.4897
169.871356 71.445 -148.9788
171.102314 70.913 -154.8274
172.342191 70.360 -161.2084
173.591054 69.787 -168.3217
174.848966 69.198 -176.3918
176.115994 68.603 174.3413
177.392203 68.029 163.6399
178.677660 67.520 151.3159
179.972432 67.148 137.3380
181.276587 66.993 121.9685
182.590191 67.115 105.8330
183.913315 67.519 89.7712
185.246027 68.145 74.5127
186.588396 68.905 60.4573
187.940492 69.711 47.6827
189.302387 70.501 36.0831
190.674150 71.234 25.4962
192.055853 71.888 15.7676
193.447569 72.456 6.7756
194.849370 72.934 -1.5698
196.261329 73.327 -9.3337
197.683519 73.640 -16.5642
199.116016 73.883 -23.2982
200.558892 74.062 -29.5651
202.012225 74.188 -35.3879
203.476089 74.267 -40.7850
204.950560 74.311 -45.7736
206.435716 74.329 -50.3750
207.931635 74.331 -54.6221
209.438393 74.326 -58.5621
210.956070 74.321 -62.2567
212.484745 74.321 -65.7788
214.024497 74.326 -69.2042
215.575406 74.333 -72.6033
217.137555 74.336 -76.0320
218.711023 74.328 -79.5261
220.295893 74.300 -83.1010
221.892248 74.243 -86.7511
223.500171 74.149 -90.4540
225.119745 74.011 -94.1725
226.751056 73.823 -97.8535
228.394187 73.578 -101.4294
230.049226 73.275 -104.8145
231.716257 72.913 -107.9008
233.395369 72.496 -110.5597
235.086648 72.035 -112.6458
236.790182 71.552 -114.0125
238.506062 71.079 -114.5437
240.234375 70.660 -114.2073
241.975212 70.346 -113.1168
243.728664 70.179 -111.5670
245.494823 70.178 -109.9891
