* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -25.7 dBFS, measurement signal peak level -14.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:24:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP+20cm TO THE LEFT 4.186m from front wall  2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.5262 ms (180 mm, 7.11 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.6 ppm
* Measurement: R 120.green.3
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	69.218	-153.8305
15.123451	69.409	-155.0344
15.233042	69.644	-156.2668
15.343426	69.889	-157.5583
15.454611	70.139	-158.9225
15.566602	70.395	-160.3334
15.679404	70.650	-161.7961
15.793023	70.899	-163.3204
15.907466	71.145	-164.9015
16.022738	71.384	-166.5308
16.138845	71.611	-168.2068
16.255794	71.826	-169.9426
16.373590	72.030	-171.7297
16.492240	72.221	-173.5524
16.611750	72.399	-175.4287
16.732125	72.568	-177.3549
16.853373	72.728	-179.2980
16.975500	72.883	178.7298
17.098511	73.034	176.7292
17.222414	73.183	174.7422
17.347215	73.332	172.7656
17.472920	73.482	170.7965
17.599536	73.631	168.8636
17.727069	73.781	166.9651
17.855527	73.929	165.0933
17.984915	74.074	163.2472
18.115241	74.216	161.4240
18.246512	74.351	159.6100
18.378734	74.477	157.7865
18.511914	74.595	155.9471
18.646058	74.702	154.0880
18.781175	74.797	152.1914
18.917272	74.882	150.2506
19.054354	74.955	148.2940
19.192430	75.016	146.2988
19.331506	75.068	144.2802
19.471590	75.110	142.2864
19.612689	75.141	140.2843
19.754811	75.166	138.3200
19.897962	75.184	136.4200
20.042151	75.197	134.5657
20.187385	75.207	132.7973
20.333671	75.216	131.1136
20.481017	75.226	129.5079
20.629431	75.242	127.9907
20.778920	75.264	126.5566
20.929493	75.298	125.1766
21.081157	75.343	123.8665
21.233919	75.401	122.5898
21.387789	75.473	121.3337
21.542774	75.559	120.0985
21.698882	75.658	118.8439
21.856121	75.768	117.5845
22.014499	75.885	116.2944
22.174025	76.010	114.9730
22.334708	76.138	113.6195
22.496554	76.268	112.2236
22.659573	76.398	110.7928
22.823774	76.528	109.3235
22.989164	76.658	107.8167
23.155753	76.785	106.2722
23.323549	76.912	104.6888
23.492562	77.038	103.0630
23.662798	77.163	101.3935
23.834269	77.288	99.6745
24.006982	77.413	97.9019
24.180946	77.538	96.0740
24.356171	77.664	94.1831
24.532666	77.790	92.2343
24.710440	77.916	90.2212
24.889502	78.042	88.1524
25.069862	78.168	86.0271
25.251528	78.293	83.8520
25.434511	78.416	81.6299
25.618820	78.537	79.3626
25.804465	78.656	77.0510
25.991454	78.772	74.6911
26.179799	78.885	72.2761
26.369509	78.993	69.7979
26.560593	79.096	67.2404
26.753062	79.192	64.5955
26.946926	79.280	61.8409
27.142194	79.356	58.9755
27.338878	79.419	55.9723
27.536987	79.465	52.8489
27.736531	79.492	49.5749
27.937521	79.495	46.1952
28.139968	79.473	42.6819
28.343882	79.421	39.1026
28.549273	79.337	35.4481
28.756153	79.217	31.7778
28.964532	79.059	28.1257
29.174421	78.860	24.5126
29.385831	78.618	21.0144
29.598773	78.331	17.6254
29.813258	78.001	14.4241
30.029297	77.625	11.4092
30.246902	77.206	8.6384
30.466083	76.750	6.1265
30.686853	76.260	3.9235
30.909222	75.748	2.0468
31.133203	75.221	0.5403
31.358807	74.692	-0.5663
31.586046	74.173	-1.2823
31.814932	73.677	-1.5677
32.045476	73.219	-1.4979
32.277691	72.809	-1.1057
32.511588	72.457	-0.4575
