* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.9 dBFS, measurement signal peak level -14.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:05:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP 4.18m from front wall 3.32m from RLand L speaker  1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Measurement: R 120.green
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.672 -154.7611
15.123451 68.840 -155.5722
15.233042 69.046 -156.4144
15.343426 69.258 -157.3529
15.454611 69.475 -158.4187
15.566602 69.697 -159.5681
15.679404 69.919 -160.8232
15.793023 70.140 -162.2081
15.907466 70.363 -163.7110
16.022738 70.584 -165.3082
16.138845 70.800 -166.9828
16.255794 71.014 -168.7517
16.373590 71.224 -170.5864
16.492240 71.427 -172.4406
16.611750 71.624 -174.3298
16.732125 71.815 -176.2479
16.853373 71.998 -178.1511
16.975500 72.174 179.9549
17.098511 72.342 178.0588
17.222414 72.504 176.1805
17.347215 72.660 174.3185
17.472920 72.810 172.4581
17.599536 72.956 170.5970
17.727069 73.099 168.7323
17.855527 73.239 166.8565
17.984915 73.378 164.9621
18.115241 73.518 163.0440
18.246512 73.656 161.1071
18.378734 73.792 159.1514
18.511914 73.928 157.1670
18.646058 74.059 155.1756
18.781175 74.185 153.1780
18.917272 74.306 151.1639
19.054354 74.418 149.1699
19.192430 74.521 147.1798
19.331506 74.614 145.2004
19.471590 74.696 143.2651
19.612689 74.766 141.3447
19.754811 74.826 139.4684
19.897962 74.876 137.6478
20.042151 74.916 135.8670
20.187385 74.949 134.1573
20.333671 74.975 132.5095
20.481017 74.997 130.9242
20.629431 75.016 129.4117
20.778920 75.034 127.9618
20.929493 75.054 126.5576
21.081157 75.076 125.2079
21.233919 75.103 123.8783
21.387789 75.137 122.5573
21.542774 75.178 121.2390
21.698882 75.227 119.8817
21.856121 75.287 118.4983
22.014499 75.355 117.0600
22.174025 75.432 115.5661
22.334708 75.517 114.0192
22.496554 75.610 112.4102
22.659573 75.707 110.7527
22.823774 75.809 109.0503
22.989164 75.915 107.3065
23.155753 76.021 105.5348
23.323549 76.128 103.7319
23.492562 76.235 101.9114
23.662798 76.341 100.0687
23.834269 76.446 98.2127
24.006982 76.548 96.3394
24.180946 76.648 94.4535
24.356171 76.745 92.5504
24.532666 76.839 90.6330
24.710440 76.930 88.6963
24.889502 77.016 86.7414
25.069862 77.099 84.7643
25.251528 77.178 82.7640
25.434511 77.253 80.7370
25.618820 77.326 78.6801
25.804465 77.396 76.5884
25.991454 77.464 74.4553
26.179799 77.530 72.2705
26.369509 77.593 70.0229
26.560593 77.653 67.6940
26.753062 77.707 65.2710
26.946926 77.755 62.7289
27.142194 77.793 60.0609
27.338878 77.819 57.2377
27.536987 77.828 54.2739
27.736531 77.818 51.1382
27.937521 77.785 47.8774
28.139968 77.726 44.4647
28.343882 77.638 40.9726
28.549273 77.518 37.3937
28.756153 77.363 33.7938
28.964532 77.173 30.2083
29.174421 76.945 26.6660
29.385831 76.680 23.2447
29.598773 76.376 19.9500
29.813258 76.037 16.8638
30.029297 75.661 13.9958
30.246902 75.253 11.4093
30.466083 74.817 9.1199
30.686853 74.357 7.1816
30.909222 73.880 5.5973
31.133203 73.393 4.4042
31.358807 72.906 3.6102
31.586046 72.430 3.1888
31.814932 71.976 3.1598
32.045476 71.555 3.4340
32.277691 71.179 3.9713
32.511588 70.857 4.7009
32.747180 70.593 5.4914
32.984480 70.388 6.2742
33.223499 70.240 6.9456
33.464250 70.139 7.4225
33.706746 70.075 7.6652
33.950999 70.036 7.6328
34.197022 70.008 7.3284
34.444828 69.979 6.7627
34.694429 69.938 5.9556
34.945839 69.874 4.9597
35.199071 69.779 3.8146
35.454138 69.647 2.5746
35.711054 69.477 1.3158
35.969831 69.268 0.0815
36.230483 69.020 -1.0771
36.493024 68.738 -2.0898
36.757467 68.427 -2.9119
37.023827 68.095 -3.5017
37.292117 67.749 -3.8210
37.562351 67.400 -3.8564
37.834543 67.057 -3.6024
38.108708 66.729 -3.0607
38.384859 66.425 -2.2531
38.663012 66.151 -1.2093
38.943180 65.911 0.0480
39.225378 65.709 1.4905
39.509622 65.550 3.0854
39.795925 65.437 4.7968
40.084302 65.374 6.5820
40.374770 65.364 8.3836
40.667342 65.411 10.1290
40.962034 65.516 11.7266
41.258862 65.678 13.0632
41.557841 65.894 14.0221
41.858986 66.159 14.4902
42.162313 66.465 14.3661
42.467839 66.805 13.5653
42.775578 67.170 12.0212
43.085548 67.553 9.7039
43.397763 67.946 6.6198
43.712242 68.345 2.8018
44.028998 68.743 -1.6976
44.348051 69.133 -6.8154
44.669415 69.507 -12.4888
44.993108 69.854 -18.6605
45.319147 70.165 -25.2919
45.647548 70.431 -32.3666
45.978329 70.645 -39.8887
46.311507 70.802 -47.8802
46.647099 70.905 -56.3746
46.985123 70.957 -65.4102
47.325597 70.968 -75.0207
47.668537 70.952 -85.2231
48.013963 70.928 -96.0035
48.361892 70.917 -107.3008
48.712342 70.936 -118.9991
49.065332 70.998 -130.9315
49.420880 71.105 -142.9016
49.779004 71.249 -154.7200
50.139723 71.412 -166.2380
50.503056 71.573 -177.3588
50.869022 71.711 171.9643
51.237640 71.809 161.7462
51.608929 71.852 151.9879
51.982909 71.832 142.6929
52.359598 71.743 133.8760
52.739018 71.582 125.5670
53.121186 71.349 117.8090
53.506124 71.044 110.6588
53.893852 70.668 104.1822
54.284389 70.227 98.4536
54.677756 69.724 93.5551
55.073973 69.168 89.5763
55.473062 68.568 86.6168
55.875043 67.942 84.7902
56.279936 67.312 84.2217
56.687764 66.713 85.0367
57.098547 66.194 87.3219
57.512306 65.825 91.0482
57.929064 65.680 95.9653
58.348842 65.820 101.5316
58.771662 66.261 106.9990
59.197546 66.963 111.6499
59.626515 67.848 115.0156
60.058594 68.833 116.9284
60.493803 69.849 117.4440
60.932166 70.848 116.7238
61.373706 71.797 114.9565
61.818445 72.676 112.3291
62.266407 73.472 109.0143
62.717615 74.180 105.1643
63.172093 74.796 100.9108
63.629864 75.319 96.3729
64.090952 75.749 91.6581
64.555381 76.089 86.8545
65.023176 76.339 82.0398
65.494361 76.503 77.2931
65.968960 76.584 72.6883
66.446998 76.586 68.2852
66.928501 76.514 64.1556
67.413492 76.374 60.3756
67.901998 76.172 57.0162
68.394044 75.917 54.1595
68.889655 75.622 51.8929
69.388858 75.302 50.3029
69.891679 74.979 49.4721
70.398142 74.682 49.4589
70.908276 74.449 50.2756
71.422107 74.322 51.8328
71.939661 74.341 53.9190
72.460965 74.533 56.1915
72.986047 74.902 58.2258
73.514934 75.424 59.6443
74.047654 76.057 60.1602
74.584234 76.754 59.6536
75.124702 77.468 58.1074
75.669086 78.163 55.5941
76.217416 78.811 52.2188
76.769719 79.392 48.0989
77.326024 79.891 43.3580
77.886360 80.298 38.1036
78.450757 80.605 32.4528
79.019243 80.808 26.4990
79.591849 80.902 20.3548
80.168605 80.885 14.1071
80.749539 80.757 7.8607
81.334684 80.519 1.7041
81.924068 80.171 -4.2760
82.517724 79.716 -9.9911
83.115681 79.157 -15.3694
83.717972 78.497 -20.3354
84.324627 77.738 -24.8226
84.935678 76.881 -28.7592
85.551157 75.924 -32.0627
86.171096 74.863 -34.6173
86.795527 73.688 -36.2356
87.424483 72.392 -36.6078
88.057997 70.978 -35.2092
88.696102 69.489 -31.1981
89.338830 68.072 -23.4771
89.986216 67.058 -11.5006
90.638293 66.848 2.8723
91.295096 67.493 15.5366
91.956658 68.617 23.9897
92.623013 69.839 28.4816
93.294198 70.961 30.1899
93.970246 71.917 30.1453
94.651193 72.701 29.0656
95.337075 73.326 27.4359
96.027927 73.813 25.5931
96.723785 74.188 23.7792
97.424685 74.477 22.1669
98.130664 74.708 20.8712
98.841760 74.911 19.9487
99.558008 75.113 19.3920
100.279446 75.340 19.1291
101.006112 75.610 19.0327
101.738044 75.933 18.9444
102.475280 76.306 18.7084
103.217858 76.722 18.1998
103.965817 77.167 17.3394
104.719197 77.627 16.0914
105.478035 78.090 14.4531
106.242372 78.545 12.4390
107.012248 78.987 10.0706
107.787703 79.410 7.3688
108.568777 79.808 4.3523
109.355511 80.176 1.0399
110.147947 80.510 -2.5480
110.946124 80.805 -6.3862
111.750085 81.057 -10.4438
112.559873 81.259 -14.6837
113.375528 81.408 -19.0641
114.197094 81.501 -23.5391
115.024613 81.536 -28.0592
115.858129 81.511 -32.5748
116.697684 81.428 -37.0349
117.543324 81.287 -41.3881
118.395091 81.091 -45.5857
119.253031 80.845 -49.5816
120.117188 80.555 -53.3336
120.987606 80.226 -56.8067
121.864332 79.867 -59.9752
122.747411 79.487 -62.8257
123.636890 79.094 -65.3607
124.532814 78.700 -67.6017
125.435230 78.309 -69.5860
126.344185 77.928 -71.3607
127.259727 77.559 -72.9709
128.181904 77.198 -74.4473
129.110763 76.845 -75.7984
130.046352 76.495 -77.0092
130.988722 76.150 -78.0476
131.937920 75.812 -78.8763
132.893997 75.488 -79.4683
133.857001 75.187 -79.8209
134.826984 74.920 -79.9655
135.803996 74.696 -79.9675
136.788088 74.518 -79.9178
137.779311 74.387 -79.9142
138.777717 74.295 -80.0414
139.783357 74.233 -80.3562
140.796285 74.190 -80.8791
141.816553 74.154 -81.5983
142.844214 74.120 -82.4807
143.879322 74.083 -83.4855
144.921931 74.042 -84.5782
145.972095 74.000 -85.7397
147.029869 73.959 -86.9709
148.095308 73.923 -88.2928
149.168468 73.894 -89.7419
150.249404 73.872 -91.3627
151.338173 73.854 -93.2003
152.434832 73.834 -95.2925
153.539437 73.804 -97.6647
154.652047 73.755 -100.3272
155.772720 73.679 -103.2725
156.901513 73.567 -106.4755
158.038486 73.409 -109.8959
159.183698 73.202 -113.4817
160.337209 72.943 -117.1771
161.499079 72.633 -120.9286
162.669367 72.277 -124.6963
163.848137 71.879 -128.4634
165.035448 71.450 -132.2476
166.231363 70.996 -136.1079
167.435944 70.523 -140.1475
168.649254 70.033 -144.5088
169.871356 69.520 -149.3640
171.102314 68.977 -154.9054
172.342191 68.391 -161.3420
173.591054 67.751 -168.9075
174.848966 67.055 -177.8799
176.115994 66.317 171.4033
177.392203 65.588 158.5676
178.677660 64.968 143.3259
179.972432 64.608 125.8040
181.276587 64.652 106.8965
182.590191 65.142 88.1345
183.913315 65.974 70.8677
185.246027 66.985 55.6550
186.588396 68.036 42.4052
187.940492 69.042 30.7687
189.302387 69.960 20.3901
190.674150 70.773 10.9911
192.055853 71.479 2.3739
193.447569 72.082 -5.5964
194.849370 72.590 -13.0154
196.261329 73.014 -19.9541
197.683519 73.364 -26.4707
199.116016 73.649 -32.6149
200.558892 73.876 -38.4290
202.012225 74.053 -43.9469
203.476089 74.184 -49.1952
204.950560 74.276 -54.1931
206.435716 74.332 -58.9569
207.931635 74.357 -63.5045
209.438393 74.358 -67.8585
210.956070 74.337 -72.0477
212.484745 74.298 -76.1107
214.024497 74.242 -80.0928
215.575406 74.168 -84.0424
217.137555 74.070 -88.0045
218.711023 73.943 -92.0116
220.295893 73.776 -96.0759
221.892248 73.558 -100.1835
223.500171 73.278 -104.2916
225.119745 72.925 -108.3260
226.751056 72.490 -112.1779
228.394187 71.964 -115.7006
230.049226 71.345 -118.7021
231.716257 70.637 -120.9384
233.395369 69.861 -122.1146
235.086648 69.057 -121.9154
236.790182 68.297 -120.0933
238.506062 67.685 -116.6494
240.234375 67.330 -112.0416
241.975212 67.293 -107.1818
243.728664 67.546 -103.0647
245.494823 67.997 -100.3218
247.273780 68.538 -99.1038
249.065627 69.088 -99.2491
