* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 2:26:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FR Cal file effects not included LF tail from 15 Hz at 0 dB/octave No HF tail
* Measurement: R.Filter
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.000 -0.0320
0.732422 0.000 -0.0639
1.098633 0.000 -0.0959
1.464844 0.000 -0.1279
1.831055 0.000 -0.1599
2.197266 -0.000 -0.1918
2.563477 -0.000 -0.2238
2.929688 0.000 -0.2558
3.295899 -0.000 -0.2879
3.662110 0.000 -0.3199
4.028321 0.000 -0.3520
4.394532 -0.000 -0.3841
4.760743 -0.000 -0.4163
5.126954 0.000 -0.4484
5.493164 0.000 -0.4806
5.859375 0.000 -0.5129
6.225586 0.000 -0.5451
6.591797 -0.000 -0.5774
6.958008 -0.000 -0.6098
7.324219 -0.000 -0.6422
7.690430 -0.000 -0.6746
8.056641 0.000 -0.7071
8.422852 -0.000 -0.7396
8.789063 0.000 -0.7722
9.155274 0.000 -0.8049
9.521485 -0.000 -0.8376
9.887696 -0.000 -0.8703
10.253907 -0.000 -0.9032
10.620118 -0.000 -0.9361
10.986329 -0.000 -0.9690
11.352540 -0.000 -1.0020
11.718751 -0.000 -1.0352
12.084962 -0.000 -1.0683
12.451173 -0.000 -1.1016
12.817384 -0.000 -1.1349
13.183595 -0.000 -1.1683
13.549806 -0.000 -1.2018
13.916017 -0.000 -1.2355
14.282228 -0.000 -1.2691
14.648439 -0.000 -1.3029
15.014650 -0.000 -1.3368
15.380861 0.000 -1.3708
15.747072 -0.000 -1.4049
16.113283 0.000 -1.4391
16.479493 -0.000 -1.4734
16.845704 0.000 -1.5079
17.211915 -0.000 -1.5424
17.578126 0.000 -1.5771
17.944337 -0.000 -1.6119
18.310548 0.000 -1.6468
18.676759 -0.000 -1.6818
19.042970 0.000 -1.7170
19.409181 -0.000 -1.7523
19.775392 0.000 -1.7877
20.141603 -0.000 -1.8233
20.507814 0.000 -1.8590
20.874025 -0.000 -1.8949
21.240236 0.000 -1.9309
21.606447 -0.000 -1.9672
21.972658 0.000 -2.0034
22.338869 -0.000 -2.0400
22.705080 0.000 -2.0766
23.071291 -0.000 -2.1135
23.437502 0.000 -2.1505
23.803713 -0.000 -2.1877
24.169924 0.000 -2.2250
24.536135 -0.000 -2.2627
24.902346 0.000 -2.3004
25.268557 0.000 -2.3384
25.634768 0.000 -2.3765
26.000979 -0.000 -2.4149
26.367190 0.000 -2.4534
26.733401 -0.000 -2.4922
27.099612 0.000 -2.5312
27.465823 0.000 -2.5705
27.832033 0.000 -2.6098
28.198244 0.000 -2.6495
28.564455 0.000 -2.6894
28.930666 -0.000 -2.7296
29.296877 0.000 -2.7700
29.663088 -0.000 -2.8107
30.029299 0.000 -2.8515
30.395510 -0.000 -2.8928
30.761721 0.000 -2.9342
31.127932 -0.000 -2.9760
31.494143 0.000 -3.0179
31.860354 0.000 -3.0603
32.226565 0.000 -3.1029
32.592776 0.000 -3.1458
32.958987 0.000 -3.1890
33.325198 0.000 -3.2325
33.691409 0.000 -3.2763
34.057620 -0.000 -3.3206
34.423831 -0.000 -3.3650
34.790042 0.000 -3.4099
35.156253 -0.000 -3.4551
35.522464 0.000 -3.5007
35.888675 -0.000 -3.5466
36.254886 0.000 -3.5929
36.621097 0.000 -3.6396
36.987308 0.000 -3.6867
37.353519 -0.000 -3.7342
37.719730 0.000 -3.7821
38.085941 0.000 -3.8304
38.452152 0.000 -3.8792
38.818363 -0.000 -3.9284
39.184573 -0.000 -3.9781
39.550784 0.000 -4.0282
39.916995 0.000 -4.0788
40.283206 0.000 -4.1299
40.649417 -0.000 -4.1815
41.015628 0.000 -4.2336
41.381839 -0.000 -4.2862
41.748050 -0.000 -4.3394
42.114261 0.000 -4.3931
42.480472 -0.000 -4.4473
42.846683 0.000 -4.5022
43.212894 0.000 -4.5576
43.579105 -0.000 -4.6137
43.945316 0.000 -4.6703
44.311527 0.000 -4.7277
44.677738 0.000 -4.7857
45.043949 0.000 -4.8444
45.410160 0.000 -4.9038
45.776371 0.000 -4.9639
46.142582 0.000 -5.0247
46.508793 -0.000 -5.0863
46.875004 0.000 -5.1486
47.241215 0.000 -5.2118
47.607426 0.000 -5.2759
47.973637 0.000 -5.3407
48.339848 0.000 -5.4064
48.706059 0.000 -5.4731
49.072270 0.000 -5.5407
49.438481 0.000 -5.6093
49.804692 0.000 -5.6789
50.170902 0.000 -5.7494
50.537113 0.000 -5.8211
50.903324 0.000 -5.8939
51.269535 0.000 -5.9679
51.635746 0.000 -6.0430
52.001957 0.000 -6.1193
52.368168 0.000 -6.1969
52.734379 0.000 -6.2759
53.100590 0.000 -6.3562
53.466801 0.000 -6.4380
53.833012 0.000 -6.5213
54.199223 0.000 -6.6061
54.565434 0.000 -6.6926
54.931645 0.000 -6.7808
55.297856 0.000 -6.8708
55.664067 0.000 -6.9626
56.030278 0.000 -7.0564
56.396489 0.000 -7.1523
56.762700 0.000 -7.2503
57.128911 0.000 -7.3507
57.495122 0.000 -7.4535
57.861333 0.000 -7.5589
58.227544 0.000 -7.6670
58.593755 0.000 -7.7782
58.959966 0.000 -7.8925
59.326177 0.000 -8.0103
59.692388 0.000 -8.1318
60.058599 0.000 -8.2575
60.424810 0.000 -8.3877
60.791021 0.000 -8.5231
61.157232 -0.000 -8.6644
61.523442 0.000 -8.8126
61.889653 -0.000 -8.9692
62.255864 -0.000 -9.1365
62.622075 -0.000 -9.3182
62.988286 -0.001 -9.5199
63.354497 -0.005 -9.7470
63.720708 -0.013 -10.0029
64.086919 -0.030 -10.2707
64.453130 -0.057 -10.5093
64.819341 -0.091 -10.6898
65.185552 -0.125 -10.7952
65.551763 -0.155 -10.8355
65.917974 -0.179 -10.8308
66.284185 -0.194 -10.7992
66.650396 -0.200 -10.7573
67.016607 -0.196 -10.7219
67.382818 -0.184 -10.7106
67.749029 -0.162 -10.7418
68.115240 -0.132 -10.8336
68.481451 -0.099 -11.0081
68.847662 -0.065 -11.2817
69.213873 -0.036 -11.6374
69.580084 -0.018 -12.0542
69.946295 -0.007 -12.4933
70.312506 -0.003 -12.9407
70.678717 -0.001 -13.4012
71.044928 -0.000 -13.8834
71.411139 -0.001 -14.4051
71.777350 -0.002 -14.9869
72.143561 -0.007 -15.6474
72.509771 -0.020 -16.4182
72.875982 -0.047 -17.3150
73.242193 -0.101 -18.3021
73.608404 -0.190 -19.3394
73.974615 -0.314 -20.3148
74.340826 -0.470 -21.1747
74.707037 -0.646 -21.8700
75.073248 -0.836 -22.3907
75.439459 -1.034 -22.7554
75.805670 -1.235 -22.9726
76.171881 -1.438 -23.0704
76.538092 -1.641 -23.0738
76.904303 -1.851 -22.9920
77.270514 -2.071 -22.8174
77.636725 -2.309 -22.4730
78.002936 -2.555 -21.8998
78.369147 -2.802 -21.0130
78.735358 -3.032 -19.8518
79.101569 -3.234 -18.4229
79.467780 -3.403 -16.8004
79.833991 -3.533 -15.0370
80.200202 -3.625 -13.1779
80.566413 -3.678 -11.2677
80.932624 -3.692 -9.3395
81.298835 -3.670 -7.4265
81.665046 -3.611 -5.5549
82.031257 -3.517 -3.7509
82.397468 -3.390 -2.0397
82.763679 -3.230 -0.4437
83.129890 -3.040 1.0092
83.496101 -2.820 2.2919
83.862311 -2.574 3.3762
84.228522 -2.303 4.2136
84.594733 -2.011 4.7745
84.960944 -1.711 4.9969
85.327155 -1.406 4.8464
85.693366 -1.125 4.3389
86.059577 -0.873 3.4948
86.425788 -0.673 2.4585
86.791999 -0.517 1.3430
87.158210 -0.405 0.2547
87.524421 -0.317 -0.7505
87.890632 -0.250 -1.6746
88.256843 -0.190 -2.5406
88.623054 -0.139 -3.3739
88.989265 -0.095 -4.1907
89.355476 -0.060 -5.0005
89.721687 -0.035 -5.7880
90.087898 -0.019 -6.5491
90.454109 -0.009 -7.2682
90.820320 -0.004 -7.9517
91.186531 -0.002 -8.5984
91.552742 -0.001 -9.2215
91.918953 -0.000 -9.8254
92.285164 -0.000 -10.4194
92.651375 -0.000 -11.0086
93.017586 -0.000 -11.5990
93.383797 -0.000 -12.1955
93.750008 -0.000 -12.8039
94.116219 -0.000 -13.4291
94.482430 -0.001 -14.0802
94.848641 -0.003 -14.7612
95.214851 -0.007 -15.4884
95.581062 -0.014 -16.2587
95.947273 -0.029 -17.0915
96.313484 -0.053 -17.9625
96.679695 -0.090 -18.8743
97.045906 -0.141 -19.7856
97.412117 -0.204 -20.6764
97.778328 -0.279 -21.5352
98.144539 -0.359 -22.3484
98.510750 -0.444 -23.1389
98.876961 -0.532 -23.9086
99.243172 -0.624 -24.6794
99.609383 -0.721 -25.4555
99.975594 -0.824 -26.2436
100.341805 -0.936 -27.0427
100.708016 -1.058 -27.8474
101.074227 -1.194 -28.6501
101.440438 -1.342 -29.4322
101.806649 -1.505 -30.1831
102.172860 -1.683 -30.8755
102.539071 -1.872 -31.5005
102.905282 -2.073 -32.0417
103.271493 -2.283 -32.4927
103.637704 -2.500 -32.8511
104.003915 -2.721 -33.1127
104.370126 -2.948 -33.2805
104.736337 -3.176 -33.3519
105.102548 -3.406 -33.3325
105.468759 -3.636 -33.2202
105.834970 -3.865 -33.0215
106.201180 -4.093 -32.7344
106.567391 -4.319 -32.3655
106.933602 -4.542 -31.9128
107.299813 -4.762 -31.3832
107.666024 -4.978 -30.7744
108.032235 -5.189 -30.0930
108.398446 -5.395 -29.3364
108.764657 -5.596 -28.5113
109.130868 -5.790 -27.6155
109.497079 -5.978 -26.6550
109.863290 -6.159 -25.6285
110.229501 -6.332 -24.5409
110.595712 -6.497 -23.3927
110.961923 -6.653 -22.1866
111.328134 -6.801 -20.9260
111.694345 -6.938 -19.6110
112.060556 -7.064 -18.2496
112.426767 -7.180 -16.8395
112.792978 -7.283 -15.3935
113.159189 -7.374 -13.9129
113.525400 -7.451 -12.4080
113.891611 -7.516 -10.8875
114.257822 -7.568 -9.3569
114.624033 -7.607 -7.8238
114.990244 -7.634 -6.2933
115.356455 -7.648 -4.7692
115.722666 -7.652 -3.2569
116.088877 -7.644 -1.7589
116.455088 -7.624 -0.2809
116.821299 -7.594 1.1750
117.187510 -7.554 2.6030
117.553720 -7.504 4.0005
117.919931 -7.443 5.3639
118.286142 -7.374 6.6880
118.652353 -7.296 7.9728
119.018564 -7.209 9.2109
119.384775 -7.115 10.4039
119.750986 -7.014 11.5457
120.117197 -6.907 12.6353
120.483408 -6.793 13.6724
120.849619 -6.675 14.6514
121.215830 -6.552 15.5774
121.582041 -6.425 16.4431
121.948252 -6.295 17.2534
122.314463 -6.163 18.0060
122.680674 -6.029 18.7006
123.046885 -5.894 19.3428
123.413096 -5.759 19.9277
123.779307 -5.624 20.4634
124.145518 -5.489 20.9486
124.511729 -5.356 21.3862
124.877940 -5.224 21.7818
125.244151 -5.094 22.1348
125.610362 -4.966 22.4513
125.976573 -4.840 22.7330
126.342784 -4.717 22.9826
126.708995 -4.596 23.2036
127.075206 -4.477 23.3982
127.441417 -4.360 23.5680
127.807628 -4.246 23.7158
128.173839 -4.133 23.8423
128.540049 -4.022 23.9482
128.906260 -3.913 24.0353
129.272471 -3.805 24.1024
129.638682 -3.699 24.1499
130.004893 -3.593 24.1778
130.371104 -3.490 24.1850
130.737315 -3.387 24.1706
131.103526 -3.286 24.1353
131.469737 -3.186 24.0768
131.835948 -3.089 23.9951
132.202159 -2.993 23.8916
132.568370 -2.899 23.7634
132.934581 -2.808 23.6133
133.300792 -2.720 23.4411
133.667003 -2.634 23.2458
134.033214 -2.552 23.0323
134.399425 -2.474 22.7991
134.765636 -2.399 22.5484
135.131847 -2.329 22.2846
135.498058 -2.262 22.0076
135.864269 -2.200 21.7209
136.230480 -2.143 21.4281
136.596691 -2.089 21.1308
136.962902 -2.040 20.8316
137.329113 -1.996 20.5344
137.695324 -1.955 20.2406
138.061535 -1.918 19.9516
138.427746 -1.885 19.6718
138.793957 -1.855 19.4005
