* Measurement data measured by REW V5.40 beta 135
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 11, 2026, 4:23:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R B = FRX-trimmed 
* Measurement: R.Filtered
* Smoothing: None
* Frequency Step: 0.18310545 Hz
* Start Frequency: 15.563965 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.563965 68.013 -120.2410
15.747070 68.592 -143.9667
15.930176 68.436 -149.5916
16.113281 69.559 -155.8079
16.296387 70.010 -162.8613
16.479492 70.777 -166.6222
16.662598 71.468 -172.3799
16.845703 71.896 -176.0352
17.028808 72.365 -179.2901
17.211914 72.632 178.2308
17.395019 72.938 176.5339
17.578125 73.204 174.5214
17.761230 73.433 172.3517
17.944336 73.595 169.9794
18.127441 73.735 167.9625
18.310547 73.922 166.4634
18.493652 74.264 165.3226
18.676758 74.743 163.5625
18.859863 75.229 160.8196
19.042968 75.574 157.1201
19.226074 75.673 153.2488
19.409179 75.556 150.0800
19.592285 75.349 148.1700
19.775390 75.243 147.1954
19.958496 75.320 146.0176
20.141601 75.494 143.6553
20.324707 75.586 140.1447
20.507812 75.492 136.4859
20.690918 75.226 133.7942
20.874023 74.923 132.8065
21.057128 74.756 133.0728
21.240234 74.774 133.3820
21.423339 74.875 132.7500
21.606445 74.929 131.2747
21.789550 74.921 129.5439
21.972656 74.928 128.0245
22.155761 75.054 126.5242
22.338867 75.296 124.5561
22.521972 75.575 121.9399
22.705078 75.797 119.0204
22.888183 75.940 116.3669
23.071288 76.041 114.2642
23.254394 76.159 112.5456
23.437499 76.303 110.7491
23.620605 76.443 108.6151
23.803710 76.539 106.2170
23.986816 76.588 103.9326
24.169921 76.634 102.0648
24.353027 76.724 100.6683
24.536132 76.885 99.5196
24.719238 77.096 98.3251
24.902343 77.318 96.8765
25.085448 77.505 95.0829
25.268554 77.627 92.9626
25.451659 77.665 90.6192
25.634765 77.627 88.3041
25.817870 77.554 86.2771
26.000976 77.513 84.6910
26.184081 77.566 83.3609
26.367187 77.715 81.9241
26.550292 77.899 80.1212
26.733398 78.041 78.0734
26.916503 78.105 76.1156
27.099608 78.110 74.5700
27.282714 78.131 73.4277
27.465819 78.233 72.2699
27.648925 78.439 70.4789
27.832030 78.714 67.6035
28.015136 79.002 63.5395
28.198241 79.247 58.4473
28.381347 79.406 52.6282
28.564452 79.438 46.4219
28.747558 79.312 40.2072
28.930663 79.018 34.3559
29.113768 78.577 29.1920
29.296874 78.042 24.8845
29.479979 77.477 21.3702
29.663085 76.933 18.4027
29.846190 76.423 15.7252
30.029296 75.934 13.2690
30.212401 75.457 11.0959
30.395507 74.988 9.2599
30.578612 74.517 7.6536
30.761718 74.000 6.1871
30.944823 73.385 4.9606
31.127928 72.650 4.4036
31.311034 71.852 5.0121
31.494139 71.119 6.9702
31.677245 70.586 9.7589
31.860350 70.283 12.4670
32.043456 70.134 14.4666
32.226561 70.023 15.7423
32.409667 69.869 16.6497
32.592772 69.624 17.6868
32.775878 69.303 19.4254
32.958983 69.004 22.2404
33.142088 68.899 25.7563
33.325194 69.077 28.5805
33.508299 69.429 29.4224
33.691405 69.748 28.2416
33.874510 69.910 26.1885
34.057616 69.942 24.6615
34.240721 69.995 24.4335
34.423827 70.221 24.9779
34.606932 70.597 25.0189
34.790037 70.946 23.8333
34.973143 71.104 21.7521
35.156248 71.046 19.5688
35.339354 70.865 17.7819
35.522459 70.706 16.1451
35.705565 70.622 13.9076
35.888670 70.547 10.6183
36.071776 70.368 6.6002
36.254881 70.013 2.7527
36.437987 69.489 -0.0112
36.621092 68.861 -1.1411
36.804197 68.215 -0.7040
36.987303 67.609 0.8162
37.170408 67.066 2.7975
37.353514 66.590 4.7411
37.536619 66.181 6.2877
37.719725 65.826 7.4167
37.902830 65.546 8.4962
38.085936 65.406 9.9457
38.269041 65.486 11.6053
38.452147 65.743 12.7319
38.635252 65.998 12.9029
38.818357 66.061 12.5673
39.001463 65.877 12.7009
39.184568 65.552 13.9055
39.367674 65.251 15.7498
39.550779 65.015 17.0990
39.733885 64.743 17.6202
39.916990 64.399 18.3031
40.100096 64.164 20.3163
40.283201 64.307 23.0406
40.466307 64.772 24.3866
40.649412 65.167 23.6752
40.832517 65.159 22.6052
41.015623 64.766 23.8645
41.198728 64.430 28.8472
41.381834 64.655 34.7773
41.564939 65.225 37.2549
41.748045 65.549 36.0952
41.931150 65.372 34.4109
42.114256 64.959 35.6486
42.297361 64.967 40.2344
42.480467 65.676 43.8415
42.663572 66.494 43.5043
42.846677 66.822 41.2123
43.029783 66.584 40.8630
43.212888 66.333 45.2311
43.395994 66.898 51.2467
43.579099 68.125 52.0599
43.762205 69.193 46.4561
43.945310 69.700 37.4883
44.128416 69.660 28.7136
44.311521 69.361 23.2804
44.494627 69.362 22.3779
44.677732 70.087 22.9945
44.860837 71.237 21.1075
45.043943 72.228 16.3308
45.227048 72.784 10.5802
45.410154 72.953 5.7911
45.593259 73.003 2.9376
45.776365 73.252 1.3000
45.959470 73.803 -1.0275
46.142576 74.501 -5.2607
46.325681 75.154 -11.1534
46.508787 75.675 -17.8561
46.691892 76.072 -24.7592
46.874997 76.377 -31.7527
47.058103 76.597 -39.0491
47.241208 76.711 -46.8126
47.424314 76.692 -54.9402
47.607419 76.543 -63.0529
47.790525 76.296 -70.6677
47.973630 76.011 -77.3831
48.156736 75.750 -83.0388
48.339841 75.557 -87.7677
48.522947 75.459 -91.9471
48.706052 75.458 -96.1027
48.889157 75.540 -100.7549
49.072263 75.676 -106.2484
49.255368 75.841 -112.6006
49.438474 76.028 -119.5181
49.621579 76.245 -126.5439
49.804685 76.505 -133.2871
49.987790 76.806 -139.5687
50.170896 77.129 -145.4224
50.354001 77.445 -151.0127
50.537107 77.737 -156.5757
50.720212 78.000 -162.4364
50.903317 78.224 -168.9489
51.086423 78.383 -176.3480
51.269528 78.437 175.4566
51.452634 78.358 166.9200
51.635739 78.151 158.7408
51.818845 77.876 151.5378
52.001950 77.628 145.4545
52.185056 77.477 139.9343
52.368161 77.390 134.0827
52.551267 77.247 127.3884
52.734372 76.931 120.0628
52.917477 76.402 112.8254
53.100583 75.725 106.4335
53.283688 75.036 101.1628
53.466794 74.440 96.5153
53.649899 73.906 91.6867
53.833005 73.282 86.4766
54.016110 72.431 81.6310
54.199216 71.352 78.4431
54.382321 70.229 77.8501
54.565427 69.336 79.3126
54.748532 68.756 80.9142
54.931637 68.302 81.5063
55.114743 67.796 81.6671
55.297848 67.261 82.4500
55.480954 66.825 83.9203
55.664059 66.501 85.2840
55.847165 66.164 86.2964
56.030270 65.764 87.7442
56.213376 65.459 90.0202
56.396481 65.400 91.7449
56.579587 65.415 91.0906
56.762692 65.136 88.3327
56.945797 64.353 86.1342
57.128903 63.305 88.2921
57.312008 62.873 95.7288
57.495114 63.555 101.6564
57.678219 64.452 101.0417
57.861325 64.658 96.3708
58.044430 63.856 92.5219
58.227536 62.259 95.4062
58.410641 61.192 108.9494
58.593746 61.980 122.5712
58.776852 63.204 126.5504
58.959957 63.624 125.5107
59.143063 63.176 125.8572
59.326168 62.511 131.8553
59.509274 62.649 141.5805
59.692379 63.590 147.8026
59.875485 64.454 149.0923
60.058590 64.837 148.8734
60.241696 64.880 150.3815
60.424801 64.996 154.7413
60.607906 65.512 160.4943
60.791012 66.406 165.5881
60.974117 67.505 169.3733
61.157223 68.725 171.8672
61.340328 70.004 172.8760
61.523434 71.239 172.3400
61.706539 72.341 170.6786
61.889645 73.302 168.5111
62.072750 74.181 166.1614
62.255856 75.040 163.4774
62.438961 75.885 160.0964
62.622066 76.668 155.8777
62.805172 77.344 151.0242
62.988277 77.902 145.8821
63.171383 78.355 140.6766
63.354488 78.715 135.4395
63.537594 78.968 130.1584
63.720699 79.085 124.9800
63.903805 79.058 120.2955
64.086910 78.943 116.5432
64.270016 78.851 113.8266
64.453121 78.883 111.6385
64.636226 79.042 109.1452
64.819332 79.227 105.8738
65.002437 79.321 102.0898
65.185543 79.274 98.5194
65.368648 79.132 95.8450
65.551754 79.008 94.2454
65.734859 78.999 93.1891
65.917965 79.113 91.7845
66.101070 79.268 89.4408
66.284176 79.370 86.1351
66.467281 79.366 82.2260
66.650386 79.251 78.1730
66.833492 79.055 74.3542
67.016597 78.823 70.9742
67.199703 78.594 68.0109
67.382808 78.375 65.2568
67.565914 78.127 62.5087
67.749019 77.785 59.8148
67.932125 77.304 57.5904
68.115230 76.709 56.4811
68.298336 76.130 56.8809
68.481441 75.737 58.3013
68.664546 75.585 59.4498
68.847652 75.552 59.3445
69.030757 75.466 58.1473
69.213863 75.256 56.7780
69.396968 74.988 56.0286
69.580074 74.775 55.9064
69.763179 74.657 55.7333
69.946285 74.551 54.9821
70.129390 74.349 53.8735
70.312496 74.032 53.0950
70.495601 73.684 53.0714
70.678706 73.403 53.4927
70.861812 73.177 53.6945
71.044917 72.910 53.5471
71.228023 72.538 53.6797
71.411128 72.130 54.8095
71.594234 71.824 56.8014
71.777339 71.659 58.6260
71.960445 71.494 59.5767
72.143550 71.163 60.2419
72.326656 70.666 61.9973
72.509761 70.215 65.6970
72.692866 70.058 70.4791
72.875972 70.186 74.5381
73.059077 70.372 77.3325
73.242183 70.488 79.8732
73.425288 70.618 83.0985
73.608394 70.903 86.6974
73.791499 71.327 89.6468
73.974605 71.736 91.7122
74.157710 72.050 93.6808
74.340816 72.355 96.3199
74.523921 72.810 99.3729
74.707026 73.457 101.7109
74.890132 74.177 102.5795
75.073237 74.828 102.2546
75.256343 75.375 101.4918
75.439448 75.875 100.7868
75.622554 76.393 100.1093
75.805659 76.944 99.1345
75.988765 77.488 97.6695
76.171870 77.984 95.8193
76.354976 78.419 93.8370
76.538081 78.814 91.8966
76.721186 79.196 89.9789
76.904292 79.572 87.9655
77.087397 79.933 85.7825
77.270503 80.265 83.4492
77.453608 80.563 81.0249
77.636714 80.822 78.5722
77.819819 81.045 76.1786
78.002925 81.246 73.9169
78.186030 81.450 71.7557
78.369136 81.674 69.5884
78.552241 81.930 67.2331
78.735346 82.207 64.4805
78.918452 82.475 61.2480
79.101557 82.708 57.6211
79.284663 82.893 53.7444
79.467768 83.030 49.7469
79.650874 83.125 45.6916
79.833979 83.178 41.5737
80.017085 83.179 37.3841
80.200190 83.120 33.1591
80.383296 82.995 28.9772
80.566401 82.807 24.9151
80.749506 82.569 21.0114
80.932612 82.287 17.2655
81.115717 81.964 13.6767
81.298823 81.600 10.2792
81.481928 81.197 7.1432
81.665034 80.766 4.3273
81.848139 80.321 1.8240
82.031245 79.870 -0.4372
82.214350 79.406 -2.5291
82.397455 78.917 -4.4520
82.580561 78.396 -6.1128
82.763666 77.847 -7.3549
82.946772 77.295 -8.0374
83.129877 76.775 -8.1053
83.312983 76.330 -7.6467
83.496088 75.989 -6.9232
83.679194 75.755 -6.3250
83.862299 75.586 -6.1904
84.045405 75.420 -6.6246
84.228510 75.207 -7.4889
84.411615 74.924 -8.5307
84.594721 74.581 -9.5591
84.777826 74.191 -10.5539
84.960932 73.735 -11.5270
85.144037 73.175 -12.1875
85.327143 72.518 -11.8823
85.510248 71.866 -9.9723
85.693354 71.403 -6.5340
85.876459 71.253 -2.7608
86.059565 71.345 -0.0994
86.242670 71.493 1.0336
86.425775 71.584 1.1321
86.608881 71.628 0.7006
86.791986 71.667 -0.2419
86.975092 71.696 -1.9157
87.158197 71.654 -4.2372
87.341303 71.502 -6.6285
87.524408 71.272 -8.4203
87.707514 71.044 -9.4017
87.890619 70.861 -9.9121
88.073725 70.683 -10.3582
88.256830 70.453 -10.7454
88.439935 70.190 -10.9255
88.623041 69.988 -11.3396
88.806146 69.881 -13.2709
88.989252 69.754 -17.8897
89.172357 69.437 -25.2743
89.355463 68.859 -34.4120
89.538568 68.108 -43.7603
89.721674 67.425 -52.1287
89.904779 67.071 -59.9208
90.087885 67.061 -69.3093
90.270990 67.093 -82.3931
90.454095 66.867 -100.1494
90.637201 66.368 -122.8800
90.820306 65.979 -149.6371
91.003412 66.180 -176.2913
