* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:51:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Copy of R 120.green 10 sept 2026  Position MLP 4.18m from front wall 3.32m from RLand L speaker   1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Measurement: R
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.087 -153.8722
15.380859 69.185 -153.1411
15.747070 70.199 -156.9652
16.113281 70.945 -162.5312
16.479492 71.768 -169.8912
16.845703 72.449 -178.0844
17.211914 72.855 176.0295
17.578125 73.208 171.7759
17.944336 73.419 166.5601
18.310547 73.597 161.9984
18.676758 74.353 157.7379
19.042968 75.213 150.0861
19.409179 75.263 142.2365
19.775390 75.017 138.8011
20.141601 75.334 134.7702
20.507812 75.420 127.1978
20.874023 74.957 123.3781
21.240234 74.903 124.1420
21.606445 75.114 122.4370
21.972656 75.127 119.6025
22.338867 75.486 116.4362
22.705077 75.975 111.1537
23.071288 76.203 106.7399
23.437499 76.447 103.6075
23.803710 76.664 99.1229
24.169921 76.737 94.5970
24.536132 76.979 91.4256
24.902343 77.408 88.1083
25.268554 77.694 83.5484
25.634765 77.646 78.2460
26.000976 77.474 74.0414
26.367187 77.646 70.9456
26.733397 77.995 67.0074
27.099608 78.100 63.4811
27.465819 78.247 61.1647
27.832030 78.748 56.4460
28.198241 79.307 47.2455
28.564452 79.523 35.2646
28.930663 79.112 23.3219
29.296874 78.125 13.9489
29.663085 76.996 7.4580
30.029296 75.983 2.2358
30.395507 75.029 -1.8425
30.761717 74.026 -4.9397
31.127928 72.646 -6.7955
31.494139 71.081 -4.4541
31.860350 70.231 0.6885
32.226561 69.984 3.6455
32.592772 69.607 5.4302
32.958983 68.992 9.9181
33.325194 69.054 16.1216
33.691405 69.719 15.5031
34.057616 69.935 11.6360
34.423827 70.248 11.8374
34.790037 70.992 10.7327
35.156248 71.087 6.5034
35.522459 70.733 2.9873
35.888670 70.575 -2.7233
36.254881 70.058 -10.6943
36.621092 68.914 -14.5490
36.987303 67.645 -12.5369
37.353514 66.591 -8.7115
37.719725 65.805 -6.3342
38.085936 65.396 -4.1179
38.452147 65.758 -1.4390
38.818357 66.079 -1.5634
39.184568 65.546 -0.2559
39.550779 64.981 2.6915
39.916990 64.366 3.5078
40.283201 64.310 8.0002
40.649412 65.201 8.6599
41.015623 64.799 8.9514
41.381834 64.664 19.8152
41.748045 65.540 20.8757
42.114256 64.961 20.1323
42.480467 65.706 28.2205
42.846677 66.867 25.6647
43.212888 66.364 29.7359
43.579099 68.132 36.4388
43.945310 69.698 21.6071
44.311521 69.374 7.2090
44.677732 70.111 6.8904
45.043943 72.242 0.2004
45.410154 72.950 -10.4783
45.776365 73.247 -15.1766
46.142576 74.508 -21.8912
46.508786 75.690 -34.5482
46.874997 76.386 -48.5080
47.241208 76.713 -63.7077
47.607419 76.549 -80.1144
47.973630 76.028 -94.5403
48.339841 75.575 -104.9623
48.706052 75.467 -113.3777
49.072263 75.680 -123.6779
49.438474 76.038 -137.0907
49.804685 76.523 -150.9222
50.170896 77.143 -163.1068
50.537106 77.743 -174.3723
50.903317 78.230 173.1068
51.269528 78.451 157.4059
51.635739 78.167 140.6393
52.001950 77.638 127.2831
52.368161 77.394 115.7808
52.734372 76.941 101.6276
53.100583 75.743 87.9330
53.466794 74.456 77.9905
53.833005 73.286 67.8692
54.199216 71.351 59.6695
54.565426 69.345 60.3871
54.931637 68.326 62.5452
55.297848 67.285 63.5330
55.664059 66.506 66.3423
56.030270 65.751 68.6290
56.396481 65.392 72.4009
56.762692 65.155 68.8813
57.128903 63.344 68.9131
57.495114 63.582 82.3537
57.861325 64.654 76.9872
58.227536 62.238 75.7843
58.593746 61.971 102.7666
58.959957 63.647 105.6578
59.326168 62.554 112.0951
59.692379 63.622 128.1451
60.058590 64.842 129.2003
60.424801 64.985 134.9150
60.791012 66.402 145.6094
61.157223 68.738 151.8524
61.523434 71.259 152.3826
61.889645 73.315 148.6016
62.255856 75.044 143.5498
62.622066 76.671 135.9070
62.988277 77.912 125.9214
63.354488 78.733 115.5654
63.720699 79.108 105.2197
64.086910 78.979 96.8676
64.453121 78.947 92.0032
64.819332 79.330 86.2392
65.185543 79.414 78.8510
65.551754 79.176 74.4808
65.917965 79.300 71.8421
66.284176 79.572 65.9644
66.650386 79.463 57.7844
67.016597 79.035 50.4126
67.382808 78.571 44.5479
67.749019 77.954 38.9621
68.115230 76.847 35.5179
68.481441 75.845 37.3271
68.847652 75.632 38.4991
69.213863 75.306 36.1743
69.580074 74.799 35.5608
69.946285 74.561 34.8710
70.312495 74.041 33.2273
70.678706 73.419 33.9331
71.044917 72.928 34.3691
71.411128 72.141 36.0363
71.777339 71.664 40.2501
72.143550 71.172 42.3097
72.509761 70.246 48.3474
72.875972 70.254 57.9659
73.242183 70.609 64.2297
73.608394 71.103 71.9675
73.974605 72.053 77.7909
74.340815 72.827 83.0582
74.707026 74.115 88.9983
75.073237 75.681 89.9885
75.439448 76.924 88.8229
75.805659 78.191 87.3148
76.171870 79.437 84.0063
76.538081 80.488 80.0245
76.904292 81.481 75.9777
77.270503 82.427 71.2166
77.636714 83.249 65.8356
78.002925 83.950 60.3323
78.369135 84.647 54.8362
78.735346 85.429 48.2671
79.101557 86.145 39.7294
79.467768 86.641 29.9752
79.833979 86.924 19.7667
80.200190 86.967 9.2291
80.566401 86.717 -1.1665
80.932612 86.218 -10.9673
81.298823 85.512 -20.1053
81.665034 84.624 -28.1934
82.031245 83.643 -35.0307
82.397455 82.574 -41.0016
82.763666 81.350 -45.7216
83.129877 80.089 -48.1653
83.496088 79.084 -48.5500
83.862299 78.439 -49.1990
84.228510 77.797 -51.6180
84.594721 76.888 -54.4728
84.960932 75.734 -56.8987
85.327143 74.211 -57.3984
85.693354 72.806 -51.8594
86.059565 72.508 -44.9236
86.425775 72.549 -42.9096
86.791986 72.478 -43.3923
87.158197 72.336 -46.5710
87.524408 71.857 -50.0951
87.890619 71.372 -51.0350
88.256830 70.907 -51.3250
88.623041 70.381 -51.3425
88.989252 70.075 -57.3408
89.355463 69.105 -73.4117
89.721674 67.619 -90.7103
90.087885 67.220 -107.2906
90.454095 66.975 -137.4069
90.820306 66.029 173.6053
91.186517 67.019 126.3202
91.552728 69.286 104.7075
91.918939 71.693 94.0309
92.285150 73.383 83.7952
92.651361 74.458 74.2612
93.017572 75.249 64.6151
93.383783 75.669 55.6462
93.749994 75.910 49.0485
94.116205 76.208 43.7230
94.482415 76.540 38.4764
94.848626 76.810 32.6089
95.214837 76.741 26.6919
95.581048 76.376 23.2880
95.947259 76.154 22.1730
96.313470 76.164 21.4670
96.679681 76.492 20.0826
97.045892 76.874 15.5621
97.412103 76.758 9.8279
97.778314 76.384 6.0312
98.144524 75.967 2.4585
98.510735 75.173 0.2772
98.876946 74.544 2.1885
99.243157 74.355 2.9012
99.609368 73.806 2.4463
99.975579 73.214 4.7781
100.341790 72.889 6.9751
100.708001 72.394 9.7018
101.074212 72.048 15.4880
101.440423 72.151 22.3854
101.806634 72.681 28.7078
102.172844 73.467 33.3716
102.539055 74.467 36.9918
102.905266 75.682 37.5936
103.271477 76.568 35.0120
103.637688 77.105 32.4133
104.003899 77.605 29.5616
104.370110 77.905 26.2814
104.736321 78.109 24.5614
105.102532 78.442 22.8541
105.468743 78.574 20.0734
105.834954 78.489 18.2792
106.201164 78.510 17.3817
106.567375 78.631 16.5406
106.933586 78.815 16.1094
107.299797 79.042 15.7748
107.666008 79.260 15.4100
108.032219 79.490 14.6383
108.398430 79.669 13.4561
108.764641 79.828 12.6387
109.130852 80.008 12.1315
109.497063 80.198 12.3019
109.863274 80.579 12.9003
110.229484 81.137 12.3673
110.595695 81.736 10.8381
110.961906 82.386 8.2013
111.328117 82.894 3.9719
111.694328 83.121 -0.5145
112.060539 83.228 -4.4288
112.426750 83.294 -8.2678
112.792961 83.270 -11.8445
113.159172 83.175 -14.5485
113.525383 83.119 -16.0098
113.891594 83.282 -16.9886
114.257804 83.586 -19.0662
114.624015 83.819 -21.7793
114.990226 84.049 -24.3667
115.356437 84.299 -27.7678
115.722648 84.429 -32.1754
116.088859 84.424 -37.0638
116.455070 84.269 -42.0977
116.821281 83.974 -46.3632
117.187492 83.676 -49.7719
117.553703 83.350 -53.2328
117.919914 82.904 -56.3817
118.286124 82.424 -58.6635
118.652335 81.953 -60.0856
119.018546 81.556 -60.3038
119.384757 81.346 -60.2178
119.750968 81.191 -60.7445
120.117179 81.068 -61.1124
120.483390 81.133 -61.6616
120.849601 81.291 -63.5054
121.215812 81.350 -66.3562
121.582023 81.277 -69.6107
121.948233 81.083 -73.2706
122.314444 80.717 -77.3329
122.680655 80.127 -81.0553
123.046866 79.379 -83.6448
123.413077 78.533 -85.0531
123.779288 77.599 -84.9185
124.145499 76.717 -82.8748
124.511710 75.981 -79.2697
124.877921 75.511 -73.9669
125.244132 75.526 -68.4594
125.610343 75.874 -64.6879
125.976553 76.394 -62.7378
126.342764 76.924 -62.9465
126.708975 77.220 -64.0361
127.075186 77.419 -64.3998
127.441397 77.689 -65.1993
127.807608 77.879 -67.1466
128.173819 77.992 -69.2828
128.540030 78.150 -71.7063
128.906241 78.272 -74.8287
129.272452 78.251 -78.1432
129.638663 78.096 -81.1825
130.004873 77.856 -83.9725
130.371084 77.557 -86.7118
130.737295 77.175 -89.4751
131.103506 76.648 -91.8306
131.469717 76.014 -92.7643
131.835928 75.491 -92.3688
132.202139 75.081 -92.2242
132.568350 74.591 -91.9919
132.934561 74.144 -90.5975
133.300772 73.832 -88.8552
133.666983 73.583 -86.7144
134.033193 73.522 -84.5856
134.399404 73.518 -83.9465
134.765615 73.385 -83.8843
135.131826 73.226 -83.5093
135.498037 73.071 -82.6858
135.864248 72.965 -81.1523
136.230459 72.873 -79.4128
136.596670 72.761 -76.9672
136.962881 72.814 -74.5603
137.329092 72.863 -73.2753
137.695303 72.929 -71.3485
138.061513 73.264 -69.8936
138.427724 73.533 -69.7573
138.793935 73.736 -68.8689
139.160146 74.054 -68.4845
139.526357 74.232 -68.7296
139.892568 74.433 -68.4373
140.258779 74.685 -69.5562
140.624990 74.729 -71.2335
140.991201 74.878 -72.4684
141.357412 75.153 -75.1349
141.723623 75.331 -77.8181
142.089833 75.599 -79.9293
142.456044 75.733 -82.9563
142.822255 75.546 -85.1320
143.188466 75.399 -86.5231
143.554677 75.208 -89.0857
143.920888 74.834 -90.9440
144.287099 74.535 -91.5443
144.653310 74.202 -91.7201
145.019521 73.881 -90.5621
145.385732 73.728 -89.8827
145.751942 73.454 -89.8380
146.118153 73.247 -88.4425
146.484364 73.301 -87.5208
146.850575 73.312 -87.5470
147.216786 73.275 -87.3386
147.582997 73.233 -87.0094
147.949208 73.193 -86.2734
148.315419 73.193 -85.4269
148.681630 73.236 -84.5732
149.047841 73.426 -84.5371
149.414052 73.558 -85.8875
149.780262 73.611 -86.3436
150.146473 73.835 -86.7050
150.512684 73.835 -88.2335
150.878895 73.604 -88.1545
151.245106 73.656 -88.0978
151.611317 73.661 -90.0759
151.977528 73.536 -90.7516
152.343739 73.597 -90.5084
152.709950 73.581 -90.3276
153.076161 73.624 -89.2509
153.442372 73.817 -89.6914
153.808582 73.824 -90.4762
154.174793 73.970 -89.6440
154.541004 74.286 -90.0446
154.907215 74.363 -91.3759
155.273426 74.395 -92.1447
155.639637 74.572 -92.9775
156.005848 74.888 -93.6953
156.372059 75.235 -94.7791
156.738270 75.373 -95.9119
157.104481 75.475 -96.9214
157.470692 75.629 -99.7604
157.836902 75.717 -103.3572
158.203113 75.964 -106.1982
158.569324 76.254 -109.5791
158.935535 76.258 -112.7708
159.301746 76.163 -115.5139
