* Measurement data measured by REW V5.40 beta 135
* Source: 
* Format: 
* Dated: Sep 11, 2026, 4:09:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FR Cal file effects not included LF tail from 16 Hz at 0 dB/octave No HF tail
* Measurement: RFilter
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.000 -0.0336
0.732422 0.000 -0.0671
1.098633 -0.000 -0.1007
1.464844 0.000 -0.1343
1.831055 0.000 -0.1679
2.197265 -0.000 -0.2015
2.563476 -0.000 -0.2351
2.929687 0.000 -0.2688
3.295898 -0.000 -0.3025
3.662109 -0.000 -0.3362
4.028320 -0.000 -0.3699
4.394531 -0.000 -0.4037
4.760742 0.000 -0.4376
5.126953 0.000 -0.4714
5.493164 0.000 -0.5054
5.859375 0.000 -0.5394
6.225585 0.000 -0.5735
6.591796 0.000 -0.6076
6.958007 0.000 -0.6417
7.324218 -0.000 -0.6760
7.690429 -0.000 -0.7104
8.056640 -0.000 -0.7448
8.422851 -0.000 -0.7792
8.789062 0.000 -0.8139
9.155273 0.000 -0.8486
9.521484 0.000 -0.8834
9.887695 0.000 -0.9183
10.253905 0.000 -0.9534
10.620116 0.000 -0.9885
10.986327 0.000 -1.0238
11.352538 0.000 -1.0592
11.718749 0.000 -1.0949
12.084960 0.000 -1.1306
12.451171 0.000 -1.1665
12.817382 0.000 -1.2026
13.183593 0.000 -1.2389
13.549804 0.000 -1.2755
13.916015 0.000 -1.3123
14.282225 0.000 -1.3492
14.648436 0.000 -1.3865
15.014647 0.000 -1.4240
15.380858 0.000 -1.4619
15.747069 0.000 -1.5001
16.113280 0.000 -1.5387
16.479491 -0.000 -1.5777
16.845702 0.000 -1.6170
17.211913 -0.000 -1.6570
17.578124 0.000 -1.6975
17.944335 -0.000 -1.7386
18.310545 0.000 -1.7805
18.676756 -0.000 -1.8233
19.042967 0.000 -1.8671
19.409178 -0.000 -1.9121
19.775389 0.000 -1.9586
20.141600 -0.000 -2.0069
20.507811 0.000 -2.0575
20.874022 -0.000 -2.1110
21.240233 0.000 -2.1685
21.606444 -0.000 -2.2315
21.972654 0.000 -2.3026
22.338865 0.000 -2.3872
22.705076 -0.000 -2.4979
23.071287 -0.004 -2.6724
23.437498 -0.031 -2.9011
23.803709 -0.079 -2.9625
24.169920 -0.123 -2.8533
24.536131 -0.153 -2.6349
24.902342 -0.166 -2.3489
25.268553 -0.158 -2.0418
25.634764 -0.126 -1.7783
26.000974 -0.072 -1.6610
26.367185 -0.020 -1.8053
26.733396 -0.002 -2.0512
27.099607 -0.000 -2.2090
27.465818 -0.000 -2.3159
27.832029 0.000 -2.4006
28.198240 -0.000 -2.4737
28.564451 0.000 -2.5395
28.930662 -0.000 -2.6006
29.296873 0.000 -2.6583
29.663084 0.000 -2.7137
30.029294 0.000 -2.7671
30.395505 -0.000 -2.8194
30.761716 0.000 -2.8705
31.127927 -0.000 -2.9210
31.494138 0.000 -2.9708
31.860349 -0.000 -3.0203
32.226560 0.000 -3.0695
32.592771 -0.000 -3.1185
32.958982 -0.000 -3.1673
33.325193 -0.000 -3.2161
33.691404 -0.000 -3.2648
34.057614 -0.000 -3.3137
34.423825 0.000 -3.3626
34.790036 0.000 -3.4116
35.156247 -0.000 -3.4608
35.522458 0.000 -3.5102
35.888669 -0.000 -3.5598
36.254880 0.000 -3.6097
36.621091 -0.000 -3.6598
36.987302 0.000 -3.7103
37.353513 -0.000 -3.7610
37.719724 0.000 -3.8120
38.085934 0.000 -3.8635
38.452145 -0.000 -3.9152
38.818356 -0.000 -3.9674
39.184567 -0.000 -4.0200
39.550778 0.000 -4.0729
39.916989 -0.000 -4.1263
40.283200 0.000 -4.1802
40.649411 -0.000 -4.2345
41.015622 0.000 -4.2893
41.381833 -0.000 -4.3446
41.748044 -0.000 -4.4005
42.114254 0.000 -4.4568
42.480465 -0.000 -4.5137
42.846676 -0.000 -4.5712
43.212887 -0.000 -4.6293
43.579098 -0.000 -4.6879
43.945309 -0.000 -4.7472
44.311520 0.000 -4.8072
44.677731 -0.000 -4.8678
45.043942 -0.000 -4.9292
45.410153 0.000 -4.9911
45.776363 -0.000 -5.0539
46.142574 -0.000 -5.1174
46.508785 0.000 -5.1816
46.874996 -0.000 -5.2467
47.241207 -0.000 -5.3126
47.607418 -0.000 -5.3793
47.973629 -0.000 -5.4469
48.339840 -0.000 -5.5155
48.706051 -0.000 -5.5850
49.072262 -0.000 -5.6554
49.438473 0.000 -5.7268
49.804683 -0.000 -5.7993
50.170894 0.000 -5.8728
50.537105 -0.000 -5.9475
50.903316 -0.000 -6.0233
51.269527 0.000 -6.1002
51.635738 -0.000 -6.1785
52.001949 -0.000 -6.2580
52.368160 -0.000 -6.3388
52.734371 -0.000 -6.4210
53.100582 0.000 -6.5047
53.466793 -0.000 -6.5898
53.833003 0.000 -6.6765
54.199214 0.000 -6.7648
54.565425 0.000 -6.8548
54.931636 -0.000 -6.9466
55.297847 0.000 -7.0403
55.664058 0.000 -7.1359
56.030269 0.000 -7.2335
56.396480 0.000 -7.3334
56.762691 -0.000 -7.4354
57.128902 0.000 -7.5399
57.495113 0.000 -7.6470
57.861323 -0.000 -7.7567
58.227534 0.000 -7.8692
58.593745 0.000 -7.9849
58.959956 -0.000 -8.1039
59.326167 0.000 -8.2265
59.692378 0.000 -8.3529
60.058589 0.000 -8.4837
60.424800 0.000 -8.6191
60.791011 0.000 -8.7598
61.157222 0.000 -8.9066
61.523433 0.000 -9.0605
61.889643 -0.000 -9.2230
62.255854 -0.000 -9.3963
62.622065 -0.000 -9.5839
62.988276 -0.001 -9.7918
63.354487 -0.005 -10.0275
63.720698 -0.013 -10.2896
64.086909 -0.030 -10.5625
64.453120 -0.057 -10.8127
64.819331 -0.090 -10.9973
65.185542 -0.125 -11.1099
65.551753 -0.155 -11.1606
65.917963 -0.179 -11.1649
66.284174 -0.194 -11.1418
66.650385 -0.200 -11.1093
67.016596 -0.196 -11.0842
67.382807 -0.183 -11.0832
67.749018 -0.162 -11.1242
68.115229 -0.133 -11.2293
68.481440 -0.098 -11.4174
68.847651 -0.065 -11.6980
69.213862 -0.036 -12.0725
69.580072 -0.017 -12.5009
69.946283 -0.007 -12.9564
70.312494 -0.002 -13.4214
70.678705 -0.001 -13.8972
71.044916 -0.000 -14.3989
71.411127 -0.001 -14.9407
71.777338 -0.002 -15.5414
72.143549 -0.007 -16.2303
72.509760 -0.019 -17.0262
72.875971 -0.048 -17.9417
73.242182 -0.101 -18.9731
73.608392 -0.190 -20.0328
73.974603 -0.315 -21.0571
74.340814 -0.469 -21.9545
74.707025 -0.646 -22.7007
75.073236 -0.837 -23.2904
75.439447 -1.035 -23.7272
75.805658 -1.239 -24.0453
76.171869 -1.447 -24.2617
76.538080 -1.664 -24.4044
76.904291 -1.895 -24.4554
77.270502 -2.148 -24.3605
77.636712 -2.417 -24.0252
78.002923 -2.697 -23.3733
78.369134 -2.964 -22.4032
78.735345 -3.210 -21.1156
79.101556 -3.424 -19.5951
79.467767 -3.601 -17.8860
79.833978 -3.739 -16.0448
80.200189 -3.838 -14.1174
80.566400 -3.898 -12.1398
80.932611 -3.919 -10.1472
81.298822 -3.903 -8.1672
81.665032 -3.851 -6.2286
82.031243 -3.763 -4.3550
82.397454 -3.642 -2.5698
82.763665 -3.488 -0.8989
83.129876 -3.303 0.6343
83.496087 -3.088 2.0016
83.862298 -2.846 3.1673
84.228509 -2.577 4.1030
84.594720 -2.290 4.7477
84.960931 -1.987 5.0684
85.327142 -1.689 5.0249
85.693352 -1.402 4.5995
86.059563 -1.154 3.8777
86.425774 -0.948 2.9382
86.791985 -0.793 1.9311
87.158196 -0.673 0.9622
87.524407 -0.584 0.0759
87.890618 -0.506 -0.7204
88.256829 -0.438 -1.4448
88.623040 -0.372 -2.1327
88.989251 -0.309 -2.8050
89.355462 -0.247 -3.4864
89.721672 -0.189 -4.1904
90.087883 -0.136 -4.9270
90.454094 -0.092 -5.6919
90.820305 -0.056 -6.4732
91.186516 -0.032 -7.2554
91.552727 -0.017 -8.0133
91.918938 -0.008 -8.7488
92.285149 -0.004 -9.4508
92.651360 -0.002 -10.1343
93.017571 -0.001 -10.8012
93.383781 -0.000 -11.4642
93.749992 -0.000 -12.1293
94.116203 -0.000 -12.8065
94.482414 -0.001 -13.5020
94.848625 -0.003 -14.2295
95.214836 -0.007 -14.9916
95.581047 -0.015 -15.8086
95.947258 -0.029 -16.6692
96.313469 -0.053 -17.5881
96.679680 -0.090 -18.5293
97.045891 -0.141 -19.4825
97.412101 -0.205 -20.4169
97.778312 -0.279 -21.3128
98.144523 -0.360 -22.1822
98.510734 -0.447 -23.0209
98.876945 -0.537 -23.8570
99.243156 -0.634 -24.6946
99.609367 -0.737 -25.5419
99.975578 -0.852 -26.3981
100.341789 -0.979 -27.2447
100.708000 -1.118 -28.0743
101.074211 -1.271 -28.8640
101.440421 -1.436 -29.6053
101.806632 -1.613 -30.2855
102.172843 -1.800 -30.8982
102.539054 -1.996 -31.4366
102.905265 -2.199 -31.8962
103.271476 -2.410 -32.2731
103.637687 -2.625 -32.5639
104.003898 -2.846 -32.7674
104.370109 -3.069 -32.8806
104.736320 -3.295 -32.9060
105.102531 -3.522 -32.8409
105.468741 -3.748 -32.6909
105.834952 -3.974 -32.4534
106.201163 -4.198 -32.1348
106.567374 -4.420 -31.7326
106.933585 -4.639 -31.2538
107.299796 -4.854 -30.6960
107.666007 -5.065 -30.0659
108.032218 -5.271 -29.3613
108.398429 -5.472 -28.5887
108.764640 -5.667 -27.7461
109.130851 -5.856 -26.8396
109.497061 -6.038 -25.8678
109.863272 -6.213 -24.8361
110.229483 -6.381 -23.7443
110.595694 -6.540 -22.5961
110.961905 -6.691 -21.3941
111.328116 -6.832 -20.1397
111.694327 -6.963 -18.8388
112.060538 -7.085 -17.4906
112.426749 -7.195 -16.1046
112.792960 -7.294 -14.6797
113.159171 -7.381 -13.2266
113.525381 -7.456 -11.7492
113.891592 -7.519 -10.2544
114.257803 -7.570 -8.7494
114.624014 -7.608 -7.2388
114.990225 -7.634 -5.7283
115.356436 -7.649 -4.2228
115.722647 -7.652 -2.7259
116.088858 -7.644 -1.2431
116.455069 -7.625 0.2230
116.821280 -7.595 1.6663
117.187490 -7.554 3.0843
117.553701 -7.504 4.4720
117.919912 -7.444 5.8254
118.286123 -7.374 7.1425
118.652334 -7.296 8.4169
119.018545 -7.210 9.6497
119.384756 -7.115 10.8335
119.750967 -7.014 11.9691
120.117178 -6.907 13.0529
120.483389 -6.793 14.0817
120.849600 -6.675 15.0581
121.215810 -6.552 15.9749
121.582021 -6.425 16.8381
121.948232 -6.295 17.6420
122.314443 -6.163 18.3888
122.680654 -6.029 19.0809
123.046865 -5.894 19.7148
123.413076 -5.759 20.2985
123.779287 -5.624 20.8282
124.145498 -5.490 21.3093
124.511709 -5.356 21.7445
124.877920 -5.224 22.1342
125.244130 -5.094 22.4851
125.610341 -4.966 22.7973
125.976552 -4.841 23.0750
126.342763 -4.717 23.3217
126.708974 -4.596 23.5391
127.075185 -4.477 23.7301
127.441396 -4.361 23.8975
127.807607 -4.246 24.0418
128.173818 -4.133 24.1652
128.540029 -4.023 24.2691
128.906240 -3.913 24.3526
129.272450 -3.805 24.4171
129.638661 -3.699 24.4622
130.004872 -3.594 24.4870
130.371083 -3.490 24.4915
130.737294 -3.387 24.4754
131.103505 -3.286 24.4367
131.469716 -3.187 24.3762
131.835927 -3.089 24.2932
132.202138 -2.993 24.1857
132.568349 -2.899 24.0570
132.934560 -2.808 23.9043
133.300770 -2.720 23.7286
133.666981 -2.634 23.5334
134.033192 -2.552 23.3161
134.399403 -2.474 23.0810
134.765614 -2.399 22.8297
135.131825 -2.329 22.5624
135.498036 -2.262 22.2842
135.864247 -2.200 21.9964
136.230458 -2.143 21.7010
136.596669 -2.090 21.4019
136.962880 -2.041 21.1019
137.329090 -1.996 20.8021
137.695301 -1.955 20.5062
138.061512 -1.918 20.2171
138.427723 -1.885 19.9340
