* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:31:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of RX Cal file effects included LF tail from 15 Hz at 12 dB/octave No HF tail
* Measurement: RX-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 16.810 -136.3094
0.732422 17.171 109.0999
1.098633 12.082 -76.7290
1.464844 23.084 -178.1799
1.831055 20.096 141.8022
2.197265 24.416 -159.9263
2.563476 29.396 170.4092
2.929687 27.522 171.0303
3.295898 32.389 -174.4369
3.662109 34.074 168.9594
4.028320 34.019 179.1728
4.394531 37.459 179.0078
4.760742 37.846 170.8058
5.126953 38.932 -179.5144
5.493164 41.129 175.3834
5.859375 41.136 173.6326
6.225585 42.747 179.6296
6.591796 43.989 173.7051
6.958007 44.118 176.2801
7.324218 45.791 178.2059
7.690429 46.353 173.6674
8.056640 46.838 178.2770
8.422851 48.267 177.0097
8.789062 48.427 175.0866
9.155273 49.293 179.6630
9.521484 50.309 176.6171
9.887695 50.347 177.7766
10.253905 51.477 -179.1837
10.620116 52.018 177.6145
10.986327 52.200 -178.3822
11.352538 53.388 -177.6163
11.718749 53.479 -179.1825
12.084960 54.029 -173.1906
12.451171 55.017 -174.5532
12.817382 54.776 -172.1818
13.183593 55.867 -165.5291
13.549804 56.290 -167.4470
13.916015 56.093 -156.3266
14.282225 57.897 -150.5152
14.648436 56.978 -141.5217
15.014647 61.657 -107.5593
15.380858 67.765 -119.9687
15.747069 70.426 -142.3751
16.113280 71.188 -159.2045
16.479491 71.658 -169.3272
16.845702 72.181 -178.2044
17.211913 72.479 174.5839
17.578124 72.950 169.1344
17.944335 73.474 162.5250
18.310545 73.751 156.1470
18.676756 74.016 150.8767
19.042967 74.267 145.5399
19.409178 74.438 140.7997
19.775389 74.660 136.3387
20.141600 74.797 131.5484
20.507811 74.822 127.6185
20.874022 74.897 124.4545
21.240233 74.992 121.5773
21.606444 75.157 119.2118
21.972654 75.418 116.4918
22.338865 75.640 113.4066
22.705076 75.861 110.5045
23.071287 76.100 107.3789
23.437498 76.306 104.2228
23.803709 76.536 101.0862
24.169920 76.753 97.5687
24.536131 76.913 94.1017
24.902342 77.084 90.7358
25.268553 77.244 87.1954
25.634764 77.390 83.7067
26.000974 77.554 80.0266
26.367185 77.681 76.0462
26.733396 77.781 72.0714
27.099607 77.882 67.8462
27.465818 77.938 63.2793
27.832029 77.949 58.4925
28.198240 77.893 53.2813
28.564451 77.712 47.8938
28.930662 77.426 42.6702
29.296873 77.038 37.5403
29.663084 76.523 32.7728
30.029294 75.919 28.5783
30.395505 75.217 24.9112
30.761716 74.415 22.2489
31.127927 73.604 20.7662
31.494138 72.809 20.2339
31.860349 72.071 20.8298
32.226560 71.464 22.1376
32.592771 70.954 23.8282
32.958982 70.582 25.9838
33.325193 70.369 27.9111
33.691404 70.241 29.4153
34.057614 70.195 30.3925
34.423825 70.152 30.5453
34.790036 70.055 30.3737
35.156247 69.939 29.9597
35.522458 69.758 29.2679
35.888669 69.517 28.6830
36.254880 69.229 28.0845
36.621091 68.847 27.7251
36.987302 68.426 28.0485
37.353513 68.007 28.8175
37.719724 67.580 30.1650
38.085934 67.205 32.0244
38.452145 66.851 34.1059
38.818356 66.517 36.7919
39.184567 66.270 39.9142
39.550778 66.089 43.2960
39.916989 66.007 46.9754
40.283200 66.017 50.5524
40.649411 66.087 54.2197
41.015622 66.269 57.9271
41.381833 66.550 61.3621
41.748044 66.934 64.4858
42.114254 67.405 66.8833
42.480465 67.893 68.6125
42.846676 68.407 69.8245
43.212887 68.922 70.3865
43.579098 69.421 70.4911
43.945309 69.914 70.0596
44.311520 70.355 69.0675
44.677731 70.740 67.8177
45.043942 71.083 66.2880
45.410153 71.364 64.5548
45.776363 71.601 62.7563
46.142574 71.789 60.7719
46.508785 71.904 58.7825
46.874996 71.974 56.9589
47.241207 72.004 55.2436
47.607418 71.999 53.7787
47.973629 71.993 52.5072
48.339840 71.972 51.3120
48.706051 71.943 50.3362
49.072262 71.931 49.4684
49.438473 71.924 48.6216
49.804683 71.934 47.8103
50.170894 71.958 46.8156
50.537105 71.964 45.6740
50.903316 71.961 44.4640
51.269527 71.940 43.0720
51.635738 71.887 41.5971
52.001949 71.810 40.0127
52.368160 71.681 38.2646
52.734371 71.487 36.5800
53.100582 71.245 34.9932
53.466793 70.938 33.5475
53.833003 70.579 32.4112
54.199214 70.176 31.5100
54.565425 69.705 30.9706
54.931636 69.189 31.0094
55.297847 68.641 31.6001
55.664058 68.066 32.9141
56.030269 67.501 34.9857
56.396480 66.943 37.7725
56.762691 66.414 41.5454
57.128902 65.971 46.2863
57.495113 65.650 51.9641
57.861323 65.526 58.3756
58.227534 65.617 64.9719
58.593745 65.921 71.4805
58.959956 66.436 77.3891
59.326167 67.100 82.4208
59.692378 67.888 86.4484
60.058589 68.737 89.2350
60.424800 69.587 91.0075
60.791011 70.429 91.8824
61.157222 71.228 91.9405
61.523433 71.980 91.4301
61.889643 72.691 90.3338
62.255854 73.333 88.7325
62.622065 73.913 86.8172
62.988276 74.432 84.5878
63.354487 74.883 82.1566
63.720698 75.280 79.6090
64.086909 75.621 76.8906
64.453120 75.898 74.1072
64.819331 76.122 71.3223
65.185542 76.292 68.5242
65.551753 76.409 65.8154
65.917963 76.486 63.1852
66.284174 76.516 60.6135
66.650385 76.499 58.2068
67.016596 76.447 55.9604
67.382807 76.353 53.9012
67.749018 76.230 52.1047
68.115229 76.084 50.5167
68.481440 75.907 49.1874
68.847651 75.713 48.1901
69.213862 75.506 47.4974
69.580072 75.291 47.1895
69.946283 75.088 47.2613
70.312494 74.897 47.6598
70.678705 74.728 48.4634
71.044916 74.603 49.6180
71.411127 74.526 51.0797
71.777338 74.519 52.8159
72.143549 74.590 54.6322
72.509760 74.734 56.4565
72.875971 74.959 58.1833
73.242182 75.252 59.6547
73.608392 75.605 60.8411
73.974603 76.013 61.6116
74.340814 76.448 61.9104
74.707025 76.900 61.7845
75.073236 77.359 61.1951
75.439447 77.807 60.1971
75.805658 78.244 58.8306
76.171869 78.660 57.0706
76.538080 79.043 54.9997
76.904291 79.396 52.6555
77.270502 79.711 50.0520
77.636712 79.985 47.2683
78.002923 80.224 44.2999
78.369134 80.418 41.1621
78.735345 80.567 37.9308
79.101556 80.674 34.6057
79.467767 80.734 31.2236
79.833978 80.751 27.8350
80.200189 80.728 24.4167
80.566400 80.656 21.0143
80.932611 80.543 17.6736
81.298822 80.389 14.3827
81.665032 80.191 11.1962
82.031243 79.958 8.1270
82.397454 79.686 5.1533
82.763665 79.374 2.3405
83.129876 79.030 -0.3043
83.496087 78.649 -2.7838
83.862298 78.237 -5.0380
84.228509 77.800 -7.1011
84.594720 77.328 -8.9619
84.960931 76.827 -10.5476
85.327142 76.301 -11.8890
85.693352 75.746 -12.9401
86.059563 75.170 -13.6567
86.425774 74.571 -14.0850
86.791985 73.942 -14.1157
87.158196 73.297 -13.6868
87.524407 72.635 -12.7904
87.890618 71.964 -11.2735
88.256829 71.308 -9.1339
88.623040 70.667 -6.3193
88.989251 70.075 -2.6744
89.355462 69.572 1.7003
89.721672 69.183 6.7549
90.087883 68.957 12.2703
90.454094 68.901 17.8359
90.820305 69.004 23.2340
91.186516 69.257 28.1326
91.552727 69.612 32.3547
91.918938 70.044 35.8468
92.285149 70.513 38.5278
92.651360 70.984 40.5344
93.017571 71.447 41.9558
93.383781 71.883 42.8784
93.749992 72.289 43.4464
94.116203 72.666 43.6716
94.482414 73.003 43.6386
94.848625 73.304 43.4467
95.214836 73.570 43.1104
95.581047 73.801 42.7211
95.947258 74.007 42.2977
96.313469 74.185 41.8274
96.679680 74.336 41.3902
97.045891 74.468 40.9879
97.412101 74.579 40.6428
97.778312 74.679 40.4025
98.144523 74.773 40.2156
98.510734 74.857 40.1051
98.876945 74.940 40.0945
99.243156 75.024 40.1492
99.609367 75.109 40.3060
99.975578 75.207 40.5297
100.341789 75.314 40.7734
100.708000 75.431 41.0648
101.074211 75.562 41.3588
101.440421 75.703 41.6501
101.806632 75.859 41.9432
102.172843 76.031 42.1691
102.539054 76.211 42.3398
102.905265 76.402 42.4511
103.271476 76.600 42.4725
103.637687 76.804 42.4376
104.003898 77.017 42.3110
104.370109 77.232 42.0754
104.736320 77.447 41.7652
105.102531 77.664 41.3552
105.468741 77.878 40.8673
105.834952 78.092 40.3154
106.201163 78.305 39.6616
106.567374 78.513 38.9344
106.933585 78.718 38.1361
107.299796 78.917 37.2551
107.666007 79.110 36.3269
108.032218 79.301 35.3267
108.398429 79.484 34.2478
108.764640 79.660 33.1199
109.130851 79.830 31.9228
109.497061 79.990 30.6751
109.863272 80.145 29.3881
110.229483 80.293 28.0307
110.595694 80.429 26.6278
110.961905 80.558 25.1835
111.328116 80.676 23.6870
111.694327 80.783 22.1694
112.060538 80.883 20.6135
112.426749 80.970 19.0137
112.792960 81.047 17.3990
113.159171 81.113 15.7542
113.525381 81.166 14.0941
113.891592 81.209 12.4354
114.257803 81.241 10.7517
114.624014 81.260 9.0648
114.990225 81.269 7.3839
115.356436 81.266 5.6974
115.722647 81.250 4.0359
116.088858 81.225 2.3879
116.455069 81.189 0.7439
116.821280 81.140 -0.8652
117.187490 81.083 -2.4526
117.553701 81.013 -4.0086
117.919912 80.935 -5.5135
118.286123 80.850 -6.9952
118.652334 80.753 -8.4355
119.018545 80.649 -9.8212
119.384756 80.537 -11.1699
119.750967 80.416 -12.4530
120.117178 80.292 -13.6812
120.483389 80.161 -14.8718
120.849600 80.023 -15.9922
121.215810 79.882 -17.0580
121.582021 79.735 -18.0662
121.948232 79.586 -18.9951
122.314443 79.437 -19.8808
122.680654 79.284 -20.7090
123.046865 79.130 -21.4658
123.413076 78.976 -22.1789
123.779287 78.821 -22.8206
124.145498 78.671 -23.4071
124.511709 78.520 -23.9659
124.877920 78.371 -24.4631
125.244130 78.225 -24.9221
125.610341 78.079 -25.3448
125.976552 77.938 -25.7102
126.342763 77.802 -26.0649
126.708974 77.666 -26.3944
127.075185 77.533 -26.6859
127.441396 77.403 -26.9713
127.807607 77.273 -27.2168
128.173818 77.150 -27.4417
128.540029 77.026 -27.6730
128.906240 76.903 -27.8691
129.272450 76.783 -28.0551
129.638661 76.660 -28.2242
130.004872 76.541 -28.3499
130.371083 76.426 -28.4807
130.737294 76.307 -28.5903
131.103505 76.192 -28.6638
131.469716 76.077 -28.7315
131.835927 75.962 -28.7505
132.202138 75.853 -28.7457
132.568349 75.744 -28.7402
132.934560 75.635 -28.6866
133.300770 75.532 -28.6182
133.666981 75.429 -28.5236
134.033192 75.332 -28.3802
134.399403 75.241 -28.2458
134.765614 75.150 -28.0882
135.131825 75.066 -27.9017
135.498036 74.986 -27.7208
135.864247 74.909 -27.5007
136.230458 74.842 -27.2805
136.596669 74.777 -27.0815
136.962880 74.716 -26.8582
137.329090 74.662 -26.6527
137.695301 74.608 -26.4476
138.061512 74.563 -26.2277
138.427723 74.523 -26.0522
138.793934 74.482 -25.8823
139.160145 74.447 -25.7181
139.526356 74.413 -25.5872
139.892567 74.380 -25.4420
140.258778 74.355 -25.3249
140.624989 74.327 -25.2449
140.991199 74.300 -25.1581
141.357410 74.276 -25.1027
141.723621 74.249 -25.0505
142.089832 74.226 -24.9922
142.456043 74.204 -24.9776
142.822254 74.178 -24.9613
143.188465 74.155 -24.9501
143.554676 74.130 -24.9588
143.920887 74.105 -24.9423
144.287098 74.084 -24.9470
144.653309 74.059 -24.9702
145.019519 74.036 -24.9756
145.385730 74.014 -25.0030
145.751941 73.989 -25.0173
146.118152 73.969 -25.0205
146.484363 73.949 -25.0591
146.850574 73.928 -25.0854
147.216785 73.910 -25.1165
147.582996 73.890 -25.1619
147.949207 73.872 -25.1809
148.315418 73.859 -25.2269
148.681629 73.844 -25.2924
149.047839 73.832 -25.3490
149.414050 73.820 -25.4362
149.780261 73.807 -25.5165
150.146472 73.800 -25.6017
150.512683 73.792 -25.7321
