* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 10, 2026, 1:31:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R.SP B = X801 
* Measurement: RX
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 26.969 4.0900
1.464844 23.907 104.2561
1.831055 25.959 128.5073
2.197266 25.798 -126.7298
2.563477 24.395 -103.6036
2.929688 27.173 -1.8113
3.295898 22.441 31.5315
3.662109 28.031 121.1365
4.028320 21.171 178.0982
4.394531 28.392 -116.6799
4.760742 22.297 -32.2101
5.126953 28.253 5.6414
5.493164 24.837 106.6805
5.859375 27.565 129.1858
6.225586 27.224 -123.7588
6.591797 26.257 -104.1328
6.958008 29.075 1.0157
7.324219 24.382 29.8746
7.690430 30.391 123.5006
8.056641 23.017 177.8170
8.422852 31.207 -114.9647
8.789062 24.627 -28.5034
9.155273 31.525 6.5863
9.521484 28.071 111.4916
9.887695 31.295 129.2881
10.253906 31.304 -119.4801
10.620117 30.406 -104.7041
10.986328 33.997 4.5034
11.352539 28.836 30.1547
11.718750 36.259 126.2866
12.084961 28.155 -175.0291
12.451172 38.235 -112.6479
12.817383 32.308 -15.7183
13.183594 40.080 8.9338
13.549805 38.772 123.2681
13.916016 41.977 133.2009
14.282227 46.272 -107.3438
14.648438 43.676 -88.5627
15.014648 60.354 21.9944
15.380859 68.112 9.7764
15.747070 70.368 3.2334
16.113281 71.031 6.7734
16.479492 71.811 9.3262
16.845703 72.118 8.2168
17.211914 72.440 8.2441
17.578125 73.033 7.7505
17.944336 73.413 7.7419
18.310547 73.758 8.9756
18.676758 74.057 9.0632
19.042969 74.214 8.9639
19.409180 74.465 9.0791
19.775391 74.672 8.8657
20.141602 74.761 9.3958
20.507812 74.857 9.8872
20.874023 74.887 9.8218
21.240234 74.973 10.0002
21.606445 75.188 9.9688
21.972656 75.397 10.0898
22.338867 75.640 10.6123
22.705078 75.881 10.7319
23.071289 76.076 10.8271
23.437500 76.317 10.9773
23.803711 76.544 10.9800
24.169922 76.734 11.3167
24.536133 76.930 11.6101
24.902344 77.081 11.6802
25.268555 77.233 11.8696
25.634766 77.406 11.9348
26.000977 77.544 12.0896
26.367188 77.679 12.4304
26.733398 77.794 12.5662
27.099609 77.869 12.7139
27.465820 77.942 12.8699
27.832031 77.956 12.9429
28.198242 77.881 13.2188
28.564453 77.721 13.4531
28.930664 77.427 13.5657
29.296875 77.027 13.7603
29.663086 76.535 13.8401
30.029297 75.914 14.0010
30.395508 75.211 14.3230
30.761719 74.429 14.4536
31.127930 73.593 14.6206
31.494141 72.810 14.7644
31.860352 72.082 14.7881
32.226562 71.448 15.1284
32.592773 70.965 15.3818
32.958984 70.583 15.4666
33.325195 70.355 15.6838
33.691406 70.258 15.6885
34.057617 70.186 15.8704
34.423828 70.148 16.2522
34.790039 70.070 16.3501
35.156250 69.923 16.5332
35.522461 69.765 16.6555
35.888672 69.524 16.6758
36.254883 69.213 17.0420
36.621094 68.862 17.2695
36.987305 68.423 17.3669
37.353516 67.995 17.5928
37.719727 67.598 17.5657
38.085938 67.191 17.7725
38.452148 66.851 18.1719
38.818359 66.531 18.2429
39.184570 66.250 18.4602
39.550781 66.102 18.5474
39.916992 66.008 18.5413
40.283203 66.003 18.9646
40.649414 66.106 19.1663
41.015625 66.257 19.2773
41.381836 66.548 19.5015
41.748047 66.947 19.4700
42.114258 67.389 19.7070
42.480469 67.903 20.0410
42.846680 68.410 20.1333
43.212891 68.910 20.3491
43.579102 69.433 20.4514
43.945312 69.909 20.5383
44.311523 70.351 20.8523
44.677734 70.751 21.0232
45.043945 71.074 21.1777
45.410156 71.366 21.3726
45.776367 71.607 21.4387
46.142578 71.779 21.6565
46.508789 71.911 21.9043
46.875000 71.975 22.0347
47.241211 71.996 22.2437
47.607422 72.008 22.3616
47.973633 71.989 22.4841
48.339844 71.969 22.7566
48.706055 71.952 22.9194
49.072266 71.923 23.0911
49.438477 71.926 23.2771
49.804688 71.939 23.3577
50.170898 71.949 23.5806
50.537109 71.970 23.8079
50.903320 71.961 23.9465
51.269531 71.934 24.1577
51.635742 71.895 24.2717
52.001953 71.805 24.4092
52.368164 71.678 24.6721
52.734375 71.495 24.8281
53.100586 71.237 25.0125
53.466797 70.941 25.1907
53.833008 70.584 25.2683
54.199219 70.167 25.5049
54.565430 69.712 25.7263
54.931641 69.188 25.8655
55.297852 68.634 26.0930
55.664062 68.077 26.1724
56.030273 67.494 26.3088
56.396484 66.942 26.6121
56.762695 66.423 26.7463
57.128906 65.959 26.9561
57.495117 65.658 27.1226
57.861328 65.526 27.1438
58.227539 65.607 27.4338
58.593750 65.932 27.6541
58.959961 66.428 27.7922
59.326172 67.100 28.0251
59.692383 67.895 28.0908
60.058594 68.729 28.2576
60.424805 69.593 28.5212
60.791016 70.430 28.6643
61.157227 71.222 28.8662
61.523438 71.986 29.0256
61.889648 72.688 29.1416
62.255859 73.331 29.3684
62.622070 73.918 29.5527
62.988281 74.428 29.7202
63.354492 74.884 29.9163
63.720703 75.283 30.0459
64.086914 75.617 30.2244
64.453125 75.901 30.4341
64.819336 76.123 30.5942
65.185547 76.289 30.7878
65.551758 76.413 30.9509
65.917969 76.485 31.0955
66.284180 76.514 31.3040
66.650391 76.503 31.4807
67.016602 76.444 31.6560
67.382812 76.354 31.8469
67.749023 76.233 31.9834
68.115234 76.080 32.1667
68.481445 75.910 32.3696
68.847656 75.714 32.5315
69.213867 75.502 32.7288
69.580078 75.295 32.8870
69.946289 75.086 33.0337
70.312500 74.895 33.2471
70.678711 74.732 33.4194
71.044922 74.599 33.6003
71.411133 74.527 33.7908
71.777344 74.521 33.9209
72.143555 74.586 34.1116
72.509766 74.737 34.3118
72.875977 74.958 34.4753
73.242188 75.249 34.6753
73.608398 75.609 34.8291
73.974609 76.010 34.9856
74.340820 76.448 35.1931
74.707031 76.903 35.3638
75.073242 77.356 35.5481
75.439453 77.809 35.7310
75.805664 78.245 35.8787
76.171875 78.658 36.0688
76.538086 79.046 36.2568
76.904297 79.395 36.4272
77.270508 79.709 36.6187
77.636719 79.988 36.7812
78.002930 80.222 36.9497
78.369141 80.418 37.1440
78.735352 80.569 37.3171
79.101562 80.672 37.5017
79.467773 80.735 37.6814
79.833984 80.752 37.8398
80.200195 80.726 38.0281
80.566406 80.658 38.2114
80.932617 80.543 38.3867
81.298828 80.387 38.5767
81.665039 80.193 38.7385
82.031250 79.956 38.9114
82.397461 79.685 39.1057
82.763672 79.376 39.2773
83.129883 79.028 39.4658
83.496094 78.650 39.6438
83.862305 78.239 39.7996
84.228516 77.797 39.9937
84.594727 77.329 40.1753
84.960938 76.827 40.3521
85.327148 76.299 40.5486
85.693359 75.748 40.7000
86.059570 75.168 40.8743
86.425781 74.570 41.0759
86.791992 73.945 41.2427
87.158203 73.294 41.4451
87.524414 72.636 41.6172
87.890625 71.966 41.7551
88.256836 71.304 41.9670
88.623047 70.671 42.1460
88.989258 70.075 42.3289
89.355469 69.569 42.5408
89.721680 69.187 42.6587
90.087891 68.953 42.8401
90.454102 68.902 43.0564
90.820312 69.007 43.2146
91.186523 69.252 43.4353
91.552734 69.616 43.5935
91.918945 70.043 43.7288
92.285156 70.511 43.9490
92.651367 70.989 44.1228
93.017578 71.444 44.3118
93.383789 71.883 44.5115
93.750000 72.292 44.6465
94.116211 72.663 44.8354
94.482422 73.005 45.0337
94.848633 73.304 45.2029
95.214844 73.568 45.4094
95.581055 73.804 45.5723
95.947266 74.005 45.7307
96.313477 74.184 45.9363
96.679688 74.339 46.1096
97.045898 74.465 46.3003
97.412109 74.580 46.4922
97.778320 74.681 46.6409
98.144531 74.770 46.8315
98.510742 74.860 47.0220
98.876953 74.940 47.1968
99.243164 75.022 47.4001
99.609375 75.112 47.5632
99.975586 75.205 47.7300
100.341797 75.314 47.9312
100.708008 75.433 48.1047
101.074219 75.559 48.2983
101.440430 75.704 48.4861
101.806641 75.860 48.6411
102.172852 76.029 48.8340
102.539062 76.213 49.0203
102.905273 76.401 49.1990
103.271484 76.599 49.3989
103.637695 76.806 49.5637
104.003906 77.015 49.7380
104.370117 77.232 49.9343
104.736328 77.449 50.1096
105.102539 77.662 50.3037
105.468750 77.879 50.4878
105.834961 78.092 50.6511
106.201172 78.304 50.8440
106.567383 78.514 51.0278
106.933594 78.717 51.2100
107.299805 78.916 51.4053
107.666016 79.111 51.5740
108.032227 79.299 51.7539
108.398438 79.484 51.9460
108.764648 79.661 52.1235
109.130859 79.829 52.3171
109.497070 79.992 52.4998
109.863281 80.145 52.6699
110.229492 80.291 52.8613
110.595703 80.431 53.0437
110.961914 80.557 53.2290
111.328125 80.675 53.4219
111.694336 80.784 53.5933
112.060547 80.881 53.7764
112.426758 80.971 53.9663
112.792969 81.047 54.1462
113.159180 81.112 54.3401
113.525391 81.167 54.5212
113.891602 81.209 54.6953
114.257812 81.240 54.8875
114.624023 81.262 55.0696
114.990234 81.269 55.2568
115.356445 81.266 55.4485
115.722656 81.251 55.6213
116.088867 81.224 55.8074
116.455078 81.189 55.9961
116.821289 81.141 56.1775
117.187500 81.082 56.3726
117.553711 81.014 56.5530
117.919922 80.935 56.7297
118.286133 80.849 56.9224
118.652344 80.754 57.1040
119.018555 80.648 57.2939
119.384766 80.537 57.4856
119.750977 80.417 57.6584
120.117188 80.291 57.8467
120.483398 80.161 58.0349
120.849609 80.023 58.2178
121.215820 79.881 58.4150
121.582031 79.736 58.5940
121.948242 79.586 58.7722
122.314453 79.436 58.9663
122.680664 79.285 59.1475
123.046875 79.129 59.3406
123.413086 78.976 59.5320
123.779297 78.822 59.7036
124.145508 78.669 59.8950
124.511719 78.521 60.0825
124.877930 78.371 60.2671
125.244141 78.224 60.4673
125.610352 78.080 60.6438
125.976562 77.938 60.8237
126.342773 77.801 61.0190
126.708984 77.667 61.1997
127.075195 77.532 61.3972
127.441406 77.403 61.5876
127.807617 77.274 61.7585
128.173828 77.148 61.9529
128.540039 77.027 62.1394
128.906250 76.903 62.3267
129.272461 76.781 62.5286
129.638672 76.662 62.7026
130.004883 76.541 62.8857
130.371094 76.425 63.0813
130.737305 76.309 63.2617
131.103516 76.191 63.4634
131.469727 76.077 63.6521
131.835938 75.963 63.8235
132.202148 75.851 64.0205
132.568359 75.745 64.2048
132.934570 75.636 64.3958
133.300781 75.531 64.5994
133.666992 75.430 64.7708
134.033203 75.331 64.9573
134.399414 75.241 65.1521
134.765625 75.152 65.3330
135.131836 75.065 65.5396
135.498047 74.986 65.7253
135.864258 74.909 65.8977
136.230469 74.840 66.0972
136.596680 74.778 66.2793
136.962891 74.716 66.4746
137.329102 74.661 66.6787
137.695312 74.610 66.8479
138.061523 74.562 67.0386
138.427734 74.523 67.2324
138.793945 74.483 67.4141
139.160156 74.446 67.6240
139.526367 74.414 67.8074
139.892578 74.381 67.9819
140.258789 74.353 68.1833
140.625000 74.328 68.3645
140.991211 74.300 68.5632
141.357422 74.275 68.7664
141.723633 74.250 68.9358
142.089844 74.224 69.1294
142.456055 74.204 69.3218
142.822266 74.179 69.5063
143.188477 74.154 69.7173
143.554688 74.131 69.8987
143.920898 74.105 70.0771
144.287109 74.083 70.2781
144.653320 74.061 70.4590
145.019531 74.035 70.6621
145.385742 74.013 70.8625
145.751953 73.990 71.0332
146.118164 73.967 71.2302
146.484375 73.950 71.4202
146.850586 73.928 71.6082
147.216797 73.908 71.8203
147.583008 73.891 71.9988
147.949219 73.872 72.1816
148.315430 73.858 72.3823
148.681641 73.846 72.5632
149.047852 73.831 72.7695
149.414062 73.820 72.9680
149.780273 73.808 73.1401
150.146484 73.798 73.3396
150.512695 73.793 73.5278
150.878906 73.784 73.7192
151.245117 73.776 73.9309
151.611328 73.769 74.1089
151.977539 73.760 74.2959
152.343750 73.755 74.4946
152.709961 73.748 74.6770
153.076172 73.738 74.8872
153.442383 73.729 75.0818
153.808594 73.716 75.2571
154.174805 73.703 75.4590
