* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Sep 10, 2026, 1:43:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = Target LR.RMS B = LR.SP-MP Maximum gain 0.0 dB Lower frequency limit 20 Hz Upper frequency limit 80 Hz 
* Measurement: Fcommon (does nothing!)
* Smoothing: None
* Frequency Step: 0.18310547 Hz
* Start Frequency: 2.5634766 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
2.563477	0.000	0.0001
2.746582	-0.000	-0.0001
2.929688	0.000	0.0001
3.112793	-0.000	-0.0001
3.295898	0.000	0.0002
3.479004	-0.000	-0.0002
3.662109	0.000	0.0002
3.845215	-0.000	-0.0002
4.028320	0.000	0.0002
4.211426	-0.000	-0.0002
4.394531	0.000	0.0002
4.577637	-0.000	-0.0002
4.760742	0.000	0.0002
4.943848	-0.000	-0.0002
5.126953	0.000	0.0002
5.310059	-0.000	-0.0002
5.493164	0.000	0.0002
5.676270	-0.000	-0.0003
5.859375	0.000	0.0003
6.042480	-0.000	-0.0003
6.225586	0.000	0.0003
6.408691	-0.000	-0.0003
6.591797	0.000	0.0003
6.774902	-0.000	-0.0003
6.958008	0.000	0.0003
7.141113	-0.000	-0.0003
7.324219	0.000	0.0003
7.507324	-0.000	-0.0003
7.690430	0.000	0.0003
7.873535	-0.000	-0.0003
8.056641	0.000	0.0004
8.239746	-0.000	-0.0003
8.422852	0.000	0.0004
8.605957	-0.000	-0.0004
8.789062	0.000	0.0004
8.972168	-0.000	-0.0004
9.155273	0.000	0.0004
9.338379	-0.000	-0.0004
9.521484	0.000	0.0004
9.704590	-0.000	-0.0004
9.887695	0.000	0.0004
10.070801	-0.000	-0.0004
10.253906	0.000	0.0004
10.437012	-0.000	-0.0004
10.620117	0.000	0.0004
10.803223	-0.000	-0.0004
10.986328	0.000	0.0004
11.169434	-0.000	-0.0004
11.352539	0.000	0.0005
11.535645	-0.000	-0.0005
11.718750	0.000	0.0005
11.901855	-0.000	-0.0005
12.084961	0.000	0.0005
12.268066	-0.000	-0.0005
12.451172	0.000	0.0005
12.634277	-0.000	-0.0005
12.817383	0.000	0.0005
13.000488	-0.000	-0.0005
13.183594	0.000	0.0005
13.366699	-0.000	-0.0005
13.549805	0.000	0.0005
13.732910	-0.000	-0.0005
13.916016	0.000	0.0005
14.099121	-0.000	-0.0005
14.282227	0.000	0.0005
14.465332	-0.000	-0.0005
14.648438	0.000	0.0005
14.831543	-0.000	-0.0005
15.014648	0.000	0.0005
15.197754	-0.000	-0.9832
15.380859	0.000	-3.3709
15.563965	0.000	-5.7117
15.747070	-0.000	-7.9967
15.930176	0.000	-10.2214
16.113281	-0.000	-12.3577
16.296387	0.000	-14.3962
16.479492	-0.000	-16.3424
16.662598	0.000	-18.2075
16.845703	-0.000	-19.9931
17.028809	0.000	-21.7087
17.211914	-0.000	-23.3513
17.395020	0.000	-24.9260
17.578125	-0.000	-26.4273
17.761230	0.000	-27.8551
17.944336	-0.000	-29.2009
18.127441	0.000	-30.4637
18.310547	-0.000	-31.6351
18.493652	0.000	-32.7201
18.676758	-0.000	-33.7181
18.859863	0.000	-34.6358
19.042969	-0.000	-35.4751
19.226074	0.000	-36.2491
19.409180	-0.000	-36.9654
19.592285	0.000	-37.6428
19.775391	-0.000	-38.2938
19.958496	0.000	-38.9341
20.141602	-0.000	-39.5699
20.324707	0.000	-40.2146
20.507812	-0.000	-40.8707
20.690918	0.000	-41.5412
20.874023	-0.000	-42.2174
21.057129	0.000	-42.8892
21.240234	-0.000	-43.5360
21.423340	0.000	-44.1459
