* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.8 dBFS, measurement signal peak level -15.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:28:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP+20cm TO THE RIGHT 4.180m from front wall  2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0289 ms (-9.9 mm, -0.39 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.7 ppm
* Measurement: L 120.green.4
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	69.356	24.5479
15.123451	69.469	24.0587
15.233042	69.605	23.5305
15.343426	69.751	22.9048
15.454611	69.910	22.1576
15.566602	70.082	21.3273
15.679404	70.266	20.3899
15.793023	70.467	19.3270
15.907466	70.686	18.1651
16.022738	70.918	16.9155
16.138845	71.158	15.5820
16.255794	71.410	14.1724
16.373590	71.667	12.7064
16.492240	71.922	11.2000
16.611750	72.176	9.6522
16.732125	72.426	8.0699
16.853373	72.666	6.4654
16.975500	72.897	4.8353
17.098511	73.119	3.1749
17.222414	73.330	1.4847
17.347215	73.531	-0.2390
17.472920	73.723	-2.0037
17.599536	73.907	-3.8155
17.727069	74.084	-5.6809
17.855527	74.254	-7.6001
17.984915	74.420	-9.5744
18.115241	74.582	-11.6138
18.246512	74.740	-13.7069
18.378734	74.894	-15.8461
18.511914	75.045	-18.0466
18.646058	75.191	-20.2806
18.781175	75.332	-22.5441
18.917272	75.469	-24.8494
19.054354	75.599	-27.1507
19.192430	75.722	-29.4673
19.331506	75.837	-31.7854
19.471590	75.941	-34.0591
