* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:3,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.4 dBFS, measurement signal peak level -11.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 10, 2026, 11:07:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 10 sept 2026  Position MLP 4.18m from front wall 3.32m from RLand L speaker  2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0265 ms (-9.1 mm, -0.36 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Measurement: L+R 120.green
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	74.594	-153.5508
15.123451	74.816	-154.5490
15.233042	75.088	-155.5119
15.343426	75.362	-156.5100
15.454611	75.628	-157.5788
15.566602	75.888	-158.6763
15.679404	76.138	-159.8482
15.793023	76.372	-161.1405
15.907466	76.594	-162.5366
16.022738	76.804	-164.0325
16.138845	77.002	-165.6344
16.255794	77.191	-167.3597
16.373590	77.372	-169.1831
16.492240	77.547	-171.0631
16.611750	77.717	-173.0162
16.732125	77.884	-175.0307
16.853373	78.049	-177.0514
16.975500	78.213	-179.0803
17.098511	78.376	178.8766
17.222414	78.537	176.8519
17.347215	78.698	174.8468
17.472920	78.858	172.8503
17.599536	79.016	170.8668
17.727069	79.173	168.8917
17.855527	79.328	166.9211
17.984915	79.480	164.9520
18.115241	79.630	162.9738
18.246512	79.777	160.9960
18.378734	79.919	159.0229
18.511914	80.056	157.0377
18.646058	80.186	155.0658
18.781175	80.306	153.1102
18.917272	80.417	151.1545
19.054354	80.516	149.2354
19.192430	80.602	147.3371
19.331506	80.675	145.4609
19.471590	80.734	143.6365
19.612689	80.781	141.8378
19.754811	80.817	140.0839
19.897962	80.846	138.3867
20.042151	80.867	136.7310
20.187385	80.886	135.1337
20.333671	80.905	133.5962
20.481017	80.926	132.1059
20.629431	80.955	130.6661
20.778920	80.991	129.2741
20.929493	81.038	127.8937
21.081157	81.096	126.5407
21.233919	81.164	125.1764
21.387789	81.244	123.7831
21.542774	81.332	122.3634
21.698882	81.427	120.8774
21.856121	81.529	119.3368
22.014499	81.632	117.7296
22.174025	81.737	116.0480
22.334708	81.840	114.3086
22.496554	81.940	112.5038
22.659573	82.035	110.6462
22.823774	82.124	108.7503
22.989164	82.207	106.8096
23.155753	82.283	104.8495
23.323549	82.351	102.8570
23.492562	82.412	100.8544
23.662798	82.465	98.8303
23.834269	82.509	96.7995
24.006982	82.545	94.7534
24.180946	82.572	92.7008
24.356171	82.589	90.6348
24.532666	82.595	88.5613
24.710440	82.590	86.4763
24.889502	82.574	84.3836
25.069862	82.547	82.2852
25.251528	82.508	80.1829
25.434511	82.458	78.0848
25.618820	82.398	75.9917
25.804465	82.330	73.9150
25.991454	82.253	71.8537
26.179799	82.171	69.8159
26.369509	82.082	67.7982
26.560593	81.988	65.7994
26.753062	81.889	63.8140
26.946926	81.784	61.8327
27.142194	81.671	59.8519
27.338878	81.548	57.8583
27.536987	81.411	55.8620
27.736531	81.256	53.8506
27.937521	81.080	51.8597
28.139968	80.879	49.8857
28.343882	80.649	47.9898
28.549273	80.387	46.1878
28.756153	80.094	44.5492
28.964532	79.772	43.1184
29.174421	79.423	41.9612
29.385831	79.058	41.1308
29.598773	78.684	40.6875
29.813258	78.319	40.6516
30.029297	77.977	41.0456
30.246902	77.675	41.8463
30.466083	77.429	42.9724
30.686853	77.254	44.3695
30.909222	77.154	45.8623
31.133203	77.132	47.3650
31.358807	77.182	48.7348
31.586046	77.293	49.8751
31.814932	77.453	50.7337
32.045476	77.648	51.2541
32.277691	77.867	51.4347
32.511588	78.100	51.2739
32.747180	78.336	50.7841
32.984480	78.570	49.9863
33.223499	78.796	48.8959
33.464250	79.008	47.5388
33.706746	79.202	45.9331
33.950999	79.376	44.0946
34.197022	79.524	42.0536
34.444828	79.644	39.8248
34.694429	79.733	37.4250
34.945839	79.786	34.8929
35.199071	79.800	32.2492
35.454138	79.772	29.5251
35.711054	79.701	26.7755
35.969831	79.586	24.0227
36.230483	79.425	21.2939
36.493024	79.218	18.6484
36.757467	78.966	16.1277
37.023827	78.671	13.7707
37.292117	78.333	11.6307
37.562351	77.959	9.7620
37.834543	77.552	8.2058
38.108708	77.117	7.0106
38.384859	76.662	6.2186
38.663012	76.196	5.8551
38.943180	75.727	5.9459
39.225378	75.266	6.5094
39.509622	74.827	7.5447
39.795925	74.422	9.0236
40.084302	74.065	10.9100
40.374770	73.771	13.1398
40.667342	73.552	15.6182
40.962034	73.417	18.2190
41.258862	73.368	20.7960
41.557841	73.404	23.2019
41.858986	73.515	25.3011
42.162313	73.688	26.9834
42.467839	73.906	28.1725
42.775578	74.153	28.8294
43.085548	74.411	28.9557
43.397763	74.664	28.5852
43.712242	74.899	27.7728
44.028998	75.106	26.5880
44.348051	75.276	25.1090
44.669415	75.401	23.4199
44.993108	75.479	21.6122
45.319147	75.507	19.7756
45.647548	75.488	17.9991
45.978329	75.425	16.3706
46.311507	75.326	14.9740
46.647099	75.202	13.8824
46.985123	75.066	13.1483
47.325597	74.937	12.7903
47.668537	74.833	12.7802
48.013963	74.770	13.0342
48.361892	74.762	13.4174
48.712342	74.815	13.7593
49.065332	74.925	13.8846
49.420880	75.081	13.6451
49.779004	75.267	12.9399
50.139723	75.466	11.7220
50.503056	75.660	9.9936
50.869022	75.835	7.7920
51.237640	75.980	5.1756
51.608929	76.086	2.2104
51.982909	76.147	-1.0406
52.359598	76.156	-4.5244
52.739018	76.112	-8.2016
53.121186	76.010	-12.0489
53.506124	75.851	-16.0568
53.893852	75.632	-20.2301
54.284389	75.358	-24.5852
54.677756	75.029	-29.1495
55.073973	74.648	-33.9645
55.473062	74.220	-39.0887
55.875043	73.750	-44.6042
56.279936	73.243	-50.6233
56.687764	72.707	-57.2967
57.098547	72.151	-64.8191
57.512306	71.597	-73.4257
57.929064	71.076	-83.3727
58.348842	70.643	-94.8796
58.771662	70.373	-108.0106
59.197546	70.351	-122.5247
59.626515	70.634	-137.8033
60.058594	71.219	-153.0128
60.493803	72.039	-167.4429
60.932166	72.997	179.2720
61.373706	74.002	167.1794
61.818445	74.988	156.1476
62.266407	75.912	145.9941
62.717615	76.750	136.5413
63.172093	77.491	127.6535
63.629864	78.130	119.2446
64.090952	78.665	111.2621
64.555381	79.097	103.6663
65.023176	79.429	96.4384
65.494361	79.663	89.5871
65.968960	79.803	83.1297
66.446998	79.850	77.0755
66.928501	79.810	71.4583
67.413492	79.687	66.3215
67.901998	79.485	61.7054
68.394044	79.211	57.6667
68.889655	78.874	54.2745
69.388858	78.483	51.6067
69.891679	78.052	49.7573
70.398142	77.601	48.8325
70.908276	77.155	48.9443
71.422107	76.757	50.1704
71.939661	76.458	52.5079
72.460965	76.317	55.7895
72.986047	76.387	59.6208
73.514934	76.687	63.4506
74.047654	77.196	66.6888
74.584234	77.858	68.9286
75.124702	78.607	69.9765
75.669086	79.384	69.8506
76.217416	80.142	68.6757
76.769719	80.852	66.6249
77.326024	81.494	63.8790
77.886360	82.060	60.5992
78.450757	82.544	56.9353
79.019243	82.946	53.0060
79.591849	83.266	48.9236
80.168605	83.510	44.7714
80.749539	83.682	40.6283
81.334684	83.787	36.5535
81.924068	83.832	32.5946
82.517724	83.824	28.7914
83.115681	83.770	25.1674
83.717972	83.674	21.7398
84.324627	83.544	18.5137
84.935678	83.384	15.4857
85.551157	83.198	12.6482
86.171096	82.988	9.9926
86.795527	82.754	7.5168
87.424483	82.496	5.2294
88.057997	82.211	3.1555
88.696102	81.901	1.3353
89.338830	81.567	-0.1778
89.986216	81.213	-1.3240
90.638293	80.848	-2.0486
91.295096	80.483	-2.3110
91.956658	80.132	-2.0965
92.623013	79.811	-1.4223
93.294198	79.535	-0.3414
93.970246	79.314	1.0673
94.651193	79.158	2.7117
95.337075	79.069	4.5024
96.027927	79.048	6.3634
96.723785	79.093	8.2334
97.424685	79.205	10.0577
98.130664	79.382	11.7776
98.841760	79.622	13.3245
99.558008	79.921	14.6212
100.279446	80.269	15.5919
101.006112	80.656	16.1761
101.738044	81.067	16.3398
102.475280	81.489	16.0812
103.217858	81.910	15.4265
103.965817	82.321	14.4208
104.719197	82.716	13.1160
105.478035	83.094	11.5588
106.242372	83.453	9.7831
107.012248	83.797	7.8055
107.787703	84.124	5.6258
108.568777	84.434	3.2332
109.355511	84.723	0.6154
110.147947	84.987	-2.2344
110.946124	85.220	-5.3110
111.750085	85.415	-8.5937
112.559873	85.566	-12.0471
113.375528	85.668	-15.6230
114.197094	85.718	-19.2639
115.024613	85.715	-22.9064
115.858129	85.660	-26.4873
116.697684	85.556	-29.9462
117.543324	85.408	-33.2305
118.395091	85.224	-36.2991
119.253031	85.011	-39.1251
120.117188	84.778	-41.6971
120.987606	84.533	-44.0200
121.864332	84.282	-46.1130
122.747411	84.032	-48.0058
123.636890	83.785	-49.7322
124.532814	83.542	-51.3245
125.435230	83.301	-52.8056
126.344185	83.060	-54.1839
127.259727	82.816	-55.4503
128.181904	82.569	-56.5798
129.110763	82.319	-57.5363
130.046352	82.070	-58.2833
130.988722	81.832	-58.7943
131.937920	81.615	-59.0659
132.893997	81.430	-59.1264
133.857001	81.288	-59.0406
134.826984	81.194	-58.9035
135.803996	81.150	-58.8251
136.788088	81.149	-58.9112
137.779311	81.180	-59.2420
138.777717	81.229	-59.8608
139.783357	81.281	-60.7698
140.796285	81.324	-61.9344
141.816553	81.348	-63.2933
142.844214	81.349	-64.7719
143.879322	81.326	-66.2943
144.921931	81.284	-67.7967
145.972095	81.231	-69.2381
147.029869	81.175	-70.6068
148.095308	81.124	-71.9229
149.168468	81.086	-73.2332
150.249404	81.064	-74.6015
151.338173	81.056	-76.0941
152.434832	81.057	-77.7682
153.539437	81.059	-79.6642
154.652047	81.053	-81.8034
155.772720	81.030	-84.1877
156.901513	80.982	-86.8026
158.038486	80.898	-89.6198
159.183698	80.775	-92.6018
160.337209	80.607	-95.7068
161.499079	80.392	-98.8921
162.669367	80.127	-102.1201
163.848137	79.814	-105.3608
165.035448	79.450	-108.5948
166.231363	79.036	-111.8137
167.435944	78.569	-115.0189
168.649254	78.046	-118.2192
169.871356	77.458	-121.4310
171.102314	76.795	-124.6754
172.342191	76.043	-127.9790
173.591054	75.177	-131.3735
174.848966	74.163	-134.8989
176.115994	72.948	-138.6006
177.392203	71.448	-142.5314
178.677660	69.519	-146.7595
179.972432	66.897	-151.3989
181.276587	63.064	-156.8066
182.590191	57.881	-166.9663
183.913315	59.704	19.4999
185.246027	65.079	11.5219
186.588396	68.822	5.3421
187.940492	71.517	-0.6440
189.302387	73.577	-6.6135
190.674150	75.211	-12.5837
192.055853	76.538	-18.5373
193.447569	77.631	-24.4509
194.849370	78.539	-30.3074
196.261329	79.296	-36.0974
197.683519	79.927	-41.8196
199.116016	80.451	-47.4765
200.558892	80.879	-53.0702
202.012225	81.222	-58.5981
203.476089	81.486	-64.0500
204.950560	81.677	-69.4075
206.435716	81.800	-74.6475
207.931635	81.862	-79.7464
209.438393	81.869	-84.6845
210.956070	81.828	-89.4492
212.484745	81.745	-94.0379
214.024497	81.626	-98.4583
215.575406	81.476	-102.7274
217.137555	81.298	-106.8691
218.711023	81.093	-110.9096
220.295893	80.861	-114.8742
221.892248	80.599	-118.7812
223.500171	80.302	-122.6375
225.119745	79.966	-126.4331
226.751056	79.583	-130.1375
228.394187	79.149	-133.7002
230.049226	78.661	-137.0513
231.716257	78.118	-140.1057
233.395369	77.525	-142.7709
235.086648	76.889	-144.9583
236.790182	76.224	-146.5923
238.506062	75.544	-147.6228
240.234375	74.870	-148.0330
241.975212	74.219	-147.8416
243.728664	73.609	-147.1002
245.494823	73.056	-145.8875
247.273780	72.571	-144.3057
249.065627	72.162	-142.4773
250.870459	71.828	-140.5383
252.688370	71.560	-138.6128
254.519454	71.343	-136.7759
256.363807	71.156	-135.0172
258.221525	70.988	-133.2283
260.092705	70.840	-131.2290
261.977444	70.734	-128.8411
263.875840	70.714	-126.0017
265.787993	70.829	-122.8776
267.714003	71.108	-119.8817
269.653969	71.543	-117.5325
271.607992	72.085	-116.2341
273.576176	72.668	-116.1458
275.558622	73.232	-117.2018
277.555433	73.734	-119.2072
279.566714	74.148	-121.9248
281.592570	74.462	-125.1230
283.633106	74.673	-128.5955
285.688428	74.785	-132.1643
287.758644	74.808	-135.6792
289.843862	74.753	-139.0151
291.944190	74.638	-142.0771
294.059738	74.481	-144.8088
296.190616	74.303	-147.1992
298.336935	74.124	-149.2914
300.498808	73.958	-151.1790
302.676346	73.815	-152.9935
304.869664	73.692	-154.8811
307.078875	73.580	-156.9777
309.304095	73.460	-159.3885
311.545440	73.308	-162.1764
313.803027	73.095	-165.3557
316.076973	72.790	-168.8916
318.367397	72.357	-172.6957
320.674418	71.758	-176.6160
322.998157	70.944	179.5891
325.338735	69.859	176.3152
327.696273	68.432	174.2725
330.070896	66.588	174.9016
332.462726	64.358	-178.5530
334.871888	62.393	-159.7761
337.298507	62.513	-130.1752
339.742711	64.765	-110.4810
342.204627	67.323	-103.5930
344.684383	69.504	-103.1074
347.182108	71.272	-105.6218
349.697933	72.699	-109.6576
352.231988	73.852	-114.5187
354.784406	74.782	-119.8389
357.355320	75.525	-125.4032
359.944864	76.105	-131.0679
362.553173	76.544	-136.7235
365.180383	76.856	-142.2772
367.826630	77.054	-147.6448
370.492054	77.150	-152.7471
373.176792	77.156	-157.5072
375.880985	77.083	-161.8474
378.604773	76.942	-165.6838
381.348300	76.751	-168.9246
384.111707	76.531	-171.4731
386.895138	76.311	-173.2502
389.698740	76.131	-174.2363
392.522658	76.036	-174.5322
395.367039	76.067	-174.4041
398.232031	76.240	-174.2579
401.117785	76.543	-174.5299
404.024450	76.936	-175.5518
