* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:52:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Copy of L+R 120.green
* Measurement: L+R
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	74.242	-154.4845
15.380859	75.653	-155.1532
15.747070	76.747	-155.8269
16.113281	77.375	-160.1213
16.479492	77.801	-168.1004
16.845703	78.295	-177.0561
17.211914	78.784	176.2854
17.578125	79.199	172.0975
17.944336	79.593	167.6616
18.310547	80.002	161.6935
18.676758	80.536	155.5976
19.042968	81.154	149.7308
19.409179	81.431	143.6057
19.775390	81.227	138.4907
20.141601	81.038	134.2361
20.507812	80.937	128.8871
20.874023	80.614	125.6583
21.240234	80.697	127.0508
21.606445	81.425	125.9086
21.972656	81.884	120.6574
22.338867	82.119	115.8091
22.705077	82.488	111.0854
23.071288	82.674	105.8755
23.437499	82.693	101.8037
23.803710	82.827	97.4041
24.169921	82.880	92.2828
24.536132	82.929	88.7430
24.902343	83.166	85.1053
25.268554	83.173	79.3999
25.634765	82.804	73.5756
26.000976	82.425	68.9208
26.367187	82.195	65.1280
26.733397	82.012	62.1458
27.099608	81.759	59.6826
27.465819	81.519	57.9464
27.832030	81.685	55.4739
28.198241	82.051	49.2633
28.564452	81.925	40.4583
28.930663	80.990	32.0341
29.296874	79.220	26.1190
29.663085	76.958	26.7722
30.029296	75.689	35.5016
30.395507	75.794	41.8570
30.761717	75.799	45.7259
31.127928	75.903	52.0285
31.494139	76.506	56.4090
31.860350	77.098	57.2821
32.226561	77.622	57.1658
32.592772	78.176	56.6163
32.958983	78.688	55.4836
33.325194	79.121	53.5931
33.691405	79.490	51.1697
34.057616	79.918	48.5516
34.423827	80.401	45.0678
34.790037	80.758	40.6106
35.156248	81.000	35.6205
35.522459	81.188	29.6050
35.888670	81.189	22.8025
36.254881	80.932	16.5103
36.621092	80.454	10.5776
