* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 10, 2026, 1:53:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L B = FLX-trimmed 
* Measurement: L.filtered
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.098633	23.207	-21.8422
1.464844	18.009	130.9044
1.831055	19.401	12.3753
2.197266	23.990	158.2582
2.563477	18.438	-57.8744
2.929688	19.360	-158.1824
3.295898	25.025	-18.8476
3.662109	20.055	114.1157
4.028320	18.783	34.6482
4.394531	26.124	166.7418
4.760742	22.384	-68.8186
5.126953	17.501	-127.5920
5.493164	27.186	-5.4186
5.859375	24.871	113.3174
6.225586	15.431	80.6871
6.591797	28.174	-175.6991
6.958008	27.279	-60.9785
7.324219	14.328	-48.6296
7.690430	29.087	15.7098
8.056641	29.580	127.0839
8.422852	18.196	-175.5481
8.789062	29.946	-151.1852
9.155273	31.826	-43.2211
9.521484	23.536	35.7328
9.887695	30.805	43.8967
10.253906	33.880	144.4264
10.620117	27.753	-127.8622
10.986328	30.761	-123.8457
11.352539	35.280	-25.9607
11.718750	31.413	68.7139
12.084961	31.150	77.7451
12.451172	37.453	167.7900
12.817383	35.735	-93.6091
13.183594	32.681	-72.0073
13.549805	41.005	4.4658
13.916016	42.000	106.3215
14.282227	37.479	157.2034
14.648438	48.535	-153.4053
15.014648	59.255	-42.7754
15.380859	68.187	-67.0745
15.747070	69.814	-79.0024
16.113281	71.088	-82.0459
16.479492	72.084	-94.0979
16.845703	72.635	-107.3557
17.211914	72.892	-117.1094
17.578125	73.152	-120.6260
17.944336	73.540	-123.4805
18.310547	74.148	-128.1660
18.676758	74.782	-137.6338
19.042969	75.120	-146.4214
19.409180	75.533	-152.8562
19.775391	75.858	-159.2576
20.141602	75.868	-167.0027
20.507812	75.460	-174.9685
20.874023	74.821	179.5410
21.240234	74.544	179.1602
21.606445	75.071	178.3076
21.972656	75.465	174.7625
22.338867	75.775	171.4250
22.705078	76.170	166.2268
23.071289	76.326	159.1523
23.437500	76.295	152.6375
23.803711	76.279	146.7087
24.169922	76.223	142.5789
24.536133	76.540	139.2246
24.902344	76.729	132.0540
25.268555	76.189	124.1760
25.634766	75.560	118.6760
26.000977	75.291	112.2798
26.367188	74.840	105.5955
26.733398	74.259	101.6458
27.099609	73.292	98.7605
27.465820	71.787	101.2849
27.832031	71.187	105.6506
28.198242	70.445	99.8779
28.564453	67.786	93.6687
28.930664	64.723	105.2534
29.296875	64.465	127.4509
29.663086	66.873	146.0498
30.029297	70.304	150.5603
30.395508	72.750	146.5476
30.761719	74.163	141.0691
31.127930	74.949	135.8030
31.494141	75.407	130.9861
31.860352	75.789	126.3215
32.226562	76.076	121.7734
32.592773	76.322	117.8970
32.958984	76.497	113.8962
33.325195	76.618	110.5862
33.691406	76.994	107.2649
34.057617	77.415	102.2847
34.423828	77.646	97.8770
34.790039	78.061	93.9482
35.156250	78.441	87.3015
35.522461	78.451	80.2634
35.888672	78.482	74.0828
36.254883	78.436	66.1570
36.621094	77.876	57.6736
36.987305	77.078	50.6829
37.353516	76.224	43.5142
37.719727	74.979	37.7256
38.085938	73.559	36.0320
38.452148	72.070	36.6292
38.818359	70.555	40.1362
39.184570	69.801	43.7358
39.550781	69.246	43.7141
39.916992	68.606	47.3987
40.283203	68.452	52.9993
40.649414	67.989	57.9661
41.015625	67.625	63.7200
41.381836	67.441	66.0308
41.748047	67.349	71.6768
42.114258	68.442	79.6001
42.480469	69.218	83.7751
42.846680	69.342	92.1157
43.212891	70.074	97.8230
43.579102	70.557	94.4734
43.945312	70.838	89.0310
44.311523	71.555	84.5793
44.677734	72.159	80.2478
45.043945	72.009	77.0740
45.410156	71.120	76.3333
45.776367	70.032	80.2690
46.142578	69.728	91.1514
46.508789	71.368	104.8286
46.875000	73.996	108.9368
47.241211	75.743	105.7151
47.607422	76.773	101.4990
47.973633	77.778	95.5354
48.339844	78.515	87.8594
48.706055	78.996	83.2246
49.072266	79.745	80.3501
49.438477	80.438	75.2795
49.804688	80.978	69.8228
50.170898	81.892	63.3311
50.537109	82.852	53.3806
50.903320	83.308	42.3416
51.269531	83.337	32.1523
51.635742	83.104	21.9771
52.001953	82.607	11.8665
52.368164	81.951	3.1414
52.734375	81.240	-3.7451
53.100586	80.495	-9.0840
53.466797	79.695	-13.8506
53.833008	78.708	-17.3577
54.199219	77.951	-17.5237
54.565430	77.825	-18.4597
54.931641	77.544	-22.3394
55.297852	76.991	-24.7417
55.664062	76.760	-27.1216
56.030273	76.360	-31.9021
56.396484	75.659	-34.4182
56.762695	75.402	-35.4746
57.128906	75.250	-39.3022
57.495117	74.854	-42.4421
57.861328	74.794	-43.7463
58.227539	75.000	-46.6187
58.593750	75.085	-50.7292
58.959961	75.092	-55.5090
59.326172	75.055	-60.9353
59.692383	75.053	-66.3254
60.058594	75.166	-71.7874
60.424805	75.390	-77.7512
60.791016	75.783	-85.0581
61.157227	76.228	-94.3350
61.523438	76.638	-104.2236
61.889648	77.109	-114.6938
62.255859	77.455	-127.1902
62.622070	77.430	-140.6150
62.988281	77.239	-152.8726
63.354492	77.101	-164.7563
63.720703	76.756	-177.0242
64.086914	76.199	172.2942
64.453125	75.942	163.0864
64.819336	75.932	153.0188
65.185547	75.732	143.7803
65.551758	75.564	136.8752
65.917969	75.627	128.7192
66.284180	75.611	118.0093
66.650391	75.509	106.8110
67.016602	75.291	95.2104
67.382812	74.513	83.4241
67.749023	73.094	73.9609
68.115234	71.542	67.3755
68.481445	69.930	63.3719
68.847656	68.440	66.5325
69.213867	68.170	73.2163
69.580078	68.205	73.0000
69.946289	67.571	70.2534
70.312500	67.141	69.0935
70.678711	67.333	66.1799
71.044922	67.325	60.8749
71.411133	66.634	56.3434
71.777344	65.610	53.2362
72.143555	64.575	48.3055
72.509766	63.290	42.0536
72.875977	62.006	38.4086
73.242188	60.848	31.3826
73.608398	58.472	13.8159
73.974609	55.370	-17.9919
74.340820	55.898	-63.2628
74.707031	59.536	-102.1636
75.073242	62.666	-131.4124
75.439453	64.866	-149.5708
75.805664	66.751	-158.9786
76.171875	68.413	-166.0249
76.538086	69.669	-173.1639
76.904297	70.559	-179.6501
77.270508	71.333	176.6877
77.636719	72.447	175.0144
78.002930	73.650	171.0087
78.369141	74.352	165.7910
78.735352	74.868	163.0997
79.101562	75.813	162.3588
79.467773	77.253	160.9114
79.833984	78.873	156.4679
