* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Sep 10, 2026, 1:18:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L 120.green.3, R 120.green.3
* Measurement: LR.3
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	68.462	-154.0583
15.380859	69.398	-157.0322
15.747070	70.325	-160.5813
16.113281	71.129	-165.0391
16.479492	71.769	-170.3602
16.845703	72.273	-176.2496
17.211914	72.711	177.7118
17.578125	73.136	171.8608
17.944336	73.545	166.3008
18.310547	73.918	160.9016
18.676758	74.233	155.4512
19.042968	74.489	149.9055
19.409179	74.685	144.4674
19.775390	74.815	139.4354
20.141601	74.881	135.0392
20.507812	74.910	131.3167
20.874023	74.956	128.1133
21.240234	75.071	125.1932
21.606445	75.270	122.3182
21.972656	75.527	119.2983
22.338867	75.797	116.0296
22.705077	76.050	112.4683
23.071288	76.278	108.6427
23.437499	76.483	104.6323
23.803710	76.669	100.5004
24.169921	76.831	96.2676
24.536132	76.963	91.9264
24.902343	77.063	87.4810
25.268554	77.125	82.9915
25.634765	77.143	78.5367
26.000976	77.112	74.1509
26.367187	77.032	69.8141
26.733397	76.905	65.4692
27.099608	76.736	61.0667
27.465819	76.514	56.6058
27.832030	76.225	52.1324
28.198241	75.850	47.7595
28.564452	75.379	43.7071
28.930663	74.814	40.2882
29.296874	74.172	37.8726
29.663085	73.486	36.7883
30.029296	72.821	37.1821
30.395507	72.262	38.9328
30.761717	71.898	41.6026
31.127928	71.772	44.5227
31.494139	71.865	47.0456
31.860350	72.117	48.7313
32.226561	72.455	49.3999
32.592772	72.826	49.0861
32.958983	73.193	47.9211
33.325194	73.531	46.0663
33.691405	73.820	43.6559
34.057616	74.049	40.7697
34.423827	74.209	37.4787
34.790037	74.299	33.8709
35.156248	74.316	30.0469
35.522459	74.248	26.1505
35.888670	74.098	22.2848
36.254881	73.865	18.5311
36.621092	73.556	15.0055
36.987303	73.177	11.8372
37.353514	72.733	9.1459
37.719725	72.232	7.0243
38.085936	71.691	5.5178
38.452147	71.127	4.6627
38.818357	70.566	4.5035
39.184568	70.030	5.0561
39.550779	69.541	6.2979
39.916990	69.124	8.1349
40.283201	68.805	10.4098
40.649412	68.611	12.9519
41.015623	68.558	15.5592
41.381834	68.641	18.0104
