* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Sep 10, 2026, 1:53:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L.filtered, R.filtered
* Measurement: LR.filtered
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.098633	19.771	-34.0028
1.464844	17.737	171.7311
1.831055	22.408	-9.8897
2.197266	21.852	140.6730
2.563477	14.521	-18.6463
2.929688	22.752	-177.6695
3.295898	23.947	-37.1706
3.662109	13.657	125.1779
4.028320	22.601	16.2416
4.394531	25.764	149.4109
4.760742	17.986	-78.8052
5.126953	21.901	-147.4540
5.493164	27.293	-21.3455
5.859375	22.371	99.1162
6.225586	20.520	53.4476
6.591797	28.588	169.7206
6.958008	25.897	-74.8885
7.324219	18.480	-94.7186
7.690430	29.703	2.2950
8.056641	28.864	114.3898
8.422852	17.906	138.5432
8.789062	30.694	-163.6423
9.155273	31.526	-54.5880
9.521484	22.098	9.9213
9.887695	31.625	32.2201
10.253906	33.849	134.3098
10.620117	26.852	-143.6597
10.986328	31.599	-134.9016
11.352539	35.419	-34.9094
11.718750	30.998	57.4731
12.084961	31.933	67.2300
12.451172	37.691	159.9611
12.817383	35.634	-102.2444
13.183594	33.302	-81.8479
13.549805	41.279	-2.2263
13.916016	42.079	99.5525
14.282227	37.783	148.8640
14.648438	48.770	-158.8198
15.014648	59.375	-47.7336
15.380859	68.339	-71.1531
15.747070	69.995	-82.4951
16.113281	71.146	-85.4160
16.479492	71.927	-95.9849
16.845703	72.480	-107.5305
17.211914	72.839	-116.8887
17.578125	73.195	-121.1946
17.944336	73.505	-125.7935
18.310547	73.858	-130.6743
18.676758	74.546	-138.4814
19.042969	75.144	-147.3506
19.409180	75.406	-155.0303
19.775391	75.451	-160.2310
20.141602	75.602	-166.6489
20.507812	75.415	-174.9128
20.874023	74.882	179.8838
21.240234	74.724	179.7178
21.606445	75.104	178.1201
21.972656	75.289	174.6299
22.338867	75.620	170.9673
22.705078	76.058	165.3218
23.071289	76.268	159.2480
23.437500	76.369	154.1929
23.803711	76.466	148.7690
24.169922	76.466	144.1138
24.536133	76.752	140.5278
24.902344	77.060	135.0928
25.268555	76.951	128.9548
25.634766	76.635	123.4619
26.000977	76.406	118.0576
26.367188	76.286	113.3120
26.733398	76.271	109.4785
27.099609	75.980	106.3296
27.465820	75.587	105.8774
27.832031	75.750	103.7197
28.198242	75.937	95.0513
28.564453	75.462	83.5532
28.930664	74.370	74.3823
29.296875	72.873	69.2512
29.663086	71.193	69.9353
30.029297	70.037	76.6763
30.395508	69.846	84.9321
30.761719	70.069	90.5752
31.127930	70.239	95.1855
31.494141	70.609	99.2358
31.860352	71.271	100.3257
32.226562	71.805	98.6938
32.592773	72.156	97.4043
32.958984	72.466	96.7637
33.325195	72.872	95.9048
33.691406	73.389	92.8379
34.057617	73.782	88.3267
34.423828	74.157	84.9680
34.790039	74.733	81.4639
35.156250	75.083	75.7559
35.522461	75.057	69.9902
35.888672	75.042	64.0068
36.254883	74.873	56.4208
36.621094	74.250	49.5306
36.987305	73.454	45.0573
37.353516	72.640	40.6136
37.719727	71.537	36.7399
38.085938	70.401	35.9701
38.452148	69.477	37.2437
38.818359	68.606	39.4823
39.184570	67.920	42.2063
39.550781	67.360	43.2025
39.916992	66.724	45.7094
40.283203	66.616	50.7941
40.649414	66.680	53.7861
41.015625	66.251	57.2677
41.381836	66.138	63.1431
41.748047	66.432	66.4133
42.114258	66.731	71.3660
42.480469	67.550	77.0605
42.846680	67.947	80.3147
43.212891	68.140	86.3491
43.579102	69.298	86.1980
43.945312	69.999	75.5659
44.311523	70.029	67.6593
44.677734	70.793	64.9095
45.043945	71.624	57.6196
45.410156	71.282	49.4274
45.776367	70.689	46.0044
46.142578	70.616	42.1255
46.508789	70.210	37.7325
46.875000	69.569	36.2107
47.241211	68.592	33.1288
47.607422	66.552	32.0399
47.973633	65.247	41.5618
48.339844	65.878	47.4187
48.706055	66.056	50.8000
49.072266	66.196	59.5474
49.438477	66.559	67.2201
49.804688	67.076	74.2009
50.170898	68.685	74.8247
50.537109	70.167	65.3870
50.903320	70.697	56.1553
51.269531	71.045	52.3269
51.635742	71.614	47.2614
52.001953	71.546	39.0430
52.368164	71.035	34.2267
52.734375	71.239	31.7983
53.100586	71.664	25.6616
53.466797	71.498	19.0350
53.833008	71.190	14.9662
54.199219	71.122	10.2595
54.565430	70.887	3.5983
54.931641	70.277	-2.5901
55.297852	69.576	-6.5773
55.664062	69.148	-10.9553
56.030273	68.474	-17.7296
56.396484	67.410	-20.9534
56.762695	67.256	-21.3330
57.128906	67.331	-28.9802
57.495117	66.276	-35.9794
57.861328	65.946	-34.4463
58.227539	66.924	-40.7533
58.593750	66.952	-53.6429
58.959961	66.572	-61.9020
59.326172	67.135	-69.4506
59.692383	67.717	-80.4673
60.058594	68.012	-88.8519
60.424805	68.814	-95.2468
60.791016	70.115	-104.0376
61.157227	71.566	-114.9346
61.523438	72.963	-126.3718
61.889648	74.231	-137.5977
62.255859	75.396	-149.5850
62.622070	76.304	-162.9991
62.988281	76.897	-176.1736
63.354492	77.317	171.4418
63.720703	77.423	159.2826
64.086914	77.164	149.3647
64.453125	77.129	142.4115
64.819336	77.427	134.5323
65.185547	77.415	126.2141
65.551758	77.231	120.9728
65.917969	77.401	116.1765
66.284180	77.610	108.3329
66.650391	77.531	99.0726
67.016602	77.218	90.1976
67.382812	76.656	82.0289
67.749023	75.747	75.0155
68.115234	74.493	70.4810
68.481445	73.278	70.3851
68.847656	72.690	72.4308
69.213867	72.419	72.7198
69.580078	72.091	72.0363
69.946289	71.736	70.4742
70.312500	71.252	68.7617
70.678711	70.892	68.0934
71.044922	70.545	66.3170
71.411133	69.747	65.5859
71.777344	69.011	67.2759
72.143555	68.255	67.0909
72.509766	66.990	69.3153
72.875977	66.313	76.3369
73.242188	65.923	81.1093
73.608398	65.164	89.1727
73.974609	64.978	99.8159
74.340820	64.916	111.3584
74.707031	66.083	126.3271
75.073242	68.316	132.5995
75.439453	70.061	133.1254
75.805664	71.520	132.5076
76.171875	72.805	130.0782
76.538086	73.871	126.7312
76.904297	74.814	122.9559
77.270508	75.572	119.0178
77.636719	76.190	115.7802
