* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:47:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FR Cal file effects not included LF tail from 15 Hz at 12 dB/octave No HF tail
* Measurement: R.Filter
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
0.366211	-62.175	169.1847
0.732422	-50.303	171.1152
1.098633	-43.243	170.5386
1.464844	-38.281	169.1711
1.831055	-34.407	167.5742
2.197265	-31.257	165.7952
2.563476	-28.583	163.9603
2.929687	-26.276	162.0433
3.295898	-24.233	160.1060
3.662109	-22.412	158.1166
4.028320	-20.760	156.1161
4.394531	-19.255	154.0752
4.760742	-17.868	152.0246
5.126953	-16.586	149.9376
5.493164	-15.391	147.8396
5.859375	-14.274	145.7059
6.225585	-13.224	143.5581
6.591796	-12.235	141.3729
6.958007	-11.298	139.1695
7.324218	-10.411	136.9252
7.690429	-9.566	134.6572
8.056640	-8.761	132.3427
8.422851	-7.991	129.9975
8.789062	-7.254	127.5976
9.155273	-6.547	125.1574
9.521484	-5.869	122.6505
9.887695	-5.215	120.0897
10.253905	-4.586	117.4436
10.620116	-3.978	114.7222
10.986327	-3.391	111.8837
11.352538	-2.823	108.9314
11.718749	-2.274	105.7941
12.084960	-1.740	102.4440
12.451171	-1.235	98.6102
12.817382	-0.831	94.3660
13.183593	-0.533	90.1604
13.549804	-0.316	86.1177
13.916015	-0.165	82.3081
14.282225	-0.068	78.7573
14.648436	-0.015	75.4902
15.014647	0.000	72.5494
15.380858	-0.000	69.9799
15.747069	0.000	67.6708
16.113280	-0.000	65.5545
16.479491	0.000	63.5968
16.845702	-0.000	61.7737
17.211913	0.000	60.0673
17.578124	-0.000	58.4636
17.944335	0.000	56.9514
18.310545	-0.000	55.5211
18.676756	0.000	54.1652
19.042967	-0.000	52.8764
19.409178	0.000	51.6497
19.775389	-0.000	50.4792
20.141600	0.000	49.3613
20.507811	-0.000	48.2910
20.874022	0.000	47.2661
21.240233	-0.000	46.2821
21.606444	0.000	45.3375
21.972654	-0.000	44.4285
22.338865	0.000	43.5539
22.705076	-0.000	42.7106
23.071287	0.000	41.8977
23.437498	-0.000	41.1123
23.803709	0.000	40.3540
24.169920	-0.000	39.6201
24.536131	0.000	38.9105
24.902342	-0.000	38.2226
25.268553	0.000	37.5566
25.634764	-0.000	36.9100
26.000974	0.000	36.2831
26.367185	-0.000	35.6738
26.733396	0.000	35.0823
27.099607	-0.000	34.5067
27.465818	0.000	33.9473
27.832029	-0.000	33.4023
28.198240	0.000	32.8722
28.564451	-0.000	32.3550
28.930662	0.000	31.8516
29.296873	-0.000	31.3600
29.663084	0.000	30.8809
30.029294	-0.000	30.4126
30.395505	0.000	29.9560
30.761716	-0.000	29.5091
31.127927	0.000	29.0730
31.494138	-0.000	28.6460
31.860349	0.000	28.2289
32.226560	-0.000	27.8201
32.592771	0.000	27.4204
32.958982	-0.000	27.0285
33.325193	0.000	26.6450
33.691404	-0.000	26.2686
34.057614	0.000	25.9002
34.423825	-0.000	25.5383
34.790036	0.000	25.1838
35.156247	-0.000	24.8352
35.522458	-0.000	24.4936
35.888669	0.000	24.1575
36.254880	-0.000	23.8280
36.621091	0.000	23.5035
36.987302	-0.000	23.1851
37.353513	0.000	22.8714
37.719724	-0.000	22.5634
38.085934	0.000	22.2598
38.452145	-0.000	21.9615
38.818356	0.000	21.6673
39.184567	-0.000	21.3780
39.550778	0.000	21.0925
39.916989	-0.000	20.8117
40.283200	0.000	20.5344
40.649411	-0.000	20.2614
41.015622	0.000	19.9917
41.381833	-0.000	19.7260
41.748044	0.000	19.4634
42.114254	-0.000	19.2046
42.480465	0.000	18.9486
42.846676	-0.000	18.6962
43.212887	0.000	18.4463
43.579098	-0.000	18.1998
43.945309	0.000	17.9557
44.311520	-0.000	17.7146
44.677731	0.000	17.4758
45.043942	-0.000	17.2399
45.410153	0.000	17.0060
45.776363	-0.000	16.7748
46.142574	0.000	16.5455
46.508785	-0.000	16.3187
46.874996	0.000	16.0935
47.241207	-0.000	15.8707
47.607418	0.000	15.6494
47.973629	-0.000	15.4303
48.339840	0.000	15.2125
48.706051	-0.000	14.9966
49.072262	0.000	14.7820
49.438473	-0.000	14.5692
49.804683	0.000	14.3575
50.170894	-0.000	14.1473
50.537105	0.000	13.9381
50.903316	-0.000	13.7303
51.269527	0.000	13.5233
51.635738	-0.000	13.3175
52.001949	0.000	13.1123
52.368160	-0.000	12.9082
52.734371	0.000	12.7046
53.100582	-0.000	12.5019
53.466793	0.000	12.2995
53.833003	-0.000	12.0977
54.199214	0.000	11.8961
54.565425	-0.000	11.6950
54.931636	0.000	11.4938
55.297847	-0.000	11.2929
55.664058	0.000	11.0918
56.030269	-0.000	10.8905
56.396480	0.000	10.6890
56.762691	-0.000	10.4870
57.128902	0.000	10.2844
57.495113	-0.000	10.0812
57.861323	0.000	9.8770
58.227534	-0.000	9.6717
58.593745	0.000	9.4651
58.959956	-0.000	9.2570
59.326167	0.000	9.0471
59.692378	-0.000	8.8350
60.058589	0.000	8.6205
60.424800	-0.000	8.4030
60.791011	0.000	8.1820
61.157222	-0.000	7.9566
61.523433	0.000	7.7262
61.889643	-0.000	7.4887
62.255854	-0.000	7.2426
62.622065	-0.000	6.9835
62.988276	-0.001	6.7069
63.354487	-0.005	6.4053
63.720698	-0.013	6.0778
64.086909	-0.030	5.7381
64.453120	-0.057	5.4270
64.819331	-0.090	5.1806
65.185542	-0.125	5.0110
65.551753	-0.155	4.9064
65.917963	-0.179	4.8497
66.284174	-0.194	4.8218
66.650385	-0.200	4.8063
67.016596	-0.196	4.7857
67.382807	-0.184	4.7439
67.749018	-0.162	4.6622
68.115229	-0.133	4.5217
68.481440	-0.099	4.3008
68.847651	-0.064	3.9865
69.213862	-0.036	3.5856
69.580072	-0.017	3.1299
69.946283	-0.007	2.6555
70.312494	-0.003	2.1765
70.678705	-0.001	1.6895
71.044916	-0.000	1.1834
71.411127	-0.001	0.6418
71.777338	-0.002	0.0480
72.143549	-0.007	-0.6236
72.509760	-0.019	-1.3953
72.875971	-0.047	-2.2844
73.242182	-0.100	-3.2674
73.608392	-0.189	-4.2846
73.974603	-0.314	-5.2346
74.340814	-0.469	-6.0477
74.707025	-0.646	-6.6792
75.073236	-0.836	-7.1202
75.439447	-1.034	-7.3691
75.805658	-1.233	-7.4366
76.171869	-1.431	-7.3267
76.538080	-1.624	-7.0540
76.904291	-1.808	-6.6259
77.270502	-1.982	-6.0580
77.636712	-2.144	-5.3581
78.002923	-2.290	-4.5427
78.369134	-2.421	-3.6190
78.735345	-2.533	-2.6057
79.101556	-2.627	-1.5107
79.467767	-2.700	-0.3540
79.833978	-2.752	0.8569
80.200189	-2.782	2.1013
80.566400	-2.789	3.3713
80.932611	-2.773	4.6438
81.298822	-2.733	5.9106
81.665032	-2.669	7.1469
82.031243	-2.581	8.3451
82.397454	-2.470	9.4775
82.763665	-2.333	10.5352
83.129876	-2.174	11.4838
83.496087	-1.990	12.3118
83.862298	-1.784	12.9733
84.228509	-1.558	13.4490
84.594720	-1.314	13.6733
84.960931	-1.060	13.6199
85.327142	-0.807	13.2227
85.693352	-0.573	12.5010
86.059563	-0.371	11.4696
86.425774	-0.221	10.2638
86.791985	-0.118	9.0145
87.158196	-0.059	7.8277
87.524407	-0.026	6.7721
87.890618	-0.011	5.8348
88.256829	-0.004	5.0165
88.623040	-0.002	4.2741
88.989251	-0.001	3.6014
89.355462	-0.000	2.9674
89.721672	-0.000	2.3720
90.087883	-0.000	1.7953
90.454094	0.000	1.2402
90.820305	-0.000	0.6929
91.186516	0.000	0.1567
91.552727	-0.000	-0.3791
91.918938	0.000	-0.9114
92.285149	-0.000	-1.4493
92.651360	0.000	-1.9904
