* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 10, 2026, 1:53:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R B = FRX-trimmed 
* Measurement: R.filtered
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.098633	15.771	-63.7282
1.464844	20.617	-159.3108
1.831055	25.155	-21.1561
2.197266	20.650	114.3286
2.563477	16.562	33.0625
2.929688	25.551	172.9251
3.295898	23.873	-58.2144
3.662109	5.770	-137.6697
4.028320	25.544	7.9089
4.394531	26.202	132.2357
4.760742	11.343	-116.9931
5.126953	25.114	-155.5741
5.493164	27.999	-35.8174
5.859375	20.205	74.2741
6.225586	24.194	43.8326
6.591797	29.444	157.1611
6.958008	25.046	-93.0037
7.324219	22.735	-110.5831
7.690430	30.649	-8.8779
8.056641	28.602	100.1541
8.422852	21.313	108.4227
8.789062	31.690	-173.8010
9.155273	31.578	-66.2878
9.521484	22.683	-18.8030
9.887695	32.642	22.7916
10.253906	34.081	124.4265
10.620117	26.681	-161.6041
10.986328	32.601	-143.8245
11.352539	35.753	-43.3807
11.718750	30.933	45.5778
12.084961	32.871	58.6201
12.451172	38.070	152.6729
12.817383	35.732	-110.8855
13.183594	34.084	-90.2058
13.549805	41.651	-8.4368
13.916016	42.273	92.9924
14.282227	38.239	141.2283
14.648438	49.070	-163.9099
15.014648	59.555	-52.5229
15.380859	68.530	-75.0735
15.747070	70.203	-85.8342
16.113281	71.233	-88.7302
16.479492	71.777	-97.9399
16.845703	72.323	-107.7117
17.211914	72.786	-116.6653
17.578125	73.239	-121.7571
17.944336	73.485	-128.1213
18.310547	73.576	-133.3535
18.676758	74.304	-139.3772
19.042969	75.171	-148.2739
19.409180	75.290	-157.2659
19.775391	75.028	-161.3018
20.141602	75.329	-166.2727
20.507812	75.370	-174.8567
20.874023	74.944	-179.7783
21.240234	74.902	-179.7468
21.606445	75.137	177.9338
21.972656	75.109	174.4915
22.338867	75.462	170.4929
22.705078	75.946	164.3928
23.071289	76.209	159.3445
23.437500	76.448	155.7209
23.803711	76.660	150.7410
24.169922	76.708	145.5659
24.536133	76.963	141.7688
24.902344	77.400	137.9055
25.268555	77.699	132.9695
25.634766	77.634	127.2295
26.000977	77.456	122.5579
26.367188	77.625	118.9036
26.733398	77.992	114.5659
27.099609	78.098	110.6736
27.465820	78.241	108.0601
27.832031	78.729	102.9094
28.198242	79.291	93.3103
28.564453	79.516	80.9448
28.930664	79.109	68.7627
29.296875	78.115	59.0828
29.663086	76.975	52.2727
30.029297	75.968	46.6443
30.395508	75.025	42.3167
30.761719	74.031	38.9993
31.127930	72.634	36.9902
