* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:14:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Copy of L+R 120.green
* Measurement: SUM.C
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	68.573	-153.5508
15.123451	68.796	-154.5490
15.233042	69.067	-155.5119
15.343426	69.341	-156.5100
15.454611	69.607	-157.5788
15.566602	69.868	-158.6763
15.679404	70.117	-159.8482
15.793023	70.351	-161.1405
15.907466	70.573	-162.5366
16.022738	70.784	-164.0325
16.138845	70.982	-165.6344
16.255794	71.170	-167.3597
16.373590	71.351	-169.1831
16.492240	71.526	-171.0631
16.611750	71.696	-173.0162
16.732125	71.863	-175.0307
16.853373	72.028	-177.0514
16.975500	72.192	-179.0803
17.098511	72.355	178.8766
17.222414	72.517	176.8519
17.347215	72.678	174.8468
17.472920	72.838	172.8503
17.599536	72.996	170.8668
17.727069	73.152	168.8917
17.855527	73.307	166.9211
17.984915	73.459	164.9520
18.115241	73.610	162.9738
18.246512	73.757	160.9960
18.378734	73.899	159.0229
18.511914	74.036	157.0377
18.646058	74.165	155.0658
18.781175	74.285	153.1102
18.917272	74.396	151.1545
19.054354	74.495	149.2354
19.192430	74.581	147.3371
19.331506	74.654	145.4609
19.471590	74.714	143.6365
19.612689	74.760	141.8378
19.754811	74.797	140.0839
19.897962	74.825	138.3867
20.042151	74.846	136.7310
20.187385	74.866	135.1337
20.333671	74.884	133.5962
20.481017	74.906	132.1059
20.629431	74.934	130.6661
20.778920	74.970	129.2741
20.929493	75.017	127.8937
21.081157	75.075	126.5407
21.233919	75.144	125.1764
21.387789	75.223	123.7831
21.542774	75.312	122.3634
21.698882	75.407	120.8774
21.856121	75.508	119.3368
22.014499	75.612	117.7296
22.174025	75.716	116.0480
22.334708	75.820	114.3086
22.496554	75.919	112.5038
22.659573	76.014	110.6462
22.823774	76.104	108.7503
22.989164	76.187	106.8096
23.155753	76.263	104.8495
23.323549	76.331	102.8570
23.492562	76.391	100.8544
23.662798	76.444	98.8303
23.834269	76.489	96.7995
24.006982	76.525	94.7534
24.180946	76.551	92.7008
24.356171	76.568	90.6348
24.532666	76.574	88.5613
24.710440	76.570	86.4763
24.889502	76.554	84.3836
25.069862	76.526	82.2852
25.251528	76.487	80.1829
25.434511	76.438	78.0848
25.618820	76.378	75.9917
25.804465	76.309	73.9150
25.991454	76.233	71.8537
26.179799	76.150	69.8159
26.369509	76.061	67.7982
26.560593	75.968	65.7994
26.753062	75.868	63.8140
26.946926	75.764	61.8327
27.142194	75.651	59.8519
27.338878	75.527	57.8583
27.536987	75.390	55.8620
27.736531	75.236	53.8506
27.937521	75.060	51.8597
28.139968	74.859	49.8857
28.343882	74.628	47.9898
28.549273	74.367	46.1878
28.756153	74.074	44.5492
28.964532	73.751	43.1184
29.174421	73.403	41.9612
29.385831	73.038	41.1308
29.598773	72.664	40.6875
29.813258	72.299	40.6516
30.029297	71.956	41.0456
30.246902	71.654	41.8463
30.466083	71.409	42.9724
30.686853	71.233	44.3695
30.909222	71.134	45.8623
31.133203	71.112	47.3650
31.358807	71.162	48.7348
31.586046	71.272	49.8751
31.814932	71.432	50.7337
32.045476	71.628	51.2541
32.277691	71.847	51.4347
32.511588	72.080	51.2739
32.747180	72.316	50.7841
32.984480	72.549	49.9863
33.223499	72.775	48.8959
33.464250	72.987	47.5388
33.706746	73.181	45.9331
33.950999	73.355	44.0946
34.197022	73.504	42.0536
34.444828	73.624	39.8248
34.694429	73.712	37.4250
34.945839	73.765	34.8929
35.199071	73.779	32.2492
35.454138	73.752	29.5251
35.711054	73.681	26.7755
35.969831	73.565	24.0227
36.230483	73.404	21.2939
36.493024	73.197	18.6484
36.757467	72.946	16.1277
37.023827	72.650	13.7707
37.292117	72.313	11.6307
37.562351	71.938	9.7620
37.834543	71.531	8.2058
38.108708	71.096	7.0106
38.384859	70.641	6.2186
38.663012	70.175	5.8551
38.943180	69.706	5.9459
39.225378	69.246	6.5094
39.509622	68.806	7.5447
39.795925	68.401	9.0236
40.084302	68.045	10.9100
40.374770	67.751	13.1398
40.667342	67.532	15.6182
40.962034	67.396	18.2190
41.258862	67.348	20.7960
41.557841	67.383	23.2019
41.858986	67.494	25.3011
42.162313	67.667	26.9834
42.467839	67.886	28.1725
42.775578	68.133	28.8294
43.085548	68.390	28.9557
43.397763	68.644	28.5852
43.712242	68.879	27.7728
44.028998	69.086	26.5880
44.348051	69.255	25.1090
44.669415	69.381	23.4199
44.993108	69.458	21.6122
45.319147	69.487	19.7756
45.647548	69.468	17.9991
45.978329	69.405	16.3706
46.311507	69.305	14.9740
46.647099	69.181	13.8824
46.985123	69.046	13.1483
47.325597	68.917	12.7903
47.668537	68.812	12.7802
48.013963	68.749	13.0342
48.361892	68.741	13.4174
48.712342	68.794	13.7593
49.065332	68.904	13.8846
49.420880	69.061	13.6451
49.779004	69.247	12.9399
50.139723	69.445	11.7220
50.503056	69.639	9.9936
50.869022	69.814	7.7920
51.237640	69.960	5.1756
51.608929	70.066	2.2104
51.982909	70.126	-1.0406
52.359598	70.136	-4.5244
52.739018	70.091	-8.2016
53.121186	69.990	-12.0489
53.506124	69.830	-16.0568
53.893852	69.612	-20.2301
54.284389	69.337	-24.5852
54.677756	69.008	-29.1495
55.073973	68.628	-33.9645
55.473062	68.200	-39.0887
55.875043	67.729	-44.6042
56.279936	67.223	-50.6233
56.687764	66.686	-57.2967
57.098547	66.131	-64.8191
57.512306	65.576	-73.4257
57.929064	65.056	-83.3727
58.348842	64.622	-94.8796
58.771662	64.353	-108.0106
59.197546	64.331	-122.5247
59.626515	64.614	-137.8033
60.058594	65.198	-153.0128
60.493803	66.018	-167.4429
60.932166	66.976	179.2720
61.373706	67.982	167.1794
61.818445	68.967	156.1476
62.266407	69.891	145.9941
62.717615	70.729	136.5413
63.172093	71.471	127.6535
63.629864	72.109	119.2446
64.090952	72.644	111.2621
64.555381	73.077	103.6663
65.023176	73.409	96.4384
65.494361	73.643	89.5871
65.968960	73.782	83.1297
66.446998	73.830	77.0755
66.928501	73.789	71.4583
67.413492	73.666	66.3215
67.901998	73.464	61.7054
68.394044	73.190	57.6667
68.889655	72.854	54.2745
69.388858	72.463	51.6067
69.891679	72.032	49.7573
70.398142	71.580	48.8325
70.908276	71.135	48.9443
71.422107	70.736	50.1704
71.939661	70.437	52.5079
72.460965	70.297	55.7895
72.986047	70.367	59.6208
73.514934	70.666	63.4506
74.047654	71.175	66.6888
74.584234	71.837	68.9286
75.124702	72.587	69.9765
75.669086	73.363	69.8506
76.217416	74.121	68.6757
76.769719	74.831	66.6249
77.326024	75.474	63.8790
