* Measurement data measured by REW V5.40 beta 133
* Source: EQ window target shape
* Format: 
* Dated: Sep 10, 2026, 1:39:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LR.RMS
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz)	SPL(dB)
2.500000	28.211
2.518116	28.414
2.536363	28.658
2.554743	28.908
2.573256	29.159
2.591902	29.410
2.610684	29.661
2.629603	29.912
2.648658	30.162
2.667851	30.413
2.687183	30.664
2.706656	30.915
2.726269	31.166
2.746025	31.417
2.765924	31.667
2.785967	31.918
2.806155	32.169
2.826490	32.420
2.846972	32.671
2.867602	32.922
2.888382	33.173
2.909312	33.423
2.930394	33.674
2.951629	33.925
2.973018	34.176
2.994561	34.427
3.016261	34.678
3.038118	34.928
3.060134	35.179
3.082309	35.430
3.104645	35.681
3.127142	35.932
3.149803	36.183
3.172627	36.433
3.195618	36.684
3.218774	36.935
3.242099	37.186
3.265592	37.437
3.289256	37.688
3.313092	37.938
3.337100	38.189
3.361282	38.440
3.385639	38.691
3.410173	38.942
3.434884	39.193
3.459775	39.443
3.484846	39.694
3.510098	39.945
3.535534	40.196
3.561154	40.447
3.586959	40.697
3.612952	40.948
3.639133	41.199
3.665504	41.450
3.692065	41.700
3.718820	41.951
3.745768	42.202
3.772911	42.453
3.800251	42.703
3.827789	42.954
3.855527	43.205
3.883466	43.456
3.911607	43.706
3.939952	43.957
3.968503	44.208
3.997260	44.459
4.026226	44.709
4.055402	44.960
4.084789	45.211
4.114389	45.461
4.144203	45.712
4.174234	45.963
4.204482	46.213
4.234949	46.464
4.265638	46.714
4.296548	46.965
4.327683	47.215
4.359043	47.466
4.390630	47.717
4.422447	47.967
4.454494	48.218
4.486773	48.468
4.519286	48.718
4.552034	48.969
4.585020	49.219
4.618245	49.470
4.651711	49.720
4.685419	49.970
4.719372	50.220
4.753570	50.471
4.788016	50.721
4.822712	50.971
4.857660	51.221
4.892860	51.471
4.928316	51.721
4.964029	51.971
5.000000	52.221
5.036232	52.471
5.072727	52.721
5.109486	52.970
5.146511	53.220
5.183805	53.470
5.221369	53.719
5.259205	53.969
5.297315	54.218
5.335702	54.467
5.374367	54.716
5.413312	54.965
5.452539	55.214
5.492050	55.463
5.531848	55.712
