* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 -0.008 0.0000
0.366211 -0.008 0.1204
0.732422 -0.008 0.2408
1.098633 -0.008 0.3611
1.464844 -0.008 0.4815
1.831055 -0.008 0.6018
2.197266 -0.008 0.7221
2.563477 -0.008 0.8423
2.929688 -0.008 0.9625
3.295898 -0.008 1.0826
3.662109 -0.008 1.2026
4.028320 -0.008 1.3227
4.394531 -0.008 1.4426
4.760742 -0.008 1.5625
5.126953 -0.008 1.6823
5.493164 -0.008 1.8020
5.859375 -0.008 1.9217
6.225586 -0.008 2.0412
6.591797 -0.008 2.1607
6.958008 -0.008 2.2800
7.324219 -0.008 2.3992
7.690430 -0.008 2.5182
8.056641 -0.008 2.6370
8.422852 -0.008 2.7556
8.789062 -0.008 2.8739
9.155273 -0.008 2.9919
9.521484 -0.008 3.1096
9.887695 -0.008 3.2271
10.253906 -0.008 3.3442
10.620117 -0.008 3.4609
10.986328 -0.008 3.5770
11.352539 -0.008 3.6926
11.718750 -0.008 3.8070
12.084961 -0.008 3.9195
12.451172 -0.008 4.0269
12.817383 -0.014 4.1255
13.183594 -0.014 4.2659
13.549805 -0.015 4.3918
13.916016 -0.015 4.5149
14.282227 -0.015 4.6368
14.648438 -0.015 4.7581
15.014648 -0.016 4.8793
15.380859 -0.016 5.0013
15.747070 -0.016 5.1265
16.113281 -0.011 5.2574
16.479492 -0.011 5.3517
16.845703 -0.012 5.4594
17.211914 -0.012 5.5700
17.578125 -0.013 5.6815
17.944336 -0.014 5.7939
18.310547 -0.014 5.9064
18.676758 -0.015 6.0193
19.042969 -0.015 6.1322
19.409180 -0.016 6.2452
19.775391 -0.017 6.3580
20.141602 -0.017 6.4708
20.507812 -0.018 6.5833
20.874023 -0.019 6.6958
21.240234 -0.020 6.8077
21.606445 -0.020 6.9194
21.972656 -0.021 7.0305
22.338867 -0.022 7.1411
22.705078 -0.023 7.2507
23.071289 -0.024 7.3588
23.437500 -0.025 7.4632
23.803711 -0.026 7.5584
24.169922 -0.033 7.6553
24.536133 -0.040 7.8090
24.902344 -0.038 7.9784
25.268555 -0.032 8.0949
25.634766 -0.030 8.1856
26.000977 -0.031 8.2857
26.367188 -0.032 8.3907
26.733398 -0.033 8.4976
27.099609 -0.034 8.6051
27.465820 -0.035 8.7129
27.832031 -0.037 8.8207
28.198242 -0.038 8.9285
28.564453 -0.039 9.0362
28.930664 -0.040 9.1437
29.296875 -0.041 9.2510
29.663086 -0.043 9.3582
30.029297 -0.044 9.4651
30.395508 -0.045 9.5717
30.761719 -0.047 9.6781
31.127930 -0.048 9.7842
31.494141 -0.050 9.8900
31.860352 -0.051 9.9955
32.226562 -0.053 10.1006
32.592773 -0.054 10.2054
32.958984 -0.056 10.3099
33.325195 -0.058 10.4140
33.691406 -0.059 10.5177
34.057617 -0.061 10.6211
34.423828 -0.063 10.7241
34.790039 -0.065 10.8268
35.156250 -0.066 10.9291
35.522461 -0.068 11.0311
35.888672 -0.070 11.1326
36.254883 -0.072 11.2338
36.621094 -0.074 11.3345
36.987305 -0.076 11.4348
37.353516 -0.078 11.5347
37.719727 -0.081 11.6341
38.085938 -0.083 11.7332
38.452148 -0.085 11.8317
38.818359 -0.087 11.9298
39.184570 -0.090 12.0275
39.550781 -0.092 12.1247
39.916992 -0.095 12.2214
40.283203 -0.097 12.3176
40.649414 -0.100 12.4134
41.015625 -0.103 12.5087
41.381836 -0.105 12.6035
41.748047 -0.108 12.6978
42.114258 -0.111 12.7917
42.480469 -0.114 12.8849
42.846680 -0.117 12.9777
43.212891 -0.120 13.0699
43.579102 -0.123 13.1616
43.945312 -0.127 13.2527
44.311523 -0.130 13.3433
44.677734 -0.133 13.4333
45.043945 -0.137 13.5228
45.410156 -0.141 13.6117
45.776367 -0.144 13.7001
46.142578 -0.148 13.7878
46.508789 -0.152 13.8750
46.875000 -0.156 13.9616
47.241211 -0.160 14.0476
47.607422 -0.164 14.1330
47.973633 -0.169 14.2179
48.339844 -0.173 14.3021
48.706055 -0.177 14.3857
49.072266 -0.182 14.4687
49.438477 -0.187 14.5510
49.804688 -0.192 14.6328
50.170898 -0.197 14.7138
50.537109 -0.202 14.7944
50.903320 -0.207 14.8742
51.269531 -0.212 14.9535
51.635742 -0.218 15.0321
52.001953 -0.224 15.1101
52.368164 -0.229 15.1874
52.734375 -0.235 15.2641
53.100586 -0.241 15.3402
53.466797 -0.248 15.4157
53.833008 -0.254 15.4905
54.199219 -0.261 15.5648
54.565430 -0.267 15.6384
54.931641 -0.274 15.7114
55.297852 -0.281 15.7837
55.664062 -0.288 15.8555
