* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 -0.008 0.0000
0.366211 -0.008 0.1266
0.732422 -0.008 0.2532
1.098633 -0.008 0.3797
1.464844 -0.008 0.5062
1.831055 -0.008 0.6327
2.197266 -0.008 0.7592
2.563477 -0.008 0.8856
2.929688 -0.008 1.0120
3.295898 -0.008 1.1383
3.662109 -0.008 1.2646
4.028320 -0.008 1.3908
4.394531 -0.008 1.5169
4.760742 -0.008 1.6430
5.126953 -0.008 1.7690
5.493164 -0.008 1.8949
5.859375 -0.008 2.0208
6.225586 -0.008 2.1465
6.591797 -0.008 2.2722
6.958008 -0.008 2.3978
7.324219 -0.008 2.5231
7.690430 -0.008 2.6483
8.056641 -0.008 2.7733
8.422852 -0.008 2.8981
8.789062 -0.008 3.0226
9.155273 -0.008 3.1468
9.521484 -0.008 3.2708
9.887695 -0.008 3.3945
10.253906 -0.008 3.5178
10.620117 -0.008 3.6407
10.986328 -0.008 3.7631
11.352539 -0.008 3.8848
11.718750 -0.008 4.0054
12.084961 -0.008 4.1241
12.451172 -0.008 4.2378
12.817383 -0.014 4.3426
13.183594 -0.014 4.4892
13.549805 -0.015 4.6214
13.916016 -0.015 4.7507
14.282227 -0.015 4.8787
14.648438 -0.015 5.0062
15.014648 -0.016 5.1337
15.380859 -0.016 5.2619
15.747070 -0.016 5.3934
16.113281 -0.011 5.5305
16.479492 -0.011 5.6311
16.845703 -0.012 5.7450
17.211914 -0.012 5.8617
17.578125 -0.013 5.9795
17.944336 -0.014 6.0981
18.310547 -0.014 6.2169
18.676758 -0.015 6.3360
19.042969 -0.015 6.4551
19.409180 -0.016 6.5744
19.775391 -0.017 6.6934
20.141602 -0.017 6.8125
20.507812 -0.018 6.9312
20.874023 -0.019 7.0499
21.240234 -0.020 7.1681
21.606445 -0.020 7.2860
21.972656 -0.021 7.4034
22.338867 -0.022 7.5202
22.705078 -0.023 7.6360
23.071289 -0.024 7.7504
23.437500 -0.025 7.8611
23.803711 -0.026 7.9624
24.169922 -0.033 8.0656
24.536133 -0.040 8.2255
24.902344 -0.038 8.4012
25.268555 -0.032 8.5239
25.634766 -0.030 8.6209
26.000977 -0.031 8.7272
26.367188 -0.032 8.8385
26.733398 -0.033 8.9516
27.099609 -0.034 9.0653
27.465820 -0.035 9.1792
27.832031 -0.037 9.2933
28.198242 -0.038 9.4073
28.564453 -0.039 9.5212
28.930664 -0.040 9.6350
29.296875 -0.041 9.7485
29.663086 -0.043 9.8618
30.029297 -0.044 9.9749
30.395508 -0.045 10.0878
30.761719 -0.047 10.2003
31.127930 -0.048 10.3126
31.494141 -0.050 10.4246
31.860352 -0.051 10.5362
32.226562 -0.053 10.6476
32.592773 -0.054 10.7585
32.958984 -0.056 10.8691
33.325195 -0.058 10.9794
33.691406 -0.059 11.0892
34.057617 -0.061 11.1987
34.423828 -0.063 11.3078
34.790039 -0.064 11.4166
35.156250 -0.066 11.5250
35.522461 -0.068 11.6330
35.888672 -0.070 11.7406
36.254883 -0.072 11.8478
36.621094 -0.074 11.9545
36.987305 -0.076 12.0608
37.353516 -0.078 12.1667
37.719727 -0.081 12.2722
38.085938 -0.083 12.3771
38.452148 -0.085 12.4816
38.818359 -0.087 12.5856
39.184570 -0.090 12.6892
39.550781 -0.092 12.7922
39.916992 -0.095 12.8948
40.283203 -0.097 12.9968
40.649414 -0.100 13.0983
41.015625 -0.103 13.1993
41.381836 -0.105 13.2998
41.748047 -0.108 13.3998
42.114258 -0.111 13.4992
42.480469 -0.114 13.5981
42.846680 -0.117 13.6964
43.212891 -0.120 13.7941
43.579102 -0.123 13.8913
43.945312 -0.127 13.9878
44.311523 -0.130 14.0837
44.677734 -0.133 14.1790
45.043945 -0.137 14.2737
45.410156 -0.141 14.3677
45.776367 -0.144 14.4612
46.142578 -0.148 14.5540
46.508789 -0.152 14.6461
46.875000 -0.156 14.7376
47.241211 -0.160 14.8284
47.607422 -0.164 14.9185
47.973633 -0.169 15.0079
48.339844 -0.173 15.0966
48.706055 -0.177 15.1845
49.072266 -0.182 15.2718
49.438477 -0.187 15.3583
49.804688 -0.192 15.4440
50.170898 -0.197 15.5290
50.537109 -0.202 15.6132
50.903320 -0.207 15.6967
51.269531 -0.212 15.7793
51.635742 -0.218 15.8612
52.001953 -0.224 15.9422
52.368164 -0.229 16.0224
52.734375 -0.235 16.1018
53.100586 -0.241 16.1803
53.466797 -0.248 16.2579
53.833008 -0.254 16.3346
54.199219 -0.261 16.4105
54.565430 -0.267 16.4854
54.931641 -0.274 16.5594
55.297852 -0.281 16.6324
55.664062 -0.288 16.7044
