* Generated by rew_pipeline.py (source UUID defe8eaa-5d6a-4a29-861d-0afe6da83fd1, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw6-peq
* Dated: 2026-Sep-13 14:43:18
* Note: ; Vector average of L.filtered.clean-fdw6-peq, R.filtered.clean-fdw6-peq
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 26.710 0.0000
0.183105 28.527 -34.8555
0.366211 27.065 -60.4495
0.549316 28.070 -103.4932
0.732422 27.816 -124.4259
0.915527 27.347 -169.0323
1.098633 28.447 167.9032
1.281738 26.806 129.4454
1.464844 28.669 98.3153
1.647949 26.928 69.6291
1.831055 28.408 28.9479
2.014160 27.641 7.2840
2.197266 27.769 -38.0454
2.380371 28.422 -59.1359
2.563477 27.101 -100.9957
2.746582 28.870 -128.3332
2.929688 26.958 -160.7378
3.112793 28.831 161.8076
3.295898 27.554 138.5323
3.479004 28.331 93.4934
3.662109 28.447 73.6934
3.845215 27.610 28.8515
4.028320 29.124 5.2278
4.211426 27.198 -31.5108
4.394531 29.335 -64.8401
4.577637 27.578 -90.8538
4.760742 29.031 -134.2750
4.943848 28.522 -153.7281
5.126953 28.345 159.2560
5.310059 29.428 138.9743
5.493164 27.710 97.5109
5.676270 29.917 69.0445
5.859375 27.776 38.9710
6.042480 29.864 -1.2391
6.225586 28.668 -21.6368
6.408691 29.312 -69.4738
6.591797 29.781 -87.1991
6.774902 28.553 -133.2339
6.958008 30.576 -156.5394
7.141113 28.251 167.9989
7.324219 30.829 132.6911
7.507324 28.942 109.6581
7.690430 30.506 62.9210
7.873535 30.208 46.4982
8.056641 29.764 -3.1697
8.239746 31.331 -21.6538
8.422852 29.138 -63.4134
8.605957 31.945 -92.4602
8.789062 29.462 -120.1022
8.972168 31.943 -163.3885
9.155273 30.771 179.7968
9.338379 31.373 128.2499
9.521484 32.233 113.5903
9.704590 30.576 65.5074
9.887695 33.269 43.3133
10.070801 30.434 9.0838
10.253906 33.680 -28.2966
10.437012 31.611 -47.5898
10.620117 33.437 -98.5590
10.803223 33.407 -110.8728
10.986328 32.704 -164.2131
11.169434 34.948 -179.9178
11.352539 32.170 137.8616
11.535645 35.890 108.3495
11.718750 33.023 84.2651
11.901855 36.148 36.7447
12.084961 35.144 25.1022
12.268066 35.763 -31.5460
12.451172 37.353 -41.7339
12.634277 35.149 -92.1648
12.817383 39.058 -112.8786
13.000488 35.664 -143.6956
13.183594 40.124 174.9423
13.366699 38.254 162.9178
13.549805 40.549 104.9654
13.732910 41.656 99.9870
13.916016 40.537 42.3458
14.099121 44.954 30.9637
14.282227 41.474 -5.1483
14.465332 48.180 -39.5634
14.648438 46.617 -44.1458
14.831543 52.039 -106.8959
15.014648 58.207 -88.3917
15.197754 67.326 -179.5776
15.380859 68.869 95.3778
15.563965 69.778 29.7168
15.747070 70.865 -40.2674
15.930176 71.272 -106.7462
16.113281 71.993 -175.2815
16.296387 72.350 115.6328
16.479492 72.931 45.0021
16.662598 73.194 -26.7518
16.845703 73.531 -97.7222
17.028809 73.684 -168.4915
17.211914 73.897 122.8488
17.395020 74.092 54.2898
17.578125 74.297 -13.0266
17.761230 74.503 -80.9905
17.944336 74.650 -148.4295
18.127441 74.873 143.4445
18.310547 75.099 75.2842
18.493652 75.472 6.2687
18.676758 75.817 -63.3066
18.859863 76.206 -133.3182
19.042969 76.460 156.5048
19.226074 76.656 86.8785
19.409180 76.727 17.6346
19.592285 76.783 -50.7002
19.775391 76.843 -119.0579
19.958496 76.934 172.6065
20.141602 77.023 103.3255
20.324707 77.009 33.6903
20.507812 76.886 -36.1683
20.690918 76.607 -105.0759
20.874023 76.338 -172.6066
21.057129 76.149 121.3128
21.240234 76.202 55.7620
21.423340 76.368 -10.3903
21.606445 76.583 -77.3114
21.789551 76.708 -144.8651
21.972656 76.812 147.7520
22.155762 76.935 80.2784
22.338867 77.141 12.7428
22.521973 77.384 -55.5933
22.705078 77.586 -124.3059
22.888184 77.719 166.6808
23.071289 77.773 98.0484
23.254395 77.833 29.6454
23.437500 77.888 -38.6228
23.620605 77.967 -107.0809
23.803711 77.989 -175.6442
23.986816 77.996 116.0883
24.169922 78.000 48.2530
24.353027 78.096 -19.1334
24.536133 78.265 -86.8018
24.719238 78.455 -154.9244
24.902344 78.569 136.2618
25.085449 78.560 67.3459
25.268555 78.456 -1.5532
25.451660 78.294 -70.1043
25.634766 78.153 -138.6092
25.817871 78.018 152.9137
26.000977 77.921 84.4267
26.184082 77.827 16.1452
26.367188 77.788 -51.7943
26.550293 77.765 -119.5894
26.733398 77.744 172.7293
26.916504 77.638 105.0604
27.099609 77.439 37.9614
27.282715 77.195 -28.4556
27.465820 77.036 -94.1555
27.648926 77.053 -160.3136
27.832031 77.196 132.2072
28.015137 77.346 62.7860
28.198242 77.360 -8.0362
28.381348 77.205 -79.6073
28.564453 76.850 -151.1070
28.747559 76.359 138.0219
28.930664 75.736 68.0031
29.113770 75.031 -0.8870
29.296875 74.233 -68.6859
29.479980 73.389 -134.8788
29.663086 72.558 160.5044
29.846191 71.860 97.7674
30.029297 71.403 36.0019
30.212402 71.203 -25.3147
30.395508 71.218 -87.3079
30.578613 71.316 -149.9147
30.761719 71.443 146.6689
30.944824 71.525 83.0774
31.127930 71.626 19.3718
31.311035 71.758 -44.2550
31.494141 72.013 -108.3056
31.677246 72.323 -173.1415
31.860352 72.671 121.0787
32.043457 72.951 54.5861
32.226562 73.184 -12.0939
32.409668 73.348 -78.7644
32.592773 73.502 -145.1246
32.775879 73.639 148.5729
32.958984 73.791 82.4777
33.142090 73.968 16.2135
33.325195 74.187 -50.1985
33.508301 74.447 -117.2648
33.691406 74.699 175.1288
33.874512 74.920 107.0137
34.057617 75.076 38.9808
34.240723 75.234 -28.7087
34.423828 75.424 -96.0163
34.606934 75.697 -163.3831
34.790039 75.978 128.6986
34.973145 76.211 60.1891
35.156250 76.321 -8.7301
35.339355 76.335 -77.5380
35.522461 76.299 -146.2146
35.705566 76.278 145.2084
35.888672 76.275 76.1951
36.071777 76.229 6.7366
36.254883 76.088 -63.0900
36.437988 75.808 -132.6932
36.621094 75.441 158.2635
36.804199 75.026 89.9153
36.987305 74.637 21.9564
37.170410 74.241 -46.0648
37.353516 73.814 -114.1990
37.536621 73.289 177.6994
37.719727 72.698 110.2659
37.902832 72.084 43.6043
38.085938 71.520 -22.1311
38.269043 71.024 -87.5505
38.452148 70.557 -152.6425
38.635254 70.102 142.3595
38.818359 69.651 77.8248
39.001465 69.280 13.3680
39.184570 68.967 -51.2267
39.367676 68.711 -116.4080
39.550781 68.396 178.1863
39.733887 68.065 113.1740
39.916992 67.741 49.1137
40.100098 67.592 -14.0797
40.283203 67.588 -77.4130
40.466309 67.664 -141.4348
40.649414 67.621 153.7634
40.832520 67.441 89.2710
41.015625 67.183 25.5044
41.198730 67.040 -37.2730
41.381836 67.081 -100.3841
41.564941 67.232 -164.1440
41.748047 67.368 131.4366
41.931152 67.466 67.7276
42.114258 67.659 4.8375
42.297363 68.007 -57.6492
42.480469 68.446 -121.1046
42.663574 68.734 174.6331
42.846680 68.822 110.3919
43.029785 68.808 47.2920
43.212891 69.022 -15.3025
43.395996 69.534 -79.5799
43.579102 70.180 -147.1824
43.762207 70.652 142.2908
43.945312 70.871 70.7053
44.128418 70.873 -0.1379
44.311523 70.885 -68.8335
44.494629 71.128 -136.0434
44.677734 71.627 156.6426
44.860840 72.155 87.7096
45.043945 72.445 17.5556
45.227051 72.411 -52.8641
45.410156 72.099 -122.2796
45.593262 71.737 169.7510
45.776367 71.495 102.6782
45.959473 71.435 35.3592
46.142578 71.389 -32.7691
46.325684 71.246 -101.0559
46.508789 70.962 -168.7625
46.691895 70.638 124.5959
46.875000 70.326 58.1783
47.058105 69.963 -8.7064
47.241211 69.388 -76.3941
47.424316 68.491 -143.5743
47.607422 67.401 151.2961
47.790527 66.479 89.5231
47.973633 66.200 29.2022
48.156738 66.458 -32.7065
48.339844 66.846 -97.0874
48.522949 67.020 -162.0745
48.706055 67.040 134.1401
48.889160 67.047 72.0578
49.072266 67.219 10.6361
49.255371 67.433 -51.4283
49.438477 67.607 -114.0311
49.621582 67.749 -176.6447
49.804688 68.104 120.7693
49.987793 68.771 56.5210
50.170898 69.646 -10.5361
50.354004 70.467 -80.4502
50.537109 71.076 -151.7027
50.720215 71.430 137.0465
50.903320 71.586 67.1409
51.086426 71.706 -1.2162
51.269531 71.901 -68.6362
51.452637 72.193 -136.4732
51.635742 72.426 154.5403
51.818848 72.489 84.6320
52.001953 72.319 14.6516
52.185059 72.025 -54.3363
52.368164 71.772 -122.0214
52.551270 71.740 171.1381
52.734375 71.926 103.7772
52.917480 72.178 35.3752
53.100586 72.332 -33.9596
53.283691 72.308 -103.3172
53.466797 72.155 -172.1497
53.649902 71.956 119.8348
53.833008 71.825 52.1971
54.016113 71.758 -15.6513
54.199219 71.731 -84.1035
54.382324 71.653 -153.1778
54.565430 71.498 137.5136
54.748535 71.234 68.2604
54.931641 70.894 -0.4356
55.114746 70.525 -68.5545
55.297852 70.201 -136.0892
55.480957 69.965 156.2065
55.664062 69.763 87.8904
55.847168 69.504 18.6945
56.030273 69.076 -50.6133
56.213379 68.527 -119.0223
56.396484 68.003 174.2865
56.579590 67.777 108.6669
56.762695 67.854 42.0816
56.945801 68.014 -26.6764
57.128906 67.936 -97.1808
57.312012 67.524 -167.4602
57.495117 66.897 124.2327
57.678223 66.451 58.8349
57.861328 66.542 -6.0824
58.044434 67.027 -73.4245
58.227539 67.498 -144.1087
58.410645 67.664 143.5545
58.593750 67.543 71.3503
58.776855 67.283 0.6623
58.959961 67.185 -68.5093
59.143066 67.355 -137.5734
59.326172 67.718 152.3302
59.509277 68.049 81.0431
59.692383 68.262 9.6880
59.875488 68.385 -61.0117
60.058594 68.541 -130.5397
60.241699 68.855 160.4277
60.424805 69.335 91.2587
60.607910 69.950 21.3449
60.791016 70.618 -49.2516
60.974121 71.329 -120.3746
61.157227 72.037 168.1557
61.340332 72.740 96.5590
61.523438 73.404 24.9141
61.706543 74.039 -46.5933
61.889648 74.653 -118.1342
62.072754 75.247 170.1866
62.255859 75.807 98.0841
62.438965 76.294 25.6204
62.622070 76.696 -47.0580
62.805176 77.007 -119.6433
62.988281 77.267 168.0314
63.171387 77.486 95.9101
63.354492 77.670 23.8693
63.537598 77.775 -48.2067
63.720703 77.770 -120.0651
63.903809 77.661 168.6235
64.086914 77.512 98.2650
64.270020 77.431 28.7427
64.453125 77.478 -40.4553
64.636230 77.630 -110.0326
64.819336 77.775 179.8247
65.002441 77.830 109.4932
65.185547 77.765 39.5999
65.368652 77.653 -29.3783
65.551758 77.586 -97.5942
65.734863 77.630 -165.6465
65.917969 77.756 125.6831
66.101074 77.886 56.1649
66.284180 77.956 -14.0940
66.467285 77.941 -84.6736
66.650391 77.857 -155.3174
66.833496 77.713 134.1655
67.016602 77.523 63.8009
67.199707 77.266 -6.3923
67.382812 76.939 -76.3617
67.565918 76.518 -146.0719
67.749023 76.003 144.6424
67.932129 75.387 75.9303
68.115234 74.703 8.1766
68.298340 74.019 -58.4382
68.481445 73.432 -123.8760
68.664551 73.024 171.2325
68.847656 72.773 106.2471
69.030762 72.608 40.7020
69.213867 72.438 -25.2308
69.396973 72.258 -91.3532
69.580078 72.065 -157.5746
69.763184 71.880 135.9616
69.946289 71.660 69.1994
70.129395 71.402 2.4127
70.312500 71.119 -64.1256
70.495605 70.884 -130.2718
70.678711 70.715 163.5096
70.861816 70.565 96.9526
71.044922 70.329 30.0113
71.228027 69.956 -36.5917
71.411133 69.496 -102.4084
71.594238 69.055 -167.3378
71.777344 68.706 127.7051
71.960449 68.353 62.1165
72.143555 67.880 -3.9894
72.326660 67.221 -69.4663
72.509766 66.533 -133.3020
72.692871 66.007 164.4052
72.875977 65.759 102.2570
73.059082 65.578 39.1817
73.242188 65.286 -24.1419
73.425293 64.835 -86.4077
73.608398 64.444 -146.7722
73.791504 64.263 153.6716
73.974609 64.255 93.8818
74.157715 64.240 33.9309
