* Generated by rew_pipeline.py (source UUID 7e7ffd0f-409a-4ea4-9b14-d7aa3d850d0c, calibrated to its own SPL at 100 Hz)
* Measurement: R.filtered.clean-fdw6-peq
* Dated: 2026-Sep-13 14:43:17
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw6-peq B = FRX-trimmed.clean-fdw6-peq
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 -66.723 180.0000
0.183105 -69.758 86.9727
0.366211 -64.017 -19.2147
0.549316 -71.196 -112.8513
0.732422 -65.446 -57.4168
0.915527 -58.465 178.1419
1.098633 -63.252 -154.1573
1.281738 -64.362 80.1911
1.464844 -59.972 -35.1936
1.647949 -68.526 -41.5946
1.831055 -61.719 -134.4855
2.014160 -64.423 150.5229
2.197266 -58.231 -91.6217
2.380371 -76.094 -64.3159
2.563477 -55.666 -70.7421
2.746582 -63.799 -85.6368
2.929688 -70.197 -49.4387
3.112793 -68.630 114.7422
3.295898 -61.268 -170.1231
3.479004 -67.481 73.9105
3.662109 -64.759 -120.7113
3.845215 -70.207 125.6597
4.028320 -60.731 -103.0232
4.211426 -59.611 83.2101
4.394531 -63.011 28.6791
4.577637 -63.011 121.7026
4.760742 -66.547 20.0327
4.943848 -68.495 149.1849
5.126953 -59.214 -42.2089
5.310059 -55.778 135.4619
5.493164 -66.376 -19.7945
5.676270 -69.816 -67.1891
5.859375 -69.474 -179.5806
6.042480 -57.550 98.9293
6.225586 -64.700 87.5279
6.408691 -73.717 64.9628
6.591797 -63.610 -10.1712
6.774902 -58.303 -141.7386
6.958008 -60.774 143.4881
7.141113 -69.177 126.8780
7.324219 -64.490 9.6842
7.507324 -58.079 76.9178
7.690430 -56.827 -125.2311
7.873535 -62.253 119.5689
8.056641 -62.741 121.8202
8.239746 -62.591 10.2626
8.422852 -56.629 -20.1863
8.605957 -62.046 -123.7550
8.789062 -61.947 -86.4489
8.972168 -61.742 -113.9488
9.155273 -60.205 171.7707
9.338379 -59.979 75.6642
9.521484 -65.641 152.3120
9.704590 -65.319 -67.7003
