* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 12, 2026, 4:18:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FLX-trimmed.clean-fdw6
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 -0.010 0.8382
2.563477 -0.010 0.9778
2.929688 -0.010 1.1175
3.295899 -0.010 1.2571
3.662109 -0.010 1.3968
4.028320 -0.010 1.5364
4.394531 -0.010 1.6760
4.760742 -0.010 1.8156
5.126953 -0.010 1.9552
5.493164 -0.010 2.0947
5.859375 -0.010 2.2342
6.225586 -0.010 2.3737
6.591797 -0.010 2.5132
6.958008 -0.010 2.6526
7.324219 -0.010 2.7920
7.690430 -0.010 2.9314
8.056641 -0.010 3.0708
8.422852 -0.010 3.2101
8.789063 -0.010 3.3494
9.155274 -0.010 3.4886
9.521485 -0.010 3.6278
9.887696 -0.010 3.7670
10.253907 -0.010 3.9061
10.620118 -0.010 4.0452
10.986329 -0.010 4.1842
11.352540 -0.010 4.3232
11.718751 -0.010 4.4621
12.084962 -0.010 4.6010
12.451173 -0.010 4.7398
12.817384 -0.010 4.8786
13.183595 -0.010 5.0173
13.549806 -0.010 5.1560
13.916017 -0.010 5.2946
14.282228 -0.010 5.4332
14.648439 -0.010 5.5716
15.014649 -0.010 5.7101
15.380860 -0.010 5.8484
15.747071 -0.010 5.9867
16.113282 -0.010 6.1249
16.479493 -0.010 6.2630
16.845704 -0.010 6.4011
17.211915 -0.010 6.5390
17.578126 -0.010 6.6769
17.944337 -0.010 6.8147
18.310548 -0.010 6.9525
18.676759 -0.010 7.0901
19.042970 -0.010 7.2277
19.409181 -0.010 7.3651
19.775392 -0.010 7.5025
20.141603 -0.010 7.6397
20.507814 -0.010 7.7770
20.874025 -0.010 7.9141
21.240236 -0.010 8.0510
21.606447 -0.010 8.1879
21.972658 -0.010 8.3248
22.338869 -0.010 8.4613
22.705080 -0.010 8.5979
23.071291 -0.010 8.7344
23.437502 -0.010 8.8707
23.803713 -0.010 9.0069
24.169924 -0.010 9.1430
24.536135 -0.010 9.2789
24.902346 -0.010 9.4148
25.268557 -0.010 9.5505
25.634768 -0.010 9.6861
26.000978 -0.010 9.8215
26.367189 -0.010 9.9569
26.733400 -0.010 10.0919
27.099611 -0.010 10.2270
27.465822 -0.010 10.3618
27.832033 -0.010 10.4966
28.198244 -0.010 10.6312
28.564455 -0.010 10.7656
28.930666 -0.010 10.8999
29.296877 -0.010 11.0339
29.663088 -0.010 11.1678
30.029299 -0.010 11.3016
30.395510 -0.010 11.4352
30.761721 -0.010 11.5686
31.127932 -0.010 11.7018
31.494143 -0.010 11.8349
31.860354 -0.010 11.9677
32.226565 -0.010 12.1004
32.592776 -0.010 12.2328
32.958987 -0.010 12.3651
33.325198 -0.010 12.4972
33.691409 -0.010 12.6290
34.057620 -0.010 12.7606
34.423831 -0.010 12.8921
34.790042 -0.010 13.0233
35.156253 -0.010 13.1542
35.522464 -0.010 13.2850
35.888675 -0.010 13.4155
36.254886 -0.010 13.5458
36.621097 -0.010 13.6757
36.987308 -0.010 13.8055
37.353518 -0.010 13.9350
37.719729 -0.010 14.0643
38.085940 -0.010 14.1932
38.452151 -0.010 14.3219
38.818362 -0.010 14.4504
39.184573 -0.010 14.5785
39.550784 -0.010 14.7063
39.916995 -0.010 14.8339
40.283206 -0.010 14.9611
40.649417 -0.010 15.0881
41.015628 -0.010 15.2147
41.381839 -0.010 15.3410
41.748050 -0.010 15.4669
42.114261 -0.010 15.5926
42.480472 -0.010 15.7178
42.846683 -0.010 15.8427
43.212894 -0.010 15.9673
43.579105 -0.010 16.0915
43.945316 -0.010 16.2153
44.311527 -0.010 16.3388
44.677738 -0.010 16.4617
45.043949 -0.010 16.5843
45.410160 -0.010 16.7066
45.776371 -0.010 16.8283
46.142582 -0.010 16.9497
46.508793 -0.010 17.0706
46.875004 -0.010 17.1910
47.241215 -0.010 17.3110
47.607426 -0.010 17.4305
47.973637 -0.010 17.5495
48.339848 -0.010 17.6680
48.706058 -0.010 17.7860
49.072269 -0.010 17.9034
49.438480 -0.010 18.0203
49.804691 -0.010 18.1367
50.170902 -0.010 18.2525
50.537113 -0.010 18.3677
50.903324 -0.010 18.4824
51.269535 -0.010 18.5964
51.635746 -0.010 18.7097
52.001957 -0.010 18.8225
52.368168 -0.010 18.9345
52.734379 -0.010 19.0459
53.100590 -0.010 19.1566
53.466801 -0.010 19.2666
53.833012 -0.010 19.3758
54.199223 -0.010 19.4842
54.565434 -0.010 19.5919
54.931645 -0.010 19.6988
55.297856 -0.010 19.8048
55.664067 -0.010 19.9100
56.030278 -0.010 20.0143
56.396489 -0.010 20.1176
56.762700 -0.010 20.2201
57.128911 -0.010 20.3216
57.495122 -0.010 20.4221
57.861333 -0.010 20.5215
58.227544 -0.010 20.6200
58.593755 -0.010 20.7173
58.959966 -0.010 20.8134
59.326177 -0.010 20.9084
59.692387 -0.010 21.0022
60.058598 -0.010 21.0947
60.424809 -0.010 21.1860
60.791020 -0.010 21.2758
61.157231 -0.010 21.3643
61.523442 -0.010 21.4514
61.889653 -0.010 21.5369
62.255864 -0.010 21.6208
62.622075 -0.010 21.7032
62.988286 -0.010 21.7838
63.354497 -0.010 21.8627
63.720708 -0.010 21.9398
64.086919 -0.010 22.0149
64.453130 -0.010 22.0881
64.819341 -0.010 22.1591
65.185552 -0.010 22.2279
65.551763 -0.010 22.2945
65.917974 -0.010 22.3587
66.284185 -0.010 22.4203
66.650396 -0.010 22.4794
67.016607 -0.010 22.5356
67.382818 -0.010 22.5889
67.749029 -0.010 22.6391
68.115240 -0.010 22.6861
68.481451 -0.010 22.7296
68.847662 -0.010 22.7694
69.213873 -0.010 22.8054
69.580084 -0.010 22.8372
69.946295 -0.010 22.8646
70.312506 -0.010 22.8872
70.678717 -0.010 22.9048
71.044927 -0.010 22.9171
71.411138 -0.010 22.9234
71.777349 -0.010 22.9234
72.143560 -0.010 22.9165
72.509771 -0.010 22.9021
72.875982 -0.010 22.8796
73.242193 -0.010 22.8480
73.608404 -0.010 22.8063
73.974615 -0.010 22.7536
74.340826 -0.010 22.6883
74.707037 -0.010 22.6088
75.073248 -0.010 22.5130
75.439459 -0.010 22.3980
75.805670 -0.010 22.2604
76.171881 -0.011 22.0945
76.538092 -0.011 21.8932
76.904303 -0.013 21.6490
77.270514 -0.019 21.3463
77.636725 -0.029 20.9842
78.002936 -0.050 20.5597
78.369147 -0.083 20.0869
78.735358 -0.132 19.5877
79.101569 -0.199 19.0776
79.467780 -0.283 18.5730
79.833991 -0.390 18.1137
80.200202 -0.517 17.7474
80.566413 -0.661 17.5258
80.932624 -0.810 17.4575
81.298835 -0.961 17.5519
81.665046 -1.107 17.7720
82.031256 -1.245 18.1051
82.397467 -1.375 18.5264
82.763678 -1.495 19.0197
83.129889 -1.605 19.5723
83.496100 -1.706 20.1723
83.862311 -1.797 20.8108
84.228522 -1.879 21.4796
84.594733 -1.951 22.1719
84.960944 -2.014 22.8815
85.327155 -2.068 23.6026
85.693366 -2.114 24.3302
86.059577 -2.151 25.0586
86.425788 -2.180 25.7841
86.791999 -2.201 26.5016
87.158210 -2.215 27.2082
87.524421 -2.222 27.9001
87.890632 -2.223 28.5737
88.256843 -2.217 29.2269
88.623054 -2.205 29.8554
88.989265 -2.188 30.4584
89.355476 -2.166 31.0323
89.721687 -2.140 31.5763
90.087898 -2.109 32.0885
90.454109 -2.075 32.5667
90.820320 -2.038 33.0107
91.186531 -1.998 33.4171
91.552742 -1.956 33.7871
91.918953 -1.912 34.1177
92.285164 -1.867 34.4104
92.651375 -1.822 34.6634
93.017586 -1.776 34.8774
93.383796 -1.731 35.0526
93.750007 -1.687 35.1886
94.116218 -1.644 35.2874
94.482429 -1.603 35.3484
94.848640 -1.565 35.3752
95.214851 -1.530 35.3674
95.581062 -1.498 35.3295
95.947273 -1.470 35.2613
96.313484 -1.446 35.1678
96.679695 -1.427 35.0494
97.045906 -1.413 34.9115
97.412117 -1.404 34.7557
97.778328 -1.401 34.5870
98.144539 -1.403 34.4081
98.510750 -1.411 34.2238
98.876961 -1.425 34.0371
99.243172 -1.444 33.8523
99.609383 -1.469 33.6725
99.975594 -1.499 33.5016
100.341805 -1.534 33.3427
100.708016 -1.575 33.1994
101.074227 -1.620 33.0740
101.440438 -1.669 32.9695
101.806649 -1.721 32.8874
102.172860 -1.778 32.8298
102.539071 -1.836 32.7977
102.905282 -1.898 32.7922
103.271493 -1.962 32.8141
103.637704 -2.027 32.8636
104.003915 -2.093 32.9412
104.370126 -2.161 33.0458
104.736336 -2.228 33.1781
105.102547 -2.296 33.3359
105.468758 -2.364 33.5196
105.834969 -2.431 33.7268
106.201180 -2.497 33.9577
106.567391 -2.563 34.2096
106.933602 -2.627 34.4826
107.299813 -2.690 34.7742
107.666024 -2.751 35.0840
108.032235 -2.811 35.4095
108.398446 -2.869 35.7503
108.764657 -2.926 36.1042
109.130868 -2.980 36.4705
109.497079 -3.033 36.8475
109.863290 -3.084 37.2344
110.229501 -3.133 37.6299
110.595712 -3.181 38.0327
110.961923 -3.226 38.4421
111.328134 -3.270 38.8566
111.694345 -3.312 39.2751
112.060556 -3.353 39.6973
112.426767 -3.392 40.1218
112.792978 -3.431 40.5494
113.159189 -3.468 40.9798
113.525400 -3.504 41.4135
113.891611 -3.539 41.8517
114.257822 -3.572 42.2940
114.624033 -3.605 42.7406
114.990244 -3.636 43.1917
115.356455 -3.666 43.6459
115.722665 -3.695 44.1034
116.088876 -3.722 44.5630
116.455087 -3.748 45.0242
116.821298 -3.772 45.4866
117.187509 -3.795 45.9495
117.553720 -3.817 46.4125
117.919931 -3.838 46.8752
118.286142 -3.857 47.3371
118.652353 -3.875 47.7981
119.018564 -3.892 48.2575
119.384775 -3.908 48.7155
119.750986 -3.923 49.1716
120.117197 -3.937 49.6255
120.483408 -3.950 50.0773
120.849619 -3.962 50.5266
121.215830 -3.973 50.9735
121.582041 -3.984 51.4174
121.948252 -3.993 51.8587
122.314463 -4.002 52.2970
122.680674 -4.010 52.7321
123.046885 -4.018 53.1643
123.413096 -4.025 53.5932
123.779307 -4.031 54.0190
124.145518 -4.037 54.4415
124.511729 -4.042 54.8607
124.877940 -4.047 55.2767
125.244151 -4.052 55.6892
125.610362 -4.056 56.0987
125.976573 -4.060 56.5047
126.342784 -4.063 56.9075
126.708995 -4.066 57.3071
127.075205 -4.069 57.7034
127.441416 -4.072 58.0968
127.807627 -4.075 58.4870
128.173838 -4.078 58.8744
128.540049 -4.080 59.2591
128.906260 -4.083 59.6409
129.272471 -4.086 60.0205
129.638682 -4.088 60.3977
130.004893 -4.091 60.7727
130.371104 -4.094 61.1460
130.737315 -4.097 61.5174
131.103526 -4.100 61.8876
131.469737 -4.104 62.2566
131.835948 -4.107 62.6248
132.202159 -4.111 62.9924
132.568370 -4.115 63.3599
132.934581 -4.119 63.7273
133.300792 -4.123 64.0950
133.667003 -4.128 64.4632
134.033214 -4.133 64.8321
134.399425 -4.138 65.2020
134.765636 -4.143 65.5730
135.131847 -4.148 65.9454
135.498058 -4.153 66.3196
135.864269 -4.159 66.6954
136.230480 -4.165 67.0734
136.596691 -4.170 67.4537
136.962902 -4.176 67.8362
137.329113 -4.182 68.2213
137.695324 -4.188 68.6091
138.061534 -4.193 68.9994
138.427745 -4.199 69.3927
138.793956 -4.205 69.7888
139.160167 -4.210 70.1877
139.526378 -4.215 70.5898
139.892589 -4.221 70.9948
140.258800 -4.226 71.4028
140.625011 -4.230 71.8141
140.991222 -4.235 72.2283
141.357433 -4.239 72.6458
141.723644 -4.243 73.0665
142.089855 -4.247 73.4899
142.456066 -4.250 73.9167
142.822277 -4.253 74.3464
143.188488 -4.256 74.7790
143.554699 -4.258 75.2147
143.920910 -4.260 75.6534
144.287121 -4.261 76.0950
144.653332 -4.262 76.5399
145.019543 -4.262 76.9874
145.385754 -4.262 77.4380
145.751965 -4.262 77.8917
146.118176 -4.261 78.3481
