* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 0.000 0.0000
0.366211 0.000 0.1397
0.732422 0.000 0.2794
1.098633 0.000 0.4191
1.464844 0.000 0.5588
1.831055 -0.000 0.6984
2.197266 -0.000 0.8382
2.563477 0.000 0.9778
2.929688 -0.000 1.1175
3.295898 -0.000 1.2571
3.662109 -0.000 1.3968
4.028320 0.000 1.5364
4.394531 -0.000 1.6760
4.760742 -0.000 1.8156
5.126953 -0.000 1.9552
5.493164 0.000 2.0947
5.859375 0.000 2.2342
6.225586 -0.000 2.3737
6.591797 0.000 2.5132
6.958008 -0.000 2.6526
7.324219 -0.000 2.7920
7.690430 -0.000 2.9314
8.056641 -0.000 3.0708
8.422852 -0.000 3.2101
8.789062 0.000 3.3494
9.155273 -0.000 3.4886
9.521484 -0.000 3.6278
9.887695 -0.000 3.7670
10.253906 -0.000 3.9061
10.620117 -0.000 4.0452
10.986328 -0.000 4.1842
11.352539 -0.000 4.3232
11.718750 0.000 4.4621
12.084961 -0.000 4.6010
12.451172 -0.000 4.7398
12.817383 -0.000 4.8786
13.183594 -0.000 5.0173
13.549805 -0.000 5.1560
13.916016 -0.000 5.2946
14.282227 -0.000 5.4331
14.648438 -0.000 5.5716
15.014648 -0.000 5.7101
15.380859 0.000 5.8484
15.747070 -0.000 5.9867
16.113281 -0.000 6.1249
16.479492 -0.000 6.2629
16.845703 -0.000 6.4011
17.211914 0.000 6.5390
17.578125 0.000 6.6769
17.944336 -0.000 6.8147
18.310547 0.000 6.9525
18.676758 0.000 7.0901
19.042969 0.000 7.2277
19.409180 -0.000 7.3651
19.775391 0.000 7.5025
20.141602 0.000 7.6397
20.507812 0.000 7.7770
20.874023 -0.000 7.9141
21.240234 -0.000 8.0510
21.606445 -0.000 8.1879
21.972656 -0.000 8.3248
22.338867 0.000 8.4613
22.705078 0.000 8.5979
23.071289 0.000 8.7344
23.437500 0.000 8.8707
23.803711 -0.000 9.0069
24.169922 -0.000 9.1430
24.536133 0.000 9.2789
24.902344 0.000 9.4148
25.268555 0.000 9.5505
25.634766 0.000 9.6861
26.000977 0.000 9.8215
26.367188 0.000 9.9569
26.733398 0.000 10.0920
27.099609 -0.000 10.2270
27.465820 0.000 10.3618
27.832031 -0.000 10.4966
28.198242 0.000 10.6312
28.564453 -0.000 10.7656
28.930664 -0.000 10.8999
29.296875 -0.000 11.0339
29.663086 0.000 11.1678
30.029297 -0.000 11.3016
30.395508 -0.000 11.4352
30.761719 -0.000 11.5686
31.127930 0.000 11.7018
31.494141 -0.000 11.8349
31.860352 0.000 11.9677
32.226562 -0.000 12.1004
32.592773 0.000 12.2328
32.958984 -0.000 12.3651
33.325195 0.000 12.4972
33.691406 -0.000 12.6290
34.057617 0.000 12.7607
34.423828 -0.000 12.8921
34.790039 0.000 13.0233
35.156250 -0.000 13.1542
35.522461 0.000 13.2850
35.888672 -0.000 13.4155
36.254883 0.000 13.5457
36.621094 -0.000 13.6757
36.987305 0.000 13.8055
37.353516 -0.000 13.9350
37.719727 0.000 14.0643
38.085938 -0.000 14.1932
38.452148 -0.000 14.3219
38.818359 -0.000 14.4504
39.184570 -0.000 14.5785
39.550781 0.000 14.7063
39.916992 0.000 14.8339
40.283203 -0.000 14.9611
40.649414 -0.000 15.0881
41.015625 0.000 15.2147
41.381836 -0.000 15.3410
41.748047 -0.000 15.4669
42.114258 -0.000 15.5926
42.480469 -0.000 15.7178
42.846680 0.000 15.8427
43.212891 -0.000 15.9673
43.579102 -0.000 16.0915
43.945312 -0.000 16.2153
44.311523 -0.000 16.3388
44.677734 0.000 16.4618
45.043945 -0.000 16.5844
45.410156 -0.000 16.7066
45.776367 0.000 16.8283
46.142578 0.000 16.9497
46.508789 -0.000 17.0706
46.875000 0.000 17.1910
47.241211 0.000 17.3110
47.607422 0.000 17.4305
47.973633 -0.000 17.5495
48.339844 0.000 17.6680
48.706055 -0.000 17.7860
49.072266 0.000 17.9035
49.438477 -0.000 18.0203
49.804688 -0.000 18.1367
50.170898 0.000 18.2525
50.537109 0.000 18.3677
50.903320 0.000 18.4823
51.269531 0.000 18.5964
51.635742 -0.000 18.7097
52.001953 -0.000 18.8225
52.368164 -0.000 18.9345
52.734375 0.000 19.0459
53.100586 -0.000 19.1566
53.466797 -0.000 19.2665
53.833008 -0.000 19.3758
54.199219 0.000 19.4842
54.565430 -0.000 19.5919
54.931641 0.000 19.6988
55.297852 0.000 19.8048
55.664062 -0.000 19.9100
56.030273 -0.000 20.0143
56.396484 0.000 20.1176
56.762695 -0.000 20.2201
57.128906 -0.000 20.3216
