* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 12, 2026, 4:18:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FRX-trimmed.clean-fdw6
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 -0.010 0.8730
2.563477 -0.010 1.0185
2.929688 -0.010 1.1639
3.295899 -0.010 1.3094
3.662109 -0.010 1.4549
4.028320 -0.010 1.6002
4.394531 -0.010 1.7457
4.760742 -0.010 1.8911
5.126953 -0.010 2.0364
5.493164 -0.010 2.1818
5.859375 -0.010 2.3271
6.225586 -0.010 2.4724
6.591797 -0.010 2.6177
6.958008 -0.010 2.7629
7.324219 -0.010 2.9082
7.690430 -0.010 3.0534
8.056641 -0.010 3.1985
8.422852 -0.010 3.3437
8.789063 -0.010 3.4888
9.155274 -0.010 3.6338
9.521485 -0.010 3.7788
9.887696 -0.010 3.9238
10.253907 -0.010 4.0688
10.620118 -0.010 4.2137
10.986329 -0.010 4.3585
11.352540 -0.010 4.5034
11.718751 -0.010 4.6481
12.084962 -0.010 4.7928
12.451173 -0.010 4.9375
12.817384 -0.010 5.0821
13.183595 -0.010 5.2266
13.549806 -0.010 5.3711
13.916017 -0.010 5.5155
14.282228 -0.010 5.6599
14.648439 -0.010 5.8043
15.014649 -0.010 5.9485
15.380860 -0.010 6.0927
15.747071 -0.010 6.2368
16.113282 -0.010 6.3809
16.479493 -0.010 6.5248
16.845704 -0.010 6.6688
17.211915 -0.010 6.8125
17.578126 -0.010 6.9563
17.944337 -0.010 7.0999
18.310548 -0.010 7.2436
18.676759 -0.010 7.3870
19.042970 -0.010 7.5305
19.409181 -0.010 7.6737
19.775392 -0.010 7.8170
20.141603 -0.010 7.9601
20.507814 -0.010 8.1032
20.874025 -0.010 8.2462
21.240236 -0.010 8.3890
21.606447 -0.010 8.5317
21.972658 -0.010 8.6744
22.338869 -0.010 8.8169
22.705080 -0.010 8.9593
23.071291 -0.010 9.1017
23.437502 -0.010 9.2438
23.803713 -0.010 9.3859
24.169924 -0.010 9.5279
24.536135 -0.010 9.6697
24.902346 -0.010 9.8115
25.268557 -0.010 9.9530
25.634768 -0.010 10.0945
26.000978 -0.010 10.2357
26.367189 -0.010 10.3770
26.733400 -0.010 10.5180
27.099611 -0.010 10.6589
27.465822 -0.010 10.7996
27.832033 -0.010 10.9402
28.198244 -0.010 11.0806
28.564455 -0.010 11.2209
28.930666 -0.010 11.3610
29.296877 -0.010 11.5010
29.663088 -0.010 11.6407
30.029299 -0.010 11.7804
30.395510 -0.010 11.9198
30.761721 -0.010 12.0590
31.127932 -0.010 12.1981
31.494143 -0.010 12.3370
31.860354 -0.010 12.4757
32.226565 -0.010 12.6142
32.592776 -0.010 12.7525
32.958987 -0.010 12.8905
33.325198 -0.010 13.0285
33.691409 -0.010 13.1661
34.057620 -0.010 13.3035
34.423831 -0.010 13.4407
34.790042 -0.010 13.5777
35.156253 -0.010 13.7144
35.522464 -0.010 13.8510
35.888675 -0.010 13.9872
36.254886 -0.010 14.1232
36.621097 -0.010 14.2590
36.987308 -0.010 14.3944
37.353518 -0.010 14.5296
37.719729 -0.010 14.6646
38.085940 -0.010 14.7992
38.452151 -0.010 14.9336
38.818362 -0.010 15.0677
39.184573 -0.010 15.2014
39.550784 -0.010 15.3349
39.916995 -0.010 15.4680
40.283206 -0.010 15.6008
40.649417 -0.010 15.7333
41.015628 -0.010 15.8654
41.381839 -0.010 15.9972
41.748050 -0.010 16.1286
42.114261 -0.010 16.2597
42.480472 -0.010 16.3903
42.846683 -0.010 16.5206
43.212894 -0.010 16.6505
43.579105 -0.010 16.7800
43.945316 -0.010 16.9090
44.311527 -0.010 17.0376
44.677738 -0.010 17.1658
45.043949 -0.010 17.2935
45.410160 -0.010 17.4208
45.776371 -0.010 17.5476
46.142582 -0.010 17.6739
46.508793 -0.010 17.7997
46.875004 -0.010 17.9249
47.241215 -0.010 18.0497
47.607426 -0.010 18.1739
47.973637 -0.010 18.2974
48.339848 -0.010 18.4205
48.706058 -0.010 18.5429
49.072269 -0.010 18.6648
49.438480 -0.010 18.7859
49.804691 -0.010 18.9064
50.170902 -0.010 19.0263
50.537113 -0.010 19.1454
50.903324 -0.010 19.2638
51.269535 -0.010 19.3815
51.635746 -0.010 19.4984
52.001957 -0.010 19.6145
52.368168 -0.010 19.7298
52.734379 -0.010 19.8442
53.100590 -0.010 19.9578
53.466801 -0.010 20.0704
53.833012 -0.010 20.1820
54.199223 -0.010 20.2927
54.565434 -0.010 20.4024
54.931645 -0.010 20.5110
55.297856 -0.010 20.6185
55.664067 -0.010 20.7248
56.030278 -0.010 20.8300
56.396489 -0.010 20.9339
56.762700 -0.010 21.0364
57.128911 -0.010 21.1376
57.495122 -0.010 21.2374
57.861333 -0.010 21.3357
58.227544 -0.010 21.4325
58.593755 -0.010 21.5275
58.959966 -0.010 21.6209
59.326177 -0.010 21.7124
59.692387 -0.010 21.8021
60.058598 -0.010 21.8896
60.424809 -0.010 21.9751
60.791020 -0.010 22.0583
61.157231 -0.010 22.1391
61.523442 -0.010 22.2173
61.889653 -0.010 22.2927
62.255864 -0.010 22.3652
62.622075 -0.010 22.4346
62.988286 -0.010 22.5005
63.354497 -0.010 22.5628
63.720708 -0.010 22.6210
64.086919 -0.010 22.6749
64.453130 -0.010 22.7240
64.819341 -0.010 22.7678
65.185552 -0.010 22.8056
65.551763 -0.010 22.8368
65.917974 -0.010 22.8603
66.284185 -0.010 22.8749
66.650396 -0.010 22.8789
67.016607 -0.010 22.8699
67.382818 -0.011 22.8440
67.749029 -0.012 22.7961
68.115240 -0.015 22.7227
68.481451 -0.021 22.6200
68.847662 -0.034 22.4968
69.213873 -0.053 22.3714
69.580084 -0.079 22.2572
69.946295 -0.109 22.1649
70.312506 -0.142 22.0918
70.678717 -0.177 22.0354
71.044927 -0.214 21.9937
71.411138 -0.253 21.9653
71.777349 -0.294 21.9504
72.143560 -0.338 21.9498
72.509771 -0.383 21.9645
72.875982 -0.430 21.9963
73.242193 -0.479 22.0464
73.608404 -0.529 22.1168
73.974615 -0.581 22.2089
74.340826 -0.634 22.3233
74.707037 -0.687 22.4612
75.073248 -0.741 22.6231
75.439459 -0.794 22.8080
75.805670 -0.847 23.0149
76.171881 -0.898 23.2412
76.538092 -0.948 23.4810
76.904303 -0.997 23.7299
77.270514 -1.046 23.9770
77.636725 -1.096 24.2254
78.002936 -1.152 24.4791
78.369147 -1.213 24.7681
78.735358 -1.281 25.1176
79.101569 -1.349 25.5542
79.467780 -1.414 26.0811
79.833991 -1.471 26.6828
80.200202 -1.519 27.3498
80.566413 -1.555 28.0604
80.932624 -1.578 28.8012
81.298835 -1.590 29.5594
81.665046 -1.589 30.3225
82.031256 -1.576 31.0808
82.397467 -1.551 31.8240
82.763678 -1.514 32.5431
83.129889 -1.466 33.2279
83.496100 -1.406 33.8691
83.862311 -1.337 34.4576
84.228522 -1.258 34.9817
84.594733 -1.170 35.4337
84.960944 -1.075 35.8000
85.327155 -0.974 36.0665
85.693366 -0.870 36.2266
86.059577 -0.766 36.2551
86.425788 -0.667 36.1705
86.791999 -0.579 35.9626
87.158210 -0.507 35.6872
87.524421 -0.451 35.3672
87.890632 -0.410 35.0592
88.256843 -0.379 34.7673
88.623054 -0.354 34.5112
88.989265 -0.333 34.2723
89.355476 -0.313 34.0503
89.721687 -0.295 33.8318
90.087898 -0.277 33.6128
90.454109 -0.260 33.3873
90.820320 -0.245 33.1525
91.186531 -0.230 32.9048
91.552742 -0.216 32.6428
91.918953 -0.204 32.3638
92.285164 -0.194 32.0661
92.651375 -0.184 31.7474
93.017586 -0.177 31.4045
93.383796 -0.171 31.0344
93.750007 -0.167 30.6298
94.116218 -0.165 30.1880
94.482429 -0.167 29.6928
94.848640 -0.174 29.1475
95.214851 -0.190 28.5273
95.581062 -0.217 27.8572
95.947273 -0.260 27.1262
96.313484 -0.324 26.3865
96.679695 -0.407 25.6629
97.045906 -0.510 24.9920
97.412117 -0.626 24.4067
97.778328 -0.754 23.9023
98.144539 -0.889 23.4936
98.510750 -1.029 23.1628
98.876961 -1.171 22.9115
99.243172 -1.315 22.7274
99.609383 -1.461 22.6081
99.975594 -1.607 22.5472
100.341805 -1.753 22.5419
100.708016 -1.899 22.5887
101.074227 -2.045 22.6851
101.440438 -2.190 22.8288
101.806649 -2.333 23.0178
102.172860 -2.476 23.2500
102.539071 -2.618 23.5239
102.905282 -2.758 23.8379
103.271493 -2.896 24.1905
103.637704 -3.032 24.5805
104.003915 -3.167 25.0069
104.370126 -3.299 25.4681
104.736336 -3.429 25.9635
105.102547 -3.556 26.4913
105.468758 -3.681 27.0510
105.834969 -3.803 27.6409
106.201180 -3.923 28.2607
106.567391 -4.039 28.9086
106.933602 -4.153 29.5847
107.299813 -4.263 30.2867
107.666024 -4.370 31.0150
108.032235 -4.473 31.7672
108.398446 -4.573 32.5433
108.764657 -4.670 33.3412
109.130868 -4.762 34.1608
109.497079 -4.851 35.0003
109.863290 -4.936 35.8594
110.229501 -5.017 36.7365
110.595712 -5.094 37.6310
110.961923 -5.167 38.5418
111.328134 -5.236 39.4680
111.694345 -5.300 40.4088
112.060556 -5.360 41.3623
112.426767 -5.415 42.3285
112.792978 -5.465 43.3041
113.159189 -5.510 44.2879
113.525400 -5.551 45.2775
113.891611 -5.586 46.2696
114.257822 -5.617 47.2630
114.624033 -5.643 48.2557
114.990244 -5.665 49.2463
115.356455 -5.683 50.2345
115.722665 -5.696 51.2187
116.088876 -5.706 52.1989
116.455087 -5.711 53.1739
116.821298 -5.713 54.1432
117.187509 -5.711 55.1060
117.553720 -5.705 56.0615
117.919931 -5.696 57.0090
118.286142 -5.683 57.9475
118.652353 -5.666 58.8768
119.018564 -5.647 59.7955
119.384775 -5.624 60.7036
119.750986 -5.598 61.6001
120.117197 -5.569 62.4843
120.483408 -5.537 63.3560
120.849619 -5.502 64.2141
121.215830 -5.464 65.0587
121.582041 -5.424 65.8886
121.948252 -5.382 66.7039
122.314463 -5.337 67.5039
122.680674 -5.290 68.2880
123.046885 -5.240 69.0566
123.413096 -5.189 69.8082
123.779307 -5.136 70.5438
124.145518 -5.081 71.2624
124.511729 -5.025 71.9639
124.877940 -4.967 72.6488
125.244151 -4.908 73.3159
125.610362 -4.847 73.9664
125.976573 -4.786 74.5993
126.342784 -4.723 75.2150
126.708995 -4.660 75.8140
127.075205 -4.596 76.3953
127.441416 -4.531 76.9606
127.807627 -4.466 77.5087
128.173838 -4.401 78.0404
128.540049 -4.335 78.5564
128.906260 -4.269 79.0559
129.272471 -4.203 79.5403
129.638682 -4.136 80.0093
130.004893 -4.070 80.4632
130.371104 -4.004 80.9031
130.737315 -3.939 81.3283
131.103526 -3.873 81.7402
131.469737 -3.808 82.1389
131.835948 -3.744 82.5246
132.202159 -3.680 82.8983
132.568370 -3.616 83.2598
132.934581 -3.553 83.6101
133.300792 -3.491 83.9495
133.667003 -3.430 84.2781
134.033214 -3.369 84.5969
134.399425 -3.309 84.9059
134.765636 -3.249 85.2056
135.131847 -3.191 85.4967
135.498058 -3.133 85.7795
135.864269 -3.076 86.0545
136.230480 -3.020 86.3222
136.596691 -2.965 86.5829
136.962902 -2.911 86.8374
137.329113 -2.857 87.0858
137.695324 -2.805 87.3287
138.061534 -2.753 87.5664
138.427745 -2.702 87.7994
138.793956 -2.653 88.0281
139.160167 -2.604 88.2529
139.526378 -2.555 88.4742
139.892589 -2.508 88.6923
140.258800 -2.461 88.9078
140.625011 -2.415 89.1212
140.991222 -2.370 89.3322
141.357433 -2.326 89.5419
141.723644 -2.282 89.7504
142.089855 -2.239 89.9576
142.456066 -2.196 90.1644
142.822277 -2.154 90.3707
143.188488 -2.113 90.5766
143.554699 -2.072 90.7831
143.920910 -2.031 90.9895
144.287121 -1.990 91.1964
144.653332 -1.950 91.4045
145.019543 -1.910 91.6128
145.385754 -1.870 91.8221
145.751965 -1.830 92.0328
146.118176 -1.790 92.2436
